productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
186111,Speed Duel: Attack from the Deep Booster Box,Speed Duel Attack from the Deep Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/186111_200w.jpg,2,2425,https://cpt.tcgcsv.com/fsv2,2019-03-18T16:58:46.777,1,Each booster box contains 36 packs of 4 random cards.,37.49,47.03,63.96,42.78,,Normal,,,,,,,
186112,Speed Duel: Attack from the Deep Booster Pack,Speed Duel Attack from the Deep Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/186112_200w.jpg,2,2425,https://cpt.tcgcsv.com/gsv2,2022-04-22T12:45:50.47,1,Each booster pack contains 4 random cards.,1.0,2.24,3.0,1.36,,Normal,,,,,,,
190870,Magician of Faith,Magician of Faith,https://tcgplayer-cdn.tcgplayer.com/product/190870_200w.jpg,2,2425,https://cpt.tcgcsv.com/qmx2,2019-05-31T17:01:27.843,1,FLIP: Target 1 Spell in your GY; add that target to your hand.,4.17,5.25,19.89,4.86,4.49,1st Edition,SBAD-EN001,Ultra Rare,LIGHT,Spellcaster,Flip/Effect Monster,300,400
190871,Apprentice Magician,Apprentice Magician,https://tcgplayer-cdn.tcgplayer.com/product/190871_200w.jpg,2,2425,https://cpt.tcgcsv.com/rmx2,2019-05-31T17:02:55.137,1,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.,0.2,0.85,10.18,0.64,,1st Edition,SBAD-EN002,Super Rare,DARK,Spellcaster,Effect Monster,400,800
190887,Mystical Elf,Mystical Elf,https://tcgplayer-cdn.tcgplayer.com/product/190887_200w.jpg,2,2425,https://cpt.tcgcsv.com/Mmx2,2019-05-31T17:04:22.577,1,"<em>A delicate elf that lacks offense, but has a terrific defense backed by mystical power.</em>",0.05,0.25,1.0,0.12,,1st Edition,SBAD-EN003,Common,LIGHT,Spellcaster,Normal Monster,800,2000
190888,Magical Undertaker,Magical Undertaker,https://tcgplayer-cdn.tcgplayer.com/product/190888_200w.jpg,2,2425,https://cpt.tcgcsv.com/Nmx2,2019-05-31T17:04:35.893,1,FLIP: You can target 1 Level 4 or lower Spellcaster monster in your GY; Special Summon that target.,0.02,0.23,0.99,0.12,,1st Edition,SBAD-EN004,Common,DARK,Spellcaster,Flip/Effect Monster,400,400
190889,Arcane Barrier,Arcane Barrier,https://tcgplayer-cdn.tcgplayer.com/product/190889_200w.jpg,2,2425,https://cpt.tcgcsv.com/Pmx2,2019-05-31T17:04:51.03,1,"Each time a face-up Spellcaster monster(s) on the field is destroyed, place 1 Spell Counter on this card (max. 4). You can send this card and 1 face-up Spellcaster monster you control to the GY; draw 1 card for each Spell Counter that was on this card.",0.05,0.22,0.74,0.14,,1st Edition,SBAD-EN005,Common,SPELL,,Continuous Spell,,
190890,Blade Knight,Blade Knight,https://tcgplayer-cdn.tcgplayer.com/product/190890_200w.jpg,2,2425,https://cpt.tcgcsv.com/Qmx2,2019-05-31T17:05:06.71,1,"Gains 400 ATK while you have 1 or less cards in your hand. If you control no other monsters, the effects of Flip monsters destroyed by battle with this card are negated.",6.21,12.0,15.97,6.35,,1st Edition,SBAD-EN006,Ultra Rare,LIGHT,Warrior,Effect Monster,1600,1000
190891,Dweller in the Depths,Dweller in the Depths,https://tcgplayer-cdn.tcgplayer.com/product/190891_200w.jpg,2,2425,https://cpt.tcgcsv.com/Rmx2,2019-05-31T17:06:29.073,1,Gains 300 ATK for each Continuous Spell in your Spell & Trap Zone.,0.01,0.2,1.32,0.08,,1st Edition,SBAD-EN007,Common,EARTH,Dragon,Effect Monster,1500,700
190892,Gilford the Lightning,Gilford the Lightning,https://tcgplayer-cdn.tcgplayer.com/product/190892_200w.jpg,2,2425,https://cpt.tcgcsv.com/Smx2,2019-05-31T17:09:31.18,1,You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all monsters your opponent controls.,0.93,2.37,16.99,2.15,2.97,1st Edition,SBAD-EN008,Ultra Rare,LIGHT,Warrior,Effect Monster,2800,1400
190893,Axe Raider,Axe Raider,https://tcgplayer-cdn.tcgplayer.com/product/190893_200w.jpg,2,2425,https://cpt.tcgcsv.com/Tmx2,2019-05-31T17:09:44.747,1,<em>An axe-wielding monster of tremendous strength and agility.</em>,0.05,0.25,1.35,0.15,,1st Edition,SBAD-EN009,Common,EARTH,Warrior,Normal Monster,1700,1150
190894,Fusion Recovery,Fusion Recovery,https://tcgplayer-cdn.tcgplayer.com/product/190894_200w.jpg,2,2425,https://cpt.tcgcsv.com/Vmx2,2019-05-31T17:09:57.12,1,"Target 1 ""Polymerization"" in your GY, and 1 monster in your GY that was used as material for a Fusion Summon; add them to your hand.",0.1,0.25,1.39,0.16,,1st Edition,SBAD-EN010,Common,SPELL,,Normal Spell,,
190895,Sonic Bird,Sonic Bird,https://tcgplayer-cdn.tcgplayer.com/product/190895_200w.jpg,2,2425,https://cpt.tcgcsv.com/Wmx2,2019-05-31T17:10:07.52,1,When this card is Normal or Flip Summoned: You can add 1 Ritual Spell from your Deck to your hand.,2.31,2.85,6.99,2.4,,1st Edition,SBAD-EN011,Ultra Rare,WIND,Winged Beast,Effect Monster,1400,1000
190896,Great Phantom Thief,Great Phantom Thief,https://tcgplayer-cdn.tcgplayer.com/product/190896_200w.jpg,2,2425,https://cpt.tcgcsv.com/Xmx2,2019-05-31T17:10:27.583,1,"If this card inflicts battle damage to your opponent: Declare 1 card name; look at your opponent's hand, and if you do, discard all cards with that name in their hand.",0.02,0.21,0.94,0.11,,1st Edition,SBAD-EN012,Common,EARTH,Spellcaster,Effect Monster,1000,1000
190897,Djinn Disserere of Rituals,Djinn Disserere of Rituals,https://tcgplayer-cdn.tcgplayer.com/product/190897_200w.jpg,2,2425,https://cpt.tcgcsv.com/Zmx2,2019-05-31T17:10:45.157,1,"When you Ritual Summon a monster, you can banish this card from your GY as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is unaffected by Trap effects.",0.06,0.25,1.37,0.13,,1st Edition,SBAD-EN013,Common,DARK,Fiend,Effect Monster,200,200
190898,Fulfillment of the Contract,Fulfillment of the Contract,https://tcgplayer-cdn.tcgplayer.com/product/190898_200w.jpg,2,2425,https://cpt.tcgcsv.com/-mx2,2019-05-31T17:10:57.917,1,"Activate this card by paying 800 LP, then target 1 Ritual Monster in your GY; Special Summon it and equip it with this card. When this card is destroyed, banish the equipped monster.",0.08,0.25,0.99,0.18,,1st Edition,SBAD-EN014,Common,SPELL,,Equip Spell,,
190899,Amazoness Trainee,Amazoness Trainee,https://tcgplayer-cdn.tcgplayer.com/product/190899_200w.jpg,2,2425,https://cpt.tcgcsv.com/_mx2,2019-05-31T17:11:08.297,1,Monsters destroyed by battle with this card are returned to the bottom of the Deck instead of going to the GY. If this card destroys an opponent's monster by battle: It gains 200 ATK.,0.12,0.25,1.53,0.19,,1st Edition,SBAD-EN015,Common,EARTH,Warrior,Effect Monster,1500,1300
190900,Robbin' Zombie,Robbin Zombie,https://tcgplayer-cdn.tcgplayer.com/product/190900_200w.jpg,2,2425,https://cpt.tcgcsv.com/0nx2,2019-05-31T17:11:26.213,1,If your monster inflicts battle damage to your opponent: Send the top card of their Deck to the GY.,0.03,0.22,1.49,0.12,,1st Edition,SBAD-EN016,Common,TRAP,,Continuous Trap,,
190901,Zombina,Zombina,https://tcgplayer-cdn.tcgplayer.com/product/190901_200w.jpg,2,2425,https://cpt.tcgcsv.com/2nx2,2019-05-31T17:11:45.433,1,"If this card in its owner's possession is destroyed by an opponent's card: You can target 1 Level 4 or lower monster in your GY, except ""Zombina""; Special Summon it.",0.47,0.99,9.0,0.84,1.47,1st Edition,SBAD-EN017,Super Rare,EARTH,Zombie,Effect Monster,1400,1500
190902,Goblin Zombie,Goblin Zombie,https://tcgplayer-cdn.tcgplayer.com/product/190902_200w.jpg,2,2425,https://cpt.tcgcsv.com/3nx2,2019-05-31T17:13:25.513,1,If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY. If this card is sent from the field to the GY: Add 1 Zombie monster with 1200 or less DEF from your Deck to your hand.,0.28,0.5,1.99,0.38,,1st Edition,SBAD-EN018,Common,DARK,Zombie,Effect Monster,1100,1050
190903,Sword of Dark Destruction,Sword of Dark Destruction,https://tcgplayer-cdn.tcgplayer.com/product/190903_200w.jpg,2,2425,https://cpt.tcgcsv.com/5nx2,2019-05-31T17:13:37.157,1,Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.,0.05,0.24,1.0,0.18,,1st Edition,SBAD-EN019,Common,SPELL,,Equip Spell,,
190904,Pyramid of Wonders,Pyramid of Wonders,https://tcgplayer-cdn.tcgplayer.com/product/190904_200w.jpg,2,2425,https://cpt.tcgcsv.com/6nx2,2019-05-31T17:13:46.123,1,"All Zombie monsters you control gain 200 ATK for each monster your opponent controls. If exactly 1 Zombie monster you control (and no other cards) would be destroyed, you can send this card to the GY instead.",0.08,0.25,1.49,0.11,,1st Edition,SBAD-EN020,Common,SPELL,,Continuous Spell,,
190905,Great White,Great White,https://tcgplayer-cdn.tcgplayer.com/product/190905_200w.jpg,2,2425,https://cpt.tcgcsv.com/7nx2,2019-05-31T17:13:57.05,1,<em>A giant white shark with razor-sharp teeth.</em>,0.05,0.21,0.74,0.2,,1st Edition,SBAD-EN021,Common,WATER,Fish,Normal Monster,1600,800
190906,High Tide Gyojin,High Tide Gyojin,https://tcgplayer-cdn.tcgplayer.com/product/190906_200w.jpg,2,2425,https://cpt.tcgcsv.com/8nx2,2019-05-31T17:14:09.71,1,<em>A very agile half-fish warrior known for its relentless attacks.</em>,0.04,0.24,0.99,0.09,0.22,1st Edition,SBAD-EN022,Common,WATER,Aqua,Normal Monster,1650,1300
190907,The Legendary Fisherman,The Legendary Fisherman,https://tcgplayer-cdn.tcgplayer.com/product/190907_200w.jpg,2,2425,https://cpt.tcgcsv.com/9nx2,2019-05-31T17:14:23.293,1,"While ""Umi"" is on the field, this card is unaffected by Spell effects and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly.",0.03,0.2,1.34,0.08,,1st Edition,SBAD-EN023,Common,WATER,Warrior,Effect Monster,1850,1600
190908,Yomi Ship,Yomi Ship,https://tcgplayer-cdn.tcgplayer.com/product/190908_200w.jpg,2,2425,https://cpt.tcgcsv.com/bnx2,2019-05-31T17:14:34.727,1,If this card is destroyed by battle and sent to the GY: Destroy the monster that destroyed this card.,0.19,0.6,3.5,0.56,,1st Edition,SBAD-EN024,Super Rare,WATER,Aqua,Effect Monster,800,1400
190909,Levia-Dragon - Daedalus,Levia Dragon Daedalus,https://tcgplayer-cdn.tcgplayer.com/product/190909_200w.jpg,2,2425,https://cpt.tcgcsv.com/cnx2,2019-05-31T17:14:45.897,1,"You can send 1 face-up ""Umi"" you control to the GY; destroy all other cards on the field.",0.9,2.47,7.94,1.8,2.95,1st Edition,SBAD-EN025,Ultra Rare,WATER,Sea Serpent,Effect Monster,2600,1500
190910,Lost Blue Breaker,Lost Blue Breaker,https://tcgplayer-cdn.tcgplayer.com/product/190910_200w.jpg,2,2425,https://cpt.tcgcsv.com/dnx2,2019-05-31T17:14:54.79,1,"If there is another face-up Fish, Sea Serpent, or Aqua monster on the field: You can Tribute this card, then target 1 Spell/Trap on the field; destroy that target.",0.04,0.24,1.53,0.22,,1st Edition,SBAD-EN026,Common,WATER,Sea Serpent,Effect Monster,1400,0
190911,Fishborg Planter,Fishborg Planter,https://tcgplayer-cdn.tcgplayer.com/product/190911_200w.jpg,2,2425,https://cpt.tcgcsv.com/fnx2,2019-05-31T17:15:08.38,1,"Once, while this card is in the GY: You can send the top card of your Deck to the GY, then, if it is a WATER monster, Special Summon this card from the GY. You can only use this effect of ""Fishborg Planter"" once per turn.",0.05,0.24,1.0,0.15,,1st Edition,SBAD-EN027,Common,WATER,Fish,Effect Monster,200,200
190912,Imairuka,Imairuka,https://tcgplayer-cdn.tcgplayer.com/product/190912_200w.jpg,2,2425,https://cpt.tcgcsv.com/gnx2,2019-05-31T17:15:24.997,1,"If this card you control is destroyed by your opponent's card and sent to your GY: Send the top card of your Deck to the GY, then, if it is a WATER monster, draw 1 card.",0.05,0.22,0.99,0.17,,1st Edition,SBAD-EN028,Common,WATER,Sea Serpent,Effect Monster,1000,1000
190913,Slushy,Slushy,https://tcgplayer-cdn.tcgplayer.com/product/190913_200w.jpg,2,2425,https://cpt.tcgcsv.com/hnx2,2019-05-31T17:15:36.767,1,"When this card is Normal Summoned: You can send 1 ""Slushy"" from your Deck to the GY. If you have 3 copies of ""Slushy"" total, either banished and/or in your GY (combined): You can banish this card from your GY, then target 1 Level 5 or higher Sea Serpent monster in your GY; Special Summon that target. You can only use this effect of ""Slushy"" once per turn.",0.04,0.25,1.0,0.2,,1st Edition,SBAD-EN029,Common,WATER,Aqua,Effect Monster,0,0
190914,Power of Kaishin,Power of Kaishin,https://tcgplayer-cdn.tcgplayer.com/product/190914_200w.jpg,2,2425,https://cpt.tcgcsv.com/jnx2,2019-05-31T17:16:50.823,1,Equip only to an Aqua monster. It gains 300 ATK/DEF.,0.03,0.24,0.94,0.11,,1st Edition,SBAD-EN030,Common,SPELL,,Equip Spell,,
190915,Umi,Umi,https://tcgplayer-cdn.tcgplayer.com/product/190915_200w.jpg,2,2425,https://cpt.tcgcsv.com/knx2,2019-05-31T17:18:32.53,1,"All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF, also all Machine and Pyro monsters on the field lose 200 ATK/DEF.",0.08,0.27,1.5,0.26,0.28,1st Edition,SBAD-EN031,Common,SPELL,,Field Spell,,
190916,Big Wave Small Wave,Big Wave Small Wave,https://tcgplayer-cdn.tcgplayer.com/product/190916_200w.jpg,2,2425,https://cpt.tcgcsv.com/lnx2,2019-05-31T17:18:43.147,1,"Destroy all face-up WATER monsters you control, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",0.07,0.24,1.23,0.14,,1st Edition,SBAD-EN032,Common,SPELL,,Normal Spell,,
190917,Water Hazard,Water Hazard,https://tcgplayer-cdn.tcgplayer.com/product/190917_200w.jpg,2,2425,https://cpt.tcgcsv.com/mnx2,2019-05-31T17:18:53.113,1,Once per turn: You can Special Summon 1 Level 4 or lower WATER monster from your hand. You must control no monsters to activate and to resolve this effect.,0.07,0.2,0.94,0.13,,1st Edition,SBAD-EN033,Common,SPELL,,Continuous Spell,,
190918,Moray of Greed,Moray of Greed,https://tcgplayer-cdn.tcgplayer.com/product/190918_200w.jpg,2,2425,https://cpt.tcgcsv.com/nnx2,2019-05-31T17:19:03.263,1,"Shuffle 2 WATER monsters from your hand into the Deck, then draw 3 cards.",0.99,1.11,2.5,1.18,,1st Edition,SBAD-EN034,Common,SPELL,,Normal Spell,,
190919,Warrior Dai Grepher,Warrior Dai Grepher,https://tcgplayer-cdn.tcgplayer.com/product/190919_200w.jpg,2,2425,https://cpt.tcgcsv.com/pnx2,2019-05-31T17:19:20.813,1,<em>The warrior who can manipulate dragons. Nobody knows his mysterious past.</em>,0.01,0.25,1.0,0.16,,1st Edition,SBAD-EN035,Common,EARTH,Warrior,Normal Monster,1700,1600
190920,Sonic Duck,Sonic Duck,https://tcgplayer-cdn.tcgplayer.com/product/190920_200w.jpg,2,2425,https://cpt.tcgcsv.com/qnx2,2019-05-31T17:20:12.06,1,"<em>A duck which can walk at a sonic speed. Sometimes, he cannot deal with his incredible pace and loses control.</em>",0.05,0.23,1.41,0.18,,1st Edition,SBAD-EN036,Common,WIND,Winged Beast,Normal Monster,1700,700
190921,Sinister Serpent,Sinister Serpent,https://tcgplayer-cdn.tcgplayer.com/product/190921_200w.jpg,2,2425,https://cpt.tcgcsv.com/rnx2,2019-05-31T17:20:12.01,1,"During your Standby Phase, if this card is in your GY: You can add it to your hand, also banish 1 ""Sinister Serpent"" from your GY during your opponent's next End Phase. You can only use this effect of ""Sinister Serpent"" once per turn.",0.4,0.88,2.98,0.73,,1st Edition,SBAD-EN037,Common,WATER,Reptile,Effect Monster,300,250
