productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
220429,Speed Duel: Battle City Box,Speed Duel Battle City Box,https://tcgplayer-cdn.tcgplayer.com/product/220429_200w.jpg,2,2700,https://cpt.tcgcsv.com/CbN2,2022-04-01T16:19:56.397,1,"Each <em>Speed Duel: Battle City Box</em> contains:
<br>• 200 Commons
<br>• 20 Skill Cards
<br>• 8 (of 24) Secret Rares
<br>• 4 2-Player Deluxe Game Mats",083717851431,99.98,99.99,115.0,80.23,,Normal,,,,,,,
227884,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/227884_200w.jpg,2,2700,https://cpt.tcgcsv.com/J9R2,2020-12-11T05:03:12.303,1,<em>The ultimate wizard in terms of attack and defense.</em>,,0.29,0.5,3.0,0.36,,1st Edition,SBCB-EN001,Common,DARK,Spellcaster,Normal Monster,2500,2100
227885,Dark Magician (Secret),Dark Magician Secret,https://tcgplayer-cdn.tcgplayer.com/product/227885_200w.jpg,2,2700,https://cpt.tcgcsv.com/K9R2,2024-05-12T09:23:23.977,1,<em>The ultimate wizard in terms of attack and defense.</em>,,2.0,3.19,17.76,2.28,7.79,1st Edition,SBCB-EN001,Secret Rare,DARK,Spellcaster,Normal Monster,2500,2100
227886,Aqua Madoor,Aqua Madoor,https://tcgplayer-cdn.tcgplayer.com/product/227886_200w.jpg,2,2700,https://cpt.tcgcsv.com/L9R2,2020-12-11T05:03:12.303,1,<em>A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.</em>,,0.1,0.25,1.49,0.14,,1st Edition,SBCB-EN002,Common,WATER,Spellcaster,Normal Monster,1200,2000
227887,Buster Blader,Buster Blader,https://tcgplayer-cdn.tcgplayer.com/product/227887_200w.jpg,2,2700,https://cpt.tcgcsv.com/M9R2,2020-12-11T05:03:12.303,1,Gains 500 ATK for each Dragon monster your opponent controls or is in their GY.,,0.12,0.39,1.49,0.21,0.5,1st Edition,SBCB-EN003,Common,EARTH,Warrior,Effect Monster,2600,2300
227888,Buster Blader (Secret),Buster Blader Secret,https://tcgplayer-cdn.tcgplayer.com/product/227888_200w.jpg,2,2700,https://cpt.tcgcsv.com/N9R2,2020-12-11T05:03:12.303,1,Gains 500 ATK for each Dragon monster your opponent controls or is in their GY.,,6.0,7.28,38.85,6.88,16.95,1st Edition,SBCB-EN003,Secret Rare,EARTH,Warrior,Effect Monster,2600,2300
227890,Archfiend of Gilfer,Archfiend of Gilfer,https://tcgplayer-cdn.tcgplayer.com/product/227890_200w.jpg,2,2700,https://cpt.tcgcsv.com/Q9R2,2020-12-11T05:03:12.303,1,When this card is sent to the GY: You can target 1 face-up monster on the field; equip that target with this card. That monster loses 500 ATK while equipped with this card.,,0.07,0.25,1.49,0.17,,1st Edition,SBCB-EN004,Common,DARK,Fiend,Effect Monster,2200,2500
227891,Swift Gaia the Fierce Knight,Swift Gaia the Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/227891_200w.jpg,2,2700,https://cpt.tcgcsv.com/R9R2,2022-03-26T12:51:49.563,1,"If this is the only card in your hand, you can Normal Summon it without Tributing.",,0.24,0.59,1.9,0.42,,1st Edition,SBCB-EN005,Common,DARK,Warrior,Effect Monster,2300,2100
227892,Swift Gaia the Fierce Knight (Secret),Swift Gaia the Fierce Knight Secret,https://tcgplayer-cdn.tcgplayer.com/product/227892_200w.jpg,2,2700,https://cpt.tcgcsv.com/S9R2,2020-12-11T05:03:12.303,1,"If this is the only card in your hand, you can Normal Summon it without Tributing.",,1.95,2.59,5.0,1.98,,1st Edition,SBCB-EN005,Secret Rare,DARK,Warrior,Effect Monster,2300,2100
227894,Kycoo the Ghost Destroyer,Kycoo the Ghost Destroyer,https://tcgplayer-cdn.tcgplayer.com/product/227894_200w.jpg,2,2700,https://cpt.tcgcsv.com/V9R2,2025-01-29T06:53:55.657,1,When this card inflicts battle damage to your opponent: You can target up to 2 monsters in their GY; banish those targets. Your opponent cannot banish cards from either GY.,,1.75,2.34,10.12,2.31,2.66,1st Edition,SBCB-EN006,Common,DARK,Spellcaster,Effect Monster,1800,700
227895,Skilled White Magician,Skilled White Magician,https://tcgplayer-cdn.tcgplayer.com/product/227895_200w.jpg,2,2700,https://cpt.tcgcsv.com/W9R2,2020-12-11T05:03:12.303,1,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves (max. 3). You can Tribute this card with 3 Spell Counters on it; Special Summon 1 ""Buster Blader"" from your hand, Deck, or GY.",,0.13,0.25,1.11,0.23,,1st Edition,SBCB-EN007,Common,LIGHT,Spellcaster,Effect Monster,1700,1900
