productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extAttribute,extMonsterType,extAttack,extDefense
180837,Destiny Masters Speed Duel Deck,Destiny Masters Speed Duel Deck,https://tcgplayer-cdn.tcgplayer.com/product/180837_200w.jpg,2,2372,https://cpt.tcgcsv.com/Mls2,2021-04-08T15:23:54.407,1,"Destiny Masters Speed Duel Deck contains:
<br>• 1 20-Card Yami Yugi Deck
<br>• 1 20-Card Ishizu Ishtar Deck
<br>• 1 20-Card Maximillion Pegasus Deck
<br>• 9 Skill Cards <em>(3 for Yugi, 3 for Ishizu and 3 for Pegasus)</em>
<br>• 3 Ultra Rare variant cards",49.99,53.9,63.69,53.69,,Normal,,,,,,,
183705,Power of Dark,Power of Dark,https://tcgplayer-cdn.tcgplayer.com/product/183705_200w.jpg,2,2372,https://cpt.tcgcsv.com/7vt2,2019-01-28T15:56:19.353,1,"All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.",0.09,0.22,1.53,0.15,,1st Edition,SS01-ENAS1,Common,Yami Yugi/Skill,,,,
183706,Destiny Draw,Destiny Draw,https://tcgplayer-cdn.tcgplayer.com/product/183706_200w.jpg,2,2372,https://cpt.tcgcsv.com/8vt2,2019-01-28T15:56:25.953,1,"If you lose 2000 or more LP, you can activate this Skill during your next Draw Phase.
<br>During your Draw Phase, you may search your Deck for any card, reveal it to your opponent, and add it to your hand instead of drawing. If you do that, flip this card over.",0.3,0.5,1.98,0.85,,1st Edition,SS01-ENAS2,Common,Yami Yugi/Skill,,,,
183707,Final Draw,Final Draw,https://tcgplayer-cdn.tcgplayer.com/product/183707_200w.jpg,2,2372,https://cpt.tcgcsv.com/9vt2,2019-01-28T15:57:04.757,1,"Activate this Skill during your Main Phase.
<br>Once per turn, during your turn, you may place a counter on this Skill. If it has 3 or more counters when you would draw a card, you may search your Deck for any card and add it to your hand instead. At the end of the turn you use this Skill, you lose the Duel.",0.11,0.29,1.97,0.19,,1st Edition,SS01-ENAS3,Common,Yami Yugi/Skill,,,,
183708,Prescience,Prescience,https://tcgplayer-cdn.tcgplayer.com/product/183708_200w.jpg,2,2372,https://cpt.tcgcsv.com/bvt2,2019-01-28T16:06:15.753,1,"If your opponent's LP is more than twice your LP, activate this Skill.
<br>You may look at the top card of both your and your opponent's Deck at any time.",0.1,0.25,1.41,0.25,,1st Edition,SS01-ENBS1,Common,Ishizu/Skill,,,,
183709,Gravekeeper's Lot,Gravekeepers Lot,https://tcgplayer-cdn.tcgplayer.com/product/183709_200w.jpg,2,2372,https://cpt.tcgcsv.com/cvt2,2019-01-28T16:27:26.86,1,"If you lose 1800 or more LP, you can activate this Skill during your next Draw Phase.
<br>During your Draw Phase, you may search your Deck for a ""Gravekeeper's"" card, reveal it to your opponent, and add it to your hand instead of drawing. If you do that, flip this card over.",0.11,0.27,1.42,0.23,,1st Edition,SS01-ENBS2,Common,Ishizu/Skill,,,,
183710,Millennium Necklace,Millennium Necklace,https://tcgplayer-cdn.tcgplayer.com/product/183710_200w.jpg,2,2372,https://cpt.tcgcsv.com/dvt2,2019-01-28T16:10:02.64,1,"At the start of the opponent's turn, before they draw, you may look at the top 3 cards of their Deck and rearrange them in any order.
<br>This Skill can only be used once per Duel.",0.1,0.29,1.49,0.25,,1st Edition,SS01-ENBS3,Common,Ishizu/Skill,,,,
183711,It's a Toon World!,Its a Toon World,https://tcgplayer-cdn.tcgplayer.com/product/183711_200w.jpg,2,2372,https://cpt.tcgcsv.com/fvt2,2019-01-28T16:15:49.503,1,"This card is treated as ""Toon World"".",0.34,0.48,1.98,0.4,,1st Edition,SS01-ENCS1,Common,Pegasus/Skill,,,,
183712,Mind Scan,Mind Scan,https://tcgplayer-cdn.tcgplayer.com/product/183712_200w.jpg,2,2372,https://cpt.tcgcsv.com/gvt2,2019-01-28T16:16:10.313,1,"At the start of the 3rd turn, if your LP is 3000 or higher, activate this Skill (count both players' turns).
<br>You may look at your opponent's Set Spell & Trap Cards at anytime. If your LP drops below 3000, flip this card over.",0.09,0.38,1.49,0.24,,1st Edition,SS01-ENCS2,Common,Pegasus/Skill,,,,
183713,Millennium Eye,Millennium Eye,https://tcgplayer-cdn.tcgplayer.com/product/183713_200w.jpg,2,2372,https://cpt.tcgcsv.com/hvt2,2019-01-28T16:16:15.203,1,"At the start of the Duel, look at your opponent's opening hand. You may choose to have that player shuffle their hand into their Deck and draw a new hand. (If both players use a Skill at the same time, the Turn player resolves their Skill first.)",0.17,0.27,1.98,0.27,,1st Edition,SS01-ENCS3,Common,Pegasus/Skill,,,,
183714,Shard of Greed,Shard of Greed,https://tcgplayer-cdn.tcgplayer.com/product/183714_200w.jpg,2,2372,https://cpt.tcgcsv.com/jvt2,2019-01-28T16:18:08.68,1,"Each time you draw a card(s) for your normal draw in your Draw Phase, place 1 Greed Counter on this card. You can send this card with 2 or more Greed Counters to the Graveyard; draw 2 cards.",0.15,0.75,7.99,0.61,,1st Edition,SS01-ENV01,Ultra Rare,Continuous Spell,SPELL,,,
183715,The Golden Apples,The Golden Apples,https://tcgplayer-cdn.tcgplayer.com/product/183715_200w.jpg,2,2372,https://cpt.tcgcsv.com/kvt2,2019-01-28T16:18:11.86,1,"When you take battle damage while you control no monsters: Gain LP equal to the battle damage you took, and if you do, Special Summon 1 ""Malus Token"" (Fiend/DARK/Level 1/ATK ?/DEF ?). Its ATK/DEF are each equal to the amount of LP you gained by this effect.",0.22,0.5,2.29,0.44,,1st Edition,SS01-ENV02,Ultra Rare,Normal Trap,TRAP,,,
183716,Mimicat,Mimicat,https://tcgplayer-cdn.tcgplayer.com/product/183716_200w.jpg,2,2372,https://cpt.tcgcsv.com/lvt2,2019-01-28T16:18:20.153,1,"If you control ""Toon World"" and a Toon monster: Target 1 card in your opponent's GY; if it is a monster, Special Summon it to your field, or if it is a Spell/Trap, Set it to your field. You can only activate 1 ""Mimicat"" per turn.",1.0,2.27,11.41,1.6,,1st Edition,SS01-ENV03,Ultra Rare,Normal Spell,SPELL,,,
183717,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/183717_200w.jpg,2,2372,https://cpt.tcgcsv.com/mvt2,2019-01-28T15:51:56.02,1,<em>The ultimate wizard in terms of attack and defense.</em>,0.23,0.74,1.98,0.4,,1st Edition,SS01-ENA01,Common,Normal Monster,DARK,Spellcaster,2500,2100
183718,Feral Imp,Feral Imp,https://tcgplayer-cdn.tcgplayer.com/product/183718_200w.jpg,2,2372,https://cpt.tcgcsv.com/nvt2,2019-01-28T15:52:07.503,1,"<em>A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.</em>",0.01,0.23,1.49,0.12,,1st Edition,SS01-ENA02,Common,Normal Monster,DARK,Fiend,1300,1400
183719,Rogue Doll (A),Rogue Doll A,https://tcgplayer-cdn.tcgplayer.com/product/183719_200w.jpg,2,2372,https://cpt.tcgcsv.com/pvt2,2022-10-27T21:23:37.26,1,"<em>A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.</em>",0.04,0.25,1.53,0.25,,1st Edition,SS01-ENA03,Common,Normal Monster,LIGHT,Spellcaster,1600,1000
183720,Dark Magician Girl,Dark Magician Girl,https://tcgplayer-cdn.tcgplayer.com/product/183720_200w.jpg,2,2372,https://cpt.tcgcsv.com/qvt2,2019-01-28T15:52:38.607,1,"Gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in the GY.",0.3,0.87,3.99,0.39,,1st Edition,SS01-ENA04,Common,Effect Monster,DARK,Spellcaster,2000,1700
183721,Legion the Fiend Jester,Legion the Fiend Jester,https://tcgplayer-cdn.tcgplayer.com/product/183721_200w.jpg,2,2372,https://cpt.tcgcsv.com/rvt2,2019-01-28T15:53:02.35,1,"During your Main Phase, you can Tribute Summon 1 Spellcaster-Type monster in face-up Attack Position, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If this card is sent from the field to the Graveyard: You can add 1 Spellcaster-Type Normal Monster from your Deck or GY to your hand. You can only use this effect of ""Legion the Fiend Jester"" once per turn.",0.11,0.4,1.98,0.18,,1st Edition,SS01-ENA05,Common,Effect Monster,DARK,Spellcaster,1300,1500
183722,The Stern Mystic,The Stern Mystic,https://tcgplayer-cdn.tcgplayer.com/product/183722_200w.jpg,2,2372,https://cpt.tcgcsv.com/svt2,2019-01-28T15:53:31.007,1,"FLIP: All face-down cards on the field are turned face-up, and then returned to their original positions. No card effects are activated when cards are turned face-up.",0.05,0.25,1.53,0.2,,1st Edition,SS01-ENA06,Common,Flip/Effect Monster,LIGHT,Spellcaster,1500,1200
183723,Double Coston,Double Coston,https://tcgplayer-cdn.tcgplayer.com/product/183723_200w.jpg,2,2372,https://cpt.tcgcsv.com/tvt2,2019-01-28T15:53:48.423,1,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,0.18,0.38,1.98,0.29,,1st Edition,SS01-ENA07,Common,Effect Monster,DARK,Zombie,1700,1650
183724,Blue Dragon Summoner,Blue Dragon Summoner,https://tcgplayer-cdn.tcgplayer.com/product/183724_200w.jpg,2,2372,https://cpt.tcgcsv.com/vvt2,2019-01-28T15:53:56.43,1,"If this card is sent from the field to the GY: You can add 1 Dragon, Warrior, or Spellcaster-Type Normal Monster from your Deck to your hand.",0.53,1.06,4.42,1.08,,1st Edition,SS01-ENA08,Common,Effect Monster,WIND,Spellcaster,1500,600
183725,Thousand Knives,Thousand Knives,https://tcgplayer-cdn.tcgplayer.com/product/183725_200w.jpg,2,2372,https://cpt.tcgcsv.com/wvt2,2019-01-28T15:54:04.413,1,"If you control ""Dark Magician"": Target 1 monster your opponent controls; destroy that target.",0.1,0.44,2.38,0.26,,1st Edition,SS01-ENA09,Common,Normal Spell,SPELL,,,
183726,Sage's Stone,Sages Stone,https://tcgplayer-cdn.tcgplayer.com/product/183726_200w.jpg,2,2372,https://cpt.tcgcsv.com/xvt2,2023-12-24T23:01:03.98,1,"If you control a face-up ""Dark Magician Girl"": Special Summon 1 ""Dark Magician"" from your hand or Deck.",2.99,3.99,9.99,3.62,3.8,1st Edition,SS01-ENA10,Common,Normal Spell,SPELL,,,
183727,Dark Magic Attack,Dark Magic Attack,https://tcgplayer-cdn.tcgplayer.com/product/183727_200w.jpg,2,2372,https://cpt.tcgcsv.com/zvt2,2019-01-28T15:54:20.623,1,"If you control ""Dark Magician"": Destroy all Spells and Traps your opponent controls.",0.17,0.5,4.99,0.23,,1st Edition,SS01-ENA11,Common,Normal Spell,SPELL,,,
183728,Riryoku,Riryoku,https://tcgplayer-cdn.tcgplayer.com/product/183728_200w.jpg,2,2372,https://cpt.tcgcsv.com/Bvt2,2019-01-28T15:54:33.907,1,"Target 2 face-up monsters on the field; halve the ATK of 1 monster, and if you do, add that ATK to the other monster. These effects last until the End Phase .",0.1,0.25,1.49,0.15,,1st Edition,SS01-ENA12,Common,Normal Spell,SPELL,,,
