productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
210860,Speed Duel: Match of the Millennium Starter Deck [1st Edition],Speed Duel Match of the Millennium Starter Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/210860_200w.jpg,2,2637,https://cpt.tcgcsv.com/dmJ2,2020-06-01T16:05:43.99,1,"Each Yu-Gi-Oh! TCG Speed Duel: Match of the Millennium Starter Deck contains:
<br>• 1 x 31-Card Yugi Deck
<br>• 1 x 31-Card Pegasus Deck
<br>• 4 Skill Cards (2 for Yugi and 2 for Pegasus)
<br>• 2 Ultra Rare variant cards",083717847731,59.99,64.98,66.99,64.98,,Normal,,,,,,,
210862,Speed Duel Decks: Match of the Millennium & Twisted Nightmares Display Box [1st Edition],Speed Duel Decks Match of the Millennium and Twisted Nightmares Display Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/210862_200w.jpg,2,2637,https://cpt.tcgcsv.com/gmJ2,2020-06-01T16:44:44.053,1,"Each Display Box includes 4 Match of the Millennium and 4 Twisted Nightmares decks for a total of 8 decks, each with 66-68 cards.",083717847748,359.99,359.99,359.99,,,Normal,,,,,,,
213948,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/213948_200w.jpg,2,2637,https://cpt.tcgcsv.com/-BK2,2020-05-27T14:24:39.283,1,<em>The ultimate wizard in terms of attack and defense.</em>,,0.23,0.5,1.41,0.3,,1st Edition,SS04-ENA01,Common,DARK,Spellcaster,Normal Monster,2500,2100
213950,Gaia The Fierce Knight,Gaia The Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/213950_200w.jpg,2,2637,https://cpt.tcgcsv.com/0CK2,2020-05-27T14:42:45.52,1,<em>A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.</em>,,0.62,1.26,4.99,1.12,,1st Edition,SS04-ENA02,Common,EARTH,Warrior,Normal Monster,2300,2100
213953,Curse of Dragon,Curse of Dragon,https://tcgplayer-cdn.tcgplayer.com/product/213953_200w.jpg,2,2637,https://cpt.tcgcsv.com/5CK2,2020-05-27T14:24:15.94,1,<em>A wicked dragon that taps into dark forces to execute a powerful attack.</em>,,0.38,0.84,2.29,0.9,0.85,1st Edition,SS04-ENA03,Common,DARK,Dragon,Normal Monster,2000,1500
213955,"Winged Dragon, Guardian of the Fortress #1",Winged Dragon Guardian of the Fortress 1,https://tcgplayer-cdn.tcgplayer.com/product/213955_200w.jpg,2,2637,https://cpt.tcgcsv.com/7CK2,2020-05-28T14:15:32.74,1,<em>A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue.</em>,,0.19,0.62,4.45,0.41,,1st Edition,SS04-ENA04,Common,WIND,Dragon,Normal Monster,1400,1200
213957,Beaver Warrior,Beaver Warrior,https://tcgplayer-cdn.tcgplayer.com/product/213957_200w.jpg,2,2637,https://cpt.tcgcsv.com/9CK2,2020-05-27T14:09:13.003,1,<em>What this creature lacks in size it makes up for in defense when battling in the prairie.</em>,,0.1,0.26,1.49,0.26,,1st Edition,SS04-ENA05,Common,EARTH,Beast-Warrior,Normal Monster,1200,1500
213959,Celtic Guardian,Celtic Guardian,https://tcgplayer-cdn.tcgplayer.com/product/213959_200w.jpg,2,2637,https://cpt.tcgcsv.com/cCK2,2020-05-27T14:22:22.477,1,"<em>An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.</em>",,0.24,0.39,1.49,0.31,0.67,1st Edition,SS04-ENA06,Common,EARTH,Warrior,Normal Monster,1400,1200
213961,Silver Fang,Silver Fang,https://tcgplayer-cdn.tcgplayer.com/product/213961_200w.jpg,2,2637,https://cpt.tcgcsv.com/fCK2,2020-05-28T14:19:02.12,1,"<em>A snow wolf that's beautiful to the eye, but absolutely vicious in battle.</em>",,0.18,0.28,1.0,0.21,0.25,1st Edition,SS04-ENA07,Common,EARTH,Beast,Normal Monster,1200,800
213962,Giant Soldier of Stone,Giant Soldier of Stone,https://tcgplayer-cdn.tcgplayer.com/product/213962_200w.jpg,2,2637,https://cpt.tcgcsv.com/gCK2,2020-05-28T14:17:59.49,1,"<em>A giant warrior made of stone. A punch from this creature has earth-shaking results.

</em>",,0.1,0.25,1.0,0.15,,1st Edition,SS04-ENA08,Common,EARTH,Rock,Normal Monster,1300,2000
