productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
210861,Speed Duel: Twisted Nightmares Starter Deck [1st Edition],Speed Duel Twisted Nightmares Starter Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/210861_200w.jpg,2,2638,https://cpt.tcgcsv.com/fmJ2,2020-06-01T16:05:37.28,1,"Each Yu-Gi-Oh! TCG Speed Duel: Twisted Nightmares Starter Deck contains:
<br>• 1 x 30-Card Bakura Deck
<br>• 1 x 30-Card Marik Deck
<br>• 4 Skill Cards (2 for Bakura and 2 for Marik)
<br>• 2 Ultra Rare variant cards",083717848066,38.36,52.95,64.0,55.29,,Normal,,,,,,,
213943,Dark Necrofear,Dark Necrofear,https://tcgplayer-cdn.tcgplayer.com/product/213943_200w.jpg,2,2638,https://cpt.tcgcsv.com/TBK2,2020-05-28T14:50:21.197,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 3 Fiend monsters from your GY. During the End Phase, if this card is in your GY because it was destroyed in your Monster Zone by an opponent's card and sent there this turn: Target 1 face-up monster your opponent controls; equip this card to that target. While this card is equipped to a monster by this effect, take control of that monster.",,0.1,0.26,1.49,0.14,,1st Edition,SS05-ENA01,Common,DARK,Fiend,Effect Monster,2200,2800
213944,Neck Hunter,Neck Hunter,https://tcgplayer-cdn.tcgplayer.com/product/213944_200w.jpg,2,2638,https://cpt.tcgcsv.com/VBK2,2020-05-28T17:31:22.943,1,<em>A fiend that wields a mean sickle and fires devastating beams from its eyes.</em>,,0.25,0.52,1.25,0.42,,1st Edition,SS05-ENA02,Common,DARK,Fiend,Normal Monster,1750,1900
213945,The Earl of Demise,The Earl of Demise,https://tcgplayer-cdn.tcgplayer.com/product/213945_200w.jpg,2,2638,https://cpt.tcgcsv.com/WBK2,2020-05-28T17:36:40.797,1,"<em>This gentlemanly creature is extremely wicked, feared by man and fiend alike.</em>",,0.1,0.3,1.49,0.25,,1st Edition,SS05-ENA03,Common,DARK,Fiend,Normal Monster,2000,700
213946,That Which Feeds on Life,That Which Feeds on Life,https://tcgplayer-cdn.tcgplayer.com/product/213946_200w.jpg,2,2638,https://cpt.tcgcsv.com/XBK2,2020-05-28T17:36:17.097,1,<em>A monster that feeds on the energy of other creatures.</em>,,0.25,0.4,1.05,0.39,,1st Edition,SS05-ENA04,Common,DARK,Fiend,Normal Monster,1200,1000
213947,Whiptail Crow,Whiptail Crow,https://tcgplayer-cdn.tcgplayer.com/product/213947_200w.jpg,2,2638,https://cpt.tcgcsv.com/ZBK2,2020-05-28T17:39:16.383,1,<em>Attacks from the skies with a whip-like tail.</em>,,0.07,0.2,1.49,0.18,,1st Edition,SS05-ENA05,Common,DARK,Fiend,Normal Monster,1650,1600
213949,The Gross Ghost of Fled Dreams,The Gross Ghost of Fled Dreams,https://tcgplayer-cdn.tcgplayer.com/product/213949_200w.jpg,2,2638,https://cpt.tcgcsv.com/_BK2,2020-05-28T17:37:20.867,1,"<em>This monster feeds on the dreams of an unwary sleeper, dragging the victim into eternal slumber.</em>",,0.11,0.25,1.49,0.2,,1st Edition,SS05-ENA06,Common,DARK,Fiend,Normal Monster,1300,1800
213951,Headless Knight,Headless Knight,https://tcgplayer-cdn.tcgplayer.com/product/213951_200w.jpg,2,2638,https://cpt.tcgcsv.com/2CK2,2020-05-28T17:24:22.297,1,<em>A haunted spirit of a falsely accused knight who wanders in search of truth and justice.</em>,,0.17,0.25,1.49,0.26,,1st Edition,SS05-ENA07,Common,EARTH,Fiend,Normal Monster,1450,1700
213952,Earthbound Spirit,Earthbound Spirit,https://tcgplayer-cdn.tcgplayer.com/product/213952_200w.jpg,2,2638,https://cpt.tcgcsv.com/3CK2,2020-05-28T17:24:18.587,1,"<em>A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.</em>",,0.25,0.45,1.49,0.41,,1st Edition,SS05-ENA08,Common,EARTH,Fiend,Normal Monster,500,2000
213954,The Shadow Who Controls the Dark,The Shadow Who Controls the Dark,https://tcgplayer-cdn.tcgplayer.com/product/213954_200w.jpg,2,2638,https://cpt.tcgcsv.com/6CK2,2020-05-28T17:37:22.587,1,"<em>A shadow that dwells in the dark, paralyzing its opponents and rendering them harmless.</em>",,0.27,0.51,1.02,0.51,,1st Edition,SS05-ENA09,Common,DARK,Fiend,Normal Monster,800,700
213956,Gaap the Divine Soldier,Gaap the Divine Soldier,https://tcgplayer-cdn.tcgplayer.com/product/213956_200w.jpg,2,2638,https://cpt.tcgcsv.com/8CK2,2020-05-28T17:24:19.947,1,"All monsters are changed to face-up Attack Position, also their battle positions cannot be changed. (Flip Effects are not activated.) Once per turn: You can reveal any number of Fiend-Type monsters in your hand; this card gains 300 ATK for each, until the End Phase.",,0.15,0.39,1.49,0.42,,1st Edition,SS05-ENA10,Common,DARK,Fiend,Effect Monster,2200,2000
213958,Dark Ruler Ha Des,Dark Ruler Ha Des,https://tcgplayer-cdn.tcgplayer.com/product/213958_200w.jpg,2,2638,https://cpt.tcgcsv.com/bCK2,2020-05-28T17:22:57.62,1,Cannot be Special Summoned from the GY. Negate the effects of monsters destroyed by battle with Fiend monsters you control.,,0.23,0.49,2.17,0.24,,1st Edition,SS05-ENA11,Common,DARK,Fiend,Effect Monster,2450,1600
213960,Puppet Master,Puppet Master,https://tcgplayer-cdn.tcgplayer.com/product/213960_200w.jpg,2,2638,https://cpt.tcgcsv.com/dCK2,2020-05-28T17:34:31.173,1,"When this card is Tribute Summoned: You can pay 2000 Life Points to target 2 Fiend monsters in your GY; Special Summon those targets, but they cannot attack this turn.",,0.11,0.22,1.49,0.14,,1st Edition,SS05-ENA12,Common,DARK,Fiend,Effect Monster,0,0
213963,Lesser Fiend,Lesser Fiend,https://tcgplayer-cdn.tcgplayer.com/product/213963_200w.jpg,2,2638,https://cpt.tcgcsv.com/hCK2,2020-05-28T17:28:17.297,1,"(This card is always treated as an ""Archfiend"" card.)
<br>Banish any monster destroyed by battle with this card.",,0.15,0.25,0.99,0.23,,1st Edition,SS05-ENA13,Common,DARK,Fiend,Effect Monster,2100,1000
213965,Twin-Headed Wolf,Twin Headed Wolf,https://tcgplayer-cdn.tcgplayer.com/product/213965_200w.jpg,2,2638,https://cpt.tcgcsv.com/kCK2,2020-10-05T20:51:46.257,1,"When there is another face-up Fiend-Type monster on your side of the field, negate the effect of Flip Effect Monsters destroyed by this card as a result of battle.",,0.07,0.25,2.74,0.19,,1st Edition,SS05-ENA14,Common,DARK,Fiend,Effect Monster,1500,1000
213967,"Prometheus, King of the Shadows",Prometheus King of the Shadows,https://tcgplayer-cdn.tcgplayer.com/product/213967_200w.jpg,2,2638,https://cpt.tcgcsv.com/mCK2,2020-10-05T20:51:20.103,1,"If this card is Normal Summoned: Banish 1 or more DARK monsters from your GY, and if you do, this card gains 400 ATK for each, until the end of this turn.",,0.1,0.23,1.49,0.17,,1st Edition,SS05-ENA15,Common,DARK,Fiend,Effect Monster,1200,800
213969,Lancer Archfiend,Lancer Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/213969_200w.jpg,2,2638,https://cpt.tcgcsv.com/pCK2,2020-05-28T17:27:43.553,1,"Once per turn, when a monster you control declares an attack targeting a Defense Position monster your opponent controls, you can activate this effect. If you do, during this battle, if the ATK of the attacking monster is greater than the DEF of the Defense Position monster it battles, inflict the difference as Battle Damage to your opponent.",,0.15,0.32,1.49,0.32,,1st Edition,SS05-ENA16,Common,DARK,Fiend,Effect Monster,1600,1400
213973,Dark Mimic LV3,Dark Mimic LV3,https://tcgplayer-cdn.tcgplayer.com/product/213973_200w.jpg,2,2638,https://cpt.tcgcsv.com/tCK2,2020-05-28T14:49:06.25,1,"If this card is destroyed by battle and sent to the GY: Draw 1 card, but if this card was Special Summoned by the effect of ""Dark Mimic LV1"", draw 2 cards instead.",,0.29,0.45,1.1,0.45,,1st Edition,SS05-ENA17,Common,DARK,Fiend,Effect Monster,1000,1000
213975,Dark Mimic LV1,Dark Mimic LV1,https://tcgplayer-cdn.tcgplayer.com/product/213975_200w.jpg,2,2638,https://cpt.tcgcsv.com/wCK2,2020-05-28T14:48:00.32,1,"FLIP: Draw 1 card.
<br>During your Standby Phase: You can send this face-up card to the GY; Special Summon 1 ""Dark Mimic LV3"" from your hand or Deck.",,0.69,0.87,2.5,1.12,,1st Edition,SS05-ENA18,Common,DARK,Fiend,Flip/Effect Monster,100,1000
213976,Mask of Darkness,Mask of Darkness,https://tcgplayer-cdn.tcgplayer.com/product/213976_200w.jpg,2,2638,https://cpt.tcgcsv.com/xCK2,2020-05-28T17:30:20.397,1,FLIP: Target 1 Trap in your GY; add that target to your hand.,,0.18,0.5,1.49,0.58,,1st Edition,SS05-ENA19,Common,DARK,Fiend,Flip/Effect Monster,900,400
213978,Mad Reloader,Mad Reloader,https://tcgplayer-cdn.tcgplayer.com/product/213978_200w.jpg,2,2638,https://cpt.tcgcsv.com/BCK2,2020-05-28T17:30:17.553,1,"When this card is destroyed by battle and sent to the GY: Send 2 cards from your hand to the GY, and if you do, draw 2 cards.",,0.1,0.23,1.0,0.14,,1st Edition,SS05-ENA20,Common,DARK,Fiend,Effect Monster,0,0
213980,Sword of Dark Destruction,Sword of Dark Destruction,https://tcgplayer-cdn.tcgplayer.com/product/213980_200w.jpg,2,2638,https://cpt.tcgcsv.com/DCK2,2020-05-28T17:36:10.327,1,Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.,,0.1,0.26,1.49,0.27,,1st Edition,SS05-ENA21,Common,SPELL,,Equip Spell,,
213981,Offerings to the Doomed,Offerings to the Doomed,https://tcgplayer-cdn.tcgplayer.com/product/213981_200w.jpg,2,2638,https://cpt.tcgcsv.com/FCK2,2020-05-28T17:32:30.987,1,"Target 1 face-up monster on the field; destroy that target, also skip your next Draw Phase.",,1.47,4.53,7.6,4.73,5.25,1st Edition,SS05-ENA22,Common,SPELL,,Quick-Play Spell,,
213982,Twister,Twister,https://tcgplayer-cdn.tcgplayer.com/product/213982_200w.jpg,2,2638,https://cpt.tcgcsv.com/GCK2,2020-05-28T17:38:32.11,1,"Pay 500 LP, then target 1 face-up Spell/Trap on the field; destroy that target.",,0.09,0.25,3.45,0.18,,1st Edition,SS05-ENA23,Common,SPELL,,Quick-Play Spell,,
