productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
279461,Speed Duel GX: Midterm Paradox Mini Box,Speed Duel GX Midterm Paradox Mini Box,https://tcgplayer-cdn.tcgplayer.com/product/279461_200w.jpg,2,3098,https://cpt.tcgcsv.com/fPf3,2022-11-21T15:21:39.36,1,"Speed Duel GX: Midterm Paradox Mini Box expands on the Speed Duel GX: Duel Academy Box introducing even more cards from the Yu-Gi-Oh! GX animated series that are new to Speed Duel! Speed Duel GX: Midterm Paradox is a 100-card static set that contains 4 complete Speed Duel Decks ready-to-play out of the box! Here is just some of what you can expect.

<br>• Pre-built Decks for Jaden Yuki, Syrus Truesdale, Bastion Misawa, and the Paradox Brothers!
<br>• Brand-new Skill Cards for iconic Yu-Gi-Oh! GX characters!
<br>• Explore new strategies with additional cards and upgrade the Speed Duel Decks you already own!
<br>• Discover Secret Rare variants of popular GX-era cards!
<br>• Play with it on its own, or as a perfect complement to the Speed Duel GX: Duel Academy Box
<br>
<br>Each Speed Duel GX: Midterm Paradox Mini Box contains:
<br>• 100 Common Cards
<br>• 12 Skill Cards
<br>• 4 (of 12) Secret Rares
<br>• 1 Two-Player Jaden Yuki & Syrus Truesdale Deluxe Game Mat",083717857327,5.24,9.93,24.4,9.04,,Normal,,,,,,,
287752,Elemental HERO Avian,Elemental HERO Avian,https://tcgplayer-cdn.tcgplayer.com/product/287752_200w.jpg,2,3098,https://cpt.tcgcsv.com/37k3,2022-10-07T15:06:57.973,1,"A winged Elemental Hero who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.",,0.1,0.25,1.49,0.14,,1st Edition,SGX2-ENA01,Common,WIND,Warrior,Normal Monster,1000,1000
287754,Elemental HERO Burstinatrix,Elemental HERO Burstinatrix,https://tcgplayer-cdn.tcgplayer.com/product/287754_200w.jpg,2,3098,https://cpt.tcgcsv.com/67k3,2022-10-07T15:07:40.343,1,A flame manipulator who is the only woman among the Elemental Heroes. Her Burstfire burns away villainy.,,0.14,0.25,1.49,0.2,,1st Edition,SGX2-ENA02,Common,FIRE,Warrior,Normal Monster,1200,800
287760,Elemental HERO Clayman,Elemental HERO Clayman,https://tcgplayer-cdn.tcgplayer.com/product/287760_200w.jpg,2,3098,https://cpt.tcgcsv.com/d7k3,2022-10-07T15:07:49.307,1,An Elemental Hero with a clay body built-to-last. He will preserve his Elemental Hero colleagues at any cost.,,0.1,0.25,1.49,0.22,,1st Edition,SGX2-ENA03,Common,EARTH,Warrior,Normal Monster,800,2000
287761,Elemental HERO Sparkman,Elemental HERO Sparkman,https://tcgplayer-cdn.tcgplayer.com/product/287761_200w.jpg,2,3098,https://cpt.tcgcsv.com/f7k3,2022-10-07T15:09:10.74,1,An Elemental Hero and a warrior of light who proficiently wields many kinds of armaments. His Shining Surge Flash cuts off the path of villainy.,,0.1,0.25,1.49,0.18,,1st Edition,SGX2-ENA04,Common,LIGHT,Warrior,Normal Monster,1600,1400
287762,Goddess with the Third Eye,Goddess with the Third Eye,https://tcgplayer-cdn.tcgplayer.com/product/287762_200w.jpg,2,3098,https://cpt.tcgcsv.com/g7k3,2022-10-07T15:13:56.49,1,"You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).",,0.1,0.27,2.0,0.2,,1st Edition,SGX2-ENA05,Common,LIGHT,Fairy,Effect Monster,1200,1000
287763,Winged Kuriboh,Winged Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/287763_200w.jpg,2,3098,https://cpt.tcgcsv.com/h7k3,2022-10-07T15:33:50.397,1,"If this card on the field is destroyed and sent to the GY: For the rest of this turn, you take no battle damage.",,0.05,0.2,1.49,0.14,,1st Edition,SGX2-ENA06,Common,LIGHT,Fairy,Effect Monster,300,200
287765,Dark Catapulter,Dark Catapulter,https://tcgplayer-cdn.tcgplayer.com/product/287765_200w.jpg,2,3098,https://cpt.tcgcsv.com/k7k3,2022-10-07T14:52:19.627,1,"During your Standby Phase, if this card is in Defense Position, put 1 counter on this card. Remove from play a number of card(s) in your Graveyard equal to the number of counters on this card to destroy that same number of Spell or Trap Card(s) on the field. Then remove all counter(s) from this card.",,0.04,0.2,30.12,0.12,,1st Edition,SGX2-ENA07,Common,EARTH,Machine,Effect Monster,1000,1500
287766,Elemental HERO Bubbleman,Elemental HERO Bubbleman,https://tcgplayer-cdn.tcgplayer.com/product/287766_200w.jpg,2,3098,https://cpt.tcgcsv.com/l7k3,2022-10-07T15:07:29.127,1,"If this is the only card in your hand, you can Special Summon it (from your hand). When this card is Summoned: You can draw 2 cards. You must control no other cards and have no cards in your hand to activate and to resolve this effect.",,0.05,0.25,30.22,0.22,,1st Edition,SGX2-ENA08,Common,WATER,Warrior,Effect Monster,800,1200
287767,Elemental HERO Bubbleman (Secret Rare),Elemental HERO Bubbleman Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/287767_200w.jpg,2,3098,https://cpt.tcgcsv.com/m7k3,2022-10-21T18:59:35.623,1,"If this is the only card in your hand, you can Special Summon it (from your hand). When this card is Summoned: You can draw 2 cards. You must control no other cards and have no cards in your hand to activate and to resolve this effect.",,0.45,0.72,3.9,0.59,,1st Edition,SGX2-ENA08,Secret Rare,WATER,Warrior,Effect Monster,800,1200
287768,Elemental HERO Blazeman,Elemental HERO Blazeman,https://tcgplayer-cdn.tcgplayer.com/product/287768_200w.jpg,2,3098,https://cpt.tcgcsv.com/n7k3,2022-10-07T15:07:17.5,1,"If this card is Normal or Special Summoned: You can add 1 ""Polymerization"" from your Deck to your hand. During your Main Phase: You can activate this effect; you cannot Special Summon monsters for the rest of this turn, except Fusion Monsters, also send 1 ""Elemental HERO"" monster from your Deck to the GY, except ""Elemental HERO Blazeman"", and if you do, this card's Attribute and ATK/DEF become the same as the monster sent to the GY, until the end of this turn. You can only use 1 ""Elemental HERO Blazeman"" effect per turn, and only once that turn.",,0.17,0.35,1.98,0.28,,1st Edition,SGX2-ENA11,Common,FIRE,Warrior,Effect Monster,1200,1800
287769,Elemental HERO Bladedge,Elemental HERO Bladedge,https://tcgplayer-cdn.tcgplayer.com/product/287769_200w.jpg,2,3098,https://cpt.tcgcsv.com/p7k3,2022-10-07T15:07:07.233,1,"If this card attacks a Defense Position monster, inflict piercing battle damage.",,0.1,0.23,30.14,0.13,,1st Edition,SGX2-ENA09,Common,EARTH,Warrior,Effect Monster,2600,1800
287770,Elemental HERO Wildheart,Elemental HERO Wildheart,https://tcgplayer-cdn.tcgplayer.com/product/287770_200w.jpg,2,3098,https://cpt.tcgcsv.com/q7k3,2022-10-07T15:09:46.24,1,Unaffected by Trap effects.,,0.1,0.24,30.13,0.13,,1st Edition,SGX2-ENA10,Common,EARTH,Warrior,Effect Monster,1500,1600
287771,Polymerization,Polymerization,https://tcgplayer-cdn.tcgplayer.com/product/287771_200w.jpg,2,3098,https://cpt.tcgcsv.com/r7k3,2022-10-07T15:21:22.45,1,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material.",,0.24,0.35,7.35,0.27,,1st Edition,SGX2-ENA12,Common,SPELL,,Normal Spell,,
287772,H - Heated Heart,H Heated Heart,https://tcgplayer-cdn.tcgplayer.com/product/287772_200w.jpg,2,3098,https://cpt.tcgcsv.com/s7k3,2022-10-07T15:14:49.583,1,"Target 1 face-up monster you control; until the end of this turn, it gains 500 ATK, and if it attacks a Defense Position monster, inflict piercing battle damage to your opponent.",,0.04,0.19,1.49,0.08,,1st Edition,SGX2-ENA13,Common,SPELL,,Normal Spell,,
287773,R - Righteous Justice,R Righteous Justice,https://tcgplayer-cdn.tcgplayer.com/product/287773_200w.jpg,2,3098,https://cpt.tcgcsv.com/t7k3,2022-10-07T15:21:41.677,1,"Destroy Spell/Trap Cards equal to the number of ""Elemental HERO"" cards you control.",,0.04,0.2,1.49,0.09,,1st Edition,SGX2-ENA14,Common,SPELL,,Normal Spell,,
287774,Skyscraper 2 - Hero City,Skyscraper 2 Hero City,https://tcgplayer-cdn.tcgplayer.com/product/287774_200w.jpg,2,3098,https://cpt.tcgcsv.com/v7k3,2022-10-07T15:26:45.38,1,"Once per turn, during your Main Phase, if you control this card: You can target 1 ""Elemental HERO"" monster in your Graveyard that was destroyed by battle; Special Summon that target.",,0.12,0.25,1.49,0.17,,1st Edition,SGX2-ENA15,Common,SPELL,,Field Spell,,
287775,A Hero Lives,A Hero Lives,https://tcgplayer-cdn.tcgplayer.com/product/287775_200w.jpg,2,3098,https://cpt.tcgcsv.com/w7k3,2022-10-07T14:49:35.543,1,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",,0.07,0.24,1.49,0.14,,1st Edition,SGX2-ENA16,Common,SPELL,,Normal Spell,,
287776,A Hero Lives (Secret Rare),A Hero Lives Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/287776_200w.jpg,2,3098,https://cpt.tcgcsv.com/x7k3,2022-10-21T18:57:48.05,1,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",,0.27,0.95,10.99,0.71,0.95,1st Edition,SGX2-ENA16,Secret Rare,SPELL,,Normal Spell,,
287777,Sabatiel - The Philosopher's Stone,Sabatiel The Philosophers Stone,https://tcgplayer-cdn.tcgplayer.com/product/287777_200w.jpg,2,3098,https://cpt.tcgcsv.com/z7k3,2022-10-07T15:22:18.473,1,"If you have a ""Winged Kuriboh"" monster in your GY: Pay half your LP; add 1 ""Polymerization"" Spell or ""Fusion"" Spell from your Deck to your hand. If this card is in your GY: You can banish 3 copies of ""Sabatiel - The Philosopher's Stone"" from your GY, then target 1 monster on the field; it gains ATK equal to the ATK of the monster on the field with the highest ATK (your choice, if tied), until the end of this turn.",,0.02,0.2,1.49,0.12,,1st Edition,SGX2-ENA17,Common,SPELL,,Normal Spell,,
287778,Hero Signal,Hero Signal,https://tcgplayer-cdn.tcgplayer.com/product/287778_200w.jpg,2,3098,https://cpt.tcgcsv.com/B7k3,2022-10-07T15:16:24.297,1,"When a monster you control is destroyed by battle and sent to the GY: Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your hand or Deck.",,0.03,0.2,1.49,0.09,,1st Edition,SGX2-ENA18,Common,TRAP,,Normal Trap,,
287779,Hero Ring,Hero Ring,https://tcgplayer-cdn.tcgplayer.com/product/287779_200w.jpg,2,3098,https://cpt.tcgcsv.com/C7k3,2022-10-07T15:16:16.747,1,Target 1 Warrior-Type monster with 1500 or less ATK; equip this card to that target. Monsters your opponent controls with 1900 or more ATK cannot attack that target.,,0.06,0.21,1.49,0.18,,1st Edition,SGX2-ENA19,Common,TRAP,,Normal Trap,,
287780,Hero Counterattack,Hero Counterattack,https://tcgplayer-cdn.tcgplayer.com/product/287780_200w.jpg,2,3098,https://cpt.tcgcsv.com/D7k3,2022-10-07T15:14:57.757,1,"When an ""Elemental HERO"" monster you control is destroyed by battle: Your opponent chooses and reveals 1 random card from your hand, then, if it is an ""Elemental HERO"" monster, you destroy 1 monster your opponent controls and Special Summon the chosen monster.",,0.05,0.2,1.49,0.1,,1st Edition,SGX2-ENA20,Common,TRAP,,Normal Trap,,
287781,Elemental HERO Tempest,Elemental HERO Tempest,https://tcgplayer-cdn.tcgplayer.com/product/287781_200w.jpg,2,3098,https://cpt.tcgcsv.com/F7k3,2022-10-07T15:09:23.04,1,"""Elemental HERO Avian"" + ""Elemental HERO Sparkman"" + ""Elemental HERO Bubbleman""
<br>Must be Fusion Summoned and cannot be Special Summoned by other ways. You can send 1 other card you control to the Graveyard to target 1 monster you control; while this card is face-up on the field, that monster cannot be destroyed by battle.",,0.14,0.28,1.49,0.24,,1st Edition,SGX2-ENA21,Common,WIND,Warrior,Fusion/Effect Monster,2800,2800
