productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
544959,Brain Crusher,Brain Crusher,https://tcgplayer-cdn.tcgplayer.com/product/544959_200w.jpg,2,23484,https://cpt.tcgcsv.com/c_m6,2024-04-03T15:44:54.807,0,STP7-EN001,Ultra Rare,DARK,Insect,Effect Monster,2400,1500,"Once per turn, during the End Phase, if this card destroyed an opponent's monster by battle and sent it to the Graveyard this turn while you controlled it: You can target 1 of those destroyed monsters in the Graveyard; Special Summon that target.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",8.0,10.88,20.25,10.25,,Unlimited
544963,Gearfried the Red-Eyes Iron Knight,Gearfried the Red Eyes Iron Knight,https://tcgplayer-cdn.tcgplayer.com/product/544963_200w.jpg,2,23484,https://cpt.tcgcsv.com/h_m6,2024-04-03T15:47:41.177,0,STP7-EN002,Ultra Rare,DARK,Warrior,Effect Monster,1800,1600,"Once per turn, if either player equips an Equip Card(s) to this card: You can destroy those Equip Cards, then you can destroy 1 Spell/Trap your opponent controls. Once per turn: You can send 1 Equip Card you control that is equipped to this card to the GY, then target 1 Level 7 or lower ""Red-Eyes"" monster in your GY; Special Summon it.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",16.52,17.67,49.99,17.39,,Unlimited
544966,Thousand-Eyes Restrict,Thousand Eyes Restrict,https://tcgplayer-cdn.tcgplayer.com/product/544966_200w.jpg,2,23484,https://cpt.tcgcsv.com/l_m6,2024-04-03T15:50:14.12,0,STP7-EN003,Ultra Rare,DARK,Spellcaster,Fusion Monster,0,0,"""Relinquished"" + ""Thousand-Eyes Idol""
<br>Other monsters on the field cannot change their battle positions or attack. Once per turn: You can target 1 monster your opponent controls; equip that target to this card (max. 1). This card's ATK/DEF become equal to that equipped monster's. If this card would be destroyed by battle, destroy that equipped monster instead.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",69.67,74.99,100.0,39.07,,Unlimited
544967,Foolish Burial,Foolish Burial,https://tcgplayer-cdn.tcgplayer.com/product/544967_200w.jpg,2,23484,https://cpt.tcgcsv.com/m_m6,2024-04-03T15:53:24.423,0,STP7-EN004,Ultra Rare,SPELL,,Normal Spell,,,"Send 1 monster from your Deck to the GY.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",29.99,29.99,32.99,29.95,,Unlimited
544968,Vampire Awakening,Vampire Awakening,https://tcgplayer-cdn.tcgplayer.com/product/544968_200w.jpg,2,23484,https://cpt.tcgcsv.com/n_m6,2024-04-03T15:56:25.847,0,STP7-EN005,Ultra Rare,TRAP,,Normal Trap,,,"Special Summon 1 ""Vampire"" monster from your Deck, but destroy it during the End Phase of this turn. You can only activate 1 ""Vampire Awakening"" per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",4.0,5.0,17.03,16.61,,Unlimited
544969,Gaia The Fierce Knight,Gaia The Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/544969_200w.jpg,2,23484,https://cpt.tcgcsv.com/p_m6,2024-04-03T15:59:17.94,0,STP7-EN006,Super Rare,EARTH,Warrior,Normal Monster,2300,2100,"A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",1.4,2.25,3.56,1.37,,Unlimited
544970,Jinzo,Jinzo,https://tcgplayer-cdn.tcgplayer.com/product/544970_200w.jpg,2,23484,https://cpt.tcgcsv.com/q_m6,2024-04-03T16:02:30.237,0,STP7-EN007,Super Rare,DARK,Machine,Effect Monster,2400,1500,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap Card effects on the field.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",3.29,3.35,3.49,3.23,,Unlimited
544971,Command Knight,Command Knight,https://tcgplayer-cdn.tcgplayer.com/product/544971_200w.jpg,2,23484,https://cpt.tcgcsv.com/r_m6,2024-04-03T16:05:50.84,0,STP7-EN008,Super Rare,FIRE,Warrior,Effect Monster,1200,1900,"All Warrior monsters you control gain 400 ATK. If you control another monster, monsters your opponent controls cannot target this card for attacks.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",1.49,1.9,3.0,1.81,,Unlimited
544972,Skilled Dark Magician,Skilled Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/544972_200w.jpg,2,23484,https://cpt.tcgcsv.com/s_m6,2024-04-03T16:07:20.693,0,STP7-EN009,Super Rare,DARK,Spellcaster,Effect Monster,1900,1700,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves (max 3). You can Tribute this card with 3 Spell Counters on it; Special Summon 1 ""Dark Magician"" from your hand, Deck, or GY.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",3.49,3.49,3.49,3.5,,Unlimited
544973,Insect Princess,Insect Princess,https://tcgplayer-cdn.tcgplayer.com/product/544973_200w.jpg,2,23484,https://cpt.tcgcsv.com/t_m6,2024-04-03T16:09:41.183,0,STP7-EN010,Super Rare,WIND,Insect,Effect Monster,1900,1200,"All Insect monsters your opponent controls are changed to Attack Position. If this card destroys an Insect monster by battle: This card gains 500 ATK.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.74,0.89,2.99,0.84,,Unlimited
