productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extAttribute,extMonsterType,extAttack,extDefense
199013,Speed Duel: Trials of the Kingdom Booster Box,Speed Duel Trials of the Kingdom Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/199013_200w.jpg,2,2514,https://cpt.tcgcsv.com/hDC2,2019-09-12T20:47:00.2,1,Each booster box contains 36 packs of 4 random cards.,08371784638,104.86,107.41,109.96,95.84,,Normal,,,,,,,
199014,Speed Duel: Trials of the Kingdom Booster Pack,Speed Duel Trials of the Kingdom Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/199014_200w.jpg,2,2514,https://cpt.tcgcsv.com/jDC2,2020-12-14T18:39:29.753,1,Each booster pack contains 4 random cards.,083717846321,4.0,5.0,5.99,4.0,,Normal,,,,,,,
205489,Zombie Master (Skill Card),Zombie Master Skill Card,https://tcgplayer-cdn.tcgplayer.com/product/205489_200w.jpg,2,2514,https://cpt.tcgcsv.com/PcG2,2020-11-17T19:59:12.627,1,"Activate this Skill during your Main Phase. Once per Duel, you can choose 1 Level 4 or lower Zombie monster you control, and it gains the following effect while face-up on the field.
<br>• Once per turn: You can send 1 monster from your hand to the GY, then target 1 Level 4 or lower Zombie monster in either GY; Special Summon that target. This monster must be face-up on the field to activate and to resolve this effect.",,0.59,0.98,2.67,1.25,1.97,1st Edition,SBTK-ENS01,Super Rare,Skill,,,,
205491,Terror from the Deep!,Terror from the Deep,https://tcgplayer-cdn.tcgplayer.com/product/205491_200w.jpg,2,2514,https://cpt.tcgcsv.com/RcG2,2024-03-30T10:24:13.473,1,"Activate this Skill during your Main Phase, while you control ""Kairyu-Shin"". When this Skill is activated, you can activate ""Umi"" directly from your hand, Deck or GY. While you control ""Kairyu-Shin"", all WATER monsters you control are unaffected by Trap effects. If ""Kairyu-Shin"" you control leaves the field, draw 2 cards, and if you do, flip this card over.",,0.38,0.75,1.99,0.63,0.6,1st Edition,SBTK-ENS02,Super Rare,Skill,,,,
205493,Dino Destruction,Dino Destruction,https://tcgplayer-cdn.tcgplayer.com/product/205493_200w.jpg,2,2514,https://cpt.tcgcsv.com/TcG2,2019-12-06T17:16:34.47,1,"Activate this Skill during your Main Phase. Once per turn, you can choose 1 Level 6 or higher Dinosaur monster you control. This turn, if it attacks a Defense Position monster, inflict piercing battle damage. Flip this card over at the end of the turn you activated this Skill.",,0.6,1.09,2.48,1.03,1.03,1st Edition,SBTK-ENS03,Super Rare,Skill,,,,
205494,Cocoon of Ultra Evolution (Skill Card),Cocoon of Ultra Evolution Skill Card,https://tcgplayer-cdn.tcgplayer.com/product/205494_200w.jpg,2,2514,https://cpt.tcgcsv.com/VcG2,2020-11-17T19:44:04.177,1,"Activate the following Skill(s) during your Main Phase.
<br>• You can Tribute 1 Insect monster from either field equipped with an Equip Card, and if you do, Special Summon 1 Insect monster from your Deck, ignoring its Summoning conditions, also flip this card over.
<br>• You can shuffle 1 Insect monster from your GY into the Deck, then draw 1 card, also flip this card over.
<br>Each of these Skills can only be used once per Duel.",,1.12,2.6,10.2,1.18,2.89,1st Edition,SBTK-ENS04,Ultra Rare,Skill,,,,
205495,Switcheroo,Switcheroo,https://tcgplayer-cdn.tcgplayer.com/product/205495_200w.jpg,2,2514,https://cpt.tcgcsv.com/WcG2,2019-12-06T17:44:42.983,1,"Activate this Skill during your Main Phase. Once per turn, you can shuffle 1 card from your hand into the Deck, then draw 1 card, also flip this card over. You can use this Skill up to twice per Duel.",,2.0,2.83,4.99,2.77,,1st Edition,SBTK-ENS05,Ultra Rare,Skill,,,,
205496,Magician of Black Chaos,Magician of Black Chaos,https://tcgplayer-cdn.tcgplayer.com/product/205496_200w.jpg,2,2514,https://cpt.tcgcsv.com/XcG2,2019-12-06T17:34:35.467,1,"You can Ritual Summon this card with ""Black Magic Ritual"".",,9.9,10.0,11.99,9.79,,1st Edition,SBTK-EN001,Ultra Rare,Ritual Monster,DARK,Spellcaster,2800,2600
205497,Black Magic Ritual,Black Magic Ritual,https://tcgplayer-cdn.tcgplayer.com/product/205497_200w.jpg,2,2514,https://cpt.tcgcsv.com/ZcG2,2025-05-15T20:15:34.187,1,"This card is used to Ritual Summon ""Magician of Black Chaos"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",,0.31,0.5,0.99,0.5,,1st Edition,SBTK-EN002,Common,Ritual Spell,SPELL,,,
205498,Kairyu-Shin,Kairyu Shin,https://tcgplayer-cdn.tcgplayer.com/product/205498_200w.jpg,2,2514,https://cpt.tcgcsv.com/-cG2,2019-12-06T17:34:16.383,1,"<em>A sea dragon known as the King of the Ocean, it attacks its enemies with huge tidal waves. </em>",,1.06,1.84,4.0,1.32,,1st Edition,SBTK-EN003,Common,Normal Monster,WATER,Sea Serpent,1800,1500
