productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
120588,Blue-Eyes Toon Dragon (SRL-EN000),Blue Eyes Toon Dragon SRL EN000,https://tcgplayer-cdn.tcgplayer.com/product/120588_200w.jpg,2,22905,https://cpt.tcgcsv.com/Nf-,2023-01-17T18:40:36.703,1,SRL-EN000,Secret Rare,LIGHT,Dragon,Toon/Effect Monster,3000,2500,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 2 monsters, while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.
<br><br><em>SRL-EN000 is the Worldwide English printing of this Spell Ruler card.</em>",19.0,30.0,300.0,14.0,,Unlimited
213503,Spell Ruler Booster Pack [Unlimited Edition Worldwide English],Spell Ruler Booster Pack Unlimited Edition Worldwide English,https://tcgplayer-cdn.tcgplayer.com/product/213503_200w.jpg,2,22905,https://cpt.tcgcsv.com/5qK2,2023-01-13T21:29:53.59,1,,,,,,,,,4.95,9.95,16.0,7.15,,Normal
478814,Penguin Knight,Penguin Knight,https://tcgplayer-cdn.tcgplayer.com/product/478814_200w.jpg,2,22905,https://cpt.tcgcsv.com/jxR5,2023-01-20T18:07:12.453,1,SRL-EN001,Common,WATER,Aqua,Effect Monster,900,800,"When this card is sent directly from your Deck to the Graveyard by an effect of a card controlled by your opponent, unite your Graveyard cards and your own Deck, shuffle them and form a new Deck.",0.1,0.74,2.05,0.74,,Unlimited
478816,Axe of Despair,Axe of Despair,https://tcgplayer-cdn.tcgplayer.com/product/478816_200w.jpg,2,22905,https://cpt.tcgcsv.com/lxR5,2023-01-20T18:10:31.117,1,SRL-EN002,Ultra Rare,SPELL,,Normal Spell,,,"Increase the ATK of a monster equipped with this card by 1000 points When this card is sent from the field to the Graveyard. If you offer 1 monster on your side of the field as a Tribute, this card returns to the top of your Deck",3.0,3.03,5.63,4.48,,Unlimited
478817,Black Pendant,Black Pendant,https://tcgplayer-cdn.tcgplayer.com/product/478817_200w.jpg,2,22905,https://cpt.tcgcsv.com/mxR5,2023-01-20T18:12:28.453,1,SRL-EN003,Super Rare,SPELL,,Normal Spell,,,"Increase the ATK of a monster equipped with this card by 500 points. When this card is sent from the field to the Graveyard, inflict 500 points of damage to your opponent's Life Points.",0.99,1.3,2.38,,,Unlimited
478818,Horn of Light,Horn of Light,https://tcgplayer-cdn.tcgplayer.com/product/478818_200w.jpg,2,22905,https://cpt.tcgcsv.com/nxR5,2023-01-20T18:16:43.63,1,SRL-EN004,Common,SPELL,,Normal Spell,,,"Increase the DEF of a monster equipped with this card by 800 points. When this card is sent from the field to the Graveyard, if you pay 500 Life Points, this card returns to the top of your Deck.",0.15,0.25,2.0,,,Unlimited
478820,Malevolent Nuzzler,Malevolent Nuzzler,https://tcgplayer-cdn.tcgplayer.com/product/478820_200w.jpg,2,22905,https://cpt.tcgcsv.com/qxR5,2023-01-20T18:18:17.603,1,SRL-EN005,Common,SPELL,,Normal Spell,,,"Increase the ATK of a monster equipped with this card by 700 points. When this card is sent from the field to the Graveyard, if you pay 500 Life Points, this card returns to the top of your Deck.",0.25,0.5,0.74,0.5,,Unlimited
478822,Spellbinding Circle,Spellbinding Circle,https://tcgplayer-cdn.tcgplayer.com/product/478822_200w.jpg,2,22905,https://cpt.tcgcsv.com/sxR5,2023-01-20T18:22:49.257,1,SRL-EN006,Ultra Rare,TRAP,,Normal Trap,,,"Select 1 monster. As long as this card remains face-up on the field, the selected monster cannot attack or change its battle position. When the selected monster is destroyed, this card is also destroyed.",6.48,6.48,6.48,7.91,,Unlimited
478823,Metal Fish,Metal Fish,https://tcgplayer-cdn.tcgplayer.com/product/478823_200w.jpg,2,22905,https://cpt.tcgcsv.com/txR5,2023-01-20T18:24:01.777,1,SRL-EN007,Common,WATER,Machine,Normal Monster,1600,1900,<em>A metal fish with a razor-sharp caudal fin.</em>,0.25,0.82,0.99,,,Unlimited
478824,Electric Snake,Electric Snake,https://tcgplayer-cdn.tcgplayer.com/product/478824_200w.jpg,2,22905,https://cpt.tcgcsv.com/vxR5,2023-01-20T18:24:52.75,1,SRL-EN008,Common,LIGHT,Thunder,Effect Monster,800,900,"When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.",0.1,0.47,0.98,,,Unlimited
