productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
120589,Penguin Knight,Penguin Knight,https://tcgplayer-cdn.tcgplayer.com/product/120589_200w.jpg,2,1819,https://cpt.tcgcsv.com/Pf-,2016-07-13T13:24:17.91,1,SRL-001,Common,WATER,Aqua,Effect Monster,900,800,"When this card is sent directly from your Deck to the Graveyard by an effect of a card controlled by your opponent, unite your Graveyard cards and your own Deck, shuffle them and form a new Deck.",0.06,0.31,1.49,0.26,,Unlimited
120590,Axe of Despair,Axe of Despair,https://tcgplayer-cdn.tcgplayer.com/product/120590_200w.jpg,2,1819,https://cpt.tcgcsv.com/Qf-,2016-07-13T13:24:28.98,1,SRL-002,Ultra Rare,SPELL,,Normal Spell,,,"<em>(This card is always treated as an ""Archfiend"" card.)</em>
<br>The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; place this card on the top of your Deck.",3.25,4.51,9.99,3.74,,Unlimited
120591,Black Pendant,Black Pendant,https://tcgplayer-cdn.tcgplayer.com/product/120591_200w.jpg,2,1819,https://cpt.tcgcsv.com/Rf-,2016-07-13T13:24:40.59,1,SRL-003,Super Rare,SPELL,,Normal Spell,,,The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard: Inflict 500 damage to your opponent.,0.3,1.0,7.99,0.54,,Unlimited
120592,Horn of Light,Horn of Light,https://tcgplayer-cdn.tcgplayer.com/product/120592_200w.jpg,2,1819,https://cpt.tcgcsv.com/Sf-,2016-07-13T13:24:51.503,1,SRL-004,Common,SPELL,,Normal Spell,,,"Increase the DEF of a monster equipped with this card by 800 points. When this card is sent from the field to the Graveyard, if you pay 500 Life Points, this card returns to the top of your Deck.",0.01,0.2,1.49,0.16,,Unlimited
120593,Malevolent Nuzzler,Malevolent Nuzzler,https://tcgplayer-cdn.tcgplayer.com/product/120593_200w.jpg,2,1819,https://cpt.tcgcsv.com/Tf-,2019-03-25T16:35:52.6,1,SRL-005,Common,SPELL,,Normal Spell,,,The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard: You can pay 500 LP; place this card on the top of the Deck.,0.09,0.25,1.49,0.22,,Unlimited
120594,Spellbinding Circle,Spellbinding Circle,https://tcgplayer-cdn.tcgplayer.com/product/120594_200w.jpg,2,1819,https://cpt.tcgcsv.com/Vf-,2016-07-13T13:25:16.74,1,SRL-006,Ultra Rare,TRAP,,Normal Trap,,,"Activate this card by targeting 1 monster your opponent controls; it cannot attack or change its battle position. When that monster is destroyed, destroy this card.",5.25,7.8,14.22,8.1,,Unlimited
120595,Metal Fish,Metal Fish,https://tcgplayer-cdn.tcgplayer.com/product/120595_200w.jpg,2,1819,https://cpt.tcgcsv.com/Wf-,2016-07-13T13:25:26.007,1,SRL-007,Common,WATER,Machine,Normal Monster,1600,1900,<em>A metal fish with a razor-sharp caudal fin.</em>,0.02,0.25,1.99,0.12,,Unlimited
120596,Electric Snake,Electric Snake,https://tcgplayer-cdn.tcgplayer.com/product/120596_200w.jpg,2,1819,https://cpt.tcgcsv.com/Xf-,2016-07-13T13:25:36.187,1,SRL-008,Common,LIGHT,Thunder,Effect Monster,800,900,"When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.",0.02,0.25,1.49,0.19,,Unlimited
120597,Queen Bird,Queen Bird,https://tcgplayer-cdn.tcgplayer.com/product/120597_200w.jpg,2,1819,https://cpt.tcgcsv.com/Zf-,2016-07-13T13:25:45.97,1,SRL-009,Common,WATER,Winged Beast,Normal Monster,1200,2000,<em>This monster attacks enemies using its huge beak.</em>,0.03,0.23,1.7,0.09,,Unlimited
120598,Ameba,Ameba,https://tcgplayer-cdn.tcgplayer.com/product/120598_200w.jpg,2,1819,https://cpt.tcgcsv.com/-f-,2016-07-13T13:25:58.917,1,SRL-010,Rare,WATER,Aqua,Effect Monster,300,350,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.",0.1,0.3,3.45,0.23,,Unlimited
