productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
129167,The Legendary Fisherman,The Legendary Fisherman,https://tcgplayer-cdn.tcgplayer.com/product/129167_200w.jpg,2,1903,https://cpt.tcgcsv.com/mH22,2017-03-14T18:58:11.007,1,SP17-EN001,Common,WATER,Warrior,Effect Monster,1850,1600,"While ""Umi"" is on the field, this card is unaffected by Spell effects and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly.",0.01,0.25,1.49,0.17,,1st Edition,
129168,The Legendary Fisherman (Starfoil),The Legendary Fisherman Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/129168_200w.jpg,2,1903,https://cpt.tcgcsv.com/nH22,2017-03-14T18:58:28.28,1,SP17-EN001,Starfoil Rare,WATER,Warrior,Effect Monster,1850,1600,"While ""Umi"" is on the field, this card is unaffected by Spell effects and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly.",0.23,0.39,1.99,0.35,,1st Edition,
129169,Fluffal Leo,Fluffal Leo,https://tcgplayer-cdn.tcgplayer.com/product/129169_200w.jpg,2,1903,https://cpt.tcgcsv.com/pH22,2017-04-10T12:18:20.12,1,SP17-EN002,Common,EARTH,Fairy,Effect Monster,1600,1200,When this card declares an attack: It gains 500 ATK until the end of the Battle Phase.,0.05,0.3,1.37,0.19,,1st Edition,
129170,Fluffal Leo (Starfoil),Fluffal Leo Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/129170_200w.jpg,2,1903,https://cpt.tcgcsv.com/qH22,2017-04-10T12:18:25.313,1,SP17-EN002,Starfoil Rare,EARTH,Fairy,Effect Monster,1600,1200,When this card declares an attack: It gains 500 ATK until the end of the Battle Phase.,0.4,0.75,1.99,0.52,,1st Edition,
129171,Mayosenju Daibak,Mayosenju Daibak,https://tcgplayer-cdn.tcgplayer.com/product/129171_200w.jpg,2,1903,https://cpt.tcgcsv.com/rH22,2017-03-14T18:25:19.233,1,SP17-EN003,Common,WIND,,Pendulum/Effect Monster,3000,300,"<b>Pendulum Effect :</b> When a ""Yosenju"" monster you control declares an attack: You can have that attacking monster gain 300 ATK until the end of the Battle Phase.
<b>Monster Effect :</b> Cannot be Special Summoned, except by Pendulum Summon. This card's Pendulum Summon cannot be negated. If this card is Normal or Special Summoned: You can target up to 2 cards on the field; return them to the hand. Once per turn, during the End Phase, if this card was Special Summoned this turn: Return it to the hand.",0.5,1.17,18.69,1.06,0.93,1st Edition,
129172,Mayosenju Daibak (Starfoil),Mayosenju Daibak Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/129172_200w.jpg,2,1903,https://cpt.tcgcsv.com/sH22,2017-03-14T18:28:36.49,1,SP17-EN003,Starfoil Rare,WIND,,Pendulum/Effect Monster,3000,300,"<b>Pendulum Effect :</b> When a ""Yosenju"" monster you control declares an attack: You can have that attacking monster gain 300 ATK until the end of the Battle Phase.
<b>Monster Effect :</b> Cannot be Special Summoned, except by Pendulum Summon. This card's Pendulum Summon cannot be negated. If this card is Normal or Special Summoned: You can target up to 2 cards on the field; return them to the hand. Once per turn, during the End Phase, if this card was Special Summoned this turn: Return it to the hand.",0.4,1.5,7.95,1.15,,1st Edition,
129173,Yosenju Kama 1,Yosenju Kama 1,https://tcgplayer-cdn.tcgplayer.com/product/129173_200w.jpg,2,1903,https://cpt.tcgcsv.com/tH22,2017-03-14T19:02:11.86,1,SP17-EN004,Common,WIND,Beast-Warrior,Effect Monster,1600,500,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 1"". If you control another ""Yosenju"" monster: You can target 1 face-up card your opponent controls; return it to the hand. This effect can only be used once while this card is face-up on the field. Once per turn, during the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",0.2,0.39,1.0,0.34,,1st Edition,
129174,Yosenju Kama 1 (Starfoil),Yosenju Kama 1 Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/129174_200w.jpg,2,1903,https://cpt.tcgcsv.com/vH22,2017-03-14T19:02:27.027,1,SP17-EN004,Starfoil Rare,WIND,Beast-Warrior,Effect Monster,1600,500,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 1"". If you control another ""Yosenju"" monster: You can target 1 face-up card your opponent controls; return it to the hand. This effect can only be used once while this card is face-up on the field. Once per turn, during the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",0.15,0.5,1.99,0.28,,1st Edition,
129175,Yosenju Kama 2,Yosenju Kama 2,https://tcgplayer-cdn.tcgplayer.com/product/129175_200w.jpg,2,1903,https://cpt.tcgcsv.com/wH22,2017-03-14T19:02:47.42,1,SP17-EN005,Common,WIND,Beast-Warrior,Effect Monster,1800,200,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 2"". This card can attack your opponent directly, but when it does so using this effect, the battle damage inflicted to your opponent is halved. Once per turn, during the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",0.17,0.4,2.67,0.31,,1st Edition,
129176,Yosenju Kama 2 (Starfoil),Yosenju Kama 2 Starfoil,https://tcgplayer-cdn.tcgplayer.com/product/129176_200w.jpg,2,1903,https://cpt.tcgcsv.com/xH22,2017-03-14T19:03:02.61,1,SP17-EN005,Starfoil Rare,WIND,Beast-Warrior,Effect Monster,1800,200,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 2"". This card can attack your opponent directly, but when it does so using this effect, the battle damage inflicted to your opponent is halved. Once per turn, during the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",0.15,0.75,1.99,0.38,,1st Edition,
129177,Yosenju Kama 3,Yosenju Kama 3,https://tcgplayer-cdn.tcgplayer.com/product/129177_200w.jpg,2,1903,https://cpt.tcgcsv.com/zH22,2017-03-14T19:06:41.353,1,SP17-EN006,Common,WIND,Beast-Warrior,Effect Monster,1500,800,"f this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 3"". When another ""Yosenju"" monster you control inflicts battle damage to your opponent: You can add 1 ""Yosenju"" card from your Deck to your hand, except ""Yosenju Kama 3"". You can only use this effect of ""Yosenju Kama 3"" once per turn. Once per turn, during the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",0.18,0.49,1.23,0.4,,1st Edition,
