productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
77475,Zubaba Knight,Zubaba Knight,https://tcgplayer-cdn.tcgplayer.com/product/77475_200w.jpg,2,1281,https://cpt.tcgcsv.com/w_D,2013-12-02T14:53:26.01,1,SP13-EN001,Common,EARTH,Warrior,Effect Monster,1600,900,"At the start of the Damage Step, if this card attacks a face-up Defense Position monster: Destroy that monster.",0.05,0.23,1.0,0.17,,Unlimited
77475,Zubaba Knight,Zubaba Knight,https://tcgplayer-cdn.tcgplayer.com/product/77475_200w.jpg,2,1281,https://cpt.tcgcsv.com/w_D,2013-12-02T14:53:26.01,1,SP13-EN001,Common,EARTH,Warrior,Effect Monster,1600,900,"At the start of the Damage Step, if this card attacks a face-up Defense Position monster: Destroy that monster.",0.1,0.41,1.0,,,1st Edition
77476,Gagaga Magician,Gagaga Magician,https://tcgplayer-cdn.tcgplayer.com/product/77476_200w.jpg,2,1281,https://cpt.tcgcsv.com/x_D,2013-12-02T15:09:56.823,1,SP13-EN002,Common,DARK,Spellcaster,Effect Monster,1500,1000,"Once per turn: You can declare a Level from 1 to 8; this card becomes that Level until the End Phase. You can only control 1 ""Gagaga Magician"". This card cannot be used as a Synchro Material Monster.",0.05,0.21,0.8,0.18,,Unlimited
77476,Gagaga Magician,Gagaga Magician,https://tcgplayer-cdn.tcgplayer.com/product/77476_200w.jpg,2,1281,https://cpt.tcgcsv.com/x_D,2013-12-02T15:09:56.823,1,SP13-EN002,Common,DARK,Spellcaster,Effect Monster,1500,1000,"Once per turn: You can declare a Level from 1 to 8; this card becomes that Level until the End Phase. You can only control 1 ""Gagaga Magician"". This card cannot be used as a Synchro Material Monster.",0.47,0.71,1.33,0.59,,1st Edition
77477,Gogogo Golem,Gogogo Golem,https://tcgplayer-cdn.tcgplayer.com/product/77477_200w.jpg,2,1281,https://cpt.tcgcsv.com/z_D,2019-03-01T16:02:40.933,1,SP13-EN003,Common,EARTH,Rock,Effect Monster,1800,1500,"Once per turn, this Defense Position card cannot be destroyed by battle.",0.1,0.25,1.07,0.1,,Unlimited
77477,Gogogo Golem,Gogogo Golem,https://tcgplayer-cdn.tcgplayer.com/product/77477_200w.jpg,2,1281,https://cpt.tcgcsv.com/z_D,2019-03-01T16:02:40.933,1,SP13-EN003,Common,EARTH,Rock,Effect Monster,1800,1500,"Once per turn, this Defense Position card cannot be destroyed by battle.",0.1,0.46,2.0,0.11,,1st Edition
77478,Achacha Archer,Achacha Archer,https://tcgplayer-cdn.tcgplayer.com/product/77478_200w.jpg,2,1281,https://cpt.tcgcsv.com/B_D,2013-12-02T15:14:22.107,1,SP13-EN004,Common,FIRE,Warrior,Effect Monster,1200,600,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.,0.1,0.23,0.94,0.14,,Unlimited
77478,Achacha Archer,Achacha Archer,https://tcgplayer-cdn.tcgplayer.com/product/77478_200w.jpg,2,1281,https://cpt.tcgcsv.com/B_D,2013-12-02T15:14:22.107,1,SP13-EN004,Common,FIRE,Warrior,Effect Monster,1200,600,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.,0.15,0.31,6.35,,,1st Edition
77479,Goblindbergh,Goblindbergh,https://tcgplayer-cdn.tcgplayer.com/product/77479_200w.jpg,2,1281,https://cpt.tcgcsv.com/C_D,2015-06-29T12:52:35,1,SP13-EN005,Common,EARTH,Warrior,Effect Monster,1400,0,"When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand, then change this card to Defense Position if you activated this effect.",0.2,0.47,1.23,0.25,,Unlimited
77479,Goblindbergh,Goblindbergh,https://tcgplayer-cdn.tcgplayer.com/product/77479_200w.jpg,2,1281,https://cpt.tcgcsv.com/C_D,2015-06-29T12:52:35,1,SP13-EN005,Common,EARTH,Warrior,Effect Monster,1400,0,"When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand, then change this card to Defense Position if you activated this effect.",0.28,0.74,2.62,0.69,,1st Edition
