productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
33637,Koa'ki Meiru Beetle,Koaki Meiru Beetle,https://tcgplayer-cdn.tcgplayer.com/product/33637_200w.jpg,2,289,https://cpt.tcgcsv.com/Msh,2013-05-09T12:13:41.653,1,SOVR-EN000,Super Rare,EARTH,Insect,Effect Monster,1900,1500,"During each of your End Phases, destroy this card unless you send 1 Iron Core of Koa'ki Meiru from your Hand to the Graveyard or reveal 1 Insect-Type Monster in your hand. When a LIGHT or DARK monster is Special Summoned in face-up Attack Position, change",0.18,0.4,2.98,0.36,,Unlimited,
33637,Koa'ki Meiru Beetle,Koaki Meiru Beetle,https://tcgplayer-cdn.tcgplayer.com/product/33637_200w.jpg,2,289,https://cpt.tcgcsv.com/Msh,2013-05-09T12:13:41.653,1,SOVR-EN000,Super Rare,EARTH,Insect,Effect Monster,1900,1500,"During each of your End Phases, destroy this card unless you send 1 Iron Core of Koa'ki Meiru from your Hand to the Graveyard or reveal 1 Insect-Type Monster in your hand. When a LIGHT or DARK monster is Special Summoned in face-up Attack Position, change",0.21,0.7,2.99,0.25,,1st Edition,
33638,Majestic Dragon,Majestic Dragon,https://tcgplayer-cdn.tcgplayer.com/product/33638_200w.jpg,2,289,https://cpt.tcgcsv.com/Nsh,2013-05-09T12:13:41.653,1,SOVR-EN001,Super Rare,LIGHT,Dragon,Tuner/Effect Monster,0,0,"This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a Majestic monster.",2.0,3.99,8.22,3.06,,Unlimited,
33638,Majestic Dragon,Majestic Dragon,https://tcgplayer-cdn.tcgplayer.com/product/33638_200w.jpg,2,289,https://cpt.tcgcsv.com/Nsh,2013-05-09T12:13:41.653,1,SOVR-EN001,Super Rare,LIGHT,Dragon,Tuner/Effect Monster,0,0,"This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a Majestic monster.",12.5,22.15,26.54,23.49,,1st Edition,
33639,Stardust Xiaolong,Stardust Xiaolong,https://tcgplayer-cdn.tcgplayer.com/product/33639_200w.jpg,2,289,https://cpt.tcgcsv.com/Psh,2013-05-09T12:13:41.653,1,SOVR-EN002,Rare,LIGHT,Dragon,Effect Monster,100,100,"When you Synchro Summon Stardust Dragon, you can Special Summon this card from your Graveyard in face-up Attack Position. Once per turn, if this card would be destroyed by battle, it is not destroyed.",0.09,0.47,3.75,0.32,,Unlimited,
33639,Stardust Xiaolong,Stardust Xiaolong,https://tcgplayer-cdn.tcgplayer.com/product/33639_200w.jpg,2,289,https://cpt.tcgcsv.com/Psh,2013-05-09T12:13:41.653,1,SOVR-EN002,Rare,LIGHT,Dragon,Effect Monster,100,100,"When you Synchro Summon Stardust Dragon, you can Special Summon this card from your Graveyard in face-up Attack Position. Once per turn, if this card would be destroyed by battle, it is not destroyed.",0.1,1.45,3.97,1.44,,1st Edition,
33640,Max Warrior,Max Warrior,https://tcgplayer-cdn.tcgplayer.com/product/33640_200w.jpg,2,289,https://cpt.tcgcsv.com/Qsh,2013-05-09T12:13:41.653,1,SOVR-EN003,Super Rare,WIND,Warrior,Effect Monster,1800,800,"When this card attacks an opponent's monster, it gains 400 ATK during damage calculation only. If this card destroys an opponent's monster by battle, this card's Level becomes 2 and its original ATK and DEF are halved until your next Standby Phase.",0.1,0.62,5.0,0.49,,Unlimited,
33640,Max Warrior,Max Warrior,https://tcgplayer-cdn.tcgplayer.com/product/33640_200w.jpg,2,289,https://cpt.tcgcsv.com/Qsh,2013-05-09T12:13:41.653,1,SOVR-EN003,Super Rare,WIND,Warrior,Effect Monster,1800,800,"When this card attacks an opponent's monster, it gains 400 ATK during damage calculation only. If this card destroys an opponent's monster by battle, this card's Level becomes 2 and its original ATK and DEF are halved until your next Standby Phase.",0.29,1.59,3.99,2.16,,1st Edition,
33641,Quickdraw Synchron,Quickdraw Synchron,https://tcgplayer-cdn.tcgplayer.com/product/33641_200w.jpg,2,289,https://cpt.tcgcsv.com/Rsh,2021-09-24T14:01:16.163,1,SOVR-EN004,Common,WIND,Machine,Tuner Monster,700,1400,"You can Special Summon this card (from your hand) by sending 1 monster from your hand to the GY. For a Synchro Summon, you can substitute this card for any 1 ""Synchron"" Tuner. Cannot be used as a Synchro Material, except for the Synchro Summon of a monster that lists a ""Synchron"" Tuner as material.",0.12,0.31,1.99,0.28,,Unlimited,
33641,Quickdraw Synchron,Quickdraw Synchron,https://tcgplayer-cdn.tcgplayer.com/product/33641_200w.jpg,2,289,https://cpt.tcgcsv.com/Rsh,2021-09-24T14:01:16.163,1,SOVR-EN004,Common,WIND,Machine,Tuner Monster,700,1400,"You can Special Summon this card (from your hand) by sending 1 monster from your hand to the GY. For a Synchro Summon, you can substitute this card for any 1 ""Synchron"" Tuner. Cannot be used as a Synchro Material, except for the Synchro Summon of a monster that lists a ""Synchron"" Tuner as material.",0.2,0.5,1.58,0.57,,1st Edition,
33642,Level Eater,Level Eater,https://tcgplayer-cdn.tcgplayer.com/product/33642_200w.jpg,2,289,https://cpt.tcgcsv.com/Ssh,2018-05-08T14:14:33.133,1,SOVR-EN005,Common,DARK,Insect,Effect Monster,600,0,"If this card is in the Graveyard, you can activate its effect by selecting 1 face-up Level 5 or higher monster you control. Reduce that monster's Level by 1. Special Summon this card from the Graveyard. This card cannot be Tributed except for a Tribute Summon.",0.09,0.25,1.0,0.26,,Unlimited,
33642,Level Eater,Level Eater,https://tcgplayer-cdn.tcgplayer.com/product/33642_200w.jpg,2,289,https://cpt.tcgcsv.com/Ssh,2018-05-08T14:14:33.133,1,SOVR-EN005,Common,DARK,Insect,Effect Monster,600,0,"If this card is in the Graveyard, you can activate its effect by selecting 1 face-up Level 5 or higher monster you control. Reduce that monster's Level by 1. Special Summon this card from the Graveyard. This card cannot be Tributed except for a Tribute Summon.",0.2,0.34,2.05,0.34,,1st Edition,
