productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
169427,Codebreaker Starter Deck,Codebreaker Starter Deck,https://tcgplayer-cdn.tcgplayer.com/product/169427_200w.jpg,2,2266,https://cpt.tcgcsv.com/zNm2,2018-09-16T14:36:55.117,1,"<strong>Starter Deck: Codebreaker</strong> introduces the basics of Dueling with cards that are strong and easy to understand. New Duelists can learn the basics of Link Summoning using ""Code Talker"" Link Monsters, then use this Starter Deck as a base to build their own unique Deck by collecting Cyberse monsters and ""Code Talker"" Link Monsters from many different releases including Structure Deck: Cyberse Link and Extreme Force. To ensure Duelists have the tools necessary to ramp up those basic techniques and take Link Summoning to the next level, <strong>Starter Deck: Codebreaker</strong> includes powerful additions like Linkuriboh, previously unreleased in Latin American and European territories!
<br><br>
Link Monsters are the newest addition to the Yu-Gi-Oh! TRADING CARD GAME! They offer Duelists a brand-new outlet to demonstrate their skills by mastering not just how they play their cards, but where they play them as well. These new monsters have become an integral part of Dueling, and Starter Deck: Codebreaker contains 5 Link Monsters to give new Duelists a leg up in competition.
<br><br>
Starter Deck: Codebreaker contains 45 cards: 
<br>• 2 Ultra Rares 
<br>• 3 Super Rares 
<br>• 40 Commons",11.25,13.69,15.96,10.22,,Normal,,,,,,,,,
170182,Leotron,Leotron,https://tcgplayer-cdn.tcgplayer.com/product/170182_200w.jpg,2,2266,https://cpt.tcgcsv.com/G5n2,2025-05-15T20:19:11.34,1,<em>A territorial electronic monster that guards its own domain.</em>,0.1,0.2,1.49,0.15,,1st Edition,YS18-EN001,Common,EARTH,Cyberse,Normal Monster,2000,0,,
170183,Texchanger,Texchanger,https://tcgplayer-cdn.tcgplayer.com/product/170183_200w.jpg,2,2266,https://cpt.tcgcsv.com/H5n2,2018-07-12T20:03:28.37,1,"Once per turn, when your monster is targeted for an attack: You can negate the attack, then Special Summon 1 Cyberse Normal Monster from your hand, Deck, or GY.",0.03,0.2,1.49,0.12,0.05,1st Edition,YS18-EN002,Common,DARK,Cyberse,Effect Monster,100,100,,
170184,Widget Kid,Widget Kid,https://tcgplayer-cdn.tcgplayer.com/product/170184_200w.jpg,2,2266,https://cpt.tcgcsv.com/J5n2,2025-05-15T20:19:11.403,1,"If this card is Normal or Special Summoned: You can Special Summon 1 Cyberse monster from your hand in Defense Position. You can only use this effect of ""Widget Kid"" once per turn.",0.14,0.4,1.99,0.27,,1st Edition,YS18-EN003,Super Rare,EARTH,Cyberse,Effect Monster,1500,900,,
170185,Cyberse White Hat,Cyberse White Hat,https://tcgplayer-cdn.tcgplayer.com/product/170185_200w.jpg,2,2266,https://cpt.tcgcsv.com/K5n2,2023-01-28T21:23:38.24,1,"If you control 2 or more monsters with the same Type, you can Special Summon this card (from your hand). You can only Special Summon ""Cyberse White Hat"" once per turn this way. If this card is sent to the GY as Link Material: You can make all monsters your opponent currently controls lose 1000 ATK until the end of this turn.",0.05,0.25,2.99,0.22,0.15,1st Edition,YS18-EN004,Ultra Rare,LIGHT,Cyberse,Effect Monster,1800,2400,,
170186,Bitron,Bitron,https://tcgplayer-cdn.tcgplayer.com/product/170186_200w.jpg,2,2266,https://cpt.tcgcsv.com/L5n2,2025-05-15T20:19:11.45,1,<em>A new species found in electronic space. There's not much information on it.</em>,0.05,0.19,1.49,0.17,,1st Edition,YS18-EN005,Common,EARTH,Cyberse,Normal Monster,200,2000,,
170187,RAM Clouder,RAM Clouder,https://tcgplayer-cdn.tcgplayer.com/product/170187_200w.jpg,2,2266,https://cpt.tcgcsv.com/M5n2,2018-07-12T19:35:01.83,1,"You can Tribute 1 monster, then target 1 Cyberse monster in your GY; Special Summon it. You can only use this effect of ""RAM Clouder"" once per turn.",0.03,0.15,1.49,0.07,0.05,1st Edition,YS18-EN006,Common,LIGHT,Cyberse,Effect Monster,1800,1000,,
170188,Linkslayer,Linkslayer,https://tcgplayer-cdn.tcgplayer.com/product/170188_200w.jpg,2,2266,https://cpt.tcgcsv.com/N5n2,2025-05-15T20:19:11.497,1,"If you control no monsters, you can Special Summon this card (from your hand). Once per turn: You can discard up to 2 cards, then target that many Spells/Traps on the field; destroy them.",0.1,0.23,1.49,0.16,,1st Edition,YS18-EN007,Common,EARTH,Cyberse,Effect Monster,2000,600,,
170190,Backup Secretary,Backup Secretary,https://tcgplayer-cdn.tcgplayer.com/product/170190_200w.jpg,2,2266,https://cpt.tcgcsv.com/Q5n2,2018-07-12T19:24:44.283,1,"If you control a Cyberse monster, you can Special Summon this card (from your hand). You can only Special Summon ""Backup Secretary"" once per turn this way.",0.05,0.19,1.49,0.09,0.06,1st Edition,YS18-EN008,Common,LIGHT,Cyberse,Effect Monster,1200,800,,
170191,Launcher Commander,Launcher Commander,https://tcgplayer-cdn.tcgplayer.com/product/170191_200w.jpg,2,2266,https://cpt.tcgcsv.com/R5n2,2018-07-12T19:26:45.677,1,"All other Cyberse monsters you control gain 300 ATK/DEF. Once per turn: You can Tribute 1 Cyberse monster, then target 1 face-up monster your opponent controls; destroy it.",0.01,0.15,1.49,0.05,,1st Edition,YS18-EN009,Common,EARTH,Cyberse,Effect Monster,1700,1200,,
