productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
98952,Dark Legion Starter Deck,Dark Legion Starter Deck,https://tcgplayer-cdn.tcgplayer.com/product/98952_200w.jpg,2,1544,https://cpt.tcgcsv.com/3CP,2015-06-02T19:14:39.127,1,25.39,26.67,27.95,26.04,,Normal,,,,,,,,
99090,Archfiend Soldier,Archfiend Soldier,https://tcgplayer-cdn.tcgplayer.com/product/99090_200w.jpg,2,1544,https://cpt.tcgcsv.com/QFP,2015-06-02T18:28:16.61,1,0.27,0.49,3.77,0.46,,1st Edition,YS15-ENL02,Common,DARK,Fiend,Normal Monster,1900,1500,<em>An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.</em>
99091,D/D/D Dragon King Pendragon,D D D Dragon King Pendragon,https://tcgplayer-cdn.tcgplayer.com/product/99091_200w.jpg,2,1544,https://cpt.tcgcsv.com/RFP,2015-06-02T18:29:47.957,1,0.55,1.1,6.0,0.88,,1st Edition,YS15-ENL00,Secret Rare,DARK,Fiend,Effect Monster,2600,2400,"If this card is in your hand: You can Tribute 1 Dragon-Type monster and 1 other Fiend-Type monster from your hand and/or your side of the field; Special Summon this card. Once per turn: You can discard 1 card; this card gains 500 ATK, then you can destroy 1 Spell/Trap Card on the field. This ATK increase lasts until the end of this turn."
99092,Beast of Talwar,Beast of Talwar,https://tcgplayer-cdn.tcgplayer.com/product/99092_200w.jpg,2,1544,https://cpt.tcgcsv.com/SFP,2015-06-02T18:29:16.41,1,0.1,0.25,1.0,0.15,,1st Edition,YS15-ENL01,Common,DARK,Fiend,Normal Monster,2400,2150,<em>Only the master of the sword among the Fiend-Type monsters is permitted to hold the Talwar.
99093,The Dragon Dwelling in the Cave,The Dragon Dwelling in the Cave,https://tcgplayer-cdn.tcgplayer.com/product/99093_200w.jpg,2,1544,https://cpt.tcgcsv.com/TFP,2015-06-02T18:35:01.87,1,0.09,0.23,1.98,0.2,,1st Edition,YS15-ENL03,Common,WIND,Dragon,Normal Monster,1300,2000,"<em>A huge dragon dwelling in a cave. It is horrible when it gets angry, although it is usually quiet. It is said to preserve certain treasures."
99094,Gravi-Crush Dragon,Gravi Crush Dragon,https://tcgplayer-cdn.tcgplayer.com/product/99094_200w.jpg,2,1544,https://cpt.tcgcsv.com/VFP,2015-06-02T18:31:36.67,1,0.1,0.31,1.0,0.32,,1st Edition,YS15-ENL04,Common,DARK,Dragon,Effect Monster,2400,1200,"You can send 1 face-up Continuous Spell Card you control to the Graveyard, then target 1 monster your opponent controls; destroy that target."
99095,Goblin Elite Attack Force,Goblin Elite Attack Force,https://tcgplayer-cdn.tcgplayer.com/product/99095_200w.jpg,2,1544,https://cpt.tcgcsv.com/WFP,2015-06-02T18:31:10.197,1,0.08,0.24,1.0,0.13,,1st Edition,YS15-ENL05,Common,EARTH,Fiend,Effect Monster,2200,1500,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase, and its battle position cannot be changed until the end of your next turn."
99096,Axe Dragonute,Axe Dragonute,https://tcgplayer-cdn.tcgplayer.com/product/99096_200w.jpg,2,1544,https://cpt.tcgcsv.com/XFP,2015-06-02T18:28:31.51,1,0.1,0.25,1.0,0.18,0.11,1st Edition,YS15-ENL06,Common,DARK,Dragon,Effect Monster,2000,1200,"If this card attacks, it is changed to Defense Position at the end of the Damage Step."
99097,Lancer Lindwurm,Lancer Lindwurm,https://tcgplayer-cdn.tcgplayer.com/product/99097_200w.jpg,2,1544,https://cpt.tcgcsv.com/ZFP,2015-06-02T18:32:05.08,1,0.11,0.25,0.99,0.29,,1st Edition,YS15-ENL07,Common,WIND,Dragon,Effect Monster,1800,1200,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent."
99098,Mad Archfiend,Mad Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/99098_200w.jpg,2,1544,https://cpt.tcgcsv.com/-FP,2015-06-02T18:32:19.45,1,0.14,0.3,1.0,0.3,,1st Edition,YS15-ENL08,Common,DARK,Fiend,Effect Monster,1800,0,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. If this face-up Attack Position card is targeted for an attack: Change it to Defense Position."
99099,Fabled Ashenveil,Fabled Ashenveil,https://tcgplayer-cdn.tcgplayer.com/product/99099_200w.jpg,2,1544,https://cpt.tcgcsv.com/_FP,2015-06-02T18:30:53.25,1,0.06,0.25,1.0,0.11,,1st Edition,YS15-ENL09,Common,LIGHT,Fiend,Effect Monster,1600,1200,"If this card attacks or is attacked, during damage calculation (in either player's turn): You can send 1 card from your hand to the Graveyard once per battle; this card gains 600 ATK during that damage calculation only."
99100,Lancer Dragonute,Lancer Dragonute,https://tcgplayer-cdn.tcgplayer.com/product/99100_200w.jpg,2,1544,https://cpt.tcgcsv.com/0GP,2015-06-02T18:31:51.19,1,0.1,0.25,1.0,0.26,,1st Edition,YS15-ENL10,Common,DARK,Dragon,Effect Monster,1500,1800,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent."
99101,Theban Nightmare,Theban Nightmare,https://tcgplayer-cdn.tcgplayer.com/product/99101_200w.jpg,2,1544,https://cpt.tcgcsv.com/2GP,2015-06-02T18:35:22.327,1,0.04,0.24,1.0,0.08,,1st Edition,YS15-ENL11,Common,LIGHT,Fiend,Effect Monster,1500,500,"While you have no cards in your hand nor in your Spell & Trap Zones, this card gains 1500 ATK."
99102,Exploder Dragon (Shatterfoil),Exploder Dragon Shatterfoil,https://tcgplayer-cdn.tcgplayer.com/product/99102_200w.jpg,2,1544,https://cpt.tcgcsv.com/3GP,2022-05-05T20:47:39.953,1,0.25,0.5,1.99,0.5,,1st Edition,YS15-ENL12,Shatterfoil Rare,EARTH,Dragon,Effect Monster,1000,0,If this card is destroyed by battle and sent to the Graveyard: Destroy the monster that destroyed it. Neither player takes any battle damage from attacks involving this attacking card.
99103,Grave Squirmer,Grave Squirmer,https://tcgplayer-cdn.tcgplayer.com/product/99103_200w.jpg,2,1544,https://cpt.tcgcsv.com/5GP,2015-06-02T18:31:24.63,1,0.06,0.25,1.0,0.1,,1st Edition,YS15-ENL13,Common,DARK,Fiend,Effect Monster,0,0,If this card is destroyed by battle and sent to the Graveyard: Target 1 card on the field; destroy that target.
99104,Dark Hole (Shatterfoil),Dark Hole Shatterfoil,https://tcgplayer-cdn.tcgplayer.com/product/99104_200w.jpg,2,1544,https://cpt.tcgcsv.com/6GP,2022-05-05T20:47:32.897,1,0.25,0.64,5.02,0.51,,1st Edition,YS15-ENL14,Shatterfoil Rare,SPELL,,Normal Spell,,,Destroy all monsters on the field.
