productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription
35330,Battle Footballer,Battle Footballer,https://tcgplayer-cdn.tcgplayer.com/product/35330_200w.jpg,2,301,https://cpt.tcgcsv.com/D8j,2013-05-09T12:13:41.653,1,5DS3-EN001,Common,FIRE,Machine,Normal Monster,1000,2100,0.08,0.23,1.0,0.14,,1st Edition,
35331,Blazing Inpachi,Blazing Inpachi,https://tcgplayer-cdn.tcgplayer.com/product/35331_200w.jpg,2,301,https://cpt.tcgcsv.com/F8j,2013-05-09T12:13:41.653,1,5DS3-EN002,Common,FIRE,Pyro,Normal Monster,1850,0,0.02,0.21,1.49,0.15,,1st Edition,
35332,Tune Warrior,Tune Warrior,https://tcgplayer-cdn.tcgplayer.com/product/35332_200w.jpg,2,301,https://cpt.tcgcsv.com/G8j,2013-05-09T12:13:41.653,1,5DS3-EN003,Common,EARTH,Warrior,Tuner Monster,1600,200,0.23,0.63,1.98,0.64,,1st Edition,
35333,Rapid Warrior,Rapid Warrior,https://tcgplayer-cdn.tcgplayer.com/product/35333_200w.jpg,2,301,https://cpt.tcgcsv.com/H8j,2013-05-09T12:13:41.653,1,5DS3-EN004,Super Rare,WIND,Warrior,Effect Monster,1200,200,0.05,0.25,1.99,0.19,,1st Edition,"Activate only during your Main Phase 1. During this turn, this card can attack your opponent directly. If you activate this effect, other monsters you control cannot declare an attack during this turn."
35334,Synchron Explorer,Synchron Explorer,https://tcgplayer-cdn.tcgplayer.com/product/35334_200w.jpg,2,301,https://cpt.tcgcsv.com/J8j,2013-05-09T12:13:41.653,1,5DS3-EN005,Super Rare,EARTH,Machine,Effect Monster,0,700,0.07,0.36,2.08,0.35,,1st Edition,"When this card is Normal Summoned successfully, you can Special Summon 1 Synchron Monster from your Graveyard. The effect(s) of an Effect Monster Special Summoned by this effect is negated."
35335,Man-Eater Bug,Man Eater Bug,https://tcgplayer-cdn.tcgplayer.com/product/35335_200w.jpg,2,301,https://cpt.tcgcsv.com/K8j,2013-05-09T12:13:41.653,1,5DS3-EN006,Common,EARTH,Insect,Effect Monster,450,600,0.13,0.45,1.98,0.52,,1st Edition,FLIP: Destroy 1 monster on the field.
35336,Hayabusa Knight,Hayabusa Knight,https://tcgplayer-cdn.tcgplayer.com/product/35336_200w.jpg,2,301,https://cpt.tcgcsv.com/L8j,2013-05-09T12:13:41.653,1,5DS3-EN007,Common,EARTH,Warrior,Effect Monster,1000,700,0.09,0.25,1.99,0.22,,1st Edition,This card can attack twice during the same Battle Phase.
35337,Chainsaw Insect,Chainsaw Insect,https://tcgplayer-cdn.tcgplayer.com/product/35337_200w.jpg,2,301,https://cpt.tcgcsv.com/M8j,2013-05-09T12:13:41.653,1,5DS3-EN008,Common,EARTH,Insect,Effect Monster,2400,0,0.11,0.39,1.49,0.39,,1st Edition,"If this card attacks or is attacked, your opponent draws 1 card at the end of the Damage Step."
35338,Worm Apocalypse,Worm Apocalypse,https://tcgplayer-cdn.tcgplayer.com/product/35338_200w.jpg,2,301,https://cpt.tcgcsv.com/N8j,2013-05-09T12:13:41.653,1,5DS3-EN009,Common,LIGHT,Reptile,Effect Monster,300,200,0.09,0.25,1.49,0.17,,1st Edition,FLIP: Destroy 1 Spell or Trap Card.
35339,Junk Synchron,Junk Synchron,https://tcgplayer-cdn.tcgplayer.com/product/35339_200w.jpg,2,301,https://cpt.tcgcsv.com/P8j,2021-08-20T13:31:02.053,1,5DS3-EN010,Common,DARK,Warrior,Tuner Monster,1300,500,0.39,0.75,2.99,0.53,,1st Edition,"When this card is Normal Summoned, you can Special Summon 1 Level 2 or lower monster from your Graveyard in face-up Defense Position. That monster's effect(s) is negated."
35340,Speed Warrior,Speed Warrior,https://tcgplayer-cdn.tcgplayer.com/product/35340_200w.jpg,2,301,https://cpt.tcgcsv.com/Q8j,2013-05-09T12:13:41.653,1,5DS3-EN011,Common,WIND,Warrior,Effect Monster,900,400,0.1,0.24,1.49,0.22,,1st Edition,"During the Battle Phase of the turn you Normal Summon this card, you can double its original ATK until the end of the Battle Phase."
35341,Quillbolt Hedgehog,Quillbolt Hedgehog,https://tcgplayer-cdn.tcgplayer.com/product/35341_200w.jpg,2,301,https://cpt.tcgcsv.com/R8j,2013-05-09T12:13:41.653,1,5DS3-EN012,Common,EARTH,Machine,Effect Monster,800,800,0.05,0.25,1.99,0.2,,1st Edition,"If you control a face-up Tuner monster, you can Special Summon this card from your Graveyard. If this card was Summoned this way, remove it from play when it is removed from the field."
35342,X-Saber Galahad,X Saber Galahad,https://tcgplayer-cdn.tcgplayer.com/product/35342_200w.jpg,2,301,https://cpt.tcgcsv.com/S8j,2013-05-09T12:13:41.653,1,5DS3-EN013,Common,EARTH,Warrior,Effect Monster,1800,800,0.15,0.28,1.49,0.27,,1st Edition,"If this card attacks an opponent's monster, this card gains 300 ATK during the Damage Step only. If this card is attacked by an opponent's monster, this card loses 500 ATK during the Damage Step only. When this card is selected as an attack target, you ca"
35343,Fortress Warrior,Fortress Warrior,https://tcgplayer-cdn.tcgplayer.com/product/35343_200w.jpg,2,301,https://cpt.tcgcsv.com/T8j,2013-05-09T12:13:41.653,1,5DS3-EN014,Common,EARTH,Warrior,Effect Monster,600,1200,0.08,0.25,1.49,0.15,,1st Edition,"You take no battle damage from battles involving this card. Once per turn, if this card would be destroyed by battle, it is not destroyed. (Damage calculation is applied normally.)"
35344,Turret Warrior,Turret Warrior,https://tcgplayer-cdn.tcgplayer.com/product/35344_200w.jpg,2,301,https://cpt.tcgcsv.com/V8j,2013-05-09T12:13:41.653,1,5DS3-EN015,Common,EARTH,Warrior,Effect Monster,1200,2000,0.1,0.32,1.49,0.34,,1st Edition,"You can Tribute 1 Warrior-Type monster to Special Summon this card from your hand. If you do, it gains ATK equal to the Tributed monster's original ATK."
35345,Twin-Sword Marauder,Twin Sword Marauder,https://tcgplayer-cdn.tcgplayer.com/product/35345_200w.jpg,2,301,https://cpt.tcgcsv.com/W8j,2013-05-09T12:13:41.653,1,5DS3-EN016,Common,DARK,Warrior,Effect Monster,1600,1000,0.01,0.25,1.49,0.27,,1st Edition,"Once per turn, after this card attacks a Defense Position monster, it can attack once more. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to y"
35346,Dark Tinker,Dark Tinker,https://tcgplayer-cdn.tcgplayer.com/product/35346_200w.jpg,2,301,https://cpt.tcgcsv.com/X8j,2013-05-09T12:13:41.653,1,5DS3-EN017,Common,DARK,Fiend,Tuner Monster,1000,1300,0.07,0.22,1.41,0.21,,1st Edition,"When this card you control is sent to the Graveyard, look at the top card of your Deck. Return that card to either the top or the bottom of the Deck."
35347,Quickdraw Synchron,Quickdraw Synchron,https://tcgplayer-cdn.tcgplayer.com/product/35347_200w.jpg,2,301,https://cpt.tcgcsv.com/Z8j,2013-05-09T12:13:41.653,1,5DS3-EN018,Common,WIND,Machine,Tuner Monster,700,1400,0.15,0.32,70.19,0.28,,1st Edition,"You can send 1 monster from your hand to the Graveyard and Special Summon this card from your hand. You can substitute this card for any 1 Synchron Tuner for a Synchro Summon. This card cannot be used as a Synchro Material Monster, except for the Synchro"
35348,Half Shut,Half Shut,https://tcgplayer-cdn.tcgplayer.com/product/35348_200w.jpg,2,301,https://cpt.tcgcsv.com/-8j,2013-05-09T12:13:41.653,1,5DS3-EN019,Common,Spell,,Normal Spell,0,0,0.1,0.23,1.49,0.22,,1st Edition,"Activate by selecting 1 face-up monster on the field. The selected monster's ATK is halved until the End Phase, and it cannot be destroyed by battle."
35349,Giant Trunade,Giant Trunade,https://tcgplayer-cdn.tcgplayer.com/product/35349_200w.jpg,2,301,https://cpt.tcgcsv.com/_8j,2013-05-09T12:13:41.653,1,5DS3-EN020,Common,Spell,,Normal Spell,0,0,0.27,0.83,3.0,0.9,,1st Edition,Return all Spell and Trap Cards on the field to their owners' hands.
35350,Card Destruction,Card Destruction,https://tcgplayer-cdn.tcgplayer.com/product/35350_200w.jpg,2,301,https://cpt.tcgcsv.com/09j,2013-05-09T12:13:41.653,1,5DS3-EN021,Common,Spell,,Normal Spell,0,0,0.2,0.49,1.0,0.3,,1st Edition,Each player discards their hand and draws the same number of cards they discarded.
35351,Reinforcement of the Army,Reinforcement of the Army,https://tcgplayer-cdn.tcgplayer.com/product/35351_200w.jpg,2,301,https://cpt.tcgcsv.com/29j,2013-05-09T12:13:41.653,1,5DS3-EN022,Common,Spell,,Normal Spell,0,0,0.14,0.27,1.49,0.26,,1st Edition,Add 1 Level 4 or lower Warrior-Type monster from your Deck to your hand.
