productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
23208,Kaiser Sea Horse,Kaiser Sea Horse,https://tcgplayer-cdn.tcgplayer.com/product/23208_200w.jpg,2,295,https://cpt.tcgcsv.com/bjc,2013-05-09T12:13:41.653,1,SKE-015,Ultra Rare,LIGHT,Sea Serpent,Effect Monster,1700,1650,"Effect: If you Tribute Summon a LIGHT monster, you can treat this 1 monster as 2 Tribute Monsters for the Tribute Summon.",0.01,0.4,5.01,0.54,,Unlimited
23208,Kaiser Sea Horse,Kaiser Sea Horse,https://tcgplayer-cdn.tcgplayer.com/product/23208_200w.jpg,2,295,https://cpt.tcgcsv.com/bjc,2013-05-09T12:13:41.653,1,SKE-015,Ultra Rare,LIGHT,Sea Serpent,Effect Monster,1700,1650,"Effect: If you Tribute Summon a LIGHT monster, you can treat this 1 monster as 2 Tribute Monsters for the Tribute Summon.",0.12,0.69,8.35,0.73,,1st Edition
23209,Shadow Spell,Shadow Spell,https://tcgplayer-cdn.tcgplayer.com/product/23209_200w.jpg,2,295,https://cpt.tcgcsv.com/cjc,2013-05-09T12:13:41.653,1,SKE-041,Super Rare,TRAP,,Normal Trap,0,0,"Select 1 face-up monster on your opponent's side of the field. Decrease the ATK of the selected monster by 700 points. The monster cannot attack or change its battle position. When the selected monster is destroyed or removed from the field, this card is also destroyed.",0.05,0.4,5.0,0.36,,Unlimited
23209,Shadow Spell,Shadow Spell,https://tcgplayer-cdn.tcgplayer.com/product/23209_200w.jpg,2,295,https://cpt.tcgcsv.com/cjc,2013-05-09T12:13:41.653,1,SKE-041,Super Rare,TRAP,,Normal Trap,0,0,"Select 1 face-up monster on your opponent's side of the field. Decrease the ATK of the selected monster by 700 points. The monster cannot attack or change its battle position. When the selected monster is destroyed or removed from the field, this card is also destroyed.",0.22,0.49,2.99,0.48,,1st Edition
25162,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/25162_200w.jpg,2,295,https://cpt.tcgcsv.com/g5d,2013-05-09T12:13:41.653,1,SKE-001,Super Rare,LIGHT,Dragon,Normal Monster,3000,2500,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",0.63,2.59,16.0,4.12,,Unlimited
25162,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/25162_200w.jpg,2,295,https://cpt.tcgcsv.com/g5d,2013-05-09T12:13:41.653,1,SKE-001,Super Rare,LIGHT,Dragon,Normal Monster,3000,2500,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",1.49,6.0,25.0,9.54,,1st Edition
25163,Battle Ox,Battle Ox,https://tcgplayer-cdn.tcgplayer.com/product/25163_200w.jpg,2,295,https://cpt.tcgcsv.com/h5d,2013-05-09T12:13:41.653,1,SKE-002,Common,EARTH,Beast-Warrior,Normal Monster,1700,1000,"A monster with tremendous power, it destroys enemies with a swing of its axe.",0.13,0.28,1.98,0.27,,Unlimited
25163,Battle Ox,Battle Ox,https://tcgplayer-cdn.tcgplayer.com/product/25163_200w.jpg,2,295,https://cpt.tcgcsv.com/h5d,2013-05-09T12:13:41.653,1,SKE-002,Common,EARTH,Beast-Warrior,Normal Monster,1700,1000,"A monster with tremendous power, it destroys enemies with a swing of its axe.",0.19,0.27,1.99,0.24,,1st Edition
25164,Koumori Dragon,Koumori Dragon,https://tcgplayer-cdn.tcgplayer.com/product/25164_200w.jpg,2,295,https://cpt.tcgcsv.com/j5d,2013-05-09T12:13:41.653,1,SKE-003,Common,DARK,Dragon,Normal Monster,1500,1200,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.",0.12,0.57,2.99,0.97,,Unlimited
25164,Koumori Dragon,Koumori Dragon,https://tcgplayer-cdn.tcgplayer.com/product/25164_200w.jpg,2,295,https://cpt.tcgcsv.com/j5d,2013-05-09T12:13:41.653,1,SKE-003,Common,DARK,Dragon,Normal Monster,1500,1200,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.",0.28,0.67,2.5,0.71,,1st Edition
25165,Rogue Doll,Rogue Doll,https://tcgplayer-cdn.tcgplayer.com/product/25165_200w.jpg,2,295,https://cpt.tcgcsv.com/k5d,2013-05-09T12:13:41.653,1,SKE-004,Common,LIGHT,Spellcaster,Normal Monster,1600,1000,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",0.05,0.24,1.98,0.12,,Unlimited
25165,Rogue Doll,Rogue Doll,https://tcgplayer-cdn.tcgplayer.com/product/25165_200w.jpg,2,295,https://cpt.tcgcsv.com/k5d,2013-05-09T12:13:41.653,1,SKE-004,Common,LIGHT,Spellcaster,Normal Monster,1600,1000,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",0.08,0.25,1.98,0.14,,1st Edition
25166,Kojikocy,Kojikocy,https://tcgplayer-cdn.tcgplayer.com/product/25166_200w.jpg,2,295,https://cpt.tcgcsv.com/l5d,2013-05-09T12:13:41.653,1,SKE-005,Common,EARTH,Warrior,Normal Monster,1500,1200,A man-hunter with powerful arms that can crush boulders.,0.05,0.25,1.98,0.28,,Unlimited
25166,Kojikocy,Kojikocy,https://tcgplayer-cdn.tcgplayer.com/product/25166_200w.jpg,2,295,https://cpt.tcgcsv.com/l5d,2013-05-09T12:13:41.653,1,SKE-005,Common,EARTH,Warrior,Normal Monster,1500,1200,A man-hunter with powerful arms that can crush boulders.,0.1,0.25,1.98,0.22,,1st Edition
25167,Uraby,Uraby,https://tcgplayer-cdn.tcgplayer.com/product/25167_200w.jpg,2,295,https://cpt.tcgcsv.com/m5d,2013-05-09T12:13:41.653,1,SKE-006,Common,EARTH,Dinosaur,Normal Monster,1500,800,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.",0.05,0.2,1.98,0.08,,Unlimited
25167,Uraby,Uraby,https://tcgplayer-cdn.tcgplayer.com/product/25167_200w.jpg,2,295,https://cpt.tcgcsv.com/m5d,2013-05-09T12:13:41.653,1,SKE-006,Common,EARTH,Dinosaur,Normal Monster,1500,800,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.",0.1,0.25,1.98,0.15,,1st Edition
25168,Mystic Horseman,Mystic Horseman,https://tcgplayer-cdn.tcgplayer.com/product/25168_200w.jpg,2,295,https://cpt.tcgcsv.com/n5d,2013-05-09T12:13:41.653,1,SKE-007,Common,EARTH,Beast,Normal Monster,1300,1550,"Half man and half horse, this monster is known for its extreme speed.",0.04,0.2,1.98,0.11,,Unlimited
25168,Mystic Horseman,Mystic Horseman,https://tcgplayer-cdn.tcgplayer.com/product/25168_200w.jpg,2,295,https://cpt.tcgcsv.com/n5d,2013-05-09T12:13:41.653,1,SKE-007,Common,EARTH,Beast,Normal Monster,1300,1550,"Half man and half horse, this monster is known for its extreme speed.",0.07,0.2,1.98,0.13,,1st Edition
25169,Ryu-Kishin Powered,Ryu Kishin Powered,https://tcgplayer-cdn.tcgplayer.com/product/25169_200w.jpg,2,295,https://cpt.tcgcsv.com/p5d,2013-05-09T12:13:41.653,1,SKE-008,Common,LIGHT,Fiend,Normal Monster,1600,1200,A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent.,0.1,0.25,1.98,0.15,,Unlimited
25169,Ryu-Kishin Powered,Ryu Kishin Powered,https://tcgplayer-cdn.tcgplayer.com/product/25169_200w.jpg,2,295,https://cpt.tcgcsv.com/p5d,2013-05-09T12:13:41.653,1,SKE-008,Common,LIGHT,Fiend,Normal Monster,1600,1200,A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent.,0.1,0.25,1.98,0.38,,1st Edition
25170,La Jinn the Mystical Genie of the Lamp,La Jinn the Mystical Genie of the Lamp,https://tcgplayer-cdn.tcgplayer.com/product/25170_200w.jpg,2,295,https://cpt.tcgcsv.com/q5d,2013-05-09T12:13:41.653,1,SKE-009,Common,DARK,Fiend,Normal Monster,1800,1000,A genie of the lamp that''s at the beck and call of its master.,0.08,0.21,1.98,0.13,,Unlimited
25170,La Jinn the Mystical Genie of the Lamp,La Jinn the Mystical Genie of the Lamp,https://tcgplayer-cdn.tcgplayer.com/product/25170_200w.jpg,2,295,https://cpt.tcgcsv.com/q5d,2013-05-09T12:13:41.653,1,SKE-009,Common,DARK,Fiend,Normal Monster,1800,1000,A genie of the lamp that''s at the beck and call of its master.,0.13,0.28,1.98,0.75,,1st Edition
25171,Skull Red Bird,Skull Red Bird,https://tcgplayer-cdn.tcgplayer.com/product/25171_200w.jpg,2,295,https://cpt.tcgcsv.com/r5d,2013-05-09T12:13:41.653,1,SKE-010,Common,WIND,Winged Beast,Normal Monster,1550,1200,This monster swoops down and attacks with a rain of knives stored in its wings.,0.05,0.21,1.98,0.13,,Unlimited
25171,Skull Red Bird,Skull Red Bird,https://tcgplayer-cdn.tcgplayer.com/product/25171_200w.jpg,2,295,https://cpt.tcgcsv.com/r5d,2013-05-09T12:13:41.653,1,SKE-010,Common,WIND,Winged Beast,Normal Monster,1550,1200,This monster swoops down and attacks with a rain of knives stored in its wings.,0.09,0.35,1.98,0.56,,1st Edition
25172,Hyozanryu,Hyozanryu,https://tcgplayer-cdn.tcgplayer.com/product/25172_200w.jpg,2,295,https://cpt.tcgcsv.com/s5d,2013-05-09T12:13:41.653,1,SKE-011,Common,LIGHT,Dragon,Normal Monster,2100,2800,A dragon created from a massive diamond that sparkles with blinding light.,0.05,0.23,1.98,0.18,,Unlimited
25172,Hyozanryu,Hyozanryu,https://tcgplayer-cdn.tcgplayer.com/product/25172_200w.jpg,2,295,https://cpt.tcgcsv.com/s5d,2013-05-09T12:13:41.653,1,SKE-011,Common,LIGHT,Dragon,Normal Monster,2100,2800,A dragon created from a massive diamond that sparkles with blinding light.,0.1,0.25,11.5,0.21,,1st Edition
25173,Opticlops,Opticlops,https://tcgplayer-cdn.tcgplayer.com/product/25173_200w.jpg,2,295,https://cpt.tcgcsv.com/t5d,2013-05-09T12:13:41.653,1,SKE-012,Common,DARK,Fiend,Normal Monster,1800,1700,"A one-eyed giant that serves the Dark Ruler Ha Des, it skewers its enemies with its sharp horn, shattering them to pieces.",0.01,0.2,1.98,0.11,,Unlimited
25173,Opticlops,Opticlops,https://tcgplayer-cdn.tcgplayer.com/product/25173_200w.jpg,2,295,https://cpt.tcgcsv.com/t5d,2013-05-09T12:13:41.653,1,SKE-012,Common,DARK,Fiend,Normal Monster,1800,1700,"A one-eyed giant that serves the Dark Ruler Ha Des, it skewers its enemies with its sharp horn, shattering them to pieces.",0.1,0.25,1.98,0.14,,1st Edition
25174,The Dragon Dwelling in the Cave,The Dragon Dwelling in the Cave,https://tcgplayer-cdn.tcgplayer.com/product/25174_200w.jpg,2,295,https://cpt.tcgcsv.com/v5d,2013-05-09T12:13:41.653,1,SKE-013,Common,WIND,Dragon,Normal Monster,1300,2000,"A huge dragon dwelling in a cave. It is horrible when it gets angry, although it is usually quiet. It is said to preserve certain treasures.",0.05,0.25,1.98,0.27,,Unlimited
25174,The Dragon Dwelling in the Cave,The Dragon Dwelling in the Cave,https://tcgplayer-cdn.tcgplayer.com/product/25174_200w.jpg,2,295,https://cpt.tcgcsv.com/v5d,2013-05-09T12:13:41.653,1,SKE-013,Common,WIND,Dragon,Normal Monster,1300,2000,"A huge dragon dwelling in a cave. It is horrible when it gets angry, although it is usually quiet. It is said to preserve certain treasures.",0.05,0.25,1.98,0.13,,1st Edition
25175,Luster Dragon #2,Luster Dragon 2,https://tcgplayer-cdn.tcgplayer.com/product/25175_200w.jpg,2,295,https://cpt.tcgcsv.com/w5d,2021-06-28T13:48:30.317,1,SKE-014,Common,WIND,Dragon,Normal Monster,2400,1600,"This dragon feeds on emerald. Enchanted by this monster even when attacked, few people live to tell of its beauty.",0.1,0.26,1.98,0.32,,Unlimited
25175,Luster Dragon #2,Luster Dragon 2,https://tcgplayer-cdn.tcgplayer.com/product/25175_200w.jpg,2,295,https://cpt.tcgcsv.com/w5d,2021-06-28T13:48:30.317,1,SKE-014,Common,WIND,Dragon,Normal Monster,2400,1600,"This dragon feeds on emerald. Enchanted by this monster even when attacked, few people live to tell of its beauty.",0.3,0.53,1.98,0.49,,1st Edition
25176,Lord of D.,Lord of D,https://tcgplayer-cdn.tcgplayer.com/product/25176_200w.jpg,2,295,https://cpt.tcgcsv.com/x5d,2013-05-09T12:13:41.653,1,SKE-016,Common,DARK,Spellcaster,Effect Monster,1200,1100,"As long as this card remains face-up on the field, all Dragon-Type monsters cannot be targeted by Spell Cards, Trap Cards, or effects of monsters that designate a target.",0.1,0.26,1.98,0.25,,Unlimited
25176,Lord of D.,Lord of D,https://tcgplayer-cdn.tcgplayer.com/product/25176_200w.jpg,2,295,https://cpt.tcgcsv.com/x5d,2013-05-09T12:13:41.653,1,SKE-016,Common,DARK,Spellcaster,Effect Monster,1200,1100,"As long as this card remains face-up on the field, all Dragon-Type monsters cannot be targeted by Spell Cards, Trap Cards, or effects of monsters that designate a target.",0.16,0.47,1.98,0.45,,1st Edition
25177,Mysterious Puppeteer,Mysterious Puppeteer,https://tcgplayer-cdn.tcgplayer.com/product/25177_200w.jpg,2,295,https://cpt.tcgcsv.com/z5d,2013-05-09T12:13:41.653,1,SKE-017,Common,EARTH,Warrior,Effect Monster,1000,1500,"Each time you or your opponent Normal Summons or Flip Summons a monster, increase your Life Points by 500 points.",0.05,0.25,1.98,0.3,,Unlimited
25177,Mysterious Puppeteer,Mysterious Puppeteer,https://tcgplayer-cdn.tcgplayer.com/product/25177_200w.jpg,2,295,https://cpt.tcgcsv.com/z5d,2013-05-09T12:13:41.653,1,SKE-017,Common,EARTH,Warrior,Effect Monster,1000,1500,"Each time you or your opponent Normal Summons or Flip Summons a monster, increase your Life Points by 500 points.",0.09,0.25,6.5,0.25,,1st Edition
25178,Trap Master,Trap Master,https://tcgplayer-cdn.tcgplayer.com/product/25178_200w.jpg,2,295,https://cpt.tcgcsv.com/B5d,2013-05-09T12:13:41.653,1,SKE-018,Common,EARTH,Warrior,Effect Monster,500,1100,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",0.15,0.5,2.99,0.44,,Unlimited
25178,Trap Master,Trap Master,https://tcgplayer-cdn.tcgplayer.com/product/25178_200w.jpg,2,295,https://cpt.tcgcsv.com/B5d,2013-05-09T12:13:41.653,1,SKE-018,Common,EARTH,Warrior,Effect Monster,500,1100,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",0.19,0.45,2.41,0.65,,1st Edition
25179,Hane-Hane,Hane Hane,https://tcgplayer-cdn.tcgplayer.com/product/25179_200w.jpg,2,295,https://cpt.tcgcsv.com/C5d,2013-05-09T12:13:41.653,1,SKE-019,Common,EARTH,Beast,Effect Monster,450,500,FLIP: Select 1 monster on the field and return it to its owner''s hand.,0.05,0.21,1.98,0.19,,Unlimited
