productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
23034,Relinquished,Relinquished,https://tcgplayer-cdn.tcgplayer.com/product/23034_200w.jpg,2,296,https://cpt.tcgcsv.com/Jdc,2013-05-09T12:13:41.653,1,SDP-001,Ultra Rare,DARK,Spellcaster,Effect Monster,0,0,This monster can take on the ATK and DEF of 1 opponent's monster on the field (a face-down monster results in an ATK and DEF of 0). Treat the selected monster as an Equip Spell Card and use it to equip Relinquished. You may use this effect only once,0.06,1.02,18.63,1.1,,Unlimited
23034,Relinquished,Relinquished,https://tcgplayer-cdn.tcgplayer.com/product/23034_200w.jpg,2,296,https://cpt.tcgcsv.com/Jdc,2013-05-09T12:13:41.653,1,SDP-001,Ultra Rare,DARK,Spellcaster,Effect Monster,0,0,This monster can take on the ATK and DEF of 1 opponent's monster on the field (a face-down monster results in an ATK and DEF of 0). Treat the selected monster as an Equip Spell Card and use it to equip Relinquished. You may use this effect only once,0.75,4.28,19.99,6.49,,1st Edition
23035,Red Archery Girl,Red Archery Girl,https://tcgplayer-cdn.tcgplayer.com/product/23035_200w.jpg,2,296,https://cpt.tcgcsv.com/Kdc,2013-05-09T12:13:41.653,1,SDP-002,Common,WATER,Aqua,Normal Monster,1400,1500,,0.1,0.2,1.0,0.19,,Unlimited
23035,Red Archery Girl,Red Archery Girl,https://tcgplayer-cdn.tcgplayer.com/product/23035_200w.jpg,2,296,https://cpt.tcgcsv.com/Kdc,2013-05-09T12:13:41.653,1,SDP-002,Common,WATER,Aqua,Normal Monster,1400,1500,,0.1,0.49,1.7,0.61,,1st Edition
23036,Ryu-Ran,Ryu Ran,https://tcgplayer-cdn.tcgplayer.com/product/23036_200w.jpg,2,296,https://cpt.tcgcsv.com/Ldc,2013-05-09T12:13:41.653,1,SDP-003,Common,FIRE,Dragon,Normal Monster,2200,2600,,0.1,0.28,1.8,0.28,,Unlimited
23036,Ryu-Ran,Ryu Ran,https://tcgplayer-cdn.tcgplayer.com/product/23036_200w.jpg,2,296,https://cpt.tcgcsv.com/Ldc,2013-05-09T12:13:41.653,1,SDP-003,Common,FIRE,Dragon,Normal Monster,2200,2600,,0.1,0.44,1.0,0.59,,1st Edition
23037,Illusionist Faceless Mage,Illusionist Faceless Mage,https://tcgplayer-cdn.tcgplayer.com/product/23037_200w.jpg,2,296,https://cpt.tcgcsv.com/Mdc,2013-05-09T12:13:41.653,1,SDP-004,Common,DARK,Spellcaster,Normal Monster,1200,2200,,0.05,0.22,1.45,0.17,,Unlimited
23037,Illusionist Faceless Mage,Illusionist Faceless Mage,https://tcgplayer-cdn.tcgplayer.com/product/23037_200w.jpg,2,296,https://cpt.tcgcsv.com/Mdc,2013-05-09T12:13:41.653,1,SDP-004,Common,DARK,Spellcaster,Normal Monster,1200,2200,,0.14,0.33,1.61,0.33,,1st Edition
23038,Rogue Doll,Rogue Doll,https://tcgplayer-cdn.tcgplayer.com/product/23038_200w.jpg,2,296,https://cpt.tcgcsv.com/Ndc,2013-05-09T12:13:41.653,1,SDP-005,Common,LIGHT,Spellcaster,Normal Monster,1600,1000,,0.1,0.22,1.7,0.16,,Unlimited
23038,Rogue Doll,Rogue Doll,https://tcgplayer-cdn.tcgplayer.com/product/23038_200w.jpg,2,296,https://cpt.tcgcsv.com/Ndc,2013-05-09T12:13:41.653,1,SDP-005,Common,LIGHT,Spellcaster,Normal Monster,1600,1000,,0.15,0.5,1.53,0.6,,1st Edition
