productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
98953,Saber Force Starter Deck,Saber Force Starter Deck,https://tcgplayer-cdn.tcgplayer.com/product/98953_200w.jpg,2,1545,https://cpt.tcgcsv.com/5CP,2015-06-02T19:15:01.38,1,19.99,21.57,29.9,19.95,,Normal,,,,,,,,
99121,Alexandrite Dragon,Alexandrite Dragon,https://tcgplayer-cdn.tcgplayer.com/product/99121_200w.jpg,2,1545,https://cpt.tcgcsv.com/rGP,2015-06-02T18:51:22.28,1,0.1,0.26,1.0,0.2,,1st Edition,YS15-ENF01,Common,LIGHT,Dragon,Effect Monster,2000,100,"<em>Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.</em>"
99122,Odd-Eyes Saber Dragon,Odd Eyes Saber Dragon,https://tcgplayer-cdn.tcgplayer.com/product/99122_200w.jpg,2,1545,https://cpt.tcgcsv.com/sGP,2015-06-02T19:04:50.327,1,0.45,1.4,17.75,1.26,0.86,1st Edition,YS15-ENF00,Secret Rare,LIGHT,Dragon,Effect Monster,2800,2000,"If this card is in your hand: You can Tribute 1 LIGHT monster; send 1 ""Odd-Eyes Dragon"" from your hand, Deck, or your side of the field to the Graveyard, and if you do, Special Summon this card. When this card destroys a monster by battle and sends it to the Graveyard: You can destroy 1 monster your opponent controls."
99123,Mystical Elf,Mystical Elf,https://tcgplayer-cdn.tcgplayer.com/product/99123_200w.jpg,2,1545,https://cpt.tcgcsv.com/tGP,2015-06-02T19:03:49.107,1,0.11,0.24,1.0,0.23,,1st Edition,YS15-ENF02,Common,LIGHT,Spellcaster,Normal Monster,800,2000,"<em>A delicate elf that lacks offense, but has a terrific defense backed by mystical power.</em>"
99124,Odd-Eyes Dragon (Shatterfoil),Odd Eyes Dragon Shatterfoil,https://tcgplayer-cdn.tcgplayer.com/product/99124_200w.jpg,2,1545,https://cpt.tcgcsv.com/vGP,2022-05-05T20:50:48.623,1,0.09,0.36,2.99,0.16,,1st Edition,YS15-ENF03,Shatterfoil Rare,DARK,Dragon,Effect Monster,2500,2000,If this card destroys an opponent's monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to half the original ATK of that monster in the Graveyard.
99125,Kaiser Glider,Kaiser Glider,https://tcgplayer-cdn.tcgplayer.com/product/99125_200w.jpg,2,1545,https://cpt.tcgcsv.com/wGP,2015-06-02T19:01:18.963,1,0.08,0.26,1.49,0.32,,1st Edition,YS15-ENF04,Common,LIGHT,Dragon,Effect Monster,2400,2200,Cannot be destroyed by battle with a monster that has the same ATK. If this card is destroyed and sent to the Graveyard: Target 1 monster on the field; return that target to the hand.
99126,Cyber Dragon,Cyber Dragon,https://tcgplayer-cdn.tcgplayer.com/product/99126_200w.jpg,2,1545,https://cpt.tcgcsv.com/xGP,2015-06-02T19:00:09.253,1,0.15,0.31,1.49,0.25,,1st Edition,YS15-ENF05,Common,LIGHT,Machine,Effect Monster,2100,1600,"If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand)."
99127,Herald of Creation,Herald of Creation,https://tcgplayer-cdn.tcgplayer.com/product/99127_200w.jpg,2,1545,https://cpt.tcgcsv.com/zGP,2015-06-02T19:01:05.64,1,0.01,0.25,1.49,0.15,,1st Edition,YS15-ENF06,Common,LIGHT,Spellcaster,Effect Monster,1800,600,"Once per turn: You can discard 1 card, then target 1 Level 7 or higher monster in your Graveyard; add that target to your hand."
99128,Blade Knight,Blade Knight,https://tcgplayer-cdn.tcgplayer.com/product/99128_200w.jpg,2,1545,https://cpt.tcgcsv.com/BGP,2015-06-02T18:51:52.09,1,0.3,0.7,1.99,0.61,,1st Edition,YS15-ENF07,Common,LIGHT,Warrior,Effect Monster,1600,1000,"While you have 1 or less cards in your hand, this card gains 400 ATK. If you control no other monsters, negate the effects of Flip monsters destroyed by battle with this card."
99129,Mirage Dragon,Mirage Dragon,https://tcgplayer-cdn.tcgplayer.com/product/99129_200w.jpg,2,1545,https://cpt.tcgcsv.com/CGP,2015-06-02T19:03:06.19,1,0.08,0.36,0.99,0.2,,1st Edition,YS15-ENF08,Common,LIGHT,Dragon,Effect Monster,1600,600,Your opponent cannot activate Trap Cards during the Battle Phase.
99130,Maha Vailo,Maha Vailo,https://tcgplayer-cdn.tcgplayer.com/product/99130_200w.jpg,2,1545,https://cpt.tcgcsv.com/DGP,2015-06-02T19:02:39.39,1,0.1,0.29,1.49,0.16,,1st Edition,YS15-ENF09,Common,LIGHT,Spellcaster,Effect Monster,1550,1400,This card gains 500 ATK for each Equip Card equipped to this card.
99131,DUCKER Mobile Cannon,DUCKER Mobile Cannon,https://tcgplayer-cdn.tcgplayer.com/product/99131_200w.jpg,2,1545,https://cpt.tcgcsv.com/FGP,2015-06-02T19:00:35.29,1,0.01,0.22,1.49,0.09,,1st Edition,YS15-ENF10,Common,LIGHT,Machine,Flip/Effect Monster,500,500,FLIP: Target 1 Level 4 monster in your Graveyard; add that target to your hand.
99132,Skelengel,Skelengel,https://tcgplayer-cdn.tcgplayer.com/product/99132_200w.jpg,2,1545,https://cpt.tcgcsv.com/GGP,2015-06-02T19:05:41.577,1,0.15,0.35,1.49,0.19,,1st Edition,YS15-ENF11,Common,LIGHT,Fairy,Flip/Effect Monster,900,400,FLIP: Draw 1 card.
99133,The Calculator,The Calculator,https://tcgplayer-cdn.tcgplayer.com/product/99133_200w.jpg,2,1545,https://cpt.tcgcsv.com/HGP,2015-06-02T19:06:06.98,1,0.08,0.25,1.49,0.13,,1st Edition,YS15-ENF12,Common,LIGHT,Thunder,Effect Monster,0,0,The ATK of this card is the combined Levels of all face-up monsters you control x 300.
99134,Dark Hole (Shatterfoil),Dark Hole Shatterfoil,https://tcgplayer-cdn.tcgplayer.com/product/99134_200w.jpg,2,1545,https://cpt.tcgcsv.com/JGP,2022-05-05T20:49:57.633,1,0.2,0.5,1.99,0.38,,1st Edition,YS15-ENF13,Shatterfoil Rare,SPELL,,Normal Spell,,,Destroy all monsters on the field.
99135,Smashing Ground (Shatterfoil),Smashing Ground Shatterfoil,https://tcgplayer-cdn.tcgplayer.com/product/99135_200w.jpg,2,1545,https://cpt.tcgcsv.com/KGP,2022-05-05T20:50:55.153,1,0.35,0.78,2.02,0.78,,1st Edition,YS15-ENF14,Shatterfoil Rare,SPELL,,Normal Spell,,,"Destroy the 1 face-up monster your opponent controls that has the highest DEF <i>(your choice, if tied)</i>."
99136,Monster Reincarnation,Monster Reincarnation,https://tcgplayer-cdn.tcgplayer.com/product/99136_200w.jpg,2,1545,https://cpt.tcgcsv.com/LGP,2015-06-02T19:03:34.757,1,0.11,0.25,1.49,0.17,,1st Edition,YS15-ENF15,Common,SPELL,,Normal Spell,,,"Discard 1 card, then target 1 monster in your Graveyard; add it to your hand."
