productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack,extDefense,extMonsterType
118467,Pendulum Reborn,Pendulum Reborn,https://tcgplayer-cdn.tcgplayer.com/product/118467_200w.jpg,2,1795,https://cpt.tcgcsv.com/mpZ,2016-08-26T17:58:46.243,1,YS16-EN040,Common,TRAP,Normal Trap,"Special Summon 1 face-up Pendulum Monster from your Extra Deck, or 1 Pendulum Monster from your Graveyard.",0.03,0.25,1.49,0.26,,1st Edition,,,
118469,Chaos Burst,Chaos Burst,https://tcgplayer-cdn.tcgplayer.com/product/118469_200w.jpg,2,1795,https://cpt.tcgcsv.com/ppZ,2016-06-06T16:40:45.283,1,YS16-EN039,Common,TRAP,Normal Trap,"When your opponent's monster declares an attack: Tribute 1 monster, then target the attacking monster; destroy that target, then inflict 1000 damage to your opponent.",0.14,0.25,1.49,0.22,,1st Edition,,,
118470,Dark Bribe,Dark Bribe,https://tcgplayer-cdn.tcgplayer.com/product/118470_200w.jpg,2,1795,https://cpt.tcgcsv.com/qpZ,2016-06-06T16:39:37.613,1,YS16-EN038,Common,TRAP,Normal Trap,"When an opponent's Spell/Trap Card is activated: Your opponent draws 1 card, also negate the Spell/Trap activation, and if you do, destroy it.",0.25,0.6,1.98,0.54,,1st Edition,,,
118471,Threatening Roar,Threatening Roar,https://tcgplayer-cdn.tcgplayer.com/product/118471_200w.jpg,2,1795,https://cpt.tcgcsv.com/rpZ,2016-06-06T16:39:10.1,1,YS16-EN037,Common,TRAP,Normal Trap,Your opponent cannot declare an attack this turn.,0.45,0.7,2.99,0.7,,1st Edition,,,
118472,Draining Shield,Draining Shield,https://tcgplayer-cdn.tcgplayer.com/product/118472_200w.jpg,2,1795,https://cpt.tcgcsv.com/spZ,2016-06-06T16:37:46.333,1,YS16-EN036,Common,TRAP,Normal Trap,"When an opponent's monster declares an attack: Target the attacking monster; negate that attack, and if you do, gain Life Points equal to that target's ATK.",0.1,0.4,1.99,0.23,,1st Edition,,,
118473,Raigeki Break,Raigeki Break,https://tcgplayer-cdn.tcgplayer.com/product/118473_200w.jpg,2,1795,https://cpt.tcgcsv.com/tpZ,2016-06-06T16:37:33.933,1,YS16-EN035,Common,TRAP,Normal Trap,Discard 1 card from your hand. Destroy 1 card on the field.,1.11,2.0,3.0,1.99,,1st Edition,,,
118474,Ceasefire,Ceasefire,https://tcgplayer-cdn.tcgplayer.com/product/118474_200w.jpg,2,1795,https://cpt.tcgcsv.com/vpZ,2016-06-06T16:36:46.56,1,YS16-EN034,Common,TRAP,Normal Trap,Flip all face-down Defense Position monsters on the field face-up. Flip Effects are not activated at this time. Inflict 500 damage to your opponent for each Effect Monster on the field.,0.15,0.33,1.49,0.31,,1st Edition,,,
118475,Wall of Disruption,Wall of Disruption,https://tcgplayer-cdn.tcgplayer.com/product/118475_200w.jpg,2,1795,https://cpt.tcgcsv.com/wpZ,2016-06-06T16:36:36.327,1,YS16-EN033,Common,TRAP,Normal Trap,When an opponent's monster declares an attack: All Attack Position monsters your opponent controls lose 800 ATK for each monster they control.,0.1,0.3,11.0,0.17,,1st Edition,,,
118477,Performapal Pinch Helper,Performapal Pinch Helper,https://tcgplayer-cdn.tcgplayer.com/product/118477_200w.jpg,2,1795,https://cpt.tcgcsv.com/zpZ,2016-06-06T16:35:57.25,1,YS16-EN032,Common,TRAP,Normal Trap,"Once per turn, when an opponent's monster declares a direct attack: You can negate the attack, and if you do, Special Summon 1 ""Performapal"" monster from your Deck, but its effects are negated. When an attack is declared involving a monster you control and an opponent's monster: You can send this face-up card from the field to the Graveyard; you take no battle damage from this battle.",0.05,0.2,1.49,0.12,,1st Edition,,,
118478,Performapal Show Down,Performapal Show Down,https://tcgplayer-cdn.tcgplayer.com/product/118478_200w.jpg,2,1795,https://cpt.tcgcsv.com/BpZ,2016-06-06T16:35:40.99,1,YS16-EN031,Common,TRAP,Normal Trap,"Target any number of face-up monsters your opponent controls, up to the number of face-up Spell Cards you control; change those monsters to face-down Defense Position.",0.09,0.25,1.49,0.2,,1st Edition,,,
118479,Back-Up Rider,Back Up Rider,https://tcgplayer-cdn.tcgplayer.com/product/118479_200w.jpg,2,1795,https://cpt.tcgcsv.com/CpZ,2016-06-06T16:35:29.513,1,YS16-EN030,Common,SPELL,Normal Spell,Target 1 face-up monster on the field; it gains 1500 ATK until the end of this turn.,0.03,0.21,1.49,0.16,,1st Edition,,,
118480,Burden of the Mighty,Burden of the Mighty,https://tcgplayer-cdn.tcgplayer.com/product/118480_200w.jpg,2,1795,https://cpt.tcgcsv.com/DpZ,2016-06-06T16:35:10.677,1,YS16-EN029,Common,SPELL,Normal Spell,Each face-up monster your opponent controls loses 100 ATK × its own Level.,0.1,0.25,1.49,0.22,,1st Edition,,,
118481,Lucky Iron Axe,Lucky Iron Axe,https://tcgplayer-cdn.tcgplayer.com/product/118481_200w.jpg,2,1795,https://cpt.tcgcsv.com/FpZ,2016-06-06T16:34:53.01,1,YS16-EN028,Common,SPELL,Equip Spell,The equipped monster gains 500 ATK. When this face-up card on the field is destroyed by your opponent's card effect and sent to the Graveyard: Draw 1 card.,0.09,0.23,1.49,0.15,,1st Edition,,,
