productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extUPC
39227,Asceticism of the Six Samurai,Asceticism of the Six Samurai,https://tcgplayer-cdn.tcgplayer.com/product/39227_200w.jpg,2,302,https://cpt.tcgcsv.com/zJk,2013-05-09T12:13:41.653,1,STOR-EN050,Rare,SPELL,Normal Spell,0,0,"Select 1 face-up ""Six Samurai"" monster you control. Special Summon 1 ""Six Samurai"" monster with a different name and an equal ATK from your Deck. During this turn's End Phase, destroy the selected monster.",2.69,3.0,7.0,2.84,,Unlimited,,
39227,Asceticism of the Six Samurai,Asceticism of the Six Samurai,https://tcgplayer-cdn.tcgplayer.com/product/39227_200w.jpg,2,302,https://cpt.tcgcsv.com/zJk,2013-05-09T12:13:41.653,1,STOR-EN050,Rare,SPELL,Normal Spell,0,0,"Select 1 face-up ""Six Samurai"" monster you control. Special Summon 1 ""Six Samurai"" monster with a different name and an equal ATK from your Deck. During this turn's End Phase, destroy the selected monster.",2.5,3.69,6.98,3.49,,1st Edition,,
39228,Atomic Scrap Dragon,Atomic Scrap Dragon,https://tcgplayer-cdn.tcgplayer.com/product/39228_200w.jpg,2,302,https://cpt.tcgcsv.com/BJk,2013-05-09T12:13:41.653,1,STOR-EN043,Ultra Rare,EARTH,Synchro/Effect Monster,3200,2400,"1 ""Scrap"" Tuner + 2 or more non-Tuner Monsters // Once per turn, you can select 1 card you control and up to 3 cards in your opponent's Graveyard. Destroy your selected card and return the opponent's cards to the Deck. When this card is destroyed by your opponent's card (either by battle or by card effect) and sent to the Graveyard, Select 1 non-Synchro ""Scrap"" monster from your Graveyard. and Special Summon it.",0.4,0.88,4.75,0.72,,Unlimited,Dragon,
39228,Atomic Scrap Dragon,Atomic Scrap Dragon,https://tcgplayer-cdn.tcgplayer.com/product/39228_200w.jpg,2,302,https://cpt.tcgcsv.com/BJk,2013-05-09T12:13:41.653,1,STOR-EN043,Ultra Rare,EARTH,Synchro/Effect Monster,3200,2400,"1 ""Scrap"" Tuner + 2 or more non-Tuner Monsters // Once per turn, you can select 1 card you control and up to 3 cards in your opponent's Graveyard. Destroy your selected card and return the opponent's cards to the Deck. When this card is destroyed by your opponent's card (either by battle or by card effect) and sent to the Graveyard, Select 1 non-Synchro ""Scrap"" monster from your Graveyard. and Special Summon it.",0.48,0.97,5.98,0.86,,1st Edition,Dragon,
39229,Barrier Resonator,Barrier Resonator,https://tcgplayer-cdn.tcgplayer.com/product/39229_200w.jpg,2,302,https://cpt.tcgcsv.com/CJk,2013-05-09T12:13:41.653,1,STOR-EN006,Common,LIGHT,Tuner Monster,300,800,"During either player's turn, you can send this card from your hand to the Graveyard to select 1 face-up Tuner monster you control. This turn, that monster cannot be destroyed by battle, and you take no Battle Damage from battles involving that monster.",0.04,0.23,1.99,0.21,,Unlimited,Fiend,
39229,Barrier Resonator,Barrier Resonator,https://tcgplayer-cdn.tcgplayer.com/product/39229_200w.jpg,2,302,https://cpt.tcgcsv.com/CJk,2013-05-09T12:13:41.653,1,STOR-EN006,Common,LIGHT,Tuner Monster,300,800,"During either player's turn, you can send this card from your hand to the Graveyard to select 1 face-up Tuner monster you control. This turn, that monster cannot be destroyed by battle, and you take no Battle Damage from battles involving that monster.",0.05,0.29,1.8,0.29,,1st Edition,Fiend,
39230,Blackboost,Blackboost,https://tcgplayer-cdn.tcgplayer.com/product/39230_200w.jpg,2,302,https://cpt.tcgcsv.com/DJk,2013-05-09T12:13:41.653,1,STOR-EN065,Common,TRAP,Normal Trap,0,0,"Remove from play 2 face-up ""Blackwing"" Tuner monsters you control. Draw 2 cards.",0.05,0.21,1.7,0.15,,Unlimited,,
39230,Blackboost,Blackboost,https://tcgplayer-cdn.tcgplayer.com/product/39230_200w.jpg,2,302,https://cpt.tcgcsv.com/DJk,2013-05-09T12:13:41.653,1,STOR-EN065,Common,TRAP,Normal Trap,0,0,"Remove from play 2 face-up ""Blackwing"" Tuner monsters you control. Draw 2 cards.",0.05,0.25,1.75,0.17,,1st Edition,,
39231,Blackwing - Boreas the Sharp,Blackwing Boreas the Sharp,https://tcgplayer-cdn.tcgplayer.com/product/39231_200w.jpg,2,302,https://cpt.tcgcsv.com/FJk,2013-05-09T12:13:41.653,1,STOR-EN007,Rare,DARK,Effect Monster,1300,900,"You can remove from play this card from your Graveyard to select 1 face-up ""Blackwing"" monster you control. If that monster battles with an opponent's monster this turn, it cannot be destroyed by battle and you take no Battle Damage from that battle. After damage calculation, destroy the opponent's monster that battled with the selected monster.",0.03,0.25,1.98,0.24,,Unlimited,Winged Beast,
39231,Blackwing - Boreas the Sharp,Blackwing Boreas the Sharp,https://tcgplayer-cdn.tcgplayer.com/product/39231_200w.jpg,2,302,https://cpt.tcgcsv.com/FJk,2013-05-09T12:13:41.653,1,STOR-EN007,Rare,DARK,Effect Monster,1300,900,"You can remove from play this card from your Graveyard to select 1 face-up ""Blackwing"" monster you control. If that monster battles with an opponent's monster this turn, it cannot be destroyed by battle and you take no Battle Damage from that battle. After damage calculation, destroy the opponent's monster that battled with the selected monster.",0.1,0.3,2.0,0.22,,1st Edition,Winged Beast,
39232,Blackwing - Calima the Haze,Blackwing Calima the Haze,https://tcgplayer-cdn.tcgplayer.com/product/39232_200w.jpg,2,302,https://cpt.tcgcsv.com/GJk,2013-05-09T12:13:41.653,1,STOR-EN009,Common,DARK,Effect Monster,600,1800,"During your opponent's Battle Phase, if you control no monsters, you can remove from play this card from the Graveyard to select 1 Synchro Monster in your Graveyard, and Special Summon it. It is removed from play at the end of the Battle Phase.",0.05,0.25,2.01,0.26,,Unlimited,Winged Beast,
39232,Blackwing - Calima the Haze,Blackwing Calima the Haze,https://tcgplayer-cdn.tcgplayer.com/product/39232_200w.jpg,2,302,https://cpt.tcgcsv.com/GJk,2013-05-09T12:13:41.653,1,STOR-EN009,Common,DARK,Effect Monster,600,1800,"During your opponent's Battle Phase, if you control no monsters, you can remove from play this card from the Graveyard to select 1 Synchro Monster in your Graveyard, and Special Summon it. It is removed from play at the end of the Battle Phase.",0.05,0.23,1.75,0.18,,1st Edition,Winged Beast,
39233,Blackwing - Brisote the Tailwind,Blackwing Brisote the Tailwind,https://tcgplayer-cdn.tcgplayer.com/product/39233_200w.jpg,2,302,https://cpt.tcgcsv.com/HJk,2013-05-09T12:13:41.653,1,STOR-EN008,Common,DARK,Effect Monster,1200,1800,"You can Special Summon this card from your hand during the turn 2 or more ""Blackwing"" monsters you control were destroyed. If this card is used for a Synchro Summon, gain 600 Life Points.",0.04,0.23,2.01,0.16,,Unlimited,Winged Beast,
