productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
451588,Beware of Traptrix Structure Deck [1st Edition],Beware of Traptrix Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/451588_200w.jpg,2,17682,https://cpt.tcgcsv.com/NFD5,2024-06-04T16:12:37.433,1,"Each Structure Deck: Beware of Traptix contains: 
<br>• 40 Common Cards
<br>• 5 Ultra Rare Cards
<br>• 3 Super Rare Cards
<br>• 1 Double-Sided Game Mat/Dueling Guide",083717859741,12.47,25.54,56.95,19.08,,Normal,,,,,,,,,
451589,Beware of Traptrix Structure Deck Display [1st Edition],Beware of Traptrix Structure Deck Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/451589_200w.jpg,2,17682,https://cpt.tcgcsv.com/PFD5,2023-02-24T05:03:18.217,1,Each display contains 8 Beware of Traptrix structure decks.,083717859758,98.79,194.97,200.0,106.9,,Normal,,,,,,,,,
483631,Traptrix Pudica,Traptrix Pudica,https://tcgplayer-cdn.tcgplayer.com/product/483631_200w.jpg,2,17682,https://cpt.tcgcsv.com/FsT5,2023-02-24T05:03:18.217,1,"Unaffected by the effects of ""Hole"" Normal Traps. You can only use each of the following effects of ""Traptrix Pudica"" once per turn. When this card is Normal Summoned: You can add 1 ""Traptrip Garden"" from your Deck to your hand. If this card is Special Summoned: You can target 1 Special Summoned monster your opponent controls; banish it, also during the next Standby Phase, your opponent can Special Summon 1 of their banished monsters.",,0.14,0.36,1.9,0.3,,1st Edition,SDBT-EN001,Ultra Rare,EARTH,Plant,Effect Monster,900,1900,,
483633,Traptrix Arachnocampa,Traptrix Arachnocampa,https://tcgplayer-cdn.tcgplayer.com/product/483633_200w.jpg,2,17682,https://cpt.tcgcsv.com/HsT5,2023-02-24T05:03:18.217,1,"Unaffected by the effects of ""Hole"" Normal Traps. The first time each Set card in your Spell & Trap Zone would be destroyed by card effect each turn, it is not destroyed. During the Main Phase, if you control a ""Traptrix"" monster (Quick Effect): You can Special Summon this card from your hand, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Insect or Plant monsters. You can only use this effect of ""Traptrix Arachnocampa"" once per turn.",,0.11,0.29,1.63,0.2,,1st Edition,SDBT-EN002,Super Rare,EARTH,Insect,Effect Monster,1300,1500,,
483635,Traptrip Garden,Traptrip Garden,https://tcgplayer-cdn.tcgplayer.com/product/483635_200w.jpg,2,17682,https://cpt.tcgcsv.com/KsT5,2023-02-24T05:03:18.217,1,"During your Main Phase, you can Normal Summon 1 ""Traptrix"" monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) The first time each Insect or Plant monster you control would be destroyed by battle each turn, it is not destroyed. You can banish 1 monster you control; Special Summon 1 ""Traptrix"" monster from your hand or GY. You can only use this effect of ""Traptrip Garden"" once per turn.",,0.03,0.25,9.99,0.15,,1st Edition,SDBT-EN023,Ultra Rare,SPELL,,Field Spell,,,,
483638,Traptantalizing Tune,Traptantalizing Tune,https://tcgplayer-cdn.tcgplayer.com/product/483638_200w.jpg,2,17682,https://cpt.tcgcsv.com/NsT5,2023-02-24T05:03:18.217,1,"Discard 1 Level 4 Insect or Plant monster, or 1 Normal Trap; draw 2 cards. You can banish this card from your GY, then target 1 of your banished Level 4 Insect or Plant monsters, or Normal Traps; place it on the bottom of the Deck. You can only use each effect of ""Traptantalizing Tune"" once per turn.",,0.15,0.36,6.99,0.26,,1st Edition,SDBT-EN024,Ultra Rare,SPELL,,Normal Spell,,,,
483639,Terrifying Trap Hole Nightmare,Terrifying Trap Hole Nightmare,https://tcgplayer-cdn.tcgplayer.com/product/483639_200w.jpg,2,17682,https://cpt.tcgcsv.com/PsT5,2023-02-24T05:03:18.217,1,"If your opponent has Special Summoned a monster(s) this turn: Target 1 monster your opponent controls with 2000 or more ATK; destroy it, then if you have a ""Hole"" Normal Trap in your GY, you can banish 1 monster from your opponent's GY. You can only activate 1 ""Terrifying Trap Hole Nightmare"" per turn.",,0.09,0.23,1.4,0.13,,1st Edition,SDBT-EN027,Common,TRAP,,Normal Trap,,,,
483641,Traptrix Pinguicula,Traptrix Pinguicula,https://tcgplayer-cdn.tcgplayer.com/product/483641_200w.jpg,2,17682,https://cpt.tcgcsv.com/RsT5,2023-02-24T05:03:18.217,1,"2 Level 4 monsters
<br>While this card has material, it is unaffected by Trap effects and the activated effects of other monsters with the same Type as this card's material. You can only use each of the following effects of ""Traptrix Pinguicula"" once per turn. You can detach 1 material from this card; add 1 ""Traptrix"" monster from your Deck to your hand. If a monster(s) owned by your opponent is sent to the GY, or banished, by a card effect (except during the Damage Step): You can attach 1 of those monsters to this card as material.",,0.09,0.29,4.99,0.22,,1st Edition,SDBT-EN042,Ultra Rare,EARTH,Plant,Effect Xyz Monster,2500,300,,
483645,Traptrix Atypus,Traptrix Atypus,https://tcgplayer-cdn.tcgplayer.com/product/483645_200w.jpg,2,17682,https://cpt.tcgcsv.com/WsT5,2023-02-24T05:03:18.217,1,"2+ monsters, including an Insect or Plant monster
<br>This Link Summoned card is unaffected by Trap effects. All ""Traptrix"" monsters you control gain 1000 ATK while you have a Normal Trap in your GY. Once per turn: You can target face-up cards your opponent controls, up to the number of Insect and Plant monsters you control; negate their effects (until the end of this turn), then you can apply this effect.
<br>• Banish 1 Normal Trap from your GY, and if you do, destroy 1 of those targeted face-up cards.",,0.06,0.25,4.99,0.2,,1st Edition,SDBT-EN043,Ultra Rare,EARTH,Insect,Effect Link Monster,1800,,3,Left;Bottom;Right
483646,Traptrix Holeutea,Traptrix Holeutea,https://tcgplayer-cdn.tcgplayer.com/product/483646_200w.jpg,2,17682,https://cpt.tcgcsv.com/XsT5,2023-02-24T05:03:18.217,1,"You can activate this card the turn it was Set, by discarding 1 Normal Trap. Special Summon this card in Defense Position as a Normal Monster (Plant/EARTH/Level 4/ATK 400/DEF 2400). (This card is NOT treated as a Trap.) You can banish this card from your GY, then target 1 ""Traptrix"" monster in your GY; Special Summon it. You can only use 1 ""Traptrix Holeutea"" effect per turn, and only once that turn.",,0.15,0.33,2.48,0.25,,1st Edition,SDBT-EN046,Super Rare,TRAP,,Normal Trap,,,,
