productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
24115,Infernal Flame Emperor,Infernal Flame Emperor,https://tcgplayer-cdn.tcgplayer.com/product/24115_200w.jpg,2,305,https://cpt.tcgcsv.com/kGc,2013-05-09T12:13:41.653,1,SD3-EN001,Ultra Rare,FIRE,Pyro,Normal Monster,2700,1600,"This card cannot be Special Summoned. When this card is Tributed Summoned successfully, you can remove from play up to 5 FIRE monsters in your Graveyard. Destroy a number of Spell or Trap cards on the field equal to the number of cards remove from play by this effect.",0.1,0.62,19.99,0.87,,1st Edition
24116,Great Angus,Great Angus,https://tcgplayer-cdn.tcgplayer.com/product/24116_200w.jpg,2,305,https://cpt.tcgcsv.com/lGc,2013-05-09T12:13:41.653,1,SD3-EN002,Common,FIRE,Beast,Normal Monster,1800,600,,0.07,0.37,2.0,0.42,,1st Edition
24117,Blazing Inpachi,Blazing Inpachi,https://tcgplayer-cdn.tcgplayer.com/product/24117_200w.jpg,2,305,https://cpt.tcgcsv.com/mGc,2013-05-09T12:13:41.653,1,SD3-EN003,Common,FIRE,Pyro,Normal Monster,1850,0,,0.09,0.25,2.0,0.34,,1st Edition
24118,UFO Turtle,UFO Turtle,https://tcgplayer-cdn.tcgplayer.com/product/24118_200w.jpg,2,305,https://cpt.tcgcsv.com/nGc,2013-05-09T12:13:41.653,1,SD3-EN004,Common,FIRE,Machine,Effect Monster,1400,1200,"Effect: When this card is sent to the graveyard as a result of battle, you can Special Summon 1 FIRE monster with an attack of 1500 or less in face-up Attack Position from your deck. Then shuffle your deck.",0.08,0.25,2.0,0.26,,1st Edition
24119,Little Chimera,Little Chimera,https://tcgplayer-cdn.tcgplayer.com/product/24119_200w.jpg,2,305,https://cpt.tcgcsv.com/pGc,2013-05-09T12:13:41.653,1,SD3-EN005,Common,FIRE,Beast,Effect Monster,600,650,"Effect: As long as this card is face-up on the field, increase the ATK of all FIRE monsters by 500 points and decrease the ATK of all WATER monsters by 400 points.",0.08,0.24,1.7,0.24,,1st Edition
24120,Inferno,Inferno,https://tcgplayer-cdn.tcgplayer.com/product/24120_200w.jpg,2,305,https://cpt.tcgcsv.com/qGc,2013-05-09T12:13:41.653,1,SD3-EN006,Common,FIRE,Pyro,Effect Monster,1100,1900,"Effect: This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 1 FIRE monster in your Graveyard from play. When this card destroys your opponent''s monster and sends it to the Graveyard as a result of battle, inflict 1500 points of damage to your opponent''s Life Points.",0.04,0.25,2.0,0.35,,1st Edition
24121,Molten Zombie,Molten Zombie,https://tcgplayer-cdn.tcgplayer.com/product/24121_200w.jpg,2,305,https://cpt.tcgcsv.com/rGc,2013-05-09T12:13:41.653,1,SD3-EN007,Common,FIRE,Pyro,Effect Monster,1600,400,"Effect: When this card is Special Summoned from the Graveyard, the controller of this card draws 1 card.",0.07,0.25,2.0,0.31,,1st Edition
24122,Solar Flare Dragon,Solar Flare Dragon,https://tcgplayer-cdn.tcgplayer.com/product/24122_200w.jpg,2,305,https://cpt.tcgcsv.com/sGc,2013-05-09T12:13:41.653,1,SD3-EN008,Common,FIRE,Pyro,Effect Monster,1500,1000,Effect: This card cannot be attacked if there is another Pyre-Type monster on your side of the field. This card inflicts 500 points of damage to your opponent''s Life Points during the End Phase of your turn.,0.22,0.49,1.99,0.5,,1st Edition
24123,Ultimate Baseball Kid,Ultimate Baseball Kid,https://tcgplayer-cdn.tcgplayer.com/product/24123_200w.jpg,2,305,https://cpt.tcgcsv.com/tGc,2013-05-09T12:13:41.653,1,SD3-EN009,Common,FIRE,Warrior,Effect Monster,500,1000,Effect: Increase the ATK of this card by 1000 points for each FIRE monster on the field other than this card. Send a FIRE monster other than this card to the Graveyard to inflict 500 points of damage to your opponent’s Life Points.,0.1,0.35,2.0,0.36,,1st Edition
24124,Raging Flame Sprite,Raging Flame Sprite,https://tcgplayer-cdn.tcgplayer.com/product/24124_200w.jpg,2,305,https://cpt.tcgcsv.com/vGc,2013-05-09T12:13:41.653,1,SD3-EN010,Common,FIRE,Pyro,Effect Monster,100,200,"Effect: This card can attack your opponent''s Life Points directly. Each time this card successfully attacks directly, increase the ATK of this card by 1000 points.",0.1,0.34,1.0,0.34,,1st Edition
24125,Thestalos the Firestorm Monarch,Thestalos the Firestorm Monarch,https://tcgplayer-cdn.tcgplayer.com/product/24125_200w.jpg,2,305,https://cpt.tcgcsv.com/wGc,2016-03-07T14:26:52.66,1,SD3-EN011,Common,FIRE,Pyro,Effect Monster,2400,1000,"Effect: When this card is Tribute Summoned successfully, randomly discard 1 card from your opponent''s hand to the Graveyard. If the discarded card was a Monster Card, inflict damage to your opponent''s Life Points equal to the Level of the monster x 100 points.",0.25,0.79,2.0,0.94,,1st Edition
24126,Gaia Soul the Combustible Collective,Gaia Soul the Combustible Collective,https://tcgplayer-cdn.tcgplayer.com/product/24126_200w.jpg,2,305,https://cpt.tcgcsv.com/xGc,2020-08-12T12:48:45.253,1,SD3-EN012,Common,FIRE,Pyro,Effect Monster,2000,0,"Effect: You can tribute up to 2 Pyro-Type Monsters on your side of the field. If you do this, increase the ATK of this monster by the number of Tributed monsters x 1000 points. When this card attacks with an ATK that is higher than the DEF of your opponent''s Defense Position monster, inflict the difference as Battle Damage to your opponent''s Life Points. Destroy this card during the End Phase.",0.1,0.3,2.0,0.3,,1st Edition
