productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
588104,Blue-Eyes White Destiny Structure Deck Display,Blue Eyes White Destiny Structure Deck Display,https://tcgplayer-cdn.tcgplayer.com/product/588104_200w.jpg,2,23768,https://cpt.tcgcsv.com/6gK6,2025-02-14T05:10:12.177,1,"Prepare yourself for the next chapter of the Blue-Eyes White Dragon strategy: The electrifyingly awesome Blue-Eyes White Destiny Structure Deck!
This 50-card Deck has everything you need to take your “Blue-Eyes” Deck to its next stage of invincibility.
<br>The all-powerful Blue-Eyes Ultimate Spirit Dragon! This Level 12 Synchro isn’t just a Synchro Monster, it’s a Synchro Monstrosity! Once per turn, this Dragon can negate any effect activated by your opponent on the field. And when it does, it also consumes the negated effect to gain 1000 Attack Points for the turn. But wait – there’s more! It also shields your Graveyard so that your opponent can’t banish any of the cards located there. And in the unlikely event your opponent can overcome its 3500 Attack Points, you can just Summon another LIGHT Dragon monster from your Graveyard – even a Blue-Eyes White Dragon!
<br>A new Synchro needs a new Tuner! Neo Kaiser Sea Horse is a Level 4 Tuner that gives you instant access to the tools you need, by Special Summoning itself from your hand, and adjusting the Level of any Tuner (even itself!) by +/- 1. This gives you maximum flexibility for whatever’s the best monster to Synchro Summon. And it can access your “Blue-Eyes” monsters from your Deck by sending them directly to your Graveyard, for easy revival!
<br>Maiden of White is another powerful addition to this Deck. Every time this elusive Tuner is targeted (including by your own effects!), you can Summon Blue-Eyes White Dragon or any Level 1 LIGHT Tuner from your Graveyard. And whenever you Summon Blue-Eyes White Dragon, you can Summon Maiden of White from your Graveyard. And unlike most effects, Maiden of White never banishes herself after using this effect, so you can use it continuously throughout the Duel.
<br>Plus the very first Link Monster for your “Blue-Eyes” Deck, a brand new Xyz Monster, and so much more!
<br>The Deck is packed with the cards that any “Blue-Eyes” Duelist needs for their Deck, like Blue-Eyes Alternative White Dragon, Blue-Eyes Jet Dragon, and even 3 copies of Sage with Eyes of Blue! It also has incredible cards like Nibiru the Primal Being, Ash Blossom & Joyous Spring, Infinite Impermanence, Effect Veiler, and more!
<br>And since it’s our 25th Anniversary, of course we’re including a little Quarter Century sparkle. A small number of Decks will have 1 of 3 cards – Maiden of White, Wishes for Eyes of Blue, or Blue-Eyes Ultimate Spirit Dragon – as a Quarter Century Secret Rare.

<br>Structure Deck: Blue-Eyes White Destiny comes with 50 cards:
<br>5 Ultra Rares (3 of which have a small chance of being Quarter Century <br>Secret Rares instead of Ultra Rare)
<br>3 Super Rares
<br>42 Commons",083717867029,72.68,99.8,200.0,73.96,,Normal,,,,,,,,,
588110,Blue-Eyes White Destiny Structure Deck,Blue Eyes White Destiny Structure Deck,https://tcgplayer-cdn.tcgplayer.com/product/588110_200w.jpg,2,23768,https://cpt.tcgcsv.com/dgK6,2025-02-14T05:10:12.177,1,"Prepare yourself for the next chapter of the Blue-Eyes White Dragon strategy: The electrifyingly awesome Blue-Eyes White Destiny Structure Deck!
This 50-card Deck has everything you need to take your “Blue-Eyes” Deck to its next stage of invincibility.
<br>The all-powerful Blue-Eyes Ultimate Spirit Dragon! This Level 12 Synchro isn’t just a Synchro Monster, it’s a Synchro Monstrosity! Once per turn, this Dragon can negate any effect activated by your opponent on the field. And when it does, it also consumes the negated effect to gain 1000 Attack Points for the turn. But wait – there’s more! It also shields your Graveyard so that your opponent can’t banish any of the cards located there. And in the unlikely event your opponent can overcome its 3500 Attack Points, you can just Summon another LIGHT Dragon monster from your Graveyard – even a Blue-Eyes White Dragon!
<br>A new Synchro needs a new Tuner! Neo Kaiser Sea Horse is a Level 4 Tuner that gives you instant access to the tools you need, by Special Summoning itself from your hand, and adjusting the Level of any Tuner (even itself!) by +/- 1. This gives you maximum flexibility for whatever’s the best monster to Synchro Summon. And it can access your “Blue-Eyes” monsters from your Deck by sending them directly to your Graveyard, for easy revival!
<br>Maiden of White is another powerful addition to this Deck. Every time this elusive Tuner is targeted (including by your own effects!), you can Summon Blue-Eyes White Dragon or any Level 1 LIGHT Tuner from your Graveyard. And whenever you Summon Blue-Eyes White Dragon, you can Summon Maiden of White from your Graveyard. And unlike most effects, Maiden of White never banishes herself after using this effect, so you can use it continuously throughout the Duel.
<br>Plus the very first Link Monster for your “Blue-Eyes” Deck, a brand new Xyz Monster, and so much more!
<br>The Deck is packed with the cards that any “Blue-Eyes” Duelist needs for their Deck, like Blue-Eyes Alternative White Dragon, Blue-Eyes Jet Dragon, and even 3 copies of Sage with Eyes of Blue! It also has incredible cards like Nibiru the Primal Being, Ash Blossom & Joyous Spring, Infinite Impermanence, Effect Veiler, and more!
<br>And since it’s our 25th Anniversary, of course we’re including a little Quarter Century sparkle. A small number of Decks will have 1 of 3 cards – Maiden of White, Wishes for Eyes of Blue, or Blue-Eyes Ultimate Spirit Dragon – as a Quarter Century Secret Rare.

<br>Structure Deck: Blue-Eyes White Destiny comes with 50 cards:
<br>5 Ultra Rares (3 of which have a small chance of being Quarter Century <br>Secret Rares instead of Ultra Rare)
<br>3 Super Rares
<br>42 Commons",083717867012,11.99,14.53,29.99,14.39,,Normal,,,,,,,,,
616552,Maiden of White (Secret Rare),Maiden of White Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616552_200w.jpg,2,23768,https://cpt.tcgcsv.com/3FX6,2025-07-14T17:03:56.47,1,"You can send this card from your hand or field to the GY; place 1 ""True Light"" from your hand, Deck, or GY, face-up in your Spell & Trap Zone. If you Special Summon ""Blue-Eyes White Dragon"" while this card is in your GY (except during the Damage Step): You can Special Summon this card. When a card or effect is activated that targets this card on the field, or when this card is targeted for an attack (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" or 1 Level 1 LIGHT Tuner from your GY. You can only use each effect of ""Maiden of White"" once per turn.",,0.95,1.26,153.48,1.16,,Unlimited,SDWD-EN041,Secret Rare,LIGHT,Spellcaster,Tuner/Effect Monster,0,0,,
616552,Maiden of White (Secret Rare),Maiden of White Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616552_200w.jpg,2,23768,https://cpt.tcgcsv.com/3FX6,2025-07-14T17:03:56.47,1,"You can send this card from your hand or field to the GY; place 1 ""True Light"" from your hand, Deck, or GY, face-up in your Spell & Trap Zone. If you Special Summon ""Blue-Eyes White Dragon"" while this card is in your GY (except during the Damage Step): You can Special Summon this card. When a card or effect is activated that targets this card on the field, or when this card is targeted for an attack (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" or 1 Level 1 LIGHT Tuner from your GY. You can only use each effect of ""Maiden of White"" once per turn.",,0.65,1.67,10.32,1.35,1.58,1st Edition,SDWD-EN041,Secret Rare,LIGHT,Spellcaster,Tuner/Effect Monster,0,0,,
616553,Maiden of White (Quarter Century Secret Rare),Maiden of White Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616553_200w.jpg,2,23768,https://cpt.tcgcsv.com/5FX6,2025-07-14T17:03:52.62,1,"You can send this card from your hand or field to the GY; place 1 ""True Light"" from your hand, Deck, or GY, face-up in your Spell & Trap Zone. If you Special Summon ""Blue-Eyes White Dragon"" while this card is in your GY (except during the Damage Step): You can Special Summon this card. When a card or effect is activated that targets this card on the field, or when this card is targeted for an attack (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" or 1 Level 1 LIGHT Tuner from your GY. You can only use each effect of ""Maiden of White"" once per turn.",,87.81,88.8,88.88,82.19,,Unlimited,SDWD-EN041,Quarter Century Secret Rare,LIGHT,Spellcaster,Tuner/Effect Monster,0,0,,
616553,Maiden of White (Quarter Century Secret Rare),Maiden of White Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616553_200w.jpg,2,23768,https://cpt.tcgcsv.com/5FX6,2025-07-14T17:03:52.62,1,"You can send this card from your hand or field to the GY; place 1 ""True Light"" from your hand, Deck, or GY, face-up in your Spell & Trap Zone. If you Special Summon ""Blue-Eyes White Dragon"" while this card is in your GY (except during the Damage Step): You can Special Summon this card. When a card or effect is activated that targets this card on the field, or when this card is targeted for an attack (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" or 1 Level 1 LIGHT Tuner from your GY. You can only use each effect of ""Maiden of White"" once per turn.",,79.2,89.61,199.99,87.84,87.46,1st Edition,SDWD-EN041,Quarter Century Secret Rare,LIGHT,Spellcaster,Tuner/Effect Monster,0,0,,
616554,Wishes for Eyes of Blue (Secret Rare),Wishes for Eyes of Blue Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616554_200w.jpg,2,23768,https://cpt.tcgcsv.com/6FX6,2025-07-14T17:11:29.91,1,"Discard 1 card; add 1 Level 1 LIGHT Tuner, and 1 Spell/Trap that mentions ""Blue-Eyes White Dragon"", from your Deck to your hand, except ""Wishes for Eyes of Blue"". You can banish this card from your GY, then target 1 ""Blue-Eyes White Dragon"" you control; equip 1 ""Blue-Eyes"" monster from your Extra Deck to it as an Equip Spell that gives it 400 ATK. You can only use each effect of ""Wishes for Eyes of Blue"" once per turn.",,0.49,0.95,2.31,0.76,,Unlimited,SDWD-EN042,Secret Rare,SPELL,,Normal Spell,,,,
616554,Wishes for Eyes of Blue (Secret Rare),Wishes for Eyes of Blue Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616554_200w.jpg,2,23768,https://cpt.tcgcsv.com/6FX6,2025-07-14T17:11:29.91,1,"Discard 1 card; add 1 Level 1 LIGHT Tuner, and 1 Spell/Trap that mentions ""Blue-Eyes White Dragon"", from your Deck to your hand, except ""Wishes for Eyes of Blue"". You can banish this card from your GY, then target 1 ""Blue-Eyes White Dragon"" you control; equip 1 ""Blue-Eyes"" monster from your Extra Deck to it as an Equip Spell that gives it 400 ATK. You can only use each effect of ""Wishes for Eyes of Blue"" once per turn.",,0.8,1.3,10.32,1.22,1.15,1st Edition,SDWD-EN042,Secret Rare,SPELL,,Normal Spell,,,,
616555,Wishes for Eyes of Blue (Quarter Century Secret Rare),Wishes for Eyes of Blue Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616555_200w.jpg,2,23768,https://cpt.tcgcsv.com/7FX6,2025-07-14T17:11:19.383,1,"Discard 1 card; add 1 Level 1 LIGHT Tuner, and 1 Spell/Trap that mentions ""Blue-Eyes White Dragon"", from your Deck to your hand, except ""Wishes for Eyes of Blue"". You can banish this card from your GY, then target 1 ""Blue-Eyes White Dragon"" you control; equip 1 ""Blue-Eyes"" monster from your Extra Deck to it as an Equip Spell that gives it 400 ATK. You can only use each effect of ""Wishes for Eyes of Blue"" once per turn.",,65.0,69.99,74.99,70.24,,Unlimited,SDWD-EN042,Quarter Century Secret Rare,SPELL,,Normal Spell,,,,
616555,Wishes for Eyes of Blue (Quarter Century Secret Rare),Wishes for Eyes of Blue Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/616555_200w.jpg,2,23768,https://cpt.tcgcsv.com/7FX6,2025-07-14T17:11:19.383,1,"Discard 1 card; add 1 Level 1 LIGHT Tuner, and 1 Spell/Trap that mentions ""Blue-Eyes White Dragon"", from your Deck to your hand, except ""Wishes for Eyes of Blue"". You can banish this card from your GY, then target 1 ""Blue-Eyes White Dragon"" you control; equip 1 ""Blue-Eyes"" monster from your Extra Deck to it as an Equip Spell that gives it 400 ATK. You can only use each effect of ""Wishes for Eyes of Blue"" once per turn.",,67.87,77.08,199.99,71.44,,1st Edition,SDWD-EN042,Quarter Century Secret Rare,SPELL,,Normal Spell,,,,
