productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
79257,Cyber Dragon Revolution Structure Deck [1st Edition],Cyber Dragon Revolution Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/79257_200w.jpg,2,1307,https://cpt.tcgcsv.com/9KF,2021-10-18T14:12:28.163,1,32.99,40.49,99.0,32.99,,Normal,,,,,,,,
79482,Cyber Dragon Core,Cyber Dragon Core,https://tcgplayer-cdn.tcgplayer.com/product/79482_200w.jpg,2,1307,https://cpt.tcgcsv.com/GPF,2019-01-24T18:01:22.99,1,0.05,0.99,4.08,1.18,,Unlimited,SDCR-EN001,Super Rare,LIGHT,Machine,Effect Monster,400,1500,"When this card is Normal Summoned: Add 1 ""Cyber"" Spell/Trap Card from your Deck to your hand. If your opponent controls a monster and you control no monsters: You can banish this card from your Graveyard; Special Summon 1 ""Cyber Dragon"" monster from your Deck. You can only use 1 ""Cyber Dragon Core"" effect per turn, and only once that turn. This card's name becomes ""Cyber Dragon"" while it is on the field or in the Graveyard."
79482,Cyber Dragon Core,Cyber Dragon Core,https://tcgplayer-cdn.tcgplayer.com/product/79482_200w.jpg,2,1307,https://cpt.tcgcsv.com/GPF,2019-01-24T18:01:22.99,1,0.3,1.0,12.9,0.91,,1st Edition,SDCR-EN001,Super Rare,LIGHT,Machine,Effect Monster,400,1500,"When this card is Normal Summoned: Add 1 ""Cyber"" Spell/Trap Card from your Deck to your hand. If your opponent controls a monster and you control no monsters: You can banish this card from your Graveyard; Special Summon 1 ""Cyber Dragon"" monster from your Deck. You can only use 1 ""Cyber Dragon Core"" effect per turn, and only once that turn. This card's name becomes ""Cyber Dragon"" while it is on the field or in the Graveyard."
79483,Cyber Dragon Drei,Cyber Dragon Drei,https://tcgplayer-cdn.tcgplayer.com/product/79483_200w.jpg,2,1307,https://cpt.tcgcsv.com/HPF,2019-01-24T18:01:50.87,1,0.01,0.34,1.98,0.25,,Unlimited,SDCR-EN002,Super Rare,LIGHT,Machine,Effect Monster,1800,800,"When this card is Normal Summoned: You can make all ""Cyber Dragons"" you currently control become Level 5. You cannot Special Summon any monsters during the turn you activate this effect, except Machine-Type monsters. If this card is banished: You can target 1 ""Cyber Dragon"" you control; it cannot be destroyed by battle or by card effects this turn. This card's name becomes ""Cyber Dragon"" while it is on the field or in the Graveyard."
79483,Cyber Dragon Drei,Cyber Dragon Drei,https://tcgplayer-cdn.tcgplayer.com/product/79483_200w.jpg,2,1307,https://cpt.tcgcsv.com/HPF,2019-01-24T18:01:50.87,1,0.12,0.4,9.99,0.35,,1st Edition,SDCR-EN002,Super Rare,LIGHT,Machine,Effect Monster,1800,800,"When this card is Normal Summoned: You can make all ""Cyber Dragons"" you currently control become Level 5. You cannot Special Summon any monsters during the turn you activate this effect, except Machine-Type monsters. If this card is banished: You can target 1 ""Cyber Dragon"" you control; it cannot be destroyed by battle or by card effects this turn. This card's name becomes ""Cyber Dragon"" while it is on the field or in the Graveyard."
79484,Cyber Dragon (White),Cyber Dragon White,https://tcgplayer-cdn.tcgplayer.com/product/79484_200w.jpg,2,1307,https://cpt.tcgcsv.com/JPF,2019-01-24T17:58:32.017,1,0.01,0.23,1.7,0.17,,Unlimited,SDCR-EN003,Common,LIGHT,Machine,Effect Monster,2100,1600,"If there is a monster on your opponent''s side of the field and there are no monsters on your side of the field, you can Special Summon this card from your hand."
79484,Cyber Dragon (White),Cyber Dragon White,https://tcgplayer-cdn.tcgplayer.com/product/79484_200w.jpg,2,1307,https://cpt.tcgcsv.com/JPF,2019-01-24T17:58:32.017,1,0.05,0.28,1.86,0.2,,1st Edition,SDCR-EN003,Common,LIGHT,Machine,Effect Monster,2100,1600,"If there is a monster on your opponent''s side of the field and there are no monsters on your side of the field, you can Special Summon this card from your hand."
79485,Cyber Dragon (Black),Cyber Dragon Black,https://tcgplayer-cdn.tcgplayer.com/product/79485_200w.jpg,2,1307,https://cpt.tcgcsv.com/KPF,2019-01-24T17:58:05.263,1,0.05,0.4,1.7,0.33,,Unlimited,SDCR-EN003,Common,LIGHT,Machine,Effect Monster,2100,1600,"If there is a monster on your opponent''s side of the field and there are no monsters on your side of the field, you can Special Summon this card from your hand."
79485,Cyber Dragon (Black),Cyber Dragon Black,https://tcgplayer-cdn.tcgplayer.com/product/79485_200w.jpg,2,1307,https://cpt.tcgcsv.com/KPF,2019-01-24T17:58:05.263,1,0.1,0.4,1.99,0.38,,1st Edition,SDCR-EN003,Common,LIGHT,Machine,Effect Monster,2100,1600,"If there is a monster on your opponent''s side of the field and there are no monsters on your side of the field, you can Special Summon this card from your hand."
79486,Cyber Dragon Zwei,Cyber Dragon Zwei,https://tcgplayer-cdn.tcgplayer.com/product/79486_200w.jpg,2,1307,https://cpt.tcgcsv.com/LPF,2019-01-24T18:05:01.9,1,0.05,0.21,1.7,0.11,,Unlimited,SDCR-EN004,Common,LIGHT,Machine,Effect Monster,1500,1000,"If this card attacks an opponent's monster, this card gains 300 ATK during the Damage Step only. Once per turn, you can reveal 1 Spell Card in your hand to treat this card's name as Cyber Dragon until the End Phase. This card's name is treated as Cyber Dr"
