productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,extLinkRating,extLinkArrows
146997,Cyberse Link Structure Deck,Cyberse Link Structure Deck,https://tcgplayer-cdn.tcgplayer.com/product/146997_200w.jpg,2,2072,https://cpt.tcgcsv.com/ZPb2,2021-10-18T13:23:18.657,1,8.76,11.5,19.95,10.61,,Normal,,,,,,,,,,
149305,Digitron,Digitron,https://tcgplayer-cdn.tcgplayer.com/product/149305_200w.jpg,2,2072,https://cpt.tcgcsv.com/7Lc2,2025-05-15T20:23:25.35,1,0.03,0.24,1.7,0.17,,1st Edition,SDCL-EN001,Common,EARTH,Cyberse,Normal Monster,1500,0,<em>A subspecies found in electronic space. There's little information on it.</em>,,
149306,Dotscaper,Dotscaper,https://tcgplayer-cdn.tcgplayer.com/product/149306_200w.jpg,2,2072,https://cpt.tcgcsv.com/8Lc2,2025-05-15T20:23:25.397,1,0.1,0.36,15.99,0.26,,1st Edition,SDCL-EN002,Common,EARTH,Cyberse,Effect Monster,0,2100,"If this card is sent to the GY: You can Special Summon this card. If this card is banished: You can Special Summon this card. You can only use 1 ""Dotscaper"" effect per turn, and only once that turn. You can only use each effect of ""Dotscaper"" once per Duel.",,
149307,Cliant,Cliant,https://tcgplayer-cdn.tcgplayer.com/product/149307_200w.jpg,2,2072,https://cpt.tcgcsv.com/9Lc2,2017-11-01T16:40:49.247,1,0.01,0.2,1.7,0.15,0.1,1st Edition,SDCL-EN003,Common,LIGHT,Cyberse,Effect Monster,1500,1500,"While this Normal Summoned/Set card is face-up on the field, all Cyberse monsters you control gain 500 ATK/DEF during your turn only. If this card on the field would be destroyed by battle or card effect, you can destroy 1 Cyberse monster in your hand or face-up on your field instead.",,
149308,Backlinker,Backlinker,https://tcgplayer-cdn.tcgplayer.com/product/149308_200w.jpg,2,2072,https://cpt.tcgcsv.com/bLc2,2017-11-01T16:41:49.72,1,0.03,0.22,1.7,0.11,,1st Edition,SDCL-EN004,Common,DARK,Cyberse,Effect Monster,1600,0,"If only your opponent controls a monster in the Extra Monster Zone, you can Special Summon this card (from your hand). You can Tribute this card; shuffle all monsters from the Extra Monster Zones into the Deck, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn.",,
149309,Balancer Lord,Balancer Lord,https://tcgplayer-cdn.tcgplayer.com/product/149309_200w.jpg,2,2072,https://cpt.tcgcsv.com/cLc2,2025-05-15T20:23:25.443,1,0.2,0.49,1.98,0.44,,1st Edition,SDCL-EN005,Common,LIGHT,Cyberse,Effect Monster,1700,1200,"Once per turn: You can pay 1000 LP; during your Main Phase this turn, you can Normal Summon 1 Cyberse monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If this card is banished: You can Special Summon 1 Level 4 or lower monster from your hand. You can only use this effect of ""Balancer Lord"" once per turn.",,
149310,ROM Cloudia,ROM Cloudia,https://tcgplayer-cdn.tcgplayer.com/product/149310_200w.jpg,2,2072,https://cpt.tcgcsv.com/dLc2,2017-11-01T16:45:10.117,1,0.09,0.25,1.7,0.23,,1st Edition,SDCL-EN006,Common,DARK,Cyberse,Effect Monster,1800,0,"When this card is Normal Summoned: You can target 1 Cyberse monster in your GY, except ""ROM Cloudia""; add it to your hand. If this card is destroyed by battle or card effect: You can Special Summon 1 Level 4 or lower Cyberse monster from your Deck, except ""ROM Cloudia"".",,
149311,Boot Staggered,Boot Staggered,https://tcgplayer-cdn.tcgplayer.com/product/149311_200w.jpg,2,2072,https://cpt.tcgcsv.com/fLc2,2025-05-15T20:23:25.49,1,0.06,0.29,6.5,0.33,,1st Edition,SDCL-EN007,Common,LIGHT,Cyberse,Effect Monster,2300,500,"When a Cyberse monster is Normal Summoned to your field: You can Special Summon this card from your hand. You can only use this effect of ""Boot Staggered"" once per turn. When this card inflicts battle damage to your opponent: You can Special Summon 1 ""Stag Token"" (Cyberse/EARTH/Level 1/ATK 0/DEF 0).",,
149312,Dual Assembwurm,Dual Assembwurm,https://tcgplayer-cdn.tcgplayer.com/product/149312_200w.jpg,2,2072,https://cpt.tcgcsv.com/gLc2,2025-05-15T20:23:25.52,1,0.02,0.25,1.99,0.11,,1st Edition,SDCL-EN008,Super Rare,DARK,Cyberse,Effect Monster,2800,1000,"If this card is in your hand or GY: You can banish 2 Cyberse monsters from your hand and/or face-up from your field; Special Summon this card, but its ATK becomes halved. You can only use this effect of ""Dual Assembwurm"" once per turn. Once per turn: You can banish 1 card from your hand; banish 1 monster on the field with ATK less than or equal to this card's.",,
149313,Cyberse Wizard,Cyberse Wizard,https://tcgplayer-cdn.tcgplayer.com/product/149313_200w.jpg,2,2072,https://cpt.tcgcsv.com/hLc2,2017-11-01T16:48:33.497,1,0.05,0.23,1.7,0.18,0.11,1st Edition,SDCL-EN009,Common,LIGHT,Cyberse,Effect Monster,1800,800,"Once per turn: You can target 1 Attack Position opponent's monster; change it to Defense Position, and if you do, for the rest of this turn, your monsters cannot attack, except to attack that monster, and if your Cyberse monster attacks a Defense Position monster, inflict piercing battle damage to your opponent.",,
