productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
57901,Lightpulsar Dragon,Lightpulsar Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57901_200w.jpg,2,316,https://cpt.tcgcsv.com/2bt,2014-07-18T13:24:36.017,1,SDDC-EN001,Ultra Rare,LIGHT,Dragon,Effect Monster,2500,1500,You can Special Summon this card (from your hand) by banishing 1 LIGHT and 1 DARK monsters from your Graveyard. You can Special Summon this card (from your Graveyard) by sending 1 LIGHT and 1 DARK monsters from your hand to the Graveyard. When this card is sent from the field to the Graveyard: You can target 1 Level 5 or higher DARK Dragon-Type monster in your Graveyard;  Special Summon that target.,0.14,0.5,2.98,0.28,,Unlimited
57901,Lightpulsar Dragon,Lightpulsar Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57901_200w.jpg,2,316,https://cpt.tcgcsv.com/2bt,2014-07-18T13:24:36.017,1,SDDC-EN001,Ultra Rare,LIGHT,Dragon,Effect Monster,2500,1500,You can Special Summon this card (from your hand) by banishing 1 LIGHT and 1 DARK monsters from your Graveyard. You can Special Summon this card (from your Graveyard) by sending 1 LIGHT and 1 DARK monsters from your hand to the Graveyard. When this card is sent from the field to the Graveyard: You can target 1 Level 5 or higher DARK Dragon-Type monster in your Graveyard;  Special Summon that target.,0.2,0.53,9.99,0.43,,1st Edition
57902,Darkflare Dragon,Darkflare Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57902_200w.jpg,2,316,https://cpt.tcgcsv.com/3bt,2014-07-18T13:16:52.793,1,SDDC-EN002,Ultra Rare,DARK,Dragon,Effect Monster,2400,1200,You can Special Summon this card (from your hand) by banishing 1 LIGHT and 1 DARK monster from your Graveyard. Once per turn: You can send 1 Dragon-Type monster each from your hand and Deck to the Graveyard to target 1 card from either player's Graveyard;  banish that target.,0.15,0.45,4.99,0.32,,Unlimited
57902,Darkflare Dragon,Darkflare Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57902_200w.jpg,2,316,https://cpt.tcgcsv.com/3bt,2014-07-18T13:16:52.793,1,SDDC-EN002,Ultra Rare,DARK,Dragon,Effect Monster,2400,1200,You can Special Summon this card (from your hand) by banishing 1 LIGHT and 1 DARK monster from your Graveyard. Once per turn: You can send 1 Dragon-Type monster each from your hand and Deck to the Graveyard to target 1 card from either player's Graveyard;  banish that target.,0.1,0.5,9.99,0.39,,1st Edition
57903,Eclipse Wyvern,Eclipse Wyvern,https://tcgplayer-cdn.tcgplayer.com/product/57903_200w.jpg,2,316,https://cpt.tcgcsv.com/5bt,2014-07-18T13:18:33.89,1,SDDC-EN003,Super Rare,LIGHT,Dragon,Effect Monster,1600,1000,If this card is sent to the Graveyard: Banish 1 Level 7 or higher LIGHT or DARK Dragon-Type monster from your Deck. If this card in the Graveyard is banished: You can add the monster banished by this effect to your hand.,0.25,0.63,5.98,0.47,,Unlimited
57903,Eclipse Wyvern,Eclipse Wyvern,https://tcgplayer-cdn.tcgplayer.com/product/57903_200w.jpg,2,316,https://cpt.tcgcsv.com/5bt,2014-07-18T13:18:33.89,1,SDDC-EN003,Super Rare,LIGHT,Dragon,Effect Monster,1600,1000,If this card is sent to the Graveyard: Banish 1 Level 7 or higher LIGHT or DARK Dragon-Type monster from your Deck. If this card in the Graveyard is banished: You can add the monster banished by this effect to your hand.,0.32,0.55,5.99,0.45,,1st Edition
57904,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57904_200w.jpg,2,316,https://cpt.tcgcsv.com/6bt,2024-03-27T14:45:09.477,1,SDDC-EN004,Common,LIGHT,Dragon,Normal Monster,3000,2500,,0.44,0.58,1.75,0.58,,Unlimited
57904,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57904_200w.jpg,2,316,https://cpt.tcgcsv.com/6bt,2024-03-27T14:45:09.477,1,SDDC-EN004,Common,LIGHT,Dragon,Normal Monster,3000,2500,,0.41,0.99,4.91,0.73,,1st Edition
57905,Red-Eyes B. Dragon,Red Eyes B Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57905_200w.jpg,2,316,https://cpt.tcgcsv.com/7bt,2020-12-14T18:39:32.493,1,SDDC-EN005,Common,DARK,Dragon,Normal Monster,2400,2000,<em>A ferocious dragon with a deadly attack.</em>,0.18,0.5,2.81,0.51,,Unlimited
57905,Red-Eyes B. Dragon,Red Eyes B Dragon,https://tcgplayer-cdn.tcgplayer.com/product/57905_200w.jpg,2,316,https://cpt.tcgcsv.com/7bt,2020-12-14T18:39:32.493,1,SDDC-EN005,Common,DARK,Dragon,Normal Monster,2400,2000,<em>A ferocious dragon with a deadly attack.</em>,0.18,0.44,1.51,0.3,,1st Edition
