productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
516551,Fire Kings Structure Deck [1st Edition],Fire Kings Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/516551_200w.jpg,2,23310,https://cpt.tcgcsv.com/2F86,2023-12-08T05:03:11.973,1,"Each Structure Deck: Fire Kings contains: 
<br>• 5 Ultra Rare Cards
<br>• 3 Super Rare Cards
<br>• 40 Common Cards",083717864233,10.5,18.32,23.99,18.27,,Normal,,,,,,,,,
516552,Fire Kings Structure Deck Display [1st Edition],Fire Kings Structure Deck Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/516552_200w.jpg,2,23310,https://cpt.tcgcsv.com/3F86,2023-12-08T05:03:11.973,1,Each display contains 8 Fire King structure decks.,083717864240,90.47,93.23,95.99,94.0,,Normal,,,,,,,,,
528489,Sacred Fire King Garunix,Sacred Fire King Garunix,https://tcgplayer-cdn.tcgplayer.com/product/528489_200w.jpg,2,23310,https://cpt.tcgcsv.com/Ppf6,2024-12-12T17:01:41.4,1,"If your monster(s) that was originally FIRE is destroyed by battle or card effect: You can Special Summon this card from your GY (if it was there when the monster was destroyed) or hand (even if not). If this card is Normal or Special Summoned: You can destroy 1 FIRE Beast, Beast-Warrior, or Winged Beast monster in your hand, Deck, or face-up field, except ""Sacred Fire King Garunix"", and if you do, this card gains ATK equal to half the destroyed monster's ATK it had there, until the end of this turn. You can only use each effect of ""Sacred Fire King Garunix"" once per turn.",,0.25,0.56,2.99,0.51,,1st Edition,SR14-EN001,Ultra Rare,FIRE,Winged Beast,Effect Monster,2700,1700,,
528489,Sacred Fire King Garunix,Sacred Fire King Garunix,https://tcgplayer-cdn.tcgplayer.com/product/528489_200w.jpg,2,23310,https://cpt.tcgcsv.com/Ppf6,2024-12-12T17:01:41.4,1,"If your monster(s) that was originally FIRE is destroyed by battle or card effect: You can Special Summon this card from your GY (if it was there when the monster was destroyed) or hand (even if not). If this card is Normal or Special Summoned: You can destroy 1 FIRE Beast, Beast-Warrior, or Winged Beast monster in your hand, Deck, or face-up field, except ""Sacred Fire King Garunix"", and if you do, this card gains ATK equal to half the destroyed monster's ATK it had there, until the end of this turn. You can only use each effect of ""Sacred Fire King Garunix"" once per turn.",,0.02,0.55,1.3,0.2,,Unlimited,SR14-EN001,Ultra Rare,FIRE,Winged Beast,Effect Monster,2700,1700,,
528490,Fire King High Avatar Kirin,Fire King High Avatar Kirin,https://tcgplayer-cdn.tcgplayer.com/product/528490_200w.jpg,2,23310,https://cpt.tcgcsv.com/Qpf6,2024-12-12T16:44:26.387,1,"During the Main Phase, if this card is in your hand (Quick Effect): You can destroy 1 other FIRE monster in your hand or face-up field, and if you do, Special Summon this card. If this card is destroyed and sent to the GY: You can Special Summon 1 ""Fire King"" monster from your hand or GY, except ""Fire King High Avatar Kirin"", then you can destroy 1 card on the field. You can only use each effect of ""Fire King High Avatar Kirin"" once per turn.",,0.35,2.15,3.99,2.21,,1st Edition,SR14-EN002,Ultra Rare,FIRE,Beast,Effect Monster,2400,200,,
528490,Fire King High Avatar Kirin,Fire King High Avatar Kirin,https://tcgplayer-cdn.tcgplayer.com/product/528490_200w.jpg,2,23310,https://cpt.tcgcsv.com/Qpf6,2024-12-12T16:44:26.387,1,"During the Main Phase, if this card is in your hand (Quick Effect): You can destroy 1 other FIRE monster in your hand or face-up field, and if you do, Special Summon this card. If this card is destroyed and sent to the GY: You can Special Summon 1 ""Fire King"" monster from your hand or GY, except ""Fire King High Avatar Kirin"", then you can destroy 1 card on the field. You can only use each effect of ""Fire King High Avatar Kirin"" once per turn.",,0.03,1.4,2.76,0.49,,Unlimited,SR14-EN002,Ultra Rare,FIRE,Beast,Effect Monster,2400,200,,
528491,Fire King Avatar Rangbali,Fire King Avatar Rangbali,https://tcgplayer-cdn.tcgplayer.com/product/528491_200w.jpg,2,23310,https://cpt.tcgcsv.com/Rpf6,2024-12-12T16:44:08.023,1,"If a face-up ""Fire King"" monster(s) you control is destroyed by card effect (except during the Damage Step): You can Special Summon this card from your hand. When a Spell/Trap Card or effect is activated, while this card is on the field (Quick Effect): You can negate the activation, and if you do, destroy 1 other FIRE monster in your hand or face-up field. You can only use each effect of ""Fire King Avatar Rangbali"" once per turn.",,0.02,0.25,2.08,0.27,,1st Edition,SR14-EN003,Ultra Rare,FIRE,Beast-Warrior,Effect Monster,1600,200,,
528491,Fire King Avatar Rangbali,Fire King Avatar Rangbali,https://tcgplayer-cdn.tcgplayer.com/product/528491_200w.jpg,2,23310,https://cpt.tcgcsv.com/Rpf6,2024-12-12T16:44:08.023,1,"If a face-up ""Fire King"" monster(s) you control is destroyed by card effect (except during the Damage Step): You can Special Summon this card from your hand. When a Spell/Trap Card or effect is activated, while this card is on the field (Quick Effect): You can negate the activation, and if you do, destroy 1 other FIRE monster in your hand or face-up field. You can only use each effect of ""Fire King Avatar Rangbali"" once per turn.",,0.1,0.25,1.41,0.15,,Unlimited,SR14-EN003,Ultra Rare,FIRE,Beast-Warrior,Effect Monster,1600,200,,
528492,Fire King Sanctuary,Fire King Sanctuary,https://tcgplayer-cdn.tcgplayer.com/product/528492_200w.jpg,2,23310,https://cpt.tcgcsv.com/Spf6,2024-12-12T16:57:39.853,1,"When this card is activated: You can place 1 ""Fire King Island"" from your Deck face-up in your Field Zone. Once per turn, if a card in your Field Zone would be destroyed by card effect, you can destroy 1 FIRE monster in your hand or face-up field instead. Once per turn, if your opponent Special Summons a monster(s), you can: Immediately after this effect resolves, Xyz Summon 1 FIRE Xyz Monster using only ""Fire King"" monsters you control. You can only activate 1 ""Fire King Sanctuary"" per turn.",,0.1,0.25,1.56,0.22,,Unlimited,SR14-EN024,Ultra Rare,SPELL,,Continuous Spell,,,,
528492,Fire King Sanctuary,Fire King Sanctuary,https://tcgplayer-cdn.tcgplayer.com/product/528492_200w.jpg,2,23310,https://cpt.tcgcsv.com/Spf6,2024-12-12T16:57:39.853,1,"When this card is activated: You can place 1 ""Fire King Island"" from your Deck face-up in your Field Zone. Once per turn, if a card in your Field Zone would be destroyed by card effect, you can destroy 1 FIRE monster in your hand or face-up field instead. Once per turn, if your opponent Special Summons a monster(s), you can: Immediately after this effect resolves, Xyz Summon 1 FIRE Xyz Monster using only ""Fire King"" monsters you control. You can only activate 1 ""Fire King Sanctuary"" per turn.",,0.2,0.59,2.99,0.45,,1st Edition,SR14-EN024,Ultra Rare,SPELL,,Continuous Spell,,,,
