productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
24146,Ocean Dragon Lord - Neo-Daedalus,Ocean Dragon Lord Neo Daedalus,https://tcgplayer-cdn.tcgplayer.com/product/24146_200w.jpg,2,308,https://cpt.tcgcsv.com/XGc,2022-05-30T19:50:46.7,1,SD4-EN001,Ultra Rare,WATER,Sea Serpent,Normal Monster,2900,1600,"<strong>Corrected Text:</strong>
<br>This card cannot be Normal Summon or Set. This card cannot be Special Summoned except by Tributing 1 Levia-Dragon - Daedalus on your side of the field. Send Umi on your side of the field to the Graveyard to send all cards in both players'' hands and on the field to the Graveyard, except this card.
<br>
<br><strong>Errata'd Text:</strong>
<br><em>Send ""Umi"" on your side of the field to the Graveyard to send all cards in both players' hands and on the field to the Graveyard, except this card.</em>",0.3,1.05,5.39,1.62,,1st Edition
24147,7 Colored Fish,7 Colored Fish,https://tcgplayer-cdn.tcgplayer.com/product/24147_200w.jpg,2,308,https://cpt.tcgcsv.com/ZGc,2018-03-05T12:08:58.86,1,SD4-EN002,Common,WATER,Fish,Normal Monster,1800,800,,0.1,0.35,2.0,0.62,,1st Edition
24148,Sea Serpent Warrior of Darkness,Sea Serpent Warrior of Darkness,https://tcgplayer-cdn.tcgplayer.com/product/24148_200w.jpg,2,308,https://cpt.tcgcsv.com/-Gc,2013-05-09T12:13:41.653,1,SD4-EN003,Common,WATER,Sea Serpent,Normal Monster,1800,1500,,0.09,0.3,2.0,0.38,,1st Edition
24149,Space Mambo,Space Mambo,https://tcgplayer-cdn.tcgplayer.com/product/24149_200w.jpg,2,308,https://cpt.tcgcsv.com/_Gc,2017-03-10T15:26:00.24,1,SD4-EN004,Common,WATER,Fish,Normal Monster,1700,1000,,0.16,0.4,1.0,0.39,,1st Edition
24150,Mother Grizzly,Mother Grizzly,https://tcgplayer-cdn.tcgplayer.com/product/24150_200w.jpg,2,308,https://cpt.tcgcsv.com/0Hc,2013-05-09T12:13:41.653,1,SD4-EN005,Common,WATER,Beast-Warrior,Effect Monster,1400,1000,Effect: When this card is sent to the Graveyard as a result of battle you can Special Summon 1 WATER monster with an ATK of 1500 or less in face-up Attack Position from your Deck. The shuffle your Deck.,0.09,0.33,1.98,0.32,,1st Edition
24151,Star Boy,Star Boy,https://tcgplayer-cdn.tcgplayer.com/product/24151_200w.jpg,2,308,https://cpt.tcgcsv.com/2Hc,2013-05-09T12:13:41.653,1,SD4-EN006,Common,WATER,Aqua,Effect Monster,550,500,"Effect: As long as this card remains face-up on the field, increase the ATK of all WATER monster by 500 points and decrease the ATK of all FIRE monsters by 400 points.",0.1,0.49,3.26,0.74,,1st Edition
24152,Tribe-Infecting Virus,Tribe Infecting Virus,https://tcgplayer-cdn.tcgplayer.com/product/24152_200w.jpg,2,308,https://cpt.tcgcsv.com/3Hc,2016-02-15T13:30:46.913,1,SD4-EN007,Common,WATER,Aqua,Effect Monster,1600,1000,Effect: Discard 1 card from your hand and declare 1 Type of monster. Destroy all face-up monsters of the declared Type on the field.,2.19,3.5,8.45,3.51,,1st Edition
24153,Fenrir,Fenrir,https://tcgplayer-cdn.tcgplayer.com/product/24153_200w.jpg,2,308,https://cpt.tcgcsv.com/5Hc,2013-05-09T12:13:41.653,1,SD4-EN008,Common,WATER,Beast,Effect Monster,1400,1200,"Effect: This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 2 WATER monsters in your Graveyard from play. When this card destroys an opponent''s monster as a result of battle, your opponent skips his/her next Draw Phase.",0.05,0.25,2.0,0.36,,1st Edition
24154,Amphibious Bugroth MK-3,Amphibious Bugroth MK 3,https://tcgplayer-cdn.tcgplayer.com/product/24154_200w.jpg,2,308,https://cpt.tcgcsv.com/6Hc,2013-05-09T12:13:41.653,1,SD4-EN009,Common,WATER,Machine,Effect Monster,1500,1300,"Effect: As long as Umi remains face-up on the field, this card can attack your opponent''s Life Points directly.",0.1,0.44,1.98,0.46,,1st Edition
24155,Levia-Dragon - Daedalus,Levia Dragon Daedalus,https://tcgplayer-cdn.tcgplayer.com/product/24155_200w.jpg,2,308,https://cpt.tcgcsv.com/7Hc,2015-06-22T11:04:47.71,1,SD4-EN010,Common,WATER,Sea Serpent,Effect Monster,2600,1500,Send Umi on your side of the field to the Graveyard to destroy all cards on the field except this card.,0.1,0.54,3.95,0.53,,1st Edition
