productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
94705,HERO Strike Structure Deck [1st Edition],HERO Strike Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/94705_200w.jpg,2,1495,https://cpt.tcgcsv.com/7VM,2021-10-18T14:12:25.683,1,"Each HERO Strike Structure Deck contains 1 preconstructed deck of 45 cards, 1 rulebook, 1 dueling guide, and 1 paper playmat",60.0,74.15,88.99,64.99,,Normal,,,,,,,
95831,Honest,Honest,https://tcgplayer-cdn.tcgplayer.com/product/95831_200w.jpg,2,1495,https://cpt.tcgcsv.com/FlN,2019-11-08T14:54:54.51,1,"During your Main Phase: You can return this face-up card from the field to the hand. During either player's Damage Step, when a LIGHT monster you control battles: You can send this card from your hand to the Graveyard; that monster gains ATK equal to the ATK of the opponent's monster it is battling, until the end of this turn.",0.1,0.3,1.0,0.2,,Unlimited,SDHS-EN014,Common,LIGHT,Fairy,Effect Monster,1100,1900
95831,Honest,Honest,https://tcgplayer-cdn.tcgplayer.com/product/95831_200w.jpg,2,1495,https://cpt.tcgcsv.com/FlN,2019-11-08T14:54:54.51,1,"During your Main Phase: You can return this face-up card from the field to the hand. During either player's Damage Step, when a LIGHT monster you control battles: You can send this card from your hand to the Graveyard; that monster gains ATK equal to the ATK of the opponent's monster it is battling, until the end of this turn.",0.13,0.37,3.0,0.27,,1st Edition,SDHS-EN014,Common,LIGHT,Fairy,Effect Monster,1100,1900
95832,Elemental HERO Shadow Mist,Elemental HERO Shadow Mist,https://tcgplayer-cdn.tcgplayer.com/product/95832_200w.jpg,2,1495,https://cpt.tcgcsv.com/GlN,2019-11-08T14:49:40.037,1,"If this card is Special Summoned: You can add 1 ""Change"" Quick-Play Spell Card from your Deck to your hand. If this card is sent to the Graveyard: You can add 1 ""HERO"" monster from your Deck to your hand, except ""Elemental HERO Shadow Mist"". You can only use 1 ""Elemental HERO Shadow Mist"" effect per turn, and only once that turn.",1.25,3.0,17.99,2.88,14.99,Unlimited,SDHS-EN001,Super Rare,DARK,Warrior,Effect Monster,1000,1500
95832,Elemental HERO Shadow Mist,Elemental HERO Shadow Mist,https://tcgplayer-cdn.tcgplayer.com/product/95832_200w.jpg,2,1495,https://cpt.tcgcsv.com/GlN,2019-11-08T14:49:40.037,1,"If this card is Special Summoned: You can add 1 ""Change"" Quick-Play Spell Card from your Deck to your hand. If this card is sent to the Graveyard: You can add 1 ""HERO"" monster from your Deck to your hand, except ""Elemental HERO Shadow Mist"". You can only use 1 ""Elemental HERO Shadow Mist"" effect per turn, and only once that turn.",1.99,3.55,28.1,3.14,28.09,1st Edition,SDHS-EN001,Super Rare,DARK,Warrior,Effect Monster,1000,1500
95834,Elemental HERO Ocean,Elemental HERO Ocean,https://tcgplayer-cdn.tcgplayer.com/product/95834_200w.jpg,2,1495,https://cpt.tcgcsv.com/JlN,2019-11-08T14:49:58.933,1,"Once per turn, during your Standby Phase: You can target 1 ""HERO"" monster you control or in your Graveyard; return that target to the hand.",2.55,2.8,4.99,2.68,,Unlimited,SDHS-EN002,Common,WATER,Warrior,Effect Monster,1500,1200
95834,Elemental HERO Ocean,Elemental HERO Ocean,https://tcgplayer-cdn.tcgplayer.com/product/95834_200w.jpg,2,1495,https://cpt.tcgcsv.com/JlN,2019-11-08T14:49:58.933,1,"Once per turn, during your Standby Phase: You can target 1 ""HERO"" monster you control or in your Graveyard; return that target to the hand.",2.27,2.92,7.15,2.78,,1st Edition,SDHS-EN002,Common,WATER,Warrior,Effect Monster,1500,1200
95835,Elemental HERO Woodsman,Elemental HERO Woodsman,https://tcgplayer-cdn.tcgplayer.com/product/95835_200w.jpg,2,1495,https://cpt.tcgcsv.com/KlN,2019-11-08T14:50:10.913,1,"Once per turn, during your Standby Phase: You can add 1 ""Polymerization"" from your Deck or Graveyard to your hand.",0.31,0.41,1.49,0.4,,Unlimited,SDHS-EN003,Common,EARTH,Warrior,Effect Monster,1000,2000
95835,Elemental HERO Woodsman,Elemental HERO Woodsman,https://tcgplayer-cdn.tcgplayer.com/product/95835_200w.jpg,2,1495,https://cpt.tcgcsv.com/KlN,2019-11-08T14:50:10.913,1,"Once per turn, during your Standby Phase: You can add 1 ""Polymerization"" from your Deck or Graveyard to your hand.",0.34,0.56,1.7,0.56,,1st Edition,SDHS-EN003,Common,EARTH,Warrior,Effect Monster,1000,2000
95836,Elemental HERO Voltic,Elemental HERO Voltic,https://tcgplayer-cdn.tcgplayer.com/product/95836_200w.jpg,2,1495,https://cpt.tcgcsv.com/LlN,2019-11-08T14:50:23.733,1,"When this card inflicts Battle Damage to your opponent: You can target 1 of your banished ""Elemental HERO"" monsters; Special Summon that target.",0.1,0.27,1.49,0.27,,Unlimited,SDHS-EN004,Common,LIGHT,Thunder,Effect Monster,1000,1500
95836,Elemental HERO Voltic,Elemental HERO Voltic,https://tcgplayer-cdn.tcgplayer.com/product/95836_200w.jpg,2,1495,https://cpt.tcgcsv.com/LlN,2019-11-08T14:50:23.733,1,"When this card inflicts Battle Damage to your opponent: You can target 1 of your banished ""Elemental HERO"" monsters; Special Summon that target.",0.07,0.27,1.51,0.29,,1st Edition,SDHS-EN004,Common,LIGHT,Thunder,Effect Monster,1000,1500
95837,Elemental HERO Heat,Elemental HERO Heat,https://tcgplayer-cdn.tcgplayer.com/product/95837_200w.jpg,2,1495,https://cpt.tcgcsv.com/MlN,2019-11-08T14:50:38.78,1,"This card gains 200 ATK for each face-up ""Elemental HERO"" monster you control.",0.15,0.26,1.53,0.23,,Unlimited,SDHS-EN005,Common,FIRE,Pyro,Effect Monster,1600,1200
95837,Elemental HERO Heat,Elemental HERO Heat,https://tcgplayer-cdn.tcgplayer.com/product/95837_200w.jpg,2,1495,https://cpt.tcgcsv.com/MlN,2019-11-08T14:50:38.78,1,"This card gains 200 ATK for each face-up ""Elemental HERO"" monster you control.",0.15,0.35,1.7,0.29,,1st Edition,SDHS-EN005,Common,FIRE,Pyro,Effect Monster,1600,1200
95838,Elemental HERO Neos,Elemental HERO Neos,https://tcgplayer-cdn.tcgplayer.com/product/95838_200w.jpg,2,1495,https://cpt.tcgcsv.com/NlN,2019-11-08T14:52:42.66,1,"A new Elemental HERO has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian, his unknown powers are unleashed.",0.14,0.25,1.49,0.2,,Unlimited,SDHS-EN007,Common,LIGHT,Warrior,Normal Monster,2500,2000
95838,Elemental HERO Neos,Elemental HERO Neos,https://tcgplayer-cdn.tcgplayer.com/product/95838_200w.jpg,2,1495,https://cpt.tcgcsv.com/NlN,2019-11-08T14:52:42.66,1,"A new Elemental HERO has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian, his unknown powers are unleashed.",0.1,0.28,1.7,0.24,,1st Edition,SDHS-EN007,Common,LIGHT,Warrior,Normal Monster,2500,2000
95839,Elemental HERO Neos Alius,Elemental HERO Neos Alius,https://tcgplayer-cdn.tcgplayer.com/product/95839_200w.jpg,2,1495,https://cpt.tcgcsv.com/PlN,2019-11-08T14:52:58.583,1,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it become an Effect Monster with this effect.<br>
? This face-up card's name becomes ""Elemental HERO Neos"".",0.14,0.25,1.49,0.22,,Unlimited,SDHS-EN008,Common,LIGHT,Warrior,Gemini/Effect Monster,1900,1300
95839,Elemental HERO Neos Alius,Elemental HERO Neos Alius,https://tcgplayer-cdn.tcgplayer.com/product/95839_200w.jpg,2,1495,https://cpt.tcgcsv.com/PlN,2019-11-08T14:52:58.583,1,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it become an Effect Monster with this effect.<br>
? This face-up card's name becomes ""Elemental HERO Neos"".",0.07,0.27,1.5,0.23,,1st Edition,SDHS-EN008,Common,LIGHT,Warrior,Gemini/Effect Monster,1900,1300
95840,Elemental HERO Bladedge,Elemental HERO Bladedge,https://tcgplayer-cdn.tcgplayer.com/product/95840_200w.jpg,2,1495,https://cpt.tcgcsv.com/QlN,2019-11-08T14:53:26.813,1,"If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent.",0.1,0.25,1.49,0.18,,Unlimited,SDHS-EN009,Common,EARTH,Warrior,Effect Monster,2600,1800
95840,Elemental HERO Bladedge,Elemental HERO Bladedge,https://tcgplayer-cdn.tcgplayer.com/product/95840_200w.jpg,2,1495,https://cpt.tcgcsv.com/QlN,2019-11-08T14:53:26.813,1,"If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent.",0.07,0.25,1.7,0.21,,1st Edition,SDHS-EN009,Common,EARTH,Warrior,Effect Monster,2600,1800
95841,Elemental HERO Necroshade,Elemental HERO Necroshade,https://tcgplayer-cdn.tcgplayer.com/product/95841_200w.jpg,2,1495,https://cpt.tcgcsv.com/RlN,2019-11-08T14:53:54.173,1,"Once, while this card is in the Graveyard, you can Normal Summon 1 Level 5 or higher ""Elemental HERO"" monster from your hand without Tributes.",0.1,0.25,1.41,0.21,,Unlimited,SDHS-EN010,Common,DARK,Warrior,Effect Monster,1600,1800
95841,Elemental HERO Necroshade,Elemental HERO Necroshade,https://tcgplayer-cdn.tcgplayer.com/product/95841_200w.jpg,2,1495,https://cpt.tcgcsv.com/RlN,2019-11-08T14:53:54.173,1,"Once, while this card is in the Graveyard, you can Normal Summon 1 Level 5 or higher ""Elemental HERO"" monster from your hand without Tributes.",0.1,0.3,1.7,0.3,,1st Edition,SDHS-EN010,Common,DARK,Warrior,Effect Monster,1600,1800
95842,Elemental HERO Wildheart,Elemental HERO Wildheart,https://tcgplayer-cdn.tcgplayer.com/product/95842_200w.jpg,2,1495,https://cpt.tcgcsv.com/SlN,2019-11-08T14:54:12.607,1,This card is unaffected by the effects of Trap Cards.,0.09,0.25,0.99,0.15,,Unlimited,SDHS-EN011,Common,EARTH,Warrior,Effect Monster,1500,1600
95842,Elemental HERO Wildheart,Elemental HERO Wildheart,https://tcgplayer-cdn.tcgplayer.com/product/95842_200w.jpg,2,1495,https://cpt.tcgcsv.com/SlN,2019-11-08T14:54:12.607,1,This card is unaffected by the effects of Trap Cards.,0.1,0.25,1.41,0.23,,1st Edition,SDHS-EN011,Common,EARTH,Warrior,Effect Monster,1500,1600
95843,Elemental HERO Bubbleman,Elemental HERO Bubbleman,https://tcgplayer-cdn.tcgplayer.com/product/95843_200w.jpg,2,1495,https://cpt.tcgcsv.com/TlN,2019-11-08T14:54:26.93,1,"If this is the only card in your hand, you can Special Summon it (from your hand). When this card is Summoned: You can draw 2 cards. You must control no other cards and have no cards in your hand to activate and to resolve this effect.",0.15,0.3,1.49,0.3,,Unlimited,SDHS-EN012,Common,WATER,Warrior,Effect Monster,800,1200
95843,Elemental HERO Bubbleman,Elemental HERO Bubbleman,https://tcgplayer-cdn.tcgplayer.com/product/95843_200w.jpg,2,1495,https://cpt.tcgcsv.com/TlN,2019-11-08T14:54:26.93,1,"If this is the only card in your hand, you can Special Summon it (from your hand). When this card is Summoned: You can draw 2 cards. You must control no other cards and have no cards in your hand to activate and to resolve this effect.",0.06,0.33,1.75,0.25,,1st Edition,SDHS-EN012,Common,WATER,Warrior,Effect Monster,800,1200
