productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extMonsterType,extAttack,extDefense
275360,Legend of the Crystal Beasts Structure Deck [1st Edition],Legend of the Crystal Beasts Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/275360_200w.jpg,2,3096,https://cpt.tcgcsv.com/d9d3,2022-09-30T04:03:15.39,1,"Each Structure Deck: Legend of the Crystal Beasts contains:
<br>• 1 Preconstructed Deck of 48 cards
<br>• 1 Double-sided Playmat/Dueling Guide",083717857990,1.99,9.0,15.99,8.42,,Normal,,,,,,,
275361,Legend of the Crystal Beasts Structure Deck Display,Legend of the Crystal Beasts Structure Deck Display,https://tcgplayer-cdn.tcgplayer.com/product/275361_200w.jpg,2,3096,https://cpt.tcgcsv.com/f9d3,2022-09-30T04:03:15.39,1,"Each box contains 8 Structure Decks.
<br>Each Structure Deck: Legend of the Crystal Beasts contains:
<br>• 1 Preconstructed Deck of 40 cards
<br>• 1 Ultra Rare
<br>• 39 Commons
<br>• 1 Rulebook
<br>• 1 Dueling Guide
<br>• 1 Playmat",083717858003,10.0,40.0,99.97,35.3,,Normal,,,,,,,
286250,Awakening of the Crystal Ultimates,Awakening of the Crystal Ultimates,https://tcgplayer-cdn.tcgplayer.com/product/286250_200w.jpg,2,3096,https://cpt.tcgcsv.com/0wj3,2022-09-30T04:03:15.39,1,"Reveal 1 ""Ultimate Crystal"" monster in your hand, then activate 1 of these effects. If you control an ""Ultimate Crystal"" monster, you can activate 1 or 2 of these effects in sequence, instead (and do not have to reveal a monster).
<br>• Take 1 ""Rainbow Bridge"" card or 1 ""Rainbow Refraction"" from your Deck, and either add it to your hand or send it to the GY.
<br>• Special Summon 1 ""Crystal Beast"" Monster Card from your hand, Deck, GY, or Spell & Trap Zone.
<br>You can only activate 1 ""Awakening of the Crystal Ultimates"" per turn.",,0.01,0.23,1.49,0.1,,1st Edition,SDCB-EN016,Common,SPELL,Quick-Play Spell,,,
286251,Crystal Aegis,Crystal Aegis,https://tcgplayer-cdn.tcgplayer.com/product/286251_200w.jpg,2,3096,https://cpt.tcgcsv.com/2wj3,2022-09-30T04:03:15.39,1,"Target 1 ""Crystal Beast"" Monster Card you control; destroy it, then Special Summon 1 ""Crystal Beast Token"" with the destroyed monster's original Type, Attribute, Level, and ATK/DEF. If a ""Crystal Beast"" card(s) is placed in your Spell & Trap Zone while this card is in your GY, even during the Damage Step: You can banish this card; Special Summon 1 ""Crystal Beast"" Monster Card from your Spell & Trap Zone. You can only use this effect of ""Crystal Aegis"" once per turn.",,0.01,0.15,1.49,0.1,,1st Edition,SDCB-EN017,Common,SPELL,Normal Spell,,,
286252,Crystal Boon,Crystal Boon,https://tcgplayer-cdn.tcgplayer.com/product/286252_200w.jpg,2,3096,https://cpt.tcgcsv.com/3wj3,2022-09-30T04:03:15.39,1,"Special Summon up to 2 ""Crystal Beast"" Monster Cards from your Spell & Trap Zone, and if you do, gain LP equal to their combined original ATK. If a ""Crystal Beast"" card(s) is placed in your Spell & Trap Zone while this card is in your GY, even during the Damage Step: You can banish this card; excavate the top card of your Deck, and if it is a ""Crystal Beast"" monster, either add it to your hand or Special Summon it. Otherwise, send that card to the GY. You can only use this effect of ""Crystal Boon"" once per turn.",,0.01,0.15,1.49,0.1,,1st Edition,SDCB-EN032,Common,TRAP,Normal Trap,,,
286253,Crystal Miracle,Crystal Miracle,https://tcgplayer-cdn.tcgplayer.com/product/286253_200w.jpg,2,3096,https://cpt.tcgcsv.com/5wj3,2022-09-30T04:03:15.39,1,"When a Spell/Trap Card, or monster effect, is activated: Destroy 1 ""Crystal Beast"" card you control, and if you do, negate that activation, and if you do that, destroy that card. If a ""Crystal Beast"" card(s) is placed in your Spell & Trap Zone while this card is in your GY, even during the Damage Step: You can banish this card; place 1 ""Crystal Beast"" monster from your hand, Deck, or GY, face-up in your Spell & Trap Zone as a Continuous Spell. You can only use this effect of ""Crystal Miracle"" once per turn.",,0.03,0.2,1.49,0.09,,1st Edition,SDCB-EN033,Common,TRAP,Counter Trap,,,
286254,Crystal Brilliance,Crystal Brilliance,https://tcgplayer-cdn.tcgplayer.com/product/286254_200w.jpg,2,3096,https://cpt.tcgcsv.com/6wj3,2022-09-30T04:03:15.39,1,"You can only control 1 ""Crystal Brilliance"". Each ""Crystal Beast"" monster you control gains ATK equal to its original DEF. If a ""Crystal Beast"" card(s) is placed in your Spell & Trap Zone, even during the Damage Step: You can send this face-up card to the GY; Special Summon 1 ""Crystal Beast"" monster from your hand or GY, also any damage you take this turn is halved.",,0.01,0.15,1.49,0.11,,1st Edition,SDCB-EN034,Common,TRAP,Continuous Trap,,,
286257,Ultimate Crystal Rainbow Dragon Overdrive,Ultimate Crystal Rainbow Dragon Overdrive,https://tcgplayer-cdn.tcgplayer.com/product/286257_200w.jpg,2,3096,https://cpt.tcgcsv.com/9wj3,2022-09-30T04:03:15.39,1,"1 ""Ultimate Crystal"" monster + 7 ""Crystal Beast"" monsters
<br>Must be Special Summoned (from your Extra Deck) during a Duel you Special Summoned an ""Ultimate Crystal"" monster, by banishing the above monsters from your field and/or GY. While 7 or more of your ""Crystal Beast"" monsters with different names are banished, this card gains 7000 ATK. If this card has not battled this turn (Quick Effect): You can Tribute this card; shuffle as many cards on the field as possible into the Deck, and if you do, Special Summon any number of your banished ""Crystal Beast"" monsters.",,0.05,0.25,3.0,0.14,,1st Edition,SDCB-EN042,Ultra Rare,LIGHT,Effect Fusion Monster,Dragon/Fusion/Effect,,
286258,Rainbow Bridge of the Heart,Rainbow Bridge of the Heart,https://tcgplayer-cdn.tcgplayer.com/product/286258_200w.jpg,2,3096,https://cpt.tcgcsv.com/bwj3,2022-09-30T04:03:15.39,1,"During your Main Phase, you can Normal Summon 1 ""Crystal Beast"" monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) You can only use each of the following effects of ""Rainbow Bridge of the Heart"" once per turn. During your Main Phase: You can destroy 1 ""Crystal Beast"" card you control or in your hand, and if you do, add 1 ""Crystal"" Spell/Trap from your Deck to your hand. If a ""Crystal Beast"" card(s) is placed in your Spell & Trap Zone, even during the Damage Step: You can target 1 card your opponent controls; return both that card and this card to the hand.",,0.02,0.25,3.0,0.12,,1st Edition,SDCB-EN045,Ultra Rare,SPELL,Continuous Spell,,,
286259,Jesse Anderson - Bonder with the Crystal Beasts,Jesse Anderson Bonder with the Crystal Beasts,https://tcgplayer-cdn.tcgplayer.com/product/286259_200w.jpg,2,3096,https://cpt.tcgcsv.com/cwj3,2022-09-30T04:03:15.39,1,"This card can be used as any Token or Counter.
<br><br>""They're my best friends... no, they're my family!""",,0.01,0.25,2.0,0.22,,1st Edition,SDCB-EN047,Super Rare,,Normal Token,,,
286260,Jesse and Ruby - Unleashing the Legend,Jesse and Ruby Unleashing the Legend,https://tcgplayer-cdn.tcgplayer.com/product/286260_200w.jpg,2,3096,https://cpt.tcgcsv.com/dwj3,2022-09-30T04:03:15.39,1,"This card can be used as any Token or Counter.
<br><br>""This here's my pal, Ruby Carbuncle!""",,0.01,0.25,2.0,0.1,,1st Edition,SDCB-EN048,Super Rare,,Normal Token,,,
