productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
34641,Machina Fortress,Machina Fortress,https://tcgplayer-cdn.tcgplayer.com/product/34641_200w.jpg,2,320,https://cpt.tcgcsv.com/RSh,2018-11-23T17:58:27.523,1,SDMM-EN001,Ultra Rare,EARTH,Machine,Effect Monster,2500,1600,"You can discard Machine-Type monster(s) whose total Levels equal 8 or more, then Special Summon this card (from your hand or Graveyard). When this card is destroyed by battle and sent to the Graveyard: Target 1 card your opponent controls; destroy that target. Before resolving an opponent's monster effect that targets this face-up card, look at your opponent's hand and discard 1 card from their hand.",2.25,3.0,7.74,3.04,,Unlimited
34641,Machina Fortress,Machina Fortress,https://tcgplayer-cdn.tcgplayer.com/product/34641_200w.jpg,2,320,https://cpt.tcgcsv.com/RSh,2018-11-23T17:58:27.523,1,SDMM-EN001,Ultra Rare,EARTH,Machine,Effect Monster,2500,1600,"You can discard Machine-Type monster(s) whose total Levels equal 8 or more, then Special Summon this card (from your hand or Graveyard). When this card is destroyed by battle and sent to the Graveyard: Target 1 card your opponent controls; destroy that target. Before resolving an opponent's monster effect that targets this face-up card, look at your opponent's hand and discard 1 card from their hand.",3.13,4.92,14.99,4.92,,1st Edition
34642,Machina Gearframe,Machina Gearframe,https://tcgplayer-cdn.tcgplayer.com/product/34642_200w.jpg,2,320,https://cpt.tcgcsv.com/SSh,2015-07-09T13:33:08.537,1,SDMM-EN002,Super Rare,EARTH,Machine,Union Monster,1800,0,"Once per turn, you can equip this card to a Machine-Type monster you control, OR unequip it to Special Summon this card in face-up Attack Position. When this card is Normal Summoned, you can add 1 Machina monster (except Machina Gearframe) from your Deck",2.77,5.25,6.74,4.0,,Unlimited
34642,Machina Gearframe,Machina Gearframe,https://tcgplayer-cdn.tcgplayer.com/product/34642_200w.jpg,2,320,https://cpt.tcgcsv.com/SSh,2015-07-09T13:33:08.537,1,SDMM-EN002,Super Rare,EARTH,Machine,Union Monster,1800,0,"Once per turn, you can equip this card to a Machine-Type monster you control, OR unequip it to Special Summon this card in face-up Attack Position. When this card is Normal Summoned, you can add 1 Machina monster (except Machina Gearframe) from your Deck",4.58,9.96,17.0,6.44,,1st Edition
34643,Machina Peacekeeper,Machina Peacekeeper,https://tcgplayer-cdn.tcgplayer.com/product/34643_200w.jpg,2,320,https://cpt.tcgcsv.com/TSh,2015-07-09T13:33:31.837,1,SDMM-EN003,Super Rare,EARTH,Machine,Union Monster,500,400,"Once per turn, you can equip this card to a Machine-Type monster you control, OR unequip it to Special Summon this card in face-up Attack Position. When this card is destroyed and sent from the field to the Graveyard, you can add 1 Union Monster from your",0.15,0.49,1.99,0.4,,Unlimited
34643,Machina Peacekeeper,Machina Peacekeeper,https://tcgplayer-cdn.tcgplayer.com/product/34643_200w.jpg,2,320,https://cpt.tcgcsv.com/TSh,2015-07-09T13:33:31.837,1,SDMM-EN003,Super Rare,EARTH,Machine,Union Monster,500,400,"Once per turn, you can equip this card to a Machine-Type monster you control, OR unequip it to Special Summon this card in face-up Attack Position. When this card is destroyed and sent from the field to the Graveyard, you can add 1 Union Monster from your",0.07,0.49,2.99,0.38,,1st Edition
34644,Scrap Recycler,Scrap Recycler,https://tcgplayer-cdn.tcgplayer.com/product/34644_200w.jpg,2,320,https://cpt.tcgcsv.com/VSh,2019-06-18T15:38:39.453,1,SDMM-EN004,Common,EARTH,Machine,Effect Monster,900,1200,"When this card is Normal or Special Summoned, you can select 1 Machine-Type monster from your deck and send it to the Graveyard. Once per turn, you can return 2 Level 4 Machine-Type EARTH monsters in your Graveyard to the deck to draw 1 card.",0.47,0.89,2.19,0.54,,Unlimited
34644,Scrap Recycler,Scrap Recycler,https://tcgplayer-cdn.tcgplayer.com/product/34644_200w.jpg,2,320,https://cpt.tcgcsv.com/VSh,2019-06-18T15:38:39.453,1,SDMM-EN004,Common,EARTH,Machine,Effect Monster,900,1200,"When this card is Normal or Special Summoned, you can select 1 Machine-Type monster from your deck and send it to the Graveyard. Once per turn, you can return 2 Level 4 Machine-Type EARTH monsters in your Graveyard to the deck to draw 1 card.",0.3,0.75,10.5,0.73,,1st Edition
34645,Commander Covington,Commander Covington,https://tcgplayer-cdn.tcgplayer.com/product/34645_200w.jpg,2,320,https://cpt.tcgcsv.com/WSh,2015-07-09T13:26:25.41,1,SDMM-EN005,Common,EARTH,Machine,Effect Monster,1000,600,"Send 1 each of Machina Soldier, Machina Sniper, and Machina Defender you control to the Graveyard to Special Summon 1 Machina Force from your hand or Deck.",0.08,0.25,1.0,0.15,,Unlimited
34645,Commander Covington,Commander Covington,https://tcgplayer-cdn.tcgplayer.com/product/34645_200w.jpg,2,320,https://cpt.tcgcsv.com/WSh,2015-07-09T13:26:25.41,1,SDMM-EN005,Common,EARTH,Machine,Effect Monster,1000,600,"Send 1 each of Machina Soldier, Machina Sniper, and Machina Defender you control to the Graveyard to Special Summon 1 Machina Force from your hand or Deck.",0.05,0.23,1.36,0.15,,1st Edition
