productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
108780,Master of Pendulum Structure Deck,Master of Pendulum Structure Deck,https://tcgplayer-cdn.tcgplayer.com/product/108780_200w.jpg,2,1674,https://cpt.tcgcsv.com/DwT,2021-10-18T13:23:28.397,1,59.99,59.99,59.99,57.49,,Normal,,,,,,,,
108800,Dragonpulse Magician,Dragonpulse Magician,https://tcgplayer-cdn.tcgplayer.com/product/108800_200w.jpg,2,1674,https://cpt.tcgcsv.com/0xT,2015-12-03T20:59:16.727,1,0.04,0.3,1.49,0.29,,1st Edition,SDMP-EN001,Common,EARTH,Spellcaster,Pendulum Monster,1800,1900,"<b>Pendulum Effect :</b> Once per turn, if you have a ""Magician"" card in your other Pendulum Zone: You can discard 1 Pendulum Monster, then target 1 face-up monster on the field; destroy it.
<br>Monster Text :</b><em>  A young novice magician whose redeeming feature is his boundless energy. In fact he has the ability to unconsciously perceive the souls of the dragons sleeping inside the earth. While he's still half baked as a magician, his master, ""Dragonpit Magician"" could easily tell he was a master magician in the making from merely a glance.</em>"
108801,Dragonpit Magician,Dragonpit Magician,https://tcgplayer-cdn.tcgplayer.com/product/108801_200w.jpg,2,1674,https://cpt.tcgcsv.com/2xT,2015-12-03T20:59:13.153,1,0.02,0.49,4.99,0.49,,1st Edition,SDMP-EN002,Common,WATER,Spellcaster,Pendulum Monster,900,2700,"<b>Pendulum Effect :</b>Once per turn, if you have a ""Magician"" card in your other Pendulum Zone: You can discard 1 Pendulum Monster, then target 1 Spell/Trap Card on the field; destroy it.
<br>Monster Text :</b><em> This gifted magician can awaken the energy stored in the deep places of the earth, known as the Pits of the Dragon. His stoic approach wins him few friends, and he often bends to the desires of his pupil."
108802,Nobledragon Magician,Nobledragon Magician,https://tcgplayer-cdn.tcgplayer.com/product/108802_200w.jpg,2,1674,https://cpt.tcgcsv.com/3xT,2015-12-03T21:01:01.747,1,0.01,0.29,1.99,0.17,0.11,1st Edition,SDMP-EN003,Super Rare,FIRE,Spellcaster,Pendulum/Tuner/Effect Monster,700,1400,"<b>Pendulum Effect :</b>If you have no ""Magician"" cards in your other Pendulum Zone, destroy this card.
<br>Monster Text :</b>If this card is in your hand or Graveyard: You can target 1 Level 7 or higher ""Odd-Eyes"" monster you control; reduce its Level by 3, and if you do, Special Summon this card. Cannot be used as a Synchro Material, except for the Synchro Summon of a Dragon-Type Synchro Monster. If this card is used for a Synchro Summon, and the other Synchro Material(s) is not an ""Odd-Eyes"" monster, place this card on the bottom of the Deck."
108803,Oafdragon Magician,Oafdragon Magician,https://tcgplayer-cdn.tcgplayer.com/product/108803_200w.jpg,2,1674,https://cpt.tcgcsv.com/5xT,2015-12-03T21:01:08.053,1,0.01,0.5,10.0,0.37,0.5,1st Edition,SDMP-EN004,Super Rare,WIND,Spellcaster,Pendulum/Effect Monster,2100,1400,"<b>Pendulum Effect :</b>If you have a ""Magician"" card in your other Pendulum Zone: You can add 1 face-up ""Magician"" or ""Odd-Eyes"" Pendulum Monster from your Extra Deck to your hand, except ""Oafdragon Magician"". You can only use this effect of ""Oafdragon Magician"" once per turn.
<br>Monster Text :</b>If this card is Normal or Special Summoned: You can target 1 ""Magician"" Pendulum Monster or 1 ""Odd-Eyes"" monster in your Graveyard, except ""Oafdragon Magician""; add it to your hand. You can only use this effect of ""Oafdragon Magician"" once per turn."
108804,Wisdom-Eye Magician,Wisdom Eye Magician,https://tcgplayer-cdn.tcgplayer.com/product/108804_200w.jpg,2,1674,https://cpt.tcgcsv.com/6xT,2015-12-03T21:06:14.083,1,0.02,0.54,5.02,0.43,,1st Edition,SDMP-EN005,Super Rare,LIGHT,Spellcaster,Pendulum/Effect Monster,1500,1500,"<b>Pendulum Effect :</b>If you have a ""Magician"" or ""Performapal"" card in your other Pendulum Zone: You can destroy this card, and if you do, place 1 ""Magician"" Pendulum Monster from your Deck in your Pendulum Zone, except ""Wisdom-Eye Magician"".
<br>Monster Text :</b>You can discard this card, then target 1 card in your Pendulum Zone whose current Pendulum Scale is different from its original value; its Pendulum Scale becomes its original value until the end of this turn."
108805,Performapal Skullcrobat Joker,Performapal Skullcrobat Joker,https://tcgplayer-cdn.tcgplayer.com/product/108805_200w.jpg,2,1674,https://cpt.tcgcsv.com/7xT,2015-12-03T21:03:23.94,1,0.01,0.52,2.0,0.37,0.46,1st Edition,SDMP-EN006,Common,DARK,Spellcaster,Pendulum/Effect Monster,1800,100,"<b>Pendulum Effect :</b>You cannot Pendulum Summon monsters, except ""Performapal"" monsters, ""Magician"" Pendulum Monsters, and ""Odd-Eyes"" monsters. This effect cannot be negated.
<br>Monster Text :</b>When this card is Normal Summoned: You can add 1 ""Performapal"" monster, 1 ""Magician"" Pendulum Monster, or 1 ""Odd-Eyes"" monster from your Deck to your hand, except ""Performapal Skullcrobat Joker""."
108806,Stargazer Magician,Stargazer Magician,https://tcgplayer-cdn.tcgplayer.com/product/108806_200w.jpg,2,1674,https://cpt.tcgcsv.com/8xT,2015-12-03T21:05:03.403,1,0.08,0.24,1.49,0.15,,1st Edition,SDMP-EN007,Common,DARK,Spellcaster,Pendulum/Effect Monster,1200,2400,"<b>Pendulum Effect :</b>If a Pendulum Monster you control attacks or is attacked, your opponent cannot activate Spell Cards until the end of the Damage Step. Unless you have a ""Magician"" card or ""Odd-Eyes"" card in your other Pendulum Zone, this card's Pendulum Scale becomes 4.
<br>Monster Text :</b>Once per turn, when exactly 1 other Pendulum Monster you control (and no other cards) is returned to your hand by an opponent's card effect (except during the Damage Step): You can Special Summon 1 monster from your hand with the same name as that returned to the hand."
108807,Timegazer Magician,Timegazer Magician,https://tcgplayer-cdn.tcgplayer.com/product/108807_200w.jpg,2,1674,https://cpt.tcgcsv.com/9xT,2015-12-03T21:05:52.073,1,0.1,0.25,1.49,0.13,,1st Edition,SDMP-EN008,Common,DARK,Spellcaster,Pendulum/Effect Monster,1200,600,"<b>Pendulum Effect :</b>You must control no monsters to activate this card. If a Pendulum Monster you control attacks or is attacked, your opponent cannot activate Trap Cards until the end of the Damage Step. Unless you have a ""Magician"" card or ""Odd-Eyes"" card in your other Pendulum Zone, this card's Pendulum Scale becomes 4.
<br>Monster Text :</b>Each turn, the first card(s) in your Pendulum Zone that would be destroyed by an opponent's card effect, is not destroyed."
108808,Odd-Eyes Pendulum Dragon,Odd Eyes Pendulum Dragon,https://tcgplayer-cdn.tcgplayer.com/product/108808_200w.jpg,2,1674,https://cpt.tcgcsv.com/bxT,2015-12-03T21:07:29.123,1,0.1,0.28,1.99,0.29,0.23,1st Edition,SDMP-EN009,Common,DARK,Dragon,Pendulum/Effect Monster,2500,2000,"<b>Pendulum Effect :</b>You can reduce the battle damage you take from an attack involving a Pendulum Monster you control to 0. During your End Phase: You can destroy this card, and if you do, add 1 Pendulum Monster with 1500 or less ATK from your Deck to your hand. You can only use each Pendulum Effect of ""Odd-Eyes Pendulum Dragon"" once per turn.
<br>Monster Text :</b>If this card battles an opponent's monster, any battle damage this card inflicts to your opponent is doubled."
108809,Performapal Silver Claw,Performapal Silver Claw,https://tcgplayer-cdn.tcgplayer.com/product/108809_200w.jpg,2,1674,https://cpt.tcgcsv.com/cxT,2015-12-03T21:03:11.26,1,0.04,0.25,1.49,0.13,,1st Edition,SDMP-EN010,Common,DARK,,Pendulum/Effect Monster,1800,700,"<b>Pendulum Effect :</b>All ""Performapal"" monsters you control gain 300 ATK.
<br>Monster Text :</b>If this card declares an attack: All ""Performapal"" monsters you currently control gain 300 ATK until the end of the Battle Phase."
108810,Performapal Salutiger,Performapal Salutiger,https://tcgplayer-cdn.tcgplayer.com/product/108810_200w.jpg,2,1674,https://cpt.tcgcsv.com/dxT,2015-12-03T21:03:09.327,1,0.04,0.22,1.49,0.06,,1st Edition,SDMP-EN011,Common,EARTH,Beast-Warrior,Effect Monster,1700,500,"When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can add 1 ""Performapal"" Pendulum Monster from your Deck to your hand. You can only use this effect of ""Performapal Salutiger"" once per turn."
108811,Performapal Trump Witch,Performapal Trump Witch,https://tcgplayer-cdn.tcgplayer.com/product/108811_200w.jpg,2,1674,https://cpt.tcgcsv.com/fxT,2015-12-03T21:03:26.46,1,0.11,0.25,0.99,0.17,,1st Edition,SDMP-EN012,Common,DARK,Spellcaster,Pendulum/Effect Monster,100,100,"<b>Pendulum Effect :</b> Once per turn: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters you control as Fusion Materials.
<br><b>Monster Effect :</b> You can Tribute this card; add 1 ""Polymerization"" from your Deck or Graveyard to your hand."
108812,Metaphys Armed Dragon,Metaphys Armed Dragon,https://tcgplayer-cdn.tcgplayer.com/product/108812_200w.jpg,2,1674,https://cpt.tcgcsv.com/gxT,2015-12-03T21:00:39.85,1,0.1,0.25,1.49,0.16,,1st Edition,SDMP-EN013,Common,LIGHT,Wyrm,Normal Monster,2800,1000,<em>Usually visible despite its phantom existence.</em>
108813,"Fusilier Dragon, the Dual-Mode Beast",Fusilier Dragon the Dual Mode Beast,https://tcgplayer-cdn.tcgplayer.com/product/108813_200w.jpg,2,1674,https://cpt.tcgcsv.com/hxT,2015-12-03T20:59:55.65,1,2.4,3.65,9.99,3.58,,1st Edition,SDMP-EN015,Common,DARK,Machine,Effect Monster,2800,2000,"You can Normal Summon or Set this card without Tributing. If you do, its original ATK and DEF are halved."
108814,Chaos Hunter,Chaos Hunter,https://tcgplayer-cdn.tcgplayer.com/product/108814_200w.jpg,2,1674,https://cpt.tcgcsv.com/jxT,2015-12-03T20:58:36.03,1,0.25,0.5,3.0,0.41,,1st Edition,SDMP-EN014,Common,DARK,Fiend,Effect Monster,2500,1600,When your opponent Special Summons a monster (except during the Damage Step): You can discard 1 card; Special Summon this card from your hand. Your opponent cannot banish cards.
