productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
90991,Alexandrite Dragon,Alexandrite Dragon,https://tcgplayer-cdn.tcgplayer.com/product/90991_200w.jpg,2,1462,https://cpt.tcgcsv.com/RpL,2015-12-03T17:27:24.823,1,SDLI-EN001,Common,LIGHT,Dragon,Normal Monster,2000,100,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.",0.1,0.25,1.4,0.2,,1st Edition
90992,"Minerva, Lightsworn Maiden",Minerva Lightsworn Maiden,https://tcgplayer-cdn.tcgplayer.com/product/90992_200w.jpg,2,1462,https://cpt.tcgcsv.com/SpL,2015-12-03T17:30:34.57,1,SDLI-EN002,Super Rare,LIGHT,Spellcaster,Tuner Monster,800,200,"When this card is Normal Summoned: You can add from your Deck to your hand, 1 LIGHT Dragon-Type monster whose Level is less than or equal to the number of ""Lightsworn"" monsters with different names in your Graveyard. When this card is sent from your hand or Deck to the Graveyard: Send the top card of your Deck to the Graveyard. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",0.35,0.92,4.99,0.74,,1st Edition
90993,"Raiden, Hand of the Lightsworn",Raiden Hand of the Lightsworn,https://tcgplayer-cdn.tcgplayer.com/product/90993_200w.jpg,2,1462,https://cpt.tcgcsv.com/TpL,2015-12-03T17:30:51.107,1,SDLI-EN003,Super Rare,LIGHT,Warrior,Tuner Monster,1700,100,"You can send the top 2 cards of your Deck to the Graveyard, then, if there is a ""Lightsworn"" monster among those cards, this card gains 200 ATK until your opponent's End Phase. You can only use this effect of ""Raiden, Hand of the Lightsworn"" once per turn. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",0.08,0.5,2.49,0.36,,1st Edition
90994,Judgment Dragon,Judgment Dragon,https://tcgplayer-cdn.tcgplayer.com/product/90994_200w.jpg,2,1462,https://cpt.tcgcsv.com/VpL,2015-12-03T17:29:40.307,1,SDLI-EN004,Common,LIGHT,Dragon,Effect Monster,3000,2600,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by having 4 or more ""Lightsworn"" monsters with different names in your Graveyard, and cannot be Special Summoned by other ways. You can pay 1000 Life Points; destroy all other cards on the field. During each of your End Phases: Send the top 4 cards of your Deck to the Graveyard.",0.3,0.56,1.95,0.54,,1st Edition
90995,"Gragonith, Lightsworn Dragon",Gragonith Lightsworn Dragon,https://tcgplayer-cdn.tcgplayer.com/product/90995_200w.jpg,2,1462,https://cpt.tcgcsv.com/WpL,2015-12-03T17:29:09.187,1,SDLI-EN005,Common,LIGHT,Dragon,Effect Monster,2000,1600,"This card gains 300 ATK and DEF for each ""Lightsworn"" monster with a different name in your Graveyard. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. During each of your End Phases: Send the top 3 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",0.13,0.29,1.49,0.4,,1st Edition
90996,"Celestia, Lightsworn Angel",Celestia Lightsworn Angel,https://tcgplayer-cdn.tcgplayer.com/product/90996_200w.jpg,2,1462,https://cpt.tcgcsv.com/XpL,2015-12-03T17:28:07.867,1,SDLI-EN006,Common,LIGHT,Fairy,Effect Monster,2300,200,"When you Tribute Summon this card by Tributing a ""Lightsworn"" monster: You can send the top 4 cards of your Deck to the Graveyard, then target up to 2 cards your opponent controls; destroy those targets.",0.15,0.39,1.45,0.38,,1st Edition
90997,"Jain, Lightsworn Paladin",Jain Lightsworn Paladin,https://tcgplayer-cdn.tcgplayer.com/product/90997_200w.jpg,2,1462,https://cpt.tcgcsv.com/ZpL,2015-12-03T17:29:23.937,1,SDLI-EN007,Common,LIGHT,Warrior,Effect Monster,1800,1200,"If this card attacks an opponent's monster, it gains 300 ATK during the Damage Step only. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",0.08,0.25,1.49,0.2,,1st Edition
90998,"Lyla, Lightsworn Sorceress",Lyla Lightsworn Sorceress,https://tcgplayer-cdn.tcgplayer.com/product/90998_200w.jpg,2,1462,https://cpt.tcgcsv.com/-pL,2014-06-25T18:06:26.843,1,SDLI-EN008,Common,LIGHT,Spellcaster,Effect Monster,1700,200,"You can target 1 Spell/Trap Card your opponent controls; this card's battle position cannot be changed until the end of your next turn, also change this card you control from face-up Attack Position to face-up Defense Position, and if you do, destroy that target. During each of your End Phases: Send the top 3 cards of your Deck to the Graveyard.",0.19,0.36,1.54,0.33,,1st Edition
90999,"Garoth, Lightsworn Warrior",Garoth Lightsworn Warrior,https://tcgplayer-cdn.tcgplayer.com/product/90999_200w.jpg,2,1462,https://cpt.tcgcsv.com/_pL,2015-12-03T17:28:53.053,1,SDLI-EN009,Common,LIGHT,Spellcaster,Effect Monster,1850,1300,"Each time a card(s) is sent from your Deck to the Graveyard by the effect of a ""Lightsworn"" monster you control, except ""Garoth, Lightsworn Warrior"": Send the top 2 cards of your Deck to the Graveyard, then draw 1 card for each ""Lightsworn"" monster sent to the Graveyard by this effect.",0.11,0.25,1.49,0.19,,1st Edition
91000,"Lumina, Lightsworn Summoner",Lumina Lightsworn Summoner,https://tcgplayer-cdn.tcgplayer.com/product/91000_200w.jpg,2,1462,https://cpt.tcgcsv.com/0qL,2014-06-25T18:14:31.46,1,SDLI-EN012,Common,LIGHT,Spellcaster,Effect Monster,1000,1000,"Once per turn: You can discard 1 card, then target 1 Level 4 or lower ""Lightsworn"" monster in your Graveyard; Special Summon that target. During each of your End Phases: Send the top 3 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",0.13,0.31,1.49,0.17,,1st Edition
91001,"Wulf, Lightsworn Beast",Wulf Lightsworn Beast,https://tcgplayer-cdn.tcgplayer.com/product/91001_200w.jpg,2,1462,https://cpt.tcgcsv.com/2qL,2015-12-03T17:31:48.13,1,SDLI-EN010,Common,LIGHT,Beast-Warrior,Effect Monster,2100,300,Cannot be Normal Summoned or Set. When this card is sent from your Deck to the Graveyard: Special Summon it.,1.04,1.5,3.55,1.54,,1st Edition
91002,"Ehren, Lightsworn Monk",Ehren Lightsworn Monk,https://tcgplayer-cdn.tcgplayer.com/product/91002_200w.jpg,2,1462,https://cpt.tcgcsv.com/3qL,2015-12-03T17:28:39.743,1,SDLI-EN011,Common,LIGHT,Warrior,Effect Monster,1600,1000,"Before damage calculation, if this card attacks a Defense Position monster: Shuffle that monster into the Deck. During each of your End Phases: Send the top 3 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",0.32,0.55,1.73,0.53,,1st Edition
91003,"Aurkus, Lightsworn Druid",Aurkus Lightsworn Druid,https://tcgplayer-cdn.tcgplayer.com/product/91003_200w.jpg,2,1462,https://cpt.tcgcsv.com/5qL,2015-12-03T17:27:41.357,1,SDLI-EN013,Common,LIGHT,Beast-Warrior,Effect Monster,1200,1800,"""Lightsworn"" monsters (everywhere) cannot be targeted by Spells, Traps, or card effects. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.",0.25,0.67,1.81,0.68,,1st Edition
91004,"Shire, Lightsworn Spirit",Shire Lightsworn Spirit,https://tcgplayer-cdn.tcgplayer.com/product/91004_200w.jpg,2,1462,https://cpt.tcgcsv.com/6qL,2025-05-20T17:58:00.313,1,SDLI-EN014,Common,LIGHT,Fairy,Effect Monster,400,1400,"This card gains 300 ATK for each ""Lightsworn"" monster with a different name in your Graveyard. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard.",0.2,0.47,1.96,0.39,,1st Edition
91005,"Ryko, Lightsworn Hunter",Ryko Lightsworn Hunter,https://tcgplayer-cdn.tcgplayer.com/product/91005_200w.jpg,2,1462,https://cpt.tcgcsv.com/7qL,2015-12-03T17:31:09.107,1,SDLI-EN015,Common,LIGHT,,Effect Monster,200,100,"FLIP: You can target 1 card on the field; destroy that target (if any), also, after that, send the top 3 cards of your Deck to the Graveyard.",0.15,0.66,2.99,0.29,,1st Edition
