productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
214982,Sacred Beasts Structure Deck [1st Edition],Sacred Beasts Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/214982_200w.jpg,2,2659,https://cpt.tcgcsv.com/G_K2,2021-10-18T12:34:12.99,1,"Each Structure Deck: Sacred Beasts contains 46 cards, including 5 Ultra Rares, 3 Super Rares, 38 Commons, and 2 tokens. The decks also include a double-sided deluxe game mat and dueling guide.",083717850083,31.96,35.0,39.14,36.87,,Normal,,,,,,,
217692,"Raviel, Lord of Phantasms - Shimmering Scraper",Raviel Lord of Phantasms Shimmering Scraper,https://tcgplayer-cdn.tcgplayer.com/product/217692_200w.jpg,2,2659,https://cpt.tcgcsv.com/S5M2,2025-05-15T20:28:54.7,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 3 monsters. You can only use each of the following effects of ""Raviel, Lord of Phantasms - Shimmering Scraper"" once per turn.
<br>• (Quick Effect): You can discard this card and target 1 ""Raviel, Lord of Phantasms"" you control; for the rest of this turn, its ATK becomes double its current ATK, also it can attack all monsters your opponent controls once each.
<br>• If this card is in your GY: You can Tribute 1 monster; add this card to your hand.",,0.1,0.35,1.99,0.23,,1st Edition,SDSA-EN001,Ultra Rare,DARK,Fiend,Effect Monster,4000,4000
217693,Chaos Core,Chaos Core,https://tcgplayer-cdn.tcgplayer.com/product/217693_200w.jpg,2,2659,https://cpt.tcgcsv.com/T5M2,2025-05-15T20:28:54.75,1,"When either player activates a card or effect that targets this card, or when your opponent's monster targets it for an attack (Quick Effect): You can send up to 1 each of ""Uria, Lord of Searing Flames"", ""Hamon, Lord of Striking Thunder"", and ""Raviel, Lord of Phantasms"" from your hand and/or Deck to the GY, and if you do, place 1 Phantasm Counter on this card for each card sent to the GY, and if you place at least 1, you take no battle damage this turn. You can only use this effect of ""Chaos Core"" once per turn. If this card would be destroyed by battle or card effect, you can remove 1 Phantasm Counter from this card instead.",,0.15,0.35,1.0,0.33,,1st Edition,SDSA-EN002,Common,DARK,Fiend,Effect Monster,0,0
217694,Dark Beckoning Beast,Dark Beckoning Beast,https://tcgplayer-cdn.tcgplayer.com/product/217694_200w.jpg,2,2659,https://cpt.tcgcsv.com/V5M2,2022-05-27T05:49:13.517,1,"When this card is Normal Summoned: You can add 1 ""Uria, Lord of Searing Flames"", ""Hamon, Lord of Striking Thunder"", or ""Raviel, Lord of Phantasms"", OR 1 card that specifically lists any of those cards in its text, from your Deck to your hand, except ""Dark Beckoning Beast"". You can only use this effect of ""Dark Beckoning Beast"" once per turn. During your Main Phase, you can Normal Summon 1 Fiend monster with 0 ATK/DEF in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)",,0.01,0.66,9.6,0.56,0.39,1st Edition,SDSA-EN003,Common,DARK,Fiend,Effect Monster,0,0
217695,Chaos Summoning Beast,Chaos Summoning Beast,https://tcgplayer-cdn.tcgplayer.com/product/217695_200w.jpg,2,2659,https://cpt.tcgcsv.com/W5M2,2025-05-15T20:28:54.813,1,"You can Tribute this card; Special Summon 1 ""Uria, Lord of Searing Flames"", ""Hamon, Lord of Striking Thunder"", or ""Raviel, Lord of Phantasms"", from your hand, ignoring its Summoning conditions. You can banish this card from your GY; add 1 ""Fallen Paradise"" from your Deck to your hand. You can only use each effect of ""Chaos Summoning Beast"" once per turn.",,0.06,0.3,2.14,0.29,0.28,1st Edition,SDSA-EN004,Common,DARK,Fiend,Effect Monster,0,0
217696,Dark Summoning Beast,Dark Summoning Beast,https://tcgplayer-cdn.tcgplayer.com/product/217696_200w.jpg,2,2659,https://cpt.tcgcsv.com/X5M2,2025-05-15T20:28:54.86,1,"You can Tribute this card; Special Summon 1 ""Uria, Lord of Searing Flames"", ""Hamon, Lord of Striking Thunder"", or ""Raviel, Lord of Phantasms"" from your hand or Deck, ignoring its Summoning conditions, also monsters you control cannot attack for the rest of this turn. You can only use this effect of ""Dark Summoning Beast"" once per turn. You can banish this card from your Graveyard; add 1 ""Uria, Lord of Searing Flames"", ""Hamon, Lord of Striking Thunder"", or ""Raviel, Lord of Phantasms"" from your Deck to your hand.",,0.25,0.44,1.49,0.31,,1st Edition,SDSA-EN005,Common,DARK,Fiend,Effect Monster,0,0
217697,Phantom of Chaos,Phantom of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/217697_200w.jpg,2,2659,https://cpt.tcgcsv.com/Z5M2,2025-05-15T20:28:54.923,1,"Your opponent takes no battle damage from attacks involving this card. Once per turn: You can target 1 Effect Monster in your GY; banish that target, and if you do, until the End Phase, this card's name and original ATK become that monster's name and original ATK, and replace this effect with that monster's original effects. You must control this face-up card to activate and to resolve this effect.",,0.2,0.25,2.01,0.22,,1st Edition,SDSA-EN006,Common,DARK,Fiend,Effect Monster,0,0
217698,Phantom Skyblaster,Phantom Skyblaster,https://tcgplayer-cdn.tcgplayer.com/product/217698_200w.jpg,2,2659,https://cpt.tcgcsv.com/-5M2,2025-05-15T20:28:54.983,1,"When this card is Normal or Flip Summoned: You can Special Summon any number of ""Skyblaster Tokens"" (Fiend/DARK/Level 4/ATK 500/DEF 500), up to the number of monsters you control. Once per turn, during your Standby Phase: You can inflict 300 damage to your opponent for each ""Skyblaster"" monster you control. ""Skyblaster"" monsters you control cannot declare an attack during the turn you activate this effect.",,0.01,0.21,1.49,0.11,,1st Edition,SDSA-EN007,Common,DARK,Fiend,Effect Monster,1100,800
217699,Mad Reloader,Mad Reloader,https://tcgplayer-cdn.tcgplayer.com/product/217699_200w.jpg,2,2659,https://cpt.tcgcsv.com/_5M2,2020-07-09T18:10:55.593,1,"If this card is destroyed by battle and sent to the GY: Send 2 cards from your hand to the GY, and if you do, draw 2 cards.",,0.01,0.15,1.49,0.13,,1st Edition,SDSA-EN008,Common,DARK,Fiend,Effect Monster,0,0
217700,Grave Squirmer,Grave Squirmer,https://tcgplayer-cdn.tcgplayer.com/product/217700_200w.jpg,2,2659,https://cpt.tcgcsv.com/06M2,2025-05-15T20:28:55.017,1,If this card is destroyed by battle and sent to the Graveyard: Target 1 card on the field; destroy that target.,,0.02,0.18,1.49,0.12,,1st Edition,SDSA-EN009,Common,DARK,Fiend,Effect Monster,0,0
