productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
123753,Seto Kaiba Structure Deck [1st Edition],Seto Kaiba Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/123753_200w.jpg,2,1845,https://cpt.tcgcsv.com/5w_,2021-10-18T13:23:24.667,1,"Each Structure Deck: Seto Kaiba contains:
<br>• 1 Preconstructed Deck of 45 cards
<br>• 1 Beginner's Guide
<br>• 1 Double-sided Playmat/Dueling Guide",31.96,39.96,44.95,42.23,,Normal,,,,,,,
123754,A-Assault Core,A Assault Core,https://tcgplayer-cdn.tcgplayer.com/product/123754_200w.jpg,2,1845,https://cpt.tcgcsv.com/6w_,2018-04-30T17:45:58.66,1,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can add 1 other Union monster from your Graveyard to your hand.",0.4,1.0,2.5,0.88,,Unlimited,SDKS-EN001,Super Rare,LIGHT,Machine,Union/Effect Monster,1900,200
123754,A-Assault Core,A Assault Core,https://tcgplayer-cdn.tcgplayer.com/product/123754_200w.jpg,2,1845,https://cpt.tcgcsv.com/6w_,2018-04-30T17:45:58.66,1,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can add 1 other Union monster from your Graveyard to your hand.",0.35,1.1,9.99,0.59,,1st Edition,SDKS-EN001,Super Rare,LIGHT,Machine,Union/Effect Monster,1900,200
123755,B-Buster Drake,B Buster Drake,https://tcgplayer-cdn.tcgplayer.com/product/123755_200w.jpg,2,1845,https://cpt.tcgcsv.com/7w_,2018-04-30T17:46:16.867,1,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's Spell effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can add 1 Union monster from your Deck to your hand.",0.99,2.15,9.99,1.72,,1st Edition,SDKS-EN002,Super Rare,LIGHT,Machine,Union/Effect Monster,1500,1800
123755,B-Buster Drake,B Buster Drake,https://tcgplayer-cdn.tcgplayer.com/product/123755_200w.jpg,2,1845,https://cpt.tcgcsv.com/7w_,2018-04-30T17:46:16.867,1,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's Spell effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can add 1 Union monster from your Deck to your hand.",1.63,2.28,6.5,2.5,,Unlimited,SDKS-EN002,Super Rare,LIGHT,Machine,Union/Effect Monster,1500,1800
123756,C-Crush Wyvern,C Crush Wyvern,https://tcgplayer-cdn.tcgplayer.com/product/123756_200w.jpg,2,1845,https://cpt.tcgcsv.com/8w_,2018-04-30T17:46:35.023,1,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's Trap effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can Special Summon 1 Union monster from your hand.",0.49,1.0,9.99,0.68,,1st Edition,SDKS-EN003,Super Rare,LIGHT,Machine,Union/Effect Monster,1200,2000
123756,C-Crush Wyvern,C Crush Wyvern,https://tcgplayer-cdn.tcgplayer.com/product/123756_200w.jpg,2,1845,https://cpt.tcgcsv.com/8w_,2018-04-30T17:46:35.023,1,"Once per turn, you can either: Target 1 LIGHT Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's Trap effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the Graveyard: You can Special Summon 1 Union monster from your hand.",0.72,0.87,2.99,0.83,,Unlimited,SDKS-EN003,Super Rare,LIGHT,Machine,Union/Effect Monster,1200,2000
123757,Heavy Mech Support Armor,Heavy Mech Support Armor,https://tcgplayer-cdn.tcgplayer.com/product/123757_200w.jpg,2,1845,https://cpt.tcgcsv.com/9w_,2018-04-30T17:48:21.343,1,"When this card is Normal Summoned: You can target 1 Union monster in your Graveyard; Special Summon it. Once per turn, you can either: Target 1 Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. Your opponent cannot target a monster equipped with this card with card effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.",0.09,0.3,0.99,0.32,,1st Edition,SDKS-EN004,Common,LIGHT,Machine,Union/Effect Monster,500,500
123757,Heavy Mech Support Armor,Heavy Mech Support Armor,https://tcgplayer-cdn.tcgplayer.com/product/123757_200w.jpg,2,1845,https://cpt.tcgcsv.com/9w_,2018-04-30T17:48:21.343,1,"When this card is Normal Summoned: You can target 1 Union monster in your Graveyard; Special Summon it. Once per turn, you can either: Target 1 Machine-Type monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. Your opponent cannot target a monster equipped with this card with card effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.",0.1,0.25,1.4,0.13,,Unlimited,SDKS-EN004,Common,LIGHT,Machine,Union/Effect Monster,500,500
123758,X-Head Cannon,X Head Cannon,https://tcgplayer-cdn.tcgplayer.com/product/123758_200w.jpg,2,1845,https://cpt.tcgcsv.com/bw_,2018-04-30T17:48:38.36,1,"<i>A monster with a mighty cannon barrel, it is able to integrate its attacks. It attacks in many ways by combining and separating with other monsters.",0.1,0.27,1.53,0.27,,1st Edition,SDKS-EN005,Common,LIGHT,Machine,Normal Monster,1800,1500
