productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
206235,Shaddoll Showdown Structure Deck [1st Edition],Shaddoll Showdown Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/206235_200w.jpg,2,2591,https://cpt.tcgcsv.com/KvG2,2021-10-18T12:35:12.78,1,"Structure Deck: Shaddoll Showdown also features new artwork for beloved cards like El Shaddoll Construct! The alternate art version of El Shaddoll Construct joins the rest of the Extra Deck that contains all the El Shaddoll Fusion essentials. You can add Synchro, Xyz, and Link Monsters from Duel Devastator to round out the rest of your Extra Deck!
<br><br>Structure Deck: Shaddoll Showdown is one of the biggest Structure Decks yet with a total of 49 cards across the Main and Extra Deck, including 10 foil cards!*

<br>• 39 Commons
<br>• 7 Super Rares
<br>• 3 Ultra Rares
<br>• 1 Beginner's Guide
<br>• 1 Double-sided Deluxe Game Mat/Dueling Guide",083717847922,40.0,45.0,99.0,46.91,,Normal,,,,,,,,,
208951,Qadshaddoll Keios,Qadshaddoll Keios,https://tcgplayer-cdn.tcgplayer.com/product/208951_200w.jpg,2,2591,https://cpt.tcgcsv.com/2CH2,2020-09-21T19:04:57.417,1,"FLIP: You can Special Summon 1 ""Shaddoll"" monster from your hand in face-up or face-down Defense Position.
<br>If this card is sent to the GY by a card effect: You can send 1 ""Shaddoll"" monster from your hand to the GY, and if you do, for the rest of this turn, all monsters you control gain ATK/DEF equal to the original Level of that monster sent to the GY x 100. You can only use 1 ""Qadshaddoll Keios"" effect per turn, and only once that turn.",,0.09,0.25,0.6,0.09,,Unlimited,SDSH-EN001,Super Rare,LIGHT,Spellcaster,Flip/Effect Monster,900,100,,
208951,Qadshaddoll Keios,Qadshaddoll Keios,https://tcgplayer-cdn.tcgplayer.com/product/208951_200w.jpg,2,2591,https://cpt.tcgcsv.com/2CH2,2020-09-21T19:04:57.417,1,"FLIP: You can Special Summon 1 ""Shaddoll"" monster from your hand in face-up or face-down Defense Position.
<br>If this card is sent to the GY by a card effect: You can send 1 ""Shaddoll"" monster from your hand to the GY, and if you do, for the rest of this turn, all monsters you control gain ATK/DEF equal to the original Level of that monster sent to the GY x 100. You can only use 1 ""Qadshaddoll Keios"" effect per turn, and only once that turn.",,0.05,0.28,2.0,0.21,,1st Edition,SDSH-EN001,Super Rare,LIGHT,Spellcaster,Flip/Effect Monster,900,100,,
208952,Reeshaddoll Wendi,Reeshaddoll Wendi,https://tcgplayer-cdn.tcgplayer.com/product/208952_200w.jpg,2,2591,https://cpt.tcgcsv.com/3CH2,2024-10-21T08:49:06.85,1,"FLIP: You can Special Summon 1 ""Shaddoll"" monster from your Deck in face-up or face-down Defense Position, except ""Reeshaddoll Wendi"".
<br>If this card is sent to the GY by a card effect: You can Special Summon 1 ""Shaddoll"" monster from your Deck in face-down Defense Position, except ""Reeshaddoll Wendi"". You can only use 1 ""Reeshaddoll Wendi"" effect per turn, and only once that turn.",,0.1,0.28,3.65,0.29,0.9,Unlimited,SDSH-EN002,Super Rare,WIND,Psychic,Flip/Effect Monster,1500,1000,,
208952,Reeshaddoll Wendi,Reeshaddoll Wendi,https://tcgplayer-cdn.tcgplayer.com/product/208952_200w.jpg,2,2591,https://cpt.tcgcsv.com/3CH2,2024-10-21T08:49:06.85,1,"FLIP: You can Special Summon 1 ""Shaddoll"" monster from your Deck in face-up or face-down Defense Position, except ""Reeshaddoll Wendi"".
<br>If this card is sent to the GY by a card effect: You can Special Summon 1 ""Shaddoll"" monster from your Deck in face-down Defense Position, except ""Reeshaddoll Wendi"". You can only use 1 ""Reeshaddoll Wendi"" effect per turn, and only once that turn.",,0.1,0.4,8.75,0.34,0.27,1st Edition,SDSH-EN002,Super Rare,WIND,Psychic,Flip/Effect Monster,1500,1000,,
208953,Naelshaddoll Ariel,Naelshaddoll Ariel,https://tcgplayer-cdn.tcgplayer.com/product/208953_200w.jpg,2,2591,https://cpt.tcgcsv.com/5CH2,2025-05-15T20:29:19.153,1,"FLIP: You can target 1 of your banished ""Shaddoll"" monsters; Special Summon it in face-up or face-down Defense Position.
<br>If this card is sent to the GY by a card effect: You can target up to 3 cards in the GY(s); banish them. You can only use 1 ""Naelshaddoll Ariel"" effect per turn, and only once that turn.",,0.1,0.49,2.99,0.32,,Unlimited,SDSH-EN003,Super Rare,WATER,Psychic,Flip/Effect Monster,1000,1800,,
208953,Naelshaddoll Ariel,Naelshaddoll Ariel,https://tcgplayer-cdn.tcgplayer.com/product/208953_200w.jpg,2,2591,https://cpt.tcgcsv.com/5CH2,2025-05-15T20:29:19.153,1,"FLIP: You can target 1 of your banished ""Shaddoll"" monsters; Special Summon it in face-up or face-down Defense Position.
<br>If this card is sent to the GY by a card effect: You can target up to 3 cards in the GY(s); banish them. You can only use 1 ""Naelshaddoll Ariel"" effect per turn, and only once that turn.",,0.05,0.4,3.0,0.4,,1st Edition,SDSH-EN003,Super Rare,WATER,Psychic,Flip/Effect Monster,1000,1800,,
208954,Shaddoll Falco,Shaddoll Falco,https://tcgplayer-cdn.tcgplayer.com/product/208954_200w.jpg,2,2591,https://cpt.tcgcsv.com/6CH2,2025-05-15T20:29:19.2,1,"FLIP: You can target 1 ""Shaddoll"" monster in your GY, except ""Shaddoll Falco""; Special Summon it in face-down Defense Position.
<br>If this card is sent to the GY by a card effect: You can Special Summon it in face-down Defense Position. You can only use 1 ""Shaddoll Falco"" effect per turn, and only once that turn.",,0.1,0.25,0.6,0.14,,Unlimited,SDSH-EN004,Common,DARK,Spellcaster,Flip/Tuner/Effect Monster,600,1400,,
208954,Shaddoll Falco,Shaddoll Falco,https://tcgplayer-cdn.tcgplayer.com/product/208954_200w.jpg,2,2591,https://cpt.tcgcsv.com/6CH2,2025-05-15T20:29:19.2,1,"FLIP: You can target 1 ""Shaddoll"" monster in your GY, except ""Shaddoll Falco""; Special Summon it in face-down Defense Position.
<br>If this card is sent to the GY by a card effect: You can Special Summon it in face-down Defense Position. You can only use 1 ""Shaddoll Falco"" effect per turn, and only once that turn.",,0.1,0.27,2.99,0.26,,1st Edition,SDSH-EN004,Common,DARK,Spellcaster,Flip/Tuner/Effect Monster,600,1400,,
208955,Shaddoll Hedgehog,Shaddoll Hedgehog,https://tcgplayer-cdn.tcgplayer.com/product/208955_200w.jpg,2,2591,https://cpt.tcgcsv.com/7CH2,2025-05-15T20:29:19.247,1,"FLIP: You can add 1 ""Shaddoll"" Spell/Trap from your Deck to your hand.
<br>If this card is sent to the GY by a card effect: You can add 1 ""Shaddoll"" monster from your Deck to your hand, except ""Shaddoll Hedgehog"". You can only use 1 ""Shaddoll Hedgehog"" effect per turn, and only once that turn.",,0.15,0.37,0.6,0.13,,Unlimited,SDSH-EN005,Common,DARK,Spellcaster,Flip/Effect Monster,800,200,,
208955,Shaddoll Hedgehog,Shaddoll Hedgehog,https://tcgplayer-cdn.tcgplayer.com/product/208955_200w.jpg,2,2591,https://cpt.tcgcsv.com/7CH2,2025-05-15T20:29:19.247,1,"FLIP: You can add 1 ""Shaddoll"" Spell/Trap from your Deck to your hand.
<br>If this card is sent to the GY by a card effect: You can add 1 ""Shaddoll"" monster from your Deck to your hand, except ""Shaddoll Hedgehog"". You can only use 1 ""Shaddoll Hedgehog"" effect per turn, and only once that turn.",,0.15,0.34,0.99,0.26,,1st Edition,SDSH-EN005,Common,DARK,Spellcaster,Flip/Effect Monster,800,200,,
208956,Shaddoll Squamata,Shaddoll Squamata,https://tcgplayer-cdn.tcgplayer.com/product/208956_200w.jpg,2,2591,https://cpt.tcgcsv.com/8CH2,2025-05-15T20:29:19.31,1,"FLIP: You can target 1 monster on the field; destroy it.
<br>If this card is sent to the GY by a card effect: You can send 1 ""Shaddoll"" card from your Deck to the GY, except ""Shaddoll Squamata"". You can only use 1 ""Shaddoll Squamata"" effect per turn, and only once that turn.",,0.2,0.5,2.99,0.45,,1st Edition,SDSH-EN006,Common,DARK,Spellcaster,Flip/Effect Monster,1800,1000,,
208956,Shaddoll Squamata,Shaddoll Squamata,https://tcgplayer-cdn.tcgplayer.com/product/208956_200w.jpg,2,2591,https://cpt.tcgcsv.com/8CH2,2025-05-15T20:29:19.31,1,"FLIP: You can target 1 monster on the field; destroy it.
<br>If this card is sent to the GY by a card effect: You can send 1 ""Shaddoll"" card from your Deck to the GY, except ""Shaddoll Squamata"". You can only use 1 ""Shaddoll Squamata"" effect per turn, and only once that turn.",,0.25,0.5,1.45,0.29,,Unlimited,SDSH-EN006,Common,DARK,Spellcaster,Flip/Effect Monster,1800,1000,,
