productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
220334,Spirit Charmers Structure Deck [1st Edition],Spirit Charmers Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/220334_200w.jpg,2,2695,https://cpt.tcgcsv.com/J8N2,2021-10-18T12:33:57.563,1,"Each Structure Deck: Spirit Charmers contains:
<br>• 5 Ultra Rares (4 fixed + 1 of 4 Variant Art cards)
<br>• 2 Super Rares
<br>• 35 Commons
<br>• 1 of 5 Super Rare Token Cards
<br>• 1 of 5 Double-sided Deluxe Game Mats/Dueling Guide",083717851202,7.96,16.68,20.0,14.35,,Normal,,,,,,,
220335,Spirit Charmers Structure Deck Display [1st Edition],Spirit Charmers Structure Deck Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/220335_200w.jpg,2,2695,https://cpt.tcgcsv.com/K8N2,2020-11-20T05:03:13.36,1,Each display contains 8 Spirit Charmers structure decks.,083717851219,69.99,92.5,99.99,,,Normal,,,,,,,
224961,Token: Aussa and Wynn,Token Aussa and Wynn,https://tcgplayer-cdn.tcgplayer.com/product/224961_200w.jpg,2,2695,https://cpt.tcgcsv.com/f_P2,2025-05-15T20:30:23.693,1,This card can be used as any Token.,,0.39,0.82,10.0,0.64,,1st Edition,SDCH-ENT01,Super Rare,,,,,
224962,Token: Hiita and Eria,Token Hiita and Eria,https://tcgplayer-cdn.tcgplayer.com/product/224962_200w.jpg,2,2695,https://cpt.tcgcsv.com/g_P2,2025-05-15T20:30:23.727,1,This card can be used as any Token.,,0.56,0.97,10.0,0.63,,1st Edition,SDCH-ENT02,Super Rare,,,,,
224963,Token: Hiita and Aussa,Token Hiita and Aussa,https://tcgplayer-cdn.tcgplayer.com/product/224963_200w.jpg,2,2695,https://cpt.tcgcsv.com/h_P2,2025-05-15T20:30:23.773,1,This card can be used as any Token.,,0.47,0.99,10.0,0.66,,1st Edition,SDCH-ENT03,Super Rare,,,,,
224964,Token: Eria and Wynn,Token Eria and Wynn,https://tcgplayer-cdn.tcgplayer.com/product/224964_200w.jpg,2,2695,https://cpt.tcgcsv.com/j_P2,2022-05-24T08:30:37.903,1,This card can be used as any Token.,,0.44,0.79,10.0,0.8,0.75,1st Edition,SDCH-ENT04,Super Rare,,,,,
224965,Token: Charmers and their Familiars,Token Charmers and their Familiars,https://tcgplayer-cdn.tcgplayer.com/product/224965_200w.jpg,2,2695,https://cpt.tcgcsv.com/k_P2,2022-01-14T15:42:53.597,1,This card can be used as any Token.,,0.78,1.77,10.0,1.75,1.78,1st Edition,SDCH-ENT05,Super Rare,,,,,
224966,Aussa the Earth Charmer,Aussa the Earth Charmer,https://tcgplayer-cdn.tcgplayer.com/product/224966_200w.jpg,2,2695,https://cpt.tcgcsv.com/l_P2,2020-11-20T05:03:13.36,1,"FLIP: While this card is face-up on the field, take control of 1 EARTH monster your opponent controls.",,0.05,0.21,10.0,0.12,0.1,1st Edition,SDCH-EN001,Common,EARTH,Spellcaster,Effect Monster,500,1500
224967,Eria the Water Charmer,Eria the Water Charmer,https://tcgplayer-cdn.tcgplayer.com/product/224967_200w.jpg,2,2695,https://cpt.tcgcsv.com/m_P2,2025-05-15T20:30:23.82,1,FLIP: Target 1 face-up WATER monster your opponent controls; take control of that target while this card is face-up on the field.,,0.05,0.2,10.0,0.12,,1st Edition,SDCH-EN002,Common,WATER,Spellcaster,Effect Monster,500,1500
224968,Hiita the Fire Charmer,Hiita the Fire Charmer,https://tcgplayer-cdn.tcgplayer.com/product/224968_200w.jpg,2,2695,https://cpt.tcgcsv.com/n_P2,2020-11-20T05:03:13.36,1,FLIP: Target 1 face-up FIRE monster your opponent controls; take control of that target while this card is face-up on the field.,,0.03,0.23,10.0,0.1,0.12,1st Edition,SDCH-EN003,Common,FIRE,Spellcaster,Effect Monster,500,1500
224969,Wynn the Wind Charmer,Wynn the Wind Charmer,https://tcgplayer-cdn.tcgplayer.com/product/224969_200w.jpg,2,2695,https://cpt.tcgcsv.com/p_P2,2025-05-15T20:30:23.85,1,"FLIP: While this card is face-up on the field, take control of 1 WIND monster your opponent controls.",,0.03,0.2,10.0,0.16,,1st Edition,SDCH-EN004,Common,WIND,Spellcaster,Effect Monster,500,1500
224970,Awakening of the Possessed - Nefariouser Archfiend,Awakening of the Possessed Nefariouser Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/224970_200w.jpg,2,2695,https://cpt.tcgcsv.com/q_P2,2025-05-15T20:30:23.897,1,"You can Special Summon this card (from your hand or Deck) by sending 1 face-up Spellcaster monster and 1 face-up Level 4 or lower EARTH monster you control to the GY. You can only use each of the following effects of ""Awakening of the Possessed - Nefariouser Archfiend"" once per turn.
<br>• When this card is Special Summoned by its effect: You can Special Summon 1 Level 4 or lower monster from your GY, but negate its effects.
<br>• If this card is sent from the field to the GY: You can add 1 ""Spiritual Earth Art"" card or 1 ""Possessed"" Spell/Trap from your Deck to your hand.",,0.05,0.25,10.0,0.16,,1st Edition,SDCH-EN005,Ultra Rare,EARTH,Beast,Effect Monster,2000,200
