productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
103906,Synchron Extreme Structure Deck [1st Edition],Synchron Extreme Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/103906_200w.jpg,2,1648,https://cpt.tcgcsv.com/8BR,2021-10-18T14:12:25.23,1,37.0,47.96,69.99,48.79,,Normal,,,,,,,,
103907,Jet Synchron,Jet Synchron,https://tcgplayer-cdn.tcgplayer.com/product/103907_200w.jpg,2,1648,https://cpt.tcgcsv.com/9BR,2025-05-16T09:36:37.637,1,0.49,1.0,14.12,0.9,0.55,1st Edition,SDSE-EN001,Super Rare,FIRE,Machine,Tuner/Effect Monster,500,0,"If this card is sent to the Graveyard as a Synchro Material: You can add 1 ""Junk"" monster from your Deck to your hand. If this card is in your Graveyard: You can send 1 card from your hand to the Graveyard; Special Summon this card, but banish it when it leaves the field. You can only use 1 ""Jet Synchron"" effect per turn, and only once that turn."
103908,Rush Warrior,Rush Warrior,https://tcgplayer-cdn.tcgplayer.com/product/103908_200w.jpg,2,1648,https://cpt.tcgcsv.com/bBR,2015-08-28T12:12:34.91,1,0.01,0.32,1.49,0.34,,1st Edition,SDSE-EN002,Common,WIND,Warrior,Effect Monster,300,1200,"During damage calculation (in either player's turn), if a ""Warrior"" Synchro Monster you control battles an opponent's monster: You can send this card from your hand to the Graveyard; your battling monster's ATK becomes double its current ATK during that damage calculation only. You can banish this card from your Graveyard, then target 1 ""Synchron"" monster in your Graveyard; add it to your hand. You can only use each effect of ""Rush Warrior"" once per turn."
103909,Synchron Carrier,Synchron Carrier,https://tcgplayer-cdn.tcgplayer.com/product/103909_200w.jpg,2,1648,https://cpt.tcgcsv.com/cBR,2015-08-28T12:13:55.413,1,0.25,0.8,14.29,0.79,,1st Edition,SDSE-EN003,Common,EARTH,Warrior,Effect Monster,0,1000,"During your Main Phase, you can Normal Summon 1 ""Synchron"" monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If another ""Synchron"" monster(s) is sent to your Graveyard as a Synchro Material for the Synchro Summon of a Warrior or Machine-Type Synchro Monster: You can Special Summon 1 ""Synchron Token"" (Machine-Type/EARTH/Level 2/ATK 1000/DEF 0). You can only use this effect of ""Synchron Carrier"" once per turn."
103910,Junk Synchron,Junk Synchron,https://tcgplayer-cdn.tcgplayer.com/product/103910_200w.jpg,2,1648,https://cpt.tcgcsv.com/dBR,2021-08-20T13:31:09.417,1,0.25,0.99,2.99,1.15,0.97,1st Edition,SDSE-EN004,Common,DARK,Warrior,Tuner Monster,1300,500,"When this card is Normal Summoned: You can target 1 Level 2 or lower monster in your Graveyard; Special Summon that target in Defense Position, but its effects are negated."
103911,Quickdraw Synchron,Quickdraw Synchron,https://tcgplayer-cdn.tcgplayer.com/product/103911_200w.jpg,2,1648,https://cpt.tcgcsv.com/fBR,2015-08-28T12:11:47,1,0.12,0.32,1.56,0.26,,1st Edition,SDSE-EN005,Common,WIND,Machine,Tuner/Effect Monster,700,1400,"You can Special Summon this card (from your hand) by sending 1 monster from your hand to the Graveyard. For a Synchro Summon, you can substitute this card for any 1 ""Synchron"" Tuner monster. Cannot be used as a Synchro Material, except for the Synchro Summon of a monster that lists a ""Synchron"" monster as a Tuner."
103912,Drill Synchron,Drill Synchron,https://tcgplayer-cdn.tcgplayer.com/product/103912_200w.jpg,2,1648,https://cpt.tcgcsv.com/gBR,2015-08-28T12:09:04.117,1,0.1,0.25,1.49,0.19,,1st Edition,SDSE-EN006,Common,EARTH,Machine,Tuner/Effect Monster,800,300,"If a Warrior-Type monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent. Once per turn, when you inflict battle damage to your opponent with this effect: You can draw 1 card."
103913,Turbo Synchron,Turbo Synchron,https://tcgplayer-cdn.tcgplayer.com/product/103913_200w.jpg,2,1648,https://cpt.tcgcsv.com/hBR,2015-08-28T12:15:15.77,1,0.1,0.23,1.49,0.14,,1st Edition,SDSE-EN007,Common,WIND,Machine,Tuner/Effect Monster,100,500,When this card declares an attack: You can change the attack target to Defense Position. When you take battle damage while this card is attacking: You can Special Summon 1 monster from your hand with ATK less than or equal to the battle damage you took.
103914,Unknown Synchron,Unknown Synchron,https://tcgplayer-cdn.tcgplayer.com/product/103914_200w.jpg,2,1648,https://cpt.tcgcsv.com/jBR,2015-08-28T12:15:24.277,1,0.01,0.22,1.49,0.19,,1st Edition,SDSE-EN008,Common,DARK,Machine,Tuner/Effect Monster,0,0,"If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand). You can only use this effect of ""Unknown Synchron"" once per Duel."
103915,Fleur Synchron,Fleur Synchron,https://tcgplayer-cdn.tcgplayer.com/product/103915_200w.jpg,2,1648,https://cpt.tcgcsv.com/kBR,2015-08-28T12:09:19.6,1,0.03,0.41,9.98,0.29,,1st Edition,SDSE-EN009,Common,LIGHT,Machine,Tuner/Effect Monster,400,200,"If this card is sent to the Graveyard as a Synchro Material Monster, you can Special Summon 1 Level 2 or lower monster from your hand."
