productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
497832,The Crimson King Structure Deck [1st Edition],The Crimson King Structure Deck 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/497832_200w.jpg,2,23207,https://cpt.tcgcsv.com/G8_5,2023-09-22T04:03:22.36,1,"Each Structure Deck: The Crimson King contains a total of 49 cards: 
<br>• 5 Ultra Rares
<br>• 3 Super Rares
<br>• 41 Commons",083717862758,12.73,17.94,21.55,17.87,,Normal,,,,,,,
497833,The Crimson King Structure Deck Display [1st Edition],The Crimson King Structure Deck Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/497833_200w.jpg,2,23207,https://cpt.tcgcsv.com/H8_5,2023-09-22T04:03:22.36,1,Each display contains 8 The Crimson King structure decks.,083717862765,85.27,102.64,120.0,42.15,,Normal,,,,,,,
515987,Soul Resonator,Soul Resonator,https://tcgplayer-cdn.tcgplayer.com/product/515987_200w.jpg,2,23207,https://cpt.tcgcsv.com/Mp86,2023-11-16T17:12:39.247,1,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower Fiend monster from your Deck to your hand, except ""Soul Resonator"", also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except DARK Synchro Monsters. If a card(s) you control would be destroyed by card effect, while you control ""Red Dragon Archfiend"" or a Synchro Monster that mentions it, you can banish this card from your GY instead. You can only use each effect of ""Soul Resonator"" once per turn.",,0.65,1.94,4.99,1.05,,1st Edition,SDCK-EN001,Ultra Rare,FIRE,Fiend,Effect Tuner Monster,500,200
515988,Vision Resonator,Vision Resonator,https://tcgplayer-cdn.tcgplayer.com/product/515988_200w.jpg,2,23207,https://cpt.tcgcsv.com/Np86,2023-11-16T17:12:52.1,1,"If a Level 5 or higher DARK monster is on the field, you can Special Summon this card (from your hand). You can only Special Summon ""Vision Resonator"" once per turn this way. If this card is sent to the GY: You can add 1 Spell/Trap that mentions ""Red Dragon Archfiend"" from your Deck to your hand. You can only use this effect of ""Vision Resonator"" once per turn.",,0.36,1.47,6.37,1.28,,1st Edition,SDCK-EN002,Ultra Rare,DARK,Fiend,Effect Tuner Monster,400,400
515990,Bone Archfiend,Bone Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/515990_200w.jpg,2,23207,https://cpt.tcgcsv.com/Qp86,2023-11-16T17:13:03.903,1,"If this card is in your hand or GY: You can send 1 other card from your hand or field to the GY; Special Summon this card, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except DARK Dragon Synchro Monsters. You can target 1 face-up monster you control that has a Level; send 1 Fiend Tuner from your hand or Deck to the GY, and if you do, increase or decrease that monster's Level by 1. You can only use each effect of ""Bone Archfiend"" once per turn.",,0.94,1.65,6.25,1.49,3.0,1st Edition,SDCK-EN003,Common,DARK,Fiend,Effect Monster,1800,0
515992,Dark Resonator,Dark Resonator,https://tcgplayer-cdn.tcgplayer.com/product/515992_200w.jpg,2,23207,https://cpt.tcgcsv.com/Sp86,2023-11-16T17:13:15.417,1,"The first time this card would be destroyed by battle each turn, it is not destroyed.",,0.04,0.19,2.0,0.1,,1st Edition,SDCK-EN004,Common,DARK,Fiend,Effect Tuner Monster,1300,300
515995,Creation Resonator,Creation Resonator,https://tcgplayer-cdn.tcgplayer.com/product/515995_200w.jpg,2,23207,https://cpt.tcgcsv.com/Wp86,2023-11-16T17:13:27.207,1,"If you control a Level 8 or higher Synchro Monster, you can Special Summon this card (from your hand).",,0.02,0.21,8.0,0.15,,1st Edition,SDCK-EN005,Common,WIND,Fiend,Effect Tuner Monster,800,600
515996,Synkron Resonator,Synkron Resonator,https://tcgplayer-cdn.tcgplayer.com/product/515996_200w.jpg,2,23207,https://cpt.tcgcsv.com/Xp86,2023-11-16T17:13:42.07,1,"If a Synchro Monster is on the field, you can Special Summon this card (from your hand). You can only Special Summon ""Synkron Resonator"" once per turn this way. If this card is sent from the field to the Graveyard: You can target 1 ""Resonator"" monster in your Graveyard, except ""Synkron Resonator""; add it to your hand.",,0.15,0.25,2.0,0.24,,1st Edition,SDCK-EN006,Common,DARK,Fiend,Effect Tuner Monster,100,100
515997,Red Resonator,Red Resonator,https://tcgplayer-cdn.tcgplayer.com/product/515997_200w.jpg,2,23207,https://cpt.tcgcsv.com/Zp86,2023-11-16T17:13:54.04,1,"When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand. When this card is Special Summoned: You can target 1 face-up monster on the field; gain LP equal to its ATK. You can only use this effect of ""Red Resonator"" once per turn.",,0.1,0.25,2.0,0.21,,1st Edition,SDCK-EN007,Common,FIRE,Fiend,Effect Tuner Monster,600,200
515998,Crimson Resonator,Crimson Resonator,https://tcgplayer-cdn.tcgplayer.com/product/515998_200w.jpg,2,23207,https://cpt.tcgcsv.com/-p86,2023-11-16T17:14:06.993,1,"If you control no monsters: You can Special Summon this card from your hand. If the only other monster you control is exactly 1 DARK Dragon Synchro Monster: You can Special Summon up to 2 ""Resonator"" monsters from your hand or Deck, except ""Crimson Resonator"". You can only use each effect of ""Crimson Resonator"" once per turn. You cannot Special Summon monsters from the Extra Deck, except DARK Dragon Synchro Monsters, the turn you activate either of this card's effects.",,0.1,0.25,2.0,0.25,,1st Edition,SDCK-EN008,Common,DARK,Fiend,Effect Tuner Monster,800,300
