productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
32997,Banisher of the Radiance,Banisher of the Radiance,https://tcgplayer-cdn.tcgplayer.com/product/32997_200w.jpg,2,322,https://cpt.tcgcsv.com/Zch,2013-11-29T18:18:27.99,1,SDDE-EN016,Common,LIGHT,Fairy,Effect Monster,1600,0,Any card sent to the Graveyard is removed from play instead.,0.26,0.52,1.99,0.53,,Unlimited
32997,Banisher of the Radiance,Banisher of the Radiance,https://tcgplayer-cdn.tcgplayer.com/product/32997_200w.jpg,2,322,https://cpt.tcgcsv.com/Zch,2013-11-29T18:18:27.99,1,SDDE-EN016,Common,LIGHT,Fairy,Effect Monster,1600,0,Any card sent to the Graveyard is removed from play instead.,0.07,0.47,3.0,0.38,,1st Edition
32998,Bazoo the Soul-Eater,Bazoo the Soul Eater,https://tcgplayer-cdn.tcgplayer.com/product/32998_200w.jpg,2,322,https://cpt.tcgcsv.com/-ch,2018-06-21T18:05:21.027,1,SDDE-EN008,Common,EARTH,Beast,Effect Monster,1600,900,"Once per turn, you can remove from play up to 3 Monster Cards from your Graveyard. This card gains 300 ATK for each card removed, until the end of your opponent's next turn.",0.05,0.25,2.37,0.03,,Unlimited
32998,Bazoo the Soul-Eater,Bazoo the Soul Eater,https://tcgplayer-cdn.tcgplayer.com/product/32998_200w.jpg,2,322,https://cpt.tcgcsv.com/-ch,2018-06-21T18:05:21.027,1,SDDE-EN008,Common,EARTH,Beast,Effect Monster,1600,900,"Once per turn, you can remove from play up to 3 Monster Cards from your Graveyard. This card gains 300 ATK for each card removed, until the end of your opponent's next turn.",0.1,0.25,1.49,0.17,,1st Edition
32999,Big Bang Shot,Big Bang Shot,https://tcgplayer-cdn.tcgplayer.com/product/32999_200w.jpg,2,322,https://cpt.tcgcsv.com/_ch,2013-05-09T12:13:41.653,1,SDDE-EN024,Common,SPELL,,Normal Spell,0,0,"The equipped monster gains 400 ATK. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this card is removed from the field,",0.24,0.47,1.68,0.29,,Unlimited
32999,Big Bang Shot,Big Bang Shot,https://tcgplayer-cdn.tcgplayer.com/product/32999_200w.jpg,2,322,https://cpt.tcgcsv.com/_ch,2013-05-09T12:13:41.653,1,SDDE-EN024,Common,SPELL,,Normal Spell,0,0,"The equipped monster gains 400 ATK. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this card is removed from the field,",0.19,0.4,1.56,0.38,,1st Edition
33000,Bottomless Trap Hole,Bottomless Trap Hole,https://tcgplayer-cdn.tcgplayer.com/product/33000_200w.jpg,2,322,https://cpt.tcgcsv.com/0dh,2016-05-09T12:34:59.69,1,SDDE-EN032,Common,TRAP,,Normal Trap,,,"When your opponent Summons a monster(s) with 1500 or more ATK, destroy and remove from play the monster(s).",0.4,0.48,0.77,0.52,,Unlimited
33000,Bottomless Trap Hole,Bottomless Trap Hole,https://tcgplayer-cdn.tcgplayer.com/product/33000_200w.jpg,2,322,https://cpt.tcgcsv.com/0dh,2016-05-09T12:34:59.69,1,SDDE-EN032,Common,TRAP,,Normal Trap,,,"When your opponent Summons a monster(s) with 1500 or more ATK, destroy and remove from play the monster(s).",0.29,0.5,1.5,0.65,,1st Edition
33001,Brain Control,Brain Control,https://tcgplayer-cdn.tcgplayer.com/product/33001_200w.jpg,2,322,https://cpt.tcgcsv.com/2dh,2013-05-09T12:13:41.653,1,SDDE-EN027,Common,SPELL,,Normal Spell,0,0,Pay 800 Life Points. Select 1 face-up monster your opponent controls. Take control of it until the End Phase.,0.37,0.46,1.63,0.36,,Unlimited
33001,Brain Control,Brain Control,https://tcgplayer-cdn.tcgplayer.com/product/33001_200w.jpg,2,322,https://cpt.tcgcsv.com/2dh,2013-05-09T12:13:41.653,1,SDDE-EN027,Common,SPELL,,Normal Spell,0,0,Pay 800 Life Points. Select 1 face-up monster your opponent controls. Take control of it until the End Phase.,0.23,0.46,1.87,0.45,,1st Edition
