productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
68464,Mystical Elf,Mystical Elf,https://tcgplayer-cdn.tcgplayer.com/product/68464_200w.jpg,2,1128,https://cpt.tcgcsv.com/jpz,2013-06-13T16:06:53.187,1,YS13-EN004,Common,LIGHT,Spellcaster,Normal Monster,800,2000,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",0.11,0.25,10000.0,0.17,,1st Edition,
69029,V for Victory Super Starter Deck,V for Victory Super Starter Deck,https://tcgplayer-cdn.tcgplayer.com/product/69029_200w.jpg,2,1128,https://cpt.tcgcsv.com/CDz,2018-09-16T14:39:36.243,1,,,,,,,,,20.96,24.98,24.99,23.97,,Normal,
69031,Trance the Magic Swordsman,Trance the Magic Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/69031_200w.jpg,2,1128,https://cpt.tcgcsv.com/FDz,2013-06-12T14:34:24.57,1,YS13-EN002,Common,EARTH,Spellcaster,Normal Monster,2600,200,"A peculiar magician with considerable abilities. Supposedly, he's just returned from a trip to outer space.",0.03,0.25,10000.0,0.16,,1st Edition,
69032,Neo the Magic Swordsman,Neo the Magic Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/69032_200w.jpg,2,1128,https://cpt.tcgcsv.com/GDz,2013-06-13T15:25:38.403,1,YS13-EN003,Common,LIGHT,Spellcaster,Normal Monster,1700,1000,"A dimensional drifter who not only practices sorcery, but is also a sword and martial arts master.",0.01,0.45,10000.0,0.44,,1st Edition,
69033,Cosmo Queen,Cosmo Queen,https://tcgplayer-cdn.tcgplayer.com/product/69033_200w.jpg,2,1128,https://cpt.tcgcsv.com/HDz,2015-04-29T12:31:08.9,1,YS13-EN001,Common,DARK,Spellcaster,Normal Monster,2900,2450,Queen of the galaxies and mistress of the stars.,0.75,1.31,7.99,1.43,,1st Edition,
69034,Chamberlain of the Six Samurai,Chamberlain of the Six Samurai,https://tcgplayer-cdn.tcgplayer.com/product/69034_200w.jpg,2,1128,https://cpt.tcgcsv.com/JDz,2013-06-13T16:12:13.25,1,YS13-EN005,Common,EARTH,Warrior,Normal Monster,200,2000,"The Six Samurai are supported from the shadows by this silent and mysterious warrior. His past is unknown to them, but his countless scars are proof of his experience.",0.09,0.25,10000.0,0.27,,1st Edition,
69035,Gagaga Child,Gagaga Child,https://tcgplayer-cdn.tcgplayer.com/product/69035_200w.jpg,2,1128,https://cpt.tcgcsv.com/KDz,2024-10-10T13:41:06.62,1,YS13-EN006,Common,DARK,Spellcaster,Effect Monster,800,1200,"If you control a ""Gagaga"" monster other than ""Gagaga Child"", you can Special Summon this card (from your hand). When you do: You can target 1 ""Gagaga"" monster you control with a different Level than this card; this card's Level becomes the Level of that monster. You cannot conduct your Battle Phase the turn you activate this effect.",0.25,0.5,10000.0,0.46,,1st Edition,
69036,Magical Undertaker,Magical Undertaker,https://tcgplayer-cdn.tcgplayer.com/product/69036_200w.jpg,2,1128,https://cpt.tcgcsv.com/LDz,2013-06-13T16:15:09.04,1,YS13-EN007,Common,DARK,Spellcaster,Effect Monster,400,400,FLIP: You can target 1 Level 4 or lower Spellcaster-Type monster in your Graveyard; Special Summon that target.,0.08,0.25,10000.0,0.16,,1st Edition,
69037,Caligo Claw Crow,Caligo Claw Crow,https://tcgplayer-cdn.tcgplayer.com/product/69037_200w.jpg,2,1128,https://cpt.tcgcsv.com/MDz,2013-12-09T15:42:01.783,1,YS13-EN008,Common,DARK,Winged Beast,Effect Monster,900,600,"If you control a face-up DARK monster, you can Special Summon this card (from your hand). You can only Special Summon ""Caligo Claw Crow"" once per turn this way.",0.08,0.33,10000.0,0.31,0.15,1st Edition,
69038,Gagaga Magician,Gagaga Magician,https://tcgplayer-cdn.tcgplayer.com/product/69038_200w.jpg,2,1128,https://cpt.tcgcsv.com/NDz,2013-06-13T16:18:07.197,1,YS13-EN009,Common,DARK,Spellcaster,Effect Monster,1500,1000,"Once per turn: You can declare a Level from 1 to 8; this card becomes that Level until the End Phase. You can only control 1 face-up ""Gagaga Magician"". This card cannot be used as a Synchro Material Monster.",0.1,0.4,1.98,0.4,,1st Edition,
