productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
586046,Supreme Darkness Booster Box [1st Edition],Supreme Darkness Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/586046_200w.jpg,2,23758,https://cpt.tcgcsv.com/XqJ6,2025-01-24T05:10:14.153,1,"Each booster box contains 24 packs of 9 random cards per pack.
<br>
The King is not amused…but he will be – and you will, too! – with the brand-new “Evil HERO” monsters coming in Supreme Darkness!
<br>Supreme King Jaden’s “Evil HERO” monsters are back in a big way! Evil versions of Elemental HEROes Bubbleman and Prisma are coming, and the Supreme King’s new version of Neos, which has the power to take over your opponent’s monsters! There are plenty of “Evil HERO” Fusion Monsters to choose from, and this set adds even more, plus new support cards to make it easier than ever.
<br>If you’re looking for something in the fast lane, it’s time to speed back into action with new “Speedroid” cards that make Synchro Summoning a breeze! There are two new Pendulum/Tuner Speedroid monsters, plus a couple of new Synchro Monsters styled after Yugo’s favorites, including the biggest “Clear Wing” Synchro Dragon yet. Put the pedal to the metal and leave your opponents in the dust!
<br>Fans of Synchro Summoning can also grab new “Crystron” monsters, including a new Synchro Monster. Keep an eye out for a new Level 2 Tuner that can Special Summon a “Crystron” anytime your opponent activates an effect, then you can immediately perform a Synchro Summon!
<br>And an all-new theme that are the masters of bouncing around the field makes its grand debut in Supreme Darkness. This Deck works by placing its Continuous Trap Monsters straight into your Spell and Trap Zone. As face-up Continuous Traps, they give constant buffs to all your Warrior monsters. But when you want, these Trap Cards can spring to life as Warrior monsters themselves, then bounce back to the safety of the Spell and Trap Zone when things get too hectic, ready to pop out again when the time is right.
<br>You can look forward to all of this and so much more that is yet to emerge from the Supreme Darkness!
<br>Supreme Darkness has 101 new cards in total, including a brand-new World Premiere theme that you won’t want to miss. It also continues the 25th Anniversary Celebration by including 25 Quarter Century Secret Rares, including 1 special card!
<br>Supreme Darkness contains:
<br>10 Secret Rares
<br>14 Ultra Rares
<br>26 Super Rares
<br>50 Commons
<br>(24 of these cards are also available as Quarter Century Secret Rare and 1 special card is ONLY available as a Quarter Century Secret Rare!)",083717866794,33.99,64.47,137.74,45.72,,Normal,,,,,,,,,
586047,Supreme Darkness Booster Pack [1st Edition],Supreme Darkness Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/586047_200w.jpg,2,23758,https://cpt.tcgcsv.com/ZqJ6,2025-01-24T05:10:14.153,1,"Each booster box contains 24 packs of 9 random cards per pack.
<br>
The King is not amused…but he will be – and you will, too! – with the brand-new “Evil HERO” monsters coming in Supreme Darkness!
<br>Supreme King Jaden’s “Evil HERO” monsters are back in a big way! Evil versions of Elemental HEROes Bubbleman and Prisma are coming, and the Supreme King’s new version of Neos, which has the power to take over your opponent’s monsters! There are plenty of “Evil HERO” Fusion Monsters to choose from, and this set adds even more, plus new support cards to make it easier than ever.
<br>If you’re looking for something in the fast lane, it’s time to speed back into action with new “Speedroid” cards that make Synchro Summoning a breeze! There are two new Pendulum/Tuner Speedroid monsters, plus a couple of new Synchro Monsters styled after Yugo’s favorites, including the biggest “Clear Wing” Synchro Dragon yet. Put the pedal to the metal and leave your opponents in the dust!
<br>Fans of Synchro Summoning can also grab new “Crystron” monsters, including a new Synchro Monster. Keep an eye out for a new Level 2 Tuner that can Special Summon a “Crystron” anytime your opponent activates an effect, then you can immediately perform a Synchro Summon!
<br>And an all-new theme that are the masters of bouncing around the field makes its grand debut in Supreme Darkness. This Deck works by placing its Continuous Trap Monsters straight into your Spell and Trap Zone. As face-up Continuous Traps, they give constant buffs to all your Warrior monsters. But when you want, these Trap Cards can spring to life as Warrior monsters themselves, then bounce back to the safety of the Spell and Trap Zone when things get too hectic, ready to pop out again when the time is right.
<br>You can look forward to all of this and so much more that is yet to emerge from the Supreme Darkness!
<br>Supreme Darkness has 101 new cards in total, including a brand-new World Premiere theme that you won’t want to miss. It also continues the 25th Anniversary Celebration by including 25 Quarter Century Secret Rares, including 1 special card!
<br>Supreme Darkness contains:
<br>10 Secret Rares
<br>14 Ultra Rares
<br>26 Super Rares
<br>50 Commons
<br>(24 of these cards are also available as Quarter Century Secret Rare and 1 special card is ONLY available as a Quarter Century Secret Rare!)",083717866794,1.99,3.63,8.44,2.39,,Normal,,,,,,,,,
610804,Paladins of Bonds and Unity,Paladins of Bonds and Unity,https://tcgplayer-cdn.tcgplayer.com/product/610804_200w.jpg,2,23758,https://cpt.tcgcsv.com/6lV6,2025-08-07T12:52:03.453,1,"1 Tuner + 1+ non-Tuner monsters with 2500 original ATK & DEF<br>While this Synchro Summoned card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects. While you have 25 or more cards in your GY, this Synchro Summoned card gains 100 ATK/DEF for each card on the field and in the GYs. Once per turn, when a Spell Card is activated, while your opponent has 25 or more cards in their GY (Quick Effect): You can negate the activation, and if you do, destroy that card.",,83.99,102.78,249.99,108.02,101.3,1st Edition,SUDA-EN000,Quarter Century Secret Rare,LIGHT,Spellcaster,Synchro/Effect Monster,2900,2900,,
610805,Evil HERO Toxic Bubble,Evil HERO Toxic Bubble,https://tcgplayer-cdn.tcgplayer.com/product/610805_200w.jpg,2,23758,https://cpt.tcgcsv.com/7lV6,2025-08-07T12:52:03.497,1,"You can Special Summon this card (from your hand), but you cannot Special Summon for the rest of this turn, except ""HERO"" monsters. You can only Special Summon ""Evil HERO Toxic Bubble"" once per turn this way. If this card is Special Summoned, and you control a Fusion Monster that must be Special Summoned with ""Dark Fusion"": You can draw 2 cards. You can only use this effect of ""Evil HERO Toxic Bubble"" once per turn.",,0.8,1.49,97.0,1.1,1.0,1st Edition,SUDA-EN001,Ultra Rare,WATER,Fiend,Effect Monster,800,1200,,
610806,Evil HERO Toxic Bubble (Quarter Century Secret Rare),Evil HERO Toxic Bubble Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/610806_200w.jpg,2,23758,https://cpt.tcgcsv.com/8lV6,2025-08-07T12:52:03.553,1,"You can Special Summon this card (from your hand), but you cannot Special Summon for the rest of this turn, except ""HERO"" monsters. You can only Special Summon ""Evil HERO Toxic Bubble"" once per turn this way. If this card is Special Summoned, and you control a Fusion Monster that must be Special Summoned with ""Dark Fusion"": You can draw 2 cards. You can only use this effect of ""Evil HERO Toxic Bubble"" once per turn.",,12.5,16.7,96.99,16.02,,1st Edition,SUDA-EN001,Quarter Century Secret Rare,WATER,Fiend,Effect Monster,800,1200,,
610807,Evil HERO Dead-End Prison,Evil HERO Dead End Prison,https://tcgplayer-cdn.tcgplayer.com/product/610807_200w.jpg,2,23758,https://cpt.tcgcsv.com/9lV6,2025-08-07T12:52:03.6,1,"If you control a Fusion Monster that must be Special Summoned with ""Dark Fusion"", you can Special Summon this card (from your hand). You can only Special Summon ""Evil HERO Dead-End Prison"" once per turn this way. You can send 1 ""HERO"" monster from your Deck to the GY; if you Fusion Summon a ""HERO"" monster this turn, this face-up card can be used as a substitute for 1 material mentioned by name, but all other Fusion Materials must be correct. You can only use this effect of ""Evil HERO Dead-End Prison"" once per turn.",,4.31,6.2,48.99,6.15,5.68,1st Edition,SUDA-EN002,Secret Rare,LIGHT,Rock,Effect Monster,1700,1100,,
610808,Evil HERO Dead-End Prison (Quarter Century Secret Rare),Evil HERO Dead End Prison Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/610808_200w.jpg,2,23758,https://cpt.tcgcsv.com/blV6,2025-08-07T12:52:03.647,1,"If you control a Fusion Monster that must be Special Summoned with ""Dark Fusion"", you can Special Summon this card (from your hand). You can only Special Summon ""Evil HERO Dead-End Prison"" once per turn this way. You can send 1 ""HERO"" monster from your Deck to the GY; if you Fusion Summon a ""HERO"" monster this turn, this face-up card can be used as a substitute for 1 material mentioned by name, but all other Fusion Materials must be correct. You can only use this effect of ""Evil HERO Dead-End Prison"" once per turn.",,36.0,39.61,119.97,37.1,36.74,1st Edition,SUDA-EN002,Quarter Century Secret Rare,LIGHT,Rock,Effect Monster,1700,1100,,
610809,Evil HERO Infernal Rider,Evil HERO Infernal Rider,https://tcgplayer-cdn.tcgplayer.com/product/610809_200w.jpg,2,23758,https://cpt.tcgcsv.com/clV6,2025-08-07T12:52:03.693,1,"If this card is Normal or Special Summoned: You can add 1 ""Dark Fusion"" from your Deck or GY to your hand. You can banish this card and 4 other monsters from your GY; Set 1 ""Super Polymerization"" from your Deck, also you cannot Special Summon (except ""HERO"" monsters), but you can Fusion Summon monsters that must be Special Summoned with ""Dark Fusion"", using other cards' effects. These effects last until the end of your opponent's turn. You can only use each effect of ""Evil HERO Infernal Rider"" once per turn.",,0.01,0.15,2.0,0.13,0.05,1st Edition,SUDA-EN003,Common,WIND,Fiend,Effect Monster,2100,800,,
610810,Arcana Force V - The Hierophant,Arcana Force V The Hierophant,https://tcgplayer-cdn.tcgplayer.com/product/610810_200w.jpg,2,23758,https://cpt.tcgcsv.com/dlV6,2025-08-07T12:52:03.76,1,"You can discard this card; this turn, your opponent cannot activate cards or effects when an ""Arcana Force"" monster(s) is Summoned to your field. If this card is Summoned: Toss a coin.<br>• Heads: Special Summon 1 Level 4 or lower ""Arcana Force"" monster from your Deck with a different name from the monsters you control and in your GY.<br>• Tails: Special Summon 1 ""Arcana Force"" monster from your Deck to your opponent's field.",,0.01,0.1,1.53,0.06,0.02,1st Edition,SUDA-EN004,Common,LIGHT,Fairy,Effect Monster,1500,1500,,
610811,Arcana Force XIX - The Sun,Arcana Force XIX The Sun,https://tcgplayer-cdn.tcgplayer.com/product/610811_200w.jpg,2,23758,https://cpt.tcgcsv.com/flV6,2025-08-07T12:52:03.807,1,"If a card that has a coin tossing effect is on the field: You can Special Summon this card from your hand. You can only use this effect of ""Arcana Force XIX - The Sun"" once per turn. If this card is Summoned: Toss a coin.<br>• Heads: Set 1 Spell from your Deck that has a coin tossing effect.<br>• Tails: Destroy all cards in the Spell & Trap Zones.",,0.01,0.12,1.53,0.05,0.03,1st Edition,SUDA-EN005,Common,LIGHT,Fairy,Effect Monster,2900,2900,,
