productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
270771,Tactical Masters Booster Pack [1st Edition],Tactical Masters Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/270771_200w.jpg,2,3066,https://cpt.tcgcsv.com/rkb3,2022-08-26T04:03:08.4,1,Each pack contains 7 random cards.,083717857570,1.05,2.5,8.44,1.92,,Normal,,,,,,,
270772,Tactical Masters Booster Box [1st Edition],Tactical Masters Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/270772_200w.jpg,2,3066,https://cpt.tcgcsv.com/skb3,2022-08-26T04:03:08.4,1,Each box contains 24 packs of 7 random cards.,083717857587,22.99,41.95,99.99,35.97,,Normal,,,,,,,
270773,Tactical Masters Blister Pack [1st Edition],Tactical Masters Blister Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/270773_200w.jpg,2,3066,https://cpt.tcgcsv.com/tkb3,2022-08-26T04:03:08.4,1,"Each Tactical Masters Blister Pack contains 1 Booster Pack, each containing 7 cards.",,8.79,8.8,8.91,,,Normal,,,,,,,
282304,Shinonome the Vaylantz Priestess,Shinonome the Vaylantz Priestess,https://tcgplayer-cdn.tcgplayer.com/product/282304_200w.jpg,2,3066,https://cpt.tcgcsv.com/6Xg3,2022-08-26T04:03:08.4,1,"<strong>Pendulum Effect:</strong> During your Main Phase: You can Special Summon this card to your Main Monster Zone in its same column, also you cannot Special Summon non-""Vaylantz"" monsters for the rest of this turn, except from the Extra Deck. You can only use this effect of ""Shinonome the Vaylantz Priestess"" once per turn.
<br><br>
<strong>Monster Effect:</strong> During your Main Phase, if you control this Special Summoned card: You can add 1 ""Vaylantz"" Spell from your Deck to your hand. If this card in the Monster Zone moves to another Monster Zone: You can add 1 ""Vaylantz"" monster from your Deck to your hand, except ""Shinonome the Vaylantz Priestess"". You can only use each effect of ""Shinonome the Vaylantz Priestess"" once per turn.",,0.6,1.47,8.99,0.93,1.04,1st Edition,TAMA-EN001,Ultra Rare,WATER,Spellcaster,Pendulum/Effect Monster,500,500
282305,Shinonome the Vaylantz Priestess (CR),Shinonome the Vaylantz Priestess CR,https://tcgplayer-cdn.tcgplayer.com/product/282305_200w.jpg,2,3066,https://cpt.tcgcsv.com/7Xg3,2022-08-26T04:03:08.4,1,"<strong>Pendulum Effect:</strong> During your Main Phase: You can Special Summon this card to your Main Monster Zone in its same column, also you cannot Special Summon non-""Vaylantz"" monsters for the rest of this turn, except from the Extra Deck. You can only use this effect of ""Shinonome the Vaylantz Priestess"" once per turn.
<br><br>
<strong>Monster Effect:</strong> During your Main Phase, if you control this Special Summoned card: You can add 1 ""Vaylantz"" Spell from your Deck to your hand. If this card in the Monster Zone moves to another Monster Zone: You can add 1 ""Vaylantz"" monster from your Deck to your hand, except ""Shinonome the Vaylantz Priestess"". You can only use each effect of ""Shinonome the Vaylantz Priestess"" once per turn.",,9.12,13.26,45.99,9.18,12.59,1st Edition,TAMA-EN001,Collector's Rare,WATER,Spellcaster,Pendulum/Effect Monster,500,500
282307,Saion the Vaylantz Archer,Saion the Vaylantz Archer,https://tcgplayer-cdn.tcgplayer.com/product/282307_200w.jpg,2,3066,https://cpt.tcgcsv.com/9Xg3,2025-05-15T20:31:53.447,1,"<strong>Pendulum Effect:</strong> During your Main Phase: You can Special Summon this card to your Main Monster Zone in its same column, also you cannot Special Summon non-""Vaylantz"" monsters for the rest of this turn, except from the Extra Deck. You can only use this effect of ""Saion the Vaylantz Archer"" once per turn.<br><br>
<strong>Monster Effect:</strong> If you control this Special Summoned card: You can target 1 Effect Monster on the field; toss a coin and if the result is heads, negate its effects, or if the result is tails, halve its ATK. If this card in the Monster Zone moves to another Monster Zone: You can target 1 card on the field; toss a coin and if the result is heads, destroy it, or if the result is tails, return it to the hand. You can only use each effect of ""Saion the Vaylantz Archer"" once per turn.",,0.01,0.15,2.0,0.08,0.04,1st Edition,TAMA-EN002,Rare,WATER,Spellcaster,Pendulum/Effect Monster,1100,1100
282308,Nazuki the Vaylantz Ninja,Nazuki the Vaylantz Ninja,https://tcgplayer-cdn.tcgplayer.com/product/282308_200w.jpg,2,3066,https://cpt.tcgcsv.com/bXg3,2025-05-15T20:31:53.493,1,"<strong>Pendulum Effect:</strong> If ""Vaylantz World - Shinra Bansho"" is in a Field Zone or if you control a WATER ""Vaylantz"" monster: You can Special Summon this card to your Main Monster Zone in its same column. You can only use this effect of ""Nazuki the Vaylantz Ninja"" once per turn.
<br><br>
<strong>Monster Effect:</strong> You can target 1 other monster in either Main Monster Zone; move that monster to an adjacent (horizontal) Monster Zone. If this card in the Monster Zone moves to another Monster Zone: You can target 1 ""Vaylantz"" Monster Card in your Spell & Trap Zone; Special Summon it to your Main Monster Zone in its same column. You can only use each effect of ""Nazuki the Vaylantz Ninja"" once per turn.",,0.01,0.18,2.0,0.13,,1st Edition,TAMA-EN003,Rare,WATER,Spellcaster,Pendulum/Effect Monster,1800,1800
282309,Hojo the Vaylantz Warrior,Hojo the Vaylantz Warrior,https://tcgplayer-cdn.tcgplayer.com/product/282309_200w.jpg,2,3066,https://cpt.tcgcsv.com/cXg3,2025-05-15T20:31:53.553,1,"<strong>Pendulum Effect:</strong> If ""Vaylantz World - Shinra Bansho"" is in a Field Zone or if you control a WATER ""Vaylantz"" monster: You can Special Summon this card to your Main Monster Zone in its same column. You can only use this effect of ""Hojo the Vaylantz Warrior"" once per turn.
<br><br>
<strong>Monster Effect:</strong> You can target 1 face-up card in either Spell & Trap Zone; return it to the hand. If this card in the Monster Zone moves to another Monster Zone (except during the Damage Step): You can Fusion Summon 1 ""Vaylantz"" Fusion Monster from your Extra Deck, using monsters from your hand, field, and/or Pendulum Zones. You can only use each effect of ""Hojo the Vaylantz Warrior"" once per turn.",,0.02,0.25,4.99,0.14,0.1,1st Edition,TAMA-EN004,Super Rare,WATER,Spellcaster,Pendulum/Effect Monster,1900,1900
282310,Vaylantz Buster Baron,Vaylantz Buster Baron,https://tcgplayer-cdn.tcgplayer.com/product/282310_200w.jpg,2,3066,https://cpt.tcgcsv.com/dXg3,2025-05-15T20:31:53.593,1,"<strong>Pendulum Effect:</strong> During your Main Phase: You can Special Summon this card to your Main Monster Zone in its same column, also you cannot Special Summon non-""Vaylantz"" monsters for the rest of this turn, except from the Extra Deck. You can only use this effect of ""Vaylantz Buster Baron"" once per turn.
<br><br>
<strong>Monster Effect:</strong> If you control this Special Summoned card: You can target 1 other ""Vaylantz"" monster in your Main Monster Zone; move that monster you control to an adjacent (horizontal) Monster Zone. If this card in the Monster Zone moves to another Monster Zone: You can target 1 card in either player's Pendulum Zone; place it face-up in its adjacent Spell & Trap Zone as a Continuous Spell. You can only use each effect of ""Vaylantz Buster Baron"" once per turn.",,0.01,0.25,4.99,0.16,,1st Edition,TAMA-EN005,Super Rare,FIRE,Machine,Pendulum/Effect Monster,1900,1900
282311,Vaylantz Voltage Viscount,Vaylantz Voltage Viscount,https://tcgplayer-cdn.tcgplayer.com/product/282311_200w.jpg,2,3066,https://cpt.tcgcsv.com/fXg3,2025-05-15T20:31:53.627,1,"<strong>Pendulum Effect:</strong> During your Main Phase: You can Special Summon this card to your Main Monster Zone in its same column, also you cannot Special Summon non-""Vaylantz"" monsters for the rest of this turn, except from the Extra Deck. You can only use this effect of ""Vaylantz Voltage Viscount"" once per turn.
<br><br>
<strong>Monster Effect:</strong> During your Main Phase, if you control this Special Summoned card: You can place 1 face-up ""Vaylantz"" Pendulum Monster from your Extra Deck, face-up in your Spell & Trap Zone as a Continuous Spell. If this card in the Monster Zone moves to another Monster Zone: You can place 1 face-up ""Vaylantz"" Pendulum Monster from your Extra Deck in your Pendulum Zone. You can only use each effect of ""Vaylantz Voltage Viscount"" once per turn.",,0.01,0.15,2.0,0.07,0.04,1st Edition,TAMA-EN006,Rare,FIRE,Machine,Pendulum/Effect Monster,1400,1400
282312,Vaylantz Mad Marquess,Vaylantz Mad Marquess,https://tcgplayer-cdn.tcgplayer.com/product/282312_200w.jpg,2,3066,https://cpt.tcgcsv.com/gXg3,2025-05-15T20:31:53.673,1,"<strong>Pendulum Effect:</strong> If ""Vaylantz World - Konig Wissen"" is in a Field Zone or if you control a FIRE ""Vaylantz"" monster: You can Special Summon this card to your Main Monster Zone in its same column. You can only use this effect of ""Vaylantz Mad Marquess"" once per turn.
<br><br>
<strong>Monster Effect:</strong> During your Main Phase: You can roll a six-sided die, excavate that many cards from the top of your Deck (or as many as you can), and if you do, you can add 1 excavated ""Vaylantz"" card to your hand, also shuffle the rest into the Deck. If this card in the Monster Zone moves to another Monster Zone: You can roll a six-sided die, and if you roll a 2, 3, 4, or 5, Special Summon 1 Monster Card from your Spell & Trap Zone to your Main Monster Zone in its same column. You can only use each effect of ""Vaylantz Mad Marquess"" once per turn.",,0.01,0.15,1.95,0.1,,1st Edition,TAMA-EN007,Rare,FIRE,Machine,Pendulum/Effect Monster,1700,1700
282313,Vaylantz Dominator Duke,Vaylantz Dominator Duke,https://tcgplayer-cdn.tcgplayer.com/product/282313_200w.jpg,2,3066,https://cpt.tcgcsv.com/hXg3,2025-05-15T20:31:53.72,1,"<strong>Pendulum Effect:</strong> If ""Vaylantz World - Konig Wissen"" is in a Field Zone or if you control a FIRE ""Vaylantz"" monster: You can Special Summon this card to your Main Monster Zone in its same column. You can only use this effect of ""Vaylantz Dominator Duke"" once per turn.
<br><br>
<strong>Monster Effect:</strong> You can target 1 Set card in the Spell & Trap Zone; that Set card cannot be activated this turn (even if this card leaves the field). If this card in the Monster Zone moves to another Monster Zone: You can target 1 face-up monster in your opponent's Main Monster Zone; take control of that face-up monster, but it cannot declare an attack nor activate its effects, also it is treated as a ""Vaylantz"" monster. You can only use each effect of ""Vaylantz Dominator Duke"" once per turn.",,0.01,0.15,2.0,0.06,,1st Edition,TAMA-EN008,Rare,FIRE,Machine,Pendulum/Effect Monster,2000,2000
282314,Mamonaka the Vaylantz United,Mamonaka the Vaylantz United,https://tcgplayer-cdn.tcgplayer.com/product/282314_200w.jpg,2,3066,https://cpt.tcgcsv.com/jXg3,2025-05-15T20:31:53.767,1,"<strong>Pendulum Effect:</strong> You can activate 1 of these effects;
<br>• Special Summon this card to your Main Monster Zone in its same column.
<br>• Move 1 monster in your Main Monster Zone to an adjacent (horizontal) Monster Zone.
<br>You can only use this effect of ""Mamonaka the Vaylantz United"" once per turn.
<br><br>
<strong>Monster Effect:</strong> 3 ""Vaylantz"" monsters
<br>During the Main Phase (Quick Effect): You can target 1 Effect Monster in your opponent's Main Monster Zone; place that opponent's monster face-up as a Continuous Spell in their Spell & Trap Zone in its same column. (If the zone is occupied, destroy the occupying card, and if it is a Monster Card, your opponent loses LP equal to its ATK). You can only use this effect of ""Mamonaka the Vaylantz United"" once per turn. If this Special Summoned card you control is destroyed by your opponent's card effect: You can place this card in your Pendulum Zone.",,0.05,0.5,6.5,0.3,0.27,1st Edition,TAMA-EN009,Ultra Rare,WATER,Spellcaster,Fusion/Pendulum/Effect Monster,2800,2800
282315,Vaylantz Genesis Grand Duke,Vaylantz Genesis Grand Duke,https://tcgplayer-cdn.tcgplayer.com/product/282315_200w.jpg,2,3066,https://cpt.tcgcsv.com/kXg3,2025-05-15T20:31:53.813,1,"<strong>Pendulum Effect:</strong> You can activate 1 of these effects;
<br>• Special Summon this card to your Main Monster Zone in its same column.
<br>• Move 1 monster in your Main Monster Zone to an adjacent (horizontal) Monster Zone.
<br>You can only use this effect of ""Vaylantz Genesis Grand Duke"" once per turn.
<br><br>
<strong>Monster Effect:</strong> 2 ""Vaylantz"" monsters
<br>This face-down card in the Extra Deck must first be either Fusion Summoned, or Special Summoned by Tributing 1 Level 5 or higher non-Fusion ""Vaylantz"" monster in the same column as the Extra Monster Zone. If this card is Special Summoned: You can target 1 Monster Card in your opponent's Spell & Trap Zone; return it to the hand, and if you do, inflict damage to your opponent equal to its ATK, then, this card gains ATK equal to half the damage inflicted.",,0.02,0.25,4.99,0.18,,1st Edition,TAMA-EN010,Super Rare,FIRE,Machine,Fusion/Pendulum/Effect Monster,2500,2500
282316,Vaylantz Wars - The Place of Beginning,Vaylantz Wars The Place of Beginning,https://tcgplayer-cdn.tcgplayer.com/product/282316_200w.jpg,2,3066,https://cpt.tcgcsv.com/lXg3,2025-05-15T20:31:53.86,1,"Add 1 ""Vaylantz"" Field Spell from your Deck to your hand, then you can apply the following effect.
<br>• Destroy 1 Pendulum Monster Card you control, and if you do, add 1 ""Senet Switch"" from your Deck to your hand.
<br>If this card is in your GY, except the turn it was sent there: You can banish this card; place 1 face-up ""Vaylantz"" Pendulum Monster from your Extra Deck in your Pendulum Zone. You can only use each effect of ""Vaylantz Wars - The Place of Beginning"" once per turn.",,0.1,0.69,19.99,0.41,,1st Edition,TAMA-EN011,Ultra Rare,SPELL,,Normal Spell,,
282317,Vaylantz World - Shinra Bansho,Vaylantz World Shinra Bansho,https://tcgplayer-cdn.tcgplayer.com/product/282317_200w.jpg,2,3066,https://cpt.tcgcsv.com/mXg3,2025-05-15T20:31:53.907,1,"When this card is activated: Place 1 ""Vaylantz"" Field Spell from your Deck face-up in your opponent's Field Zone, except ""Vaylantz World - Shinra Bansho"". If there are 2 cards in the Field Zones: The turn player can target 1 Monster Card in their own Spell & Trap Zone; they Special Summon that card to their own Main Monster Zone in its same column. The turn player can only use this effect of ""Vaylantz World - Shinra Bansho"" once per turn.",,0.01,0.25,4.99,0.22,,1st Edition,TAMA-EN012,Super Rare,SPELL,,Field Spell,,
282318,Vaylantz World - Konig Wissen,Vaylantz World Konig Wissen,https://tcgplayer-cdn.tcgplayer.com/product/282318_200w.jpg,2,3066,https://cpt.tcgcsv.com/nXg3,2025-05-15T20:31:53.937,1,"When this card is activated: Place 1 ""Vaylantz"" Field Spell from your Deck face-up in your opponent's Field Zone, except ""Vaylantz World - Konig Wissen"". If there are 2 cards in the Field Zones: The turn player can target 1 Effect Monster in the opponent's Main Monster Zone, in the same column as one of the monsters they control; they place that opponent's monster face-up as a Continuous Spell in their Spell & Trap Zone in its same column. (If the zone is occupied, destroy the occupying card.) The turn player can only use this effect of ""Vaylantz World - Konig Wissen"" once per turn.",,0.01,0.25,4.99,0.23,,1st Edition,TAMA-EN013,Super Rare,SPELL,,Field Spell,,
282319,Labrynth Archfiend,Labrynth Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/282319_200w.jpg,2,3066,https://cpt.tcgcsv.com/pXg3,2025-05-15T20:31:53.983,1,"Gains 400 ATK for each Normal Trap with a different name in your GY. Your opponent's monsters cannot target Fiend monsters for attacks, except ""Labrynth Archfiend"". You can only use each of the following effects of ""Labrynth Archfiend"" once per turn. If a Trap Card is activated (except during the Damage Step): You can Special Summon this card from your hand. If this card is Special Summoned: You can Set 1 Normal Trap from your Deck that can only be activated when an attack is declared.",,0.01,0.15,2.0,0.09,,1st Edition,TAMA-EN015,Rare,DARK,Fiend,Effect Monster,2000,2800
282320,Ariane the Labrynth Servant,Ariane the Labrynth Servant,https://tcgplayer-cdn.tcgplayer.com/product/282320_200w.jpg,2,3066,https://cpt.tcgcsv.com/qXg3,2023-11-18T14:24:11.677,1,"You can send 1 Normal Trap from your hand or that's Set on your field to the GY; Special Summon 1 Level 4 or lower Fiend monster from your Deck in Defense Position, except ""Ariane the Labrynth Servant"". If another monster(s) leaves the field by your Normal Trap effect (except during the Damage Step): You can draw 1 card, then you can apply this effect.
<br>• From your hand, either Special Summon 1 Fiend monster, or Set 1 Spell/Trap.
<br>You can only use each effect of ""Ariane the Labrynth Servant"" once per turn.",,0.04,1.15,19.99,1.03,0.99,1st Edition,TAMA-EN016,Ultra Rare,DARK,Fiend,Effect Monster,1800,1100
282321,Ariane the Labrynth Servant (CR),Ariane the Labrynth Servant CR,https://tcgplayer-cdn.tcgplayer.com/product/282321_200w.jpg,2,3066,https://cpt.tcgcsv.com/rXg3,2022-08-26T04:03:08.4,1,"You can send 1 Normal Trap from your hand or that's Set on your field to the GY; Special Summon 1 Level 4 or lower Fiend monster from your Deck in Defense Position, except ""Ariane the Labrynth Servant"". If another monster(s) leaves the field by your Normal Trap effect (except during the Damage Step): You can draw 1 card, then you can apply this effect.
<br>• From your hand, either Special Summon 1 Fiend monster, or Set 1 Spell/Trap.
<br>You can only use each effect of ""Ariane the Labrynth Servant"" once per turn.",,7.87,9.77,78.99,8.67,7.87,1st Edition,TAMA-EN016,Collector's Rare,DARK,Fiend,Effect Monster,1800,1100
282322,Arianna the Labrynth Servant,Arianna the Labrynth Servant,https://tcgplayer-cdn.tcgplayer.com/product/282322_200w.jpg,2,3066,https://cpt.tcgcsv.com/sXg3,2023-11-14T19:59:03.123,1,"If this card is Normal or Special Summoned: You can add 1 ""Labrynth"" card from your Deck to your hand, except ""Arianna the Labrynth Servant"". If another monster(s) leaves the field by your Normal Trap effect (except during the Damage Step): You can draw 1 card, then you can apply this effect.
<br>• From your hand, either Special Summon 1 Fiend monster, or Set 1 Spell/Trap.
<br>You can only use 1 ""Arianna the Labrynth Servant"" effect per turn, and only once that turn.",,0.98,2.87,59.89,1.41,2.72,1st Edition,TAMA-EN017,Ultra Rare,DARK,Fiend,Effect Monster,1600,2100
282323,Labrynth Cooclock,Labrynth Cooclock,https://tcgplayer-cdn.tcgplayer.com/product/282323_200w.jpg,2,3066,https://cpt.tcgcsv.com/tXg3,2022-08-26T04:03:08.4,1,"(Quick Effect): You can discard this card; this turn, you can activate 1 Normal Trap Card that was Set this turn, if you control a ""Labrynth"" monster. If a card(s) is sent from your hand to the GY to activate your Normal Trap Card or your ""Labrynth"" card or effect, except ""Labrynth Cooclock"", while this card is in your GY (except during the Damage Step): You can add this card to your hand, or Special Summon it. You can only use each effect of ""Labrynth Cooclock"" once per turn.",,0.01,0.21,4.99,0.07,0.06,1st Edition,TAMA-EN020,Rare,DARK,Fiend,Effect Monster,0,0
282324,Labrynth Labyrinth,Labrynth Labyrinth,https://tcgplayer-cdn.tcgplayer.com/product/282324_200w.jpg,2,3066,https://cpt.tcgcsv.com/vXg3,2025-05-15T20:31:54.063,1,"If you activate a Set ""Welcome Labrynth"" Normal Trap, you can add this additional effect to that card's effect at resolution.
<br>• Also after that, destroy 1 card on the field.
<br>If you activate a non-""Labrynth"" Normal Trap Card (except during the Damage Step): You can Special Summon 1 Fiend monster from your hand or GY. You can only use each effect of ""Labrynth Labyrinth"" once per turn.",,0.18,0.3,9.99,0.2,,1st Edition,TAMA-EN021,Super Rare,SPELL,,Field Spell,,
282325,Labrynth Set-Up,Labrynth Set Up,https://tcgplayer-cdn.tcgplayer.com/product/282325_200w.jpg,2,3066,https://cpt.tcgcsv.com/wXg3,2025-05-15T20:31:54.113,1,"Target 2 of your ""Labrynth"" Spells/Traps that are banished or in your GY, except ""Labrynth Set-Up""; shuffle them into the Deck, then if you control a Fiend monster, you can Set non-""Labrynth"" Normal Traps with different names directly from your Deck equal to the number shuffled. You can only activate 1 ""Labrynth Set-Up"" per turn.",,0.05,0.27,4.99,0.27,,1st Edition,TAMA-EN022,Super Rare,SPELL,,Quick-Play Spell,,
282326,Welcome Labrynth,Welcome Labrynth,https://tcgplayer-cdn.tcgplayer.com/product/282326_200w.jpg,2,3066,https://cpt.tcgcsv.com/xXg3,2024-08-16T05:09:39.907,1,"Special Summon 1 ""Labrynth"" monster from your Deck, also until the end of the next turn after this card resolves, you cannot Special Summon monsters from the Deck or Extra Deck, except Fiend monsters. If a monster leaves the field by your Normal Trap effect, while this card is in your GY, except the turn it was sent there: You can Set this card. You can only use each effect of ""Welcome Labrynth"" once per turn.",,1.15,3.36,25.0,1.81,2.98,1st Edition,TAMA-EN023,Ultra Rare,TRAP,,Normal Trap,,
282327,Farewelcome Labrynth,Farewelcome Labrynth,https://tcgplayer-cdn.tcgplayer.com/product/282327_200w.jpg,2,3066,https://cpt.tcgcsv.com/zXg3,2025-05-15T20:31:54.143,1,"When a monster declares an attack, while you control a Fiend monster: Target 1 card on the field; negate the attack, and if you do, destroy that targeted card, then, you can Set 1 non-""Labrynth"" Normal Trap from your hand or Deck.",,0.01,0.19,4.99,0.12,,1st Edition,TAMA-EN024,Rare,TRAP,,Normal Trap,,
282328,Labrynth Barrage,Labrynth Barrage,https://tcgplayer-cdn.tcgplayer.com/product/282328_200w.jpg,2,3066,https://cpt.tcgcsv.com/BXg3,2025-05-15T20:31:54.19,1,"When you activate a Set Normal Trap Card, except ""Labrynth Barrage"": This effect becomes that Normal Trap's effect when that card is activated, also until the end of your opponent's next turn after this card resolves, your opponent takes no effect damage from your card effects.",,0.02,0.25,4.99,0.15,0.14,1st Edition,TAMA-EN025,Super Rare,TRAP,,Normal Trap,,
282329,Archfiend's Ghastly Glitch,Archfiends Ghastly Glitch,https://tcgplayer-cdn.tcgplayer.com/product/282329_200w.jpg,2,3066,https://cpt.tcgcsv.com/CXg3,2025-05-15T20:31:54.237,1,"If you control a Fiend monster: Target 1 card on the field; destroy it, then, you can send 1 Fiend monster from your Deck to the GY.",,0.04,0.25,4.99,0.22,,1st Edition,TAMA-EN026,Super Rare,TRAP,,Normal Trap,,
282330,Runick Fountain,Runick Fountain,https://tcgplayer-cdn.tcgplayer.com/product/282330_200w.jpg,2,3066,https://cpt.tcgcsv.com/DXg3,2023-01-17T19:28:30.397,1,"You can activate ""Runick"" Quick-Play Spell Cards from your hand during your opponent's turn. Once per turn, if you activate a ""Runick"" Quick-Play Spell Card: You can target up to 3 ""Runick"" Quick-Play Spells in your GY; place them on the bottom of your Deck in any order, then draw the same number of cards.",,0.3,1.93,18.73,0.84,0.77,1st Edition,TAMA-EN027,Ultra Rare,SPELL,,Field Spell,,
282331,Runick Fountain (CR),Runick Fountain CR,https://tcgplayer-cdn.tcgplayer.com/product/282331_200w.jpg,2,3066,https://cpt.tcgcsv.com/FXg3,2023-04-08T12:10:39.653,1,"You can activate ""Runick"" Quick-Play Spell Cards from your hand during your opponent's turn. Once per turn, if you activate a ""Runick"" Quick-Play Spell Card: You can target up to 3 ""Runick"" Quick-Play Spells in your GY; place them on the bottom of your Deck in any order, then draw the same number of cards.",,5.99,15.98,79.99,6.59,9.85,1st Edition,TAMA-EN027,Collector's Rare,SPELL,,Field Spell,,
282332,Runick Allure,Runick Allure,https://tcgplayer-cdn.tcgplayer.com/product/282332_200w.jpg,2,3066,https://cpt.tcgcsv.com/GXg3,2022-08-26T04:03:08.4,1,"Each time a Quick-Play Spell Card activates: Banish the top card of your opponent's Deck. You can only control 1 ""Runick Allure"".",,0.01,0.2,2.0,0.09,0.05,1st Edition,TAMA-EN028,Rare,SPELL,,Continuous Spell,,
282333,Runick Tip,Runick Tip,https://tcgplayer-cdn.tcgplayer.com/product/282333_200w.jpg,2,3066,https://cpt.tcgcsv.com/HXg3,2022-09-13T15:18:32.94,1,"Activate 1 of these effects, but skip your next Battle Phase after activation;
<br>• Add 1 ""Runick"" card from your Deck to your hand, except ""Runick Tip"", then banish the top card of your opponent's Deck.
<br>• Special Summon 1 ""Runick"" monster from your Extra Deck to the Extra Monster Zone.
<br>You can only activate 1 ""Runick Tip"" per turn.",,1.76,4.0,80.0,2.49,6.09,1st Edition,TAMA-EN029,Ultra Rare,SPELL,,Quick-Play Spell,,
282334,Runick Flashing Fire,Runick Flashing Fire,https://tcgplayer-cdn.tcgplayer.com/product/282334_200w.jpg,2,3066,https://cpt.tcgcsv.com/JXg3,2022-08-26T04:03:08.4,1,"Activate 1 of these effects, but skip your next Battle Phase after activation;
<br>• Target 1 Special Summoned monster your opponent controls; destroy it, then banish the top 2 cards of your opponent's Deck.
<br>• Special Summon 1 ""Runick"" monster from your Extra Deck to the Extra Monster Zone.
<br>You can only activate 1 ""Runick Flashing Fire"" per turn.",,0.1,0.5,8.0,0.37,0.42,1st Edition,TAMA-EN030,Super Rare,SPELL,,Quick-Play Spell,,
282335,Runick Destruction,Runick Destruction,https://tcgplayer-cdn.tcgplayer.com/product/282335_200w.jpg,2,3066,https://cpt.tcgcsv.com/KXg3,2025-05-15T20:31:54.283,1,"Activate 1 of these effects, but skip your next Battle Phase after activation;
<br>• Target 1 Spell/Trap your opponent controls; destroy it, then banish the top 4 cards of your opponent's Deck.
<br>• Special Summon 1 ""Runick"" monster from your Extra Deck to the Extra Monster Zone.
<br>You can only activate 1 ""Runick Destruction"" per turn.",,0.1,0.5,9.99,0.36,,1st Edition,TAMA-EN031,Super Rare,SPELL,,Quick-Play Spell,,
282336,Runick Dispelling,Runick Dispelling,https://tcgplayer-cdn.tcgplayer.com/product/282336_200w.jpg,2,3066,https://cpt.tcgcsv.com/LXg3,2022-08-26T04:03:08.4,1,"Activate 1 of these effects, but skip your next Battle Phase after activation;
<br>• If your opponent adds a card(s) from their Deck to their hand, except during the Draw Phase, discard 1 random card from their hand, then banish the top 2 cards of their Deck.
<br>• Special Summon 1 ""Runick"" monster from your Extra Deck to the Extra Monster Zone.
<br>You can only activate 1 ""Runick Dispelling"" per turn.",,0.01,0.2,1.99,0.12,0.06,1st Edition,TAMA-EN032,Rare,SPELL,,Quick-Play Spell,,
