productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
126610,The Dark Side of Dimensions Movie Pack: Gold Edition Box,The Dark Side of Dimensions Movie Pack Gold Edition Box,https://tcgplayer-cdn.tcgplayer.com/product/126610_200w.jpg,2,1877,https://cpt.tcgcsv.com/dG02,2017-01-13T18:24:12.847,1,75.99,75.99,75.99,,,Normal,,,,,,,,
126637,Duza the Meteor Cubic Vessel,Duza the Meteor Cubic Vessel,https://tcgplayer-cdn.tcgplayer.com/product/126637_200w.jpg,2,1877,https://cpt.tcgcsv.com/MG02,2017-02-13T15:04:14.03,1,0.23,0.45,3.99,0.29,,Limited,MVP1-ENGV1,Gold Secret Rare,LIGHT,Machine,Effect Monster,1600,1600,"If this card is Normal or Special Summoned: You can send 1 ""Cubic"" card from your Deck to the Graveyard. Once per turn, during either player's turn, if a monster was sent to your Graveyard this turn while this card was face-up on the field: You can make this card gain 200 ATK for each monster with a different name in your Graveyard, until the end of this turn."
126638,Krystal Dragon,Krystal Dragon,https://tcgplayer-cdn.tcgplayer.com/product/126638_200w.jpg,2,1877,https://cpt.tcgcsv.com/NG02,2025-05-15T20:36:41.313,1,0.12,0.44,4.99,0.37,,Limited,MVP1-ENGV2,Gold Secret Rare,LIGHT,Dragon,Effect Monster,2500,1000,"Once per turn, during your Battle Step, if this card battled this turn: You can add 1 Level 8 Dragon-Type monster from your Deck to your hand."
126639,Dark Magician (Gold Secret Rare),Dark Magician Gold Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/126639_200w.jpg,2,1877,https://cpt.tcgcsv.com/PG02,2022-12-12T05:40:11.39,1,1.5,2.4,20.0,2.24,1.9,Limited,MVP1-ENGV3,Gold Secret Rare,DARK,Spellcaster,Normal Monster,2500,2100,<i>The ultimate wizard in terms of attack and defense.</i>
126640,Blue-Eyes White Dragon (Gold Secret Rare),Blue Eyes White Dragon Gold Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/126640_200w.jpg,2,1877,https://cpt.tcgcsv.com/QG02,2022-07-02T18:48:01.067,1,2.69,4.5,20.0,3.62,2.69,Limited,MVP1-ENGV4,Gold Secret Rare,LIGHT,Dragon,Normal Monster,3000,2500,"<i>This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale."
126641,Neo Blue-Eyes Ultimate Dragon,Neo Blue Eyes Ultimate Dragon,https://tcgplayer-cdn.tcgplayer.com/product/126641_200w.jpg,2,1877,https://cpt.tcgcsv.com/RG02,2025-01-02T04:52:43.03,1,4.05,5.76,19.99,5.41,5.06,1st Edition,MVP1-ENG01,Gold Rare,LIGHT,Dragon,Fusion/Effect Monster,4500,3800,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""
<br>At the end of the Damage Step, if this is the only face-up card you control, and this Fusion Summoned card attacked: You can send 1 ""Blue-Eyes"" Fusion Monster from your Extra Deck to the Graveyard; this card can attack again in a row. You can use this effect of ""Neo Blue-Eyes Ultimate Dragon"" up to twice per turn. During either player's turn, when a card or effect is activated that targets a ""Blue-Eyes"" monster(s) you control: You can banish this card from your Graveyard; negate the activation, and if you do, destroy that card."
126641,Neo Blue-Eyes Ultimate Dragon,Neo Blue Eyes Ultimate Dragon,https://tcgplayer-cdn.tcgplayer.com/product/126641_200w.jpg,2,1877,https://cpt.tcgcsv.com/RG02,2025-01-02T04:52:43.03,1,3.9,6.6,19.98,6.1,19.98,Unlimited,MVP1-ENG01,Gold Rare,LIGHT,Dragon,Fusion/Effect Monster,4500,3800,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""
<br>At the end of the Damage Step, if this is the only face-up card you control, and this Fusion Summoned card attacked: You can send 1 ""Blue-Eyes"" Fusion Monster from your Extra Deck to the Graveyard; this card can attack again in a row. You can use this effect of ""Neo Blue-Eyes Ultimate Dragon"" up to twice per turn. During either player's turn, when a card or effect is activated that targets a ""Blue-Eyes"" monster(s) you control: You can banish this card from your Graveyard; negate the activation, and if you do, destroy that card."
126642,Kaiser Vorse Raider,Kaiser Vorse Raider,https://tcgplayer-cdn.tcgplayer.com/product/126642_200w.jpg,2,1877,https://cpt.tcgcsv.com/SG02,2024-10-26T08:10:46.507,1,0.1,0.34,2.0,0.27,,1st Edition,MVP1-ENG02,Gold Rare,DARK,Beast-Warrior,Effect Monster,1900,1200,"If you control no monsters, you can Special Summon this card (from your hand). If this card destroys an opponent's monster by battle: This card gains 500 ATK. If this card is destroyed by battle: The monster that destroyed it loses 500 ATK."
126642,Kaiser Vorse Raider,Kaiser Vorse Raider,https://tcgplayer-cdn.tcgplayer.com/product/126642_200w.jpg,2,1877,https://cpt.tcgcsv.com/SG02,2024-10-26T08:10:46.507,1,0.2,0.59,1.98,0.39,,Unlimited,MVP1-ENG02,Gold Rare,DARK,Beast-Warrior,Effect Monster,1900,1200,"If you control no monsters, you can Special Summon this card (from your hand). If this card destroys an opponent's monster by battle: This card gains 500 ATK. If this card is destroyed by battle: The monster that destroyed it loses 500 ATK."
126643,Assault Wyvern,Assault Wyvern,https://tcgplayer-cdn.tcgplayer.com/product/126643_200w.jpg,2,1877,https://cpt.tcgcsv.com/TG02,2022-07-16T19:16:03.43,1,0.18,0.49,24.0,0.32,0.3,1st Edition,MVP1-ENG03,Gold Rare,LIGHT,Dragon,Effect Monster,1800,1000,"When this card destroys an opponent's monster by battle: You can Tribute this card; Special Summon 1 Dragon-Type monster from your hand or Graveyard, except ""Assault Wyvern""."
