productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
27498,Avenging Knight Parshath,Avenging Knight Parshath,https://tcgplayer-cdn.tcgplayer.com/product/27498_200w.jpg,2,328,https://cpt.tcgcsv.com/-_d,2019-01-18T19:59:52.103,1,TDGS-EN000,Secret Rare,LIGHT,Fairy,Synchro/Effect Monster,2600,2100,"1 Tuner + 1 or more non-Tuner LIGHT monsters
Once per turn, you can change the battle position of 1 face-up monster your opponent controls. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference in Battle Damage to your opponent.",26.99,29.02,35.7,24.16,,Unlimited,
27498,Avenging Knight Parshath,Avenging Knight Parshath,https://tcgplayer-cdn.tcgplayer.com/product/27498_200w.jpg,2,328,https://cpt.tcgcsv.com/-_d,2019-01-18T19:59:52.103,1,TDGS-EN000,Secret Rare,LIGHT,Fairy,Synchro/Effect Monster,2600,2100,"1 Tuner + 1 or more non-Tuner LIGHT monsters
Once per turn, you can change the battle position of 1 face-up monster your opponent controls. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference in Battle Damage to your opponent.",32.64,40.99,90.0,40.75,,1st Edition,
27499,Turbo Booster,Turbo Booster,https://tcgplayer-cdn.tcgplayer.com/product/27499_200w.jpg,2,328,https://cpt.tcgcsv.com/__d,2019-01-21T14:49:12.593,1,TDGS-EN001,Common,EARTH,Machine,Effect Monster,0,0,"If you Normal Summon a monster this turn, you can Special Summon this card from your hand. You can Tribute this card to destroy 1 monster your opponent controls that battled one of your monsters this turn.",0.1,0.35,2.65,0.36,,Unlimited,
27499,Turbo Booster,Turbo Booster,https://tcgplayer-cdn.tcgplayer.com/product/27499_200w.jpg,2,328,https://cpt.tcgcsv.com/__d,2019-01-21T14:49:12.593,1,TDGS-EN001,Common,EARTH,Machine,Effect Monster,0,0,"If you Normal Summon a monster this turn, you can Special Summon this card from your hand. You can Tribute this card to destroy 1 monster your opponent controls that battled one of your monsters this turn.",0.18,0.4,1.13,0.4,0.34,1st Edition,
27500,Nitro Synchron,Nitro Synchron,https://tcgplayer-cdn.tcgplayer.com/product/27500_200w.jpg,2,328,https://cpt.tcgcsv.com/00f,2019-01-21T14:35:56.537,1,TDGS-EN002,Super Rare,FIRE,Machine,Tuner Monster,300,100,"When this card is sent to the Graveyard for the Synchro Summon of a ""Nitro"" Synchro Monster, draw 1 card.",0.47,0.75,5.0,0.66,,Unlimited,
27500,Nitro Synchron,Nitro Synchron,https://tcgplayer-cdn.tcgplayer.com/product/27500_200w.jpg,2,328,https://cpt.tcgcsv.com/00f,2019-01-21T14:35:56.537,1,TDGS-EN002,Super Rare,FIRE,Machine,Tuner Monster,300,100,"When this card is sent to the Graveyard for the Synchro Summon of a ""Nitro"" Synchro Monster, draw 1 card.",0.67,2.15,6.97,2.4,,1st Edition,
27501,Quillbolt Hedgehog,Quillbolt Hedgehog,https://tcgplayer-cdn.tcgplayer.com/product/27501_200w.jpg,2,328,https://cpt.tcgcsv.com/20f,2019-01-21T14:42:20.97,1,TDGS-EN003,Common,EARTH,Machine,Effect Monster,800,800,"If you control a face-up Tuner Monster, you can Special Summon this card from your Graveyard. If this card was Summoned this way, remove it from play when it is removed from the field.",0.04,0.29,1.75,0.35,,Unlimited,
27501,Quillbolt Hedgehog,Quillbolt Hedgehog,https://tcgplayer-cdn.tcgplayer.com/product/27501_200w.jpg,2,328,https://cpt.tcgcsv.com/20f,2019-01-21T14:42:20.97,1,TDGS-EN003,Common,EARTH,Machine,Effect Monster,800,800,"If you control a face-up Tuner Monster, you can Special Summon this card from your Graveyard. If this card was Summoned this way, remove it from play when it is removed from the field.",0.1,0.25,1.49,0.41,,1st Edition,
27502,Ghost Gardna,Ghost Gardna,https://tcgplayer-cdn.tcgplayer.com/product/27502_200w.jpg,2,328,https://cpt.tcgcsv.com/30f,2019-01-21T13:43:53.257,1,TDGS-EN004,Common,DARK,Warrior,Effect Monster,0,1900,"When a face-up monster you control is selected as an attack target, you can switch the attack target to this card. When this card is destroyed and sent to the Graveyard, decrease the ATK of 1 monster your opponent controls by 1000 until the End Phase.",0.02,0.2,1.36,0.09,,Unlimited,
27502,Ghost Gardna,Ghost Gardna,https://tcgplayer-cdn.tcgplayer.com/product/27502_200w.jpg,2,328,https://cpt.tcgcsv.com/30f,2019-01-21T13:43:53.257,1,TDGS-EN004,Common,DARK,Warrior,Effect Monster,0,1900,"When a face-up monster you control is selected as an attack target, you can switch the attack target to this card. When this card is destroyed and sent to the Graveyard, decrease the ATK of 1 monster your opponent controls by 1000 until the End Phase.",0.05,0.28,1.48,0.3,,1st Edition,
27503,Shield Warrior,Shield Warrior,https://tcgplayer-cdn.tcgplayer.com/product/27503_200w.jpg,2,328,https://cpt.tcgcsv.com/50f,2019-01-21T14:43:51.253,1,TDGS-EN005,Rare,EARTH,Warrior,Effect Monster,800,1600,During damage calculation you can remove this card in your Graveyard from play to prevent 1 monster you control from being destroyed by battle once.,0.05,0.27,1.0,0.26,,Unlimited,
27503,Shield Warrior,Shield Warrior,https://tcgplayer-cdn.tcgplayer.com/product/27503_200w.jpg,2,328,https://cpt.tcgcsv.com/50f,2019-01-21T14:43:51.253,1,TDGS-EN005,Rare,EARTH,Warrior,Effect Monster,800,1600,During damage calculation you can remove this card in your Graveyard from play to prevent 1 monster you control from being destroyed by battle once.,0.2,0.53,1.61,0.51,,1st Edition,
27504,Small Piece Golem,Small Piece Golem,https://tcgplayer-cdn.tcgplayer.com/product/27504_200w.jpg,2,328,https://cpt.tcgcsv.com/60f,2019-01-21T14:44:10.563,1,TDGS-EN006,Common,EARTH,Rock,Effect Monster,1100,0,"If you control a face-up ""Big Piece Golem"" when you Summon this card, you can Special Summon 1 ""Medium Piece Golem"" from your Deck. The effect of the monster Special Summoned this way is negated.",0.09,0.23,1.0,0.18,,Unlimited,
27504,Small Piece Golem,Small Piece Golem,https://tcgplayer-cdn.tcgplayer.com/product/27504_200w.jpg,2,328,https://cpt.tcgcsv.com/60f,2019-01-21T14:44:10.563,1,TDGS-EN006,Common,EARTH,Rock,Effect Monster,1100,0,"If you control a face-up ""Big Piece Golem"" when you Summon this card, you can Special Summon 1 ""Medium Piece Golem"" from your Deck. The effect of the monster Special Summoned this way is negated.",0.14,0.3,1.5,0.38,0.23,1st Edition,
27505,Medium Piece Golem,Medium Piece Golem,https://tcgplayer-cdn.tcgplayer.com/product/27505_200w.jpg,2,328,https://cpt.tcgcsv.com/70f,2019-01-21T14:33:23.3,1,TDGS-EN007,Common,EARTH,Rock,Effect Monster,1600,0,"If you control a face-up ""Big Piece Golem"", when you Summon this card, you can Special Summon 1 ""Small Piece Golem"" from your Deck. The effect of the monster Special Summoned by this effect is negated.",0.06,0.22,1.49,0.2,,Unlimited,
27505,Medium Piece Golem,Medium Piece Golem,https://tcgplayer-cdn.tcgplayer.com/product/27505_200w.jpg,2,328,https://cpt.tcgcsv.com/70f,2019-01-21T14:33:23.3,1,TDGS-EN007,Common,EARTH,Rock,Effect Monster,1600,0,"If you control a face-up ""Big Piece Golem"", when you Summon this card, you can Special Summon 1 ""Small Piece Golem"" from your Deck. The effect of the monster Special Summoned by this effect is negated.",0.1,0.29,2.62,0.39,,1st Edition,
27506,Big Piece Golem,Big Piece Golem,https://tcgplayer-cdn.tcgplayer.com/product/27506_200w.jpg,2,328,https://cpt.tcgcsv.com/80f,2019-01-18T20:02:12.013,1,TDGS-EN008,Rare,EARTH,Rock,Effect Monster,2100,0,"If your opponent controls a monster and you control no monsters, you may Normal Summon this card without Tribute.",0.25,0.96,2.61,0.8,,Unlimited,
27506,Big Piece Golem,Big Piece Golem,https://tcgplayer-cdn.tcgplayer.com/product/27506_200w.jpg,2,328,https://cpt.tcgcsv.com/80f,2019-01-18T20:02:12.013,1,TDGS-EN008,Rare,EARTH,Rock,Effect Monster,2100,0,"If your opponent controls a monster and you control no monsters, you may Normal Summon this card without Tribute.",0.63,1.17,2.97,1.01,,1st Edition,
27507,Sinister Sprocket,Sinister Sprocket,https://tcgplayer-cdn.tcgplayer.com/product/27507_200w.jpg,2,328,https://cpt.tcgcsv.com/90f,2019-01-21T14:44:02.6,1,TDGS-EN009,Super Rare,DARK,Fiend,Tuner Monster,400,0,"If this card is sent to the Graveyard for the Synchro Summon of a DARK Synchro Monster, you can destroy 1 face-up Spell or Trap Card.",0.2,0.69,4.97,0.68,,Unlimited,
27507,Sinister Sprocket,Sinister Sprocket,https://tcgplayer-cdn.tcgplayer.com/product/27507_200w.jpg,2,328,https://cpt.tcgcsv.com/90f,2019-01-21T14:44:02.6,1,TDGS-EN009,Super Rare,DARK,Fiend,Tuner Monster,400,0,"If this card is sent to the Graveyard for the Synchro Summon of a DARK Synchro Monster, you can destroy 1 face-up Spell or Trap Card.",0.42,0.99,3.0,1.38,,1st Edition,
27508,Dark Resonator,Dark Resonator,https://tcgplayer-cdn.tcgplayer.com/product/27508_200w.jpg,2,328,https://cpt.tcgcsv.com/b0f,2019-01-21T13:38:41.89,1,TDGS-EN010,Rare,DARK,Fiend,Tuner Monster,1300,300,"Once per turn, if this card would be destroyed by battle, it is not destroyed. (Damage calculation is applied normally).",0.1,0.39,2.0,0.42,,Unlimited,
27508,Dark Resonator,Dark Resonator,https://tcgplayer-cdn.tcgplayer.com/product/27508_200w.jpg,2,328,https://cpt.tcgcsv.com/b0f,2019-01-21T13:38:41.89,1,TDGS-EN010,Rare,DARK,Fiend,Tuner Monster,1300,300,"Once per turn, if this card would be destroyed by battle, it is not destroyed. (Damage calculation is applied normally).",0.2,0.5,1.64,0.8,,1st Edition,
27509,Twin-Shield Defender,Twin Shield Defender,https://tcgplayer-cdn.tcgplayer.com/product/27509_200w.jpg,2,328,https://cpt.tcgcsv.com/c0f,2019-01-21T14:49:28.417,1,TDGS-EN011,Common,EARTH,Warrior,Effect Monster,700,1600,"If this card is destroyed by battle and sent to the Graveyard, you can halve the ATK of 1 monster your opponent controls until the End Phase.",0.05,0.21,1.41,0.17,,Unlimited,
27509,Twin-Shield Defender,Twin Shield Defender,https://tcgplayer-cdn.tcgplayer.com/product/27509_200w.jpg,2,328,https://cpt.tcgcsv.com/c0f,2019-01-21T14:49:28.417,1,TDGS-EN011,Common,EARTH,Warrior,Effect Monster,700,1600,"If this card is destroyed by battle and sent to the Graveyard, you can halve the ATK of 1 monster your opponent controls until the End Phase.",0.1,0.25,1.51,0.48,,1st Edition,
27510,Jutte Fighter,Jutte Fighter,https://tcgplayer-cdn.tcgplayer.com/product/27510_200w.jpg,2,328,https://cpt.tcgcsv.com/d0f,2019-01-21T14:16:03.257,1,TDGS-EN012,Common,EARTH,Warrior,Tuner Monster,700,900,"Once per turn, you can switch 1 face-up Attack Position Monster your opponent controls to Defense Position.",0.19,0.35,1.54,0.35,,Unlimited,
27510,Jutte Fighter,Jutte Fighter,https://tcgplayer-cdn.tcgplayer.com/product/27510_200w.jpg,2,328,https://cpt.tcgcsv.com/d0f,2019-01-21T14:16:03.257,1,TDGS-EN012,Common,EARTH,Warrior,Tuner Monster,700,900,"Once per turn, you can switch 1 face-up Attack Position Monster your opponent controls to Defense Position.",0.2,0.51,1.99,0.63,,1st Edition,
27511,Handcuffs Dragon,Handcuffs Dragon,https://tcgplayer-cdn.tcgplayer.com/product/27511_200w.jpg,2,328,https://cpt.tcgcsv.com/f0f,2019-01-21T14:08:24.793,1,TDGS-EN013,Rare,WIND,Dragon,Effect Monster,1800,1800,"If this card is destroyed by battle and sent to the Graveyard, equip this card to the monster that destroyed it as an Equip Card. The equipped monster loses 1800 ATK. If this card is sent to the Graveyard by the equipped monster being destroyed, you can Special Summon this card to your side of the field.",0.1,0.25,1.0,0.19,,Unlimited,
