productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
542372,The Infinite Forbidden Booster Box [1st Edition],The Infinite Forbidden Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/542372_200w.jpg,2,23458,https://cpt.tcgcsv.com/sZl6,2024-07-19T04:08:18.037,1,"Each box contains 24 packs of 9 random cards.
<br>
<br>“EXODIA, OBLITERATE!”
<br>The two words that cemented Yu-Gi-Oh! as a global sensation!
<br>The Infinite Forbidden was recently announced at the Yu-Gi-Oh! DUEL MONSTERS The Legend of Duelist QUARTER CENTURY Event held at the Tokyo Dome in Japan, returning the game to where it all began with a new strategy featuring the unstoppable Exodia!
<br>By revealing all 5 pieces of Exodia from your hand or Deck, or having them on the field, you’ll be able to Summon a brand-new “Exodia” Fusion Monster! It can’t be destroyed by card effects and can add your current Life Points to its Attack Points every turn! This boost never wears off, so if your opponent somehow manages to survive Exodia’s onslaught, they’ll just face a stronger Exodia the turn after that! Through its mastery of ancient powers, this new Fusion Exodia can cancel 1 Spell or Trap activation of your choice, every turn, for free, AND it fetches an Exodia-themed Spell/Trap from your Deck each turn for YOU to use, also for free.
<br>In Ancient Egypt, the Pharaoh and his priests fought with spiritual monsters, Summoning them forth from great stone tablets to strike down their foes! The Infinite Forbidden introduces a new theme that simulates this method of combat: First you place your “tablet” monster on the field as a Spell Card. Then, you infuse it with your life force (or Life Points in this case!) to Special Summon the card to the field as a monster! Each of these Summons is a Special Summon, so you can save your Normal Summon for something else!
<br>If giving up your Life Points to fuel these monsters isn’t your style, there’s a special new Spell Card to give you a bit of Millennium Magic of your own – just reveal it from your hand and you don’t have to pay any Life Points to Summon forth the monsters from their stones! And since revealing it doesn’t get rid of it, you can do so over and over again. This Spell is also crucial because it’s used to Summon the “Exodia” Fusion Monster!
<br>The Infinite Forbidden contains 100 new cards in all, for a variety of strategies, new and old, including a brand-new World Premiere theme! It also continues the fun of the 25th anniversary celebration by including 25 Quarter Century Secret Rares, including 1 special card.
<br>The Infinite Forbidden core booster set looks like this:
<br>• 10 Secret Rares
<br>• 14 Ultra Rares
<br>• 26 Super Rares
<br>• 50 Commons
<br>(24 of these cards are also available as Quarter-Century Secret Rares and 1 special card is ONLY available as a Quarter-Century Secret Rare!)",083717865421,76.14,84.9,404.95,72.62,,Normal,,,,,,,,,
542373,The Infinite Forbidden Booster Pack [1st Edition],The Infinite Forbidden Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/542373_200w.jpg,2,23458,https://cpt.tcgcsv.com/tZl6,2024-07-19T04:08:18.037,1,"Each booster pack contains 9 random cards.
<br>
<br>“EXODIA, OBLITERATE!”
<br>The two words that cemented Yu-Gi-Oh! as a global sensation!
<br>The Infinite Forbidden was recently announced at the Yu-Gi-Oh! DUEL MONSTERS The Legend of Duelist QUARTER CENTURY Event held at the Tokyo Dome in Japan, returning the game to where it all began with a new strategy featuring the unstoppable Exodia!
<br>By revealing all 5 pieces of Exodia from your hand or Deck, or having them on the field, you’ll be able to Summon a brand-new “Exodia” Fusion Monster! It can’t be destroyed by card effects and can add your current Life Points to its Attack Points every turn! This boost never wears off, so if your opponent somehow manages to survive Exodia’s onslaught, they’ll just face a stronger Exodia the turn after that! Through its mastery of ancient powers, this new Fusion Exodia can cancel 1 Spell or Trap activation of your choice, every turn, for free, AND it fetches an Exodia-themed Spell/Trap from your Deck each turn for YOU to use, also for free.
<br>In Ancient Egypt, the Pharaoh and his priests fought with spiritual monsters, Summoning them forth from great stone tablets to strike down their foes! The Infinite Forbidden introduces a new theme that simulates this method of combat: First you place your “tablet” monster on the field as a Spell Card. Then, you infuse it with your life force (or Life Points in this case!) to Special Summon the card to the field as a monster! Each of these Summons is a Special Summon, so you can save your Normal Summon for something else!
<br>If giving up your Life Points to fuel these monsters isn’t your style, there’s a special new Spell Card to give you a bit of Millennium Magic of your own – just reveal it from your hand and you don’t have to pay any Life Points to Summon forth the monsters from their stones! And since revealing it doesn’t get rid of it, you can do so over and over again. This Spell is also crucial because it’s used to Summon the “Exodia” Fusion Monster!
<br>The Infinite Forbidden contains 100 new cards in all, for a variety of strategies, new and old, including a brand-new World Premiere theme! It also continues the fun of the 25th anniversary celebration by including 25 Quarter Century Secret Rares, including 1 special card.
<br>The Infinite Forbidden core booster set looks like this:
<br>• 10 Secret Rares
<br>• 14 Ultra Rares
<br>• 26 Super Rares
<br>• 50 Commons
<br>(24 of these cards are also available as Quarter-Century Secret Rares and 1 special card is ONLY available as a Quarter-Century Secret Rare!)",083717865414,2.35,3.23,10.16,3.09,,Normal,,,,,,,,,
558188,Fiendsmith Engraver,Fiendsmith Engraver,https://tcgplayer-cdn.tcgplayer.com/product/558188_200w.jpg,2,23458,https://cpt.tcgcsv.com/Nht6,2025-02-14T08:41:12.78,1,"You can discard this card; add 1 ""Fiendsmith"" Spell/Trap from your Deck to your hand. You can target 1 ""Fiendsmith"" Equip Card you control and 1 monster on the field; send them to the GY. If this card is in your GY: You can shuffle 1 other LIGHT Fiend monster from your GY into the Deck/Extra Deck; Special Summon this card. You can only use each effect of ""Fiendsmith Engraver"" once per turn.",,1.7,5.76,106.83,5.76,39.74,1st Edition,INFO-EN017,Secret Rare,LIGHT,Fiend,Monster,1800,2400,,
558189,Mulcharmy Purulia,Mulcharmy Purulia,https://tcgplayer-cdn.tcgplayer.com/product/558189_200w.jpg,2,23458,https://cpt.tcgcsv.com/Pht6,2024-07-19T04:08:18.037,1,"If you control no cards (Quick Effect): You can discard this card; apply these effects this turn.
<br>• Each time your opponent Normal or Special Summons a monster(s) from the hand, immediately draw 1 card.
<br>• Once, during the End Phase, if the number of cards in your hand is more than the number of cards your opponent controls +6, you must randomly shuffle cards from your hand into the Deck so the number in your hand equals the number your opponent controls +6.
<br>You can only activate 1 other ""Mulcharmy"" monster effect, the turn you activate this effect.",,40.76,46.83,75.0,45.95,,1st Edition,INFO-EN027,Secret Rare,WATER,Aqua,Monster,100,600,,
559172,Dragon of Pride and Soul (Quarter Century Secret Rare),Dragon of Pride and Soul Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/559172_200w.jpg,2,23458,https://cpt.tcgcsv.com/sHt6,2024-07-19T04:08:18.037,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) while your opponent has 25 or more cards in their GY. While you have 25 or more cards in your GY, this card gains 2500 ATK/DEF.",,42.0,53.4,249.98,55.14,50.78,1st Edition,INFO-EN000,Quarter Century Secret Rare,DARK,Dragon,Effect Monster,2500,2500,,
559173,Sengenjin Wakes from a Millennium (Quarter Century Secret Rare),Sengenjin Wakes from a Millennium Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/559173_200w.jpg,2,23458,https://cpt.tcgcsv.com/tHt6,2024-07-19T04:08:18.037,1,"Cannot be destroyed by monster effects. You can only use each of the following effects of ""Sengenjin Wakes from a Millennium"" once per turn. If this card is in your hand: You can place it in your Spell & Trap Zone as a face-up Continuous Spell. While this card is a Continuous Spell: You can either pay 2000 LP, or reveal 1 ""Millennium Ankh"" in your hand; Special Summon this card, then you can add 1 ""Millennium"" monster from your Deck to your hand.",,28.99,40.0,88.88,31.43,45.21,1st Edition,INFO-EN001,Quarter Century Secret Rare,EARTH,Beast-Warrior,Effect Monster,2750,2500,,
559174,Sengenjin Wakes from a Millennium,Sengenjin Wakes from a Millennium,https://tcgplayer-cdn.tcgplayer.com/product/559174_200w.jpg,2,23458,https://cpt.tcgcsv.com/vHt6,2025-01-13T22:08:11.013,1,"Cannot be destroyed by monster effects. You can only use each of the following effects of ""Sengenjin Wakes from a Millennium"" once per turn. If this card is in your hand: You can place it in your Spell & Trap Zone as a face-up Continuous Spell. While this card is a Continuous Spell: You can either pay 2000 LP, or reveal 1 ""Millennium Ankh"" in your hand; Special Summon this card, then you can add 1 ""Millennium"" monster from your Deck to your hand.",,3.32,6.76,15.99,4.21,,1st Edition,INFO-EN001,Ultra Rare,EARTH,Beast-Warrior,Effect Monster,2750,2500,,
559175,Golem that Guards the Millennium Treasures,Golem that Guards the Millennium Treasures,https://tcgplayer-cdn.tcgplayer.com/product/559175_200w.jpg,2,23458,https://cpt.tcgcsv.com/wHt6,2024-07-19T04:08:18.037,1,"The activation of your ""Millennium Ankh"" cannot be negated. You can only use each of the following effects of ""Golem that Guards the Millennium Treasures"" once per turn. If this card is in your hand: You can place it in your Spell & Trap Zone as a face-up Continuous Spell. While this card is a Continuous Spell: You can either pay 2000 LP, or reveal 1 ""Millennium Ankh"" in your hand; Special Summon this card, then you can add 1 ""Wedju Temple"" from your Deck to your hand.",,0.01,0.2,1.49,0.11,0.16,1st Edition,INFO-EN002,Common,EARTH,Rock,Effect Monster,2000,2200,,
559176,Shield of the Millennium Dynasty (Quarter Century Secret Rare),Shield of the Millennium Dynasty Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/559176_200w.jpg,2,23458,https://cpt.tcgcsv.com/xHt6,2024-07-19T04:08:18.037,1,"Cannot be destroyed by Spell/Trap effects. You can only use each of the following effects of ""Shield of the Millennium Dynasty"" once per turn. If this card is in your hand: You can place it in your Spell & Trap Zone as a face-up Continuous Spell. While this card is a Continuous Spell: You can either pay 2000 LP, or reveal 1 ""Millennium Ankh"" in your hand; Special Summon this card, then you can add 1 ""Millennium Ankh"" from your Deck to your hand.",,19.99,28.98,100.0,23.32,27.19,1st Edition,INFO-EN003,Quarter Century Secret Rare,EARTH,Warrior,Effect Monster,0,3000,,
559177,Shield of the Millennium Dynasty,Shield of the Millennium Dynasty,https://tcgplayer-cdn.tcgplayer.com/product/559177_200w.jpg,2,23458,https://cpt.tcgcsv.com/zHt6,2024-07-19T04:08:18.037,1,"Cannot be destroyed by Spell/Trap effects. You can only use each of the following effects of ""Shield of the Millennium Dynasty"" once per turn. If this card is in your hand: You can place it in your Spell & Trap Zone as a face-up Continuous Spell. While this card is a Continuous Spell: You can either pay 2000 LP, or reveal 1 ""Millennium Ankh"" in your hand; Special Summon this card, then you can add 1 ""Millennium Ankh"" from your Deck to your hand.",,0.95,2.0,10.0,1.63,1.28,1st Edition,INFO-EN003,Ultra Rare,EARTH,Warrior,Effect Monster,0,3000,,
