productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
21747,Aqua Madoor,Aqua Madoor,https://tcgplayer-cdn.tcgplayer.com/product/21747_200w.jpg,2,330,https://cpt.tcgcsv.com/ZJb,2025-05-15T15:10:13.107,1,LOB-027,Rare,WATER,Spellcaster,Normal Monster,1200,2000,A wizard of the water that conjures a liquid wall to crush any enemies that oppose him.,0.15,0.38,2.0,0.35,,Unlimited
21747,Aqua Madoor,Aqua Madoor,https://tcgplayer-cdn.tcgplayer.com/product/21747_200w.jpg,2,330,https://cpt.tcgcsv.com/ZJb,2025-05-15T15:10:13.107,1,LOB-027,Rare,WATER,Spellcaster,Normal Monster,1200,2000,A wizard of the water that conjures a liquid wall to crush any enemies that oppose him.,3.0,9.77,19.49,10.99,,1st Edition
21749,Armaill,Armaill,https://tcgplayer-cdn.tcgplayer.com/product/21749_200w.jpg,2,330,https://cpt.tcgcsv.com/_Jb,2013-05-09T12:13:41.653,1,LOB-079,Common,EARTH,Warrior,Normal Monster,700,1300,A strange warrior who manipulates three deadly blades with both hands and his tail.,0.05,0.2,1.49,0.16,,Unlimited
21749,Armaill,Armaill,https://tcgplayer-cdn.tcgplayer.com/product/21749_200w.jpg,2,330,https://cpt.tcgcsv.com/_Jb,2013-05-09T12:13:41.653,1,LOB-079,Common,EARTH,Warrior,Normal Monster,700,1300,A strange warrior who manipulates three deadly blades with both hands and his tail.,0.44,0.99,10.0,0.8,,1st Edition
21750,Armed Ninja,Armed Ninja,https://tcgplayer-cdn.tcgplayer.com/product/21750_200w.jpg,2,330,https://cpt.tcgcsv.com/0Kb,2013-05-09T12:13:41.653,1,LOB-106,Rare,EARTH,Warrior,Effect Monster,300,300,"FLIP: Destroys 1 Spell Card on the field. If this card''s target is face-down, flip it face-up. If the card is a Spell Card, it is destroyed. If not, it is returned to its face-down position. The flipped card is not activated.",0.15,0.35,1.56,0.31,,Unlimited
21750,Armed Ninja,Armed Ninja,https://tcgplayer-cdn.tcgplayer.com/product/21750_200w.jpg,2,330,https://cpt.tcgcsv.com/0Kb,2013-05-09T12:13:41.653,1,LOB-106,Rare,EARTH,Warrior,Effect Monster,300,300,"FLIP: Destroys 1 Spell Card on the field. If this card''s target is face-down, flip it face-up. If the card is a Spell Card, it is destroyed. If not, it is returned to its face-down position. The flipped card is not activated.",7.49,20.0,35.0,34.25,,1st Edition
21754,Armored Starfish,Armored Starfish,https://tcgplayer-cdn.tcgplayer.com/product/21754_200w.jpg,2,330,https://cpt.tcgcsv.com/6Kb,2013-05-09T12:13:41.653,1,LOB-116,Common,WATER,Aqua,Normal Monster,850,1400,A bluish starfish with a soild hide capable of fending off attacks.,0.02,0.2,1.75,0.15,,Unlimited
21754,Armored Starfish,Armored Starfish,https://tcgplayer-cdn.tcgplayer.com/product/21754_200w.jpg,2,330,https://cpt.tcgcsv.com/6Kb,2013-05-09T12:13:41.653,1,LOB-116,Common,WATER,Aqua,Normal Monster,850,1400,A bluish starfish with a soild hide capable of fending off attacks.,0.19,0.87,10.0,0.66,,1st Edition
21771,Basic Insect,Basic Insect,https://tcgplayer-cdn.tcgplayer.com/product/21771_200w.jpg,2,330,https://cpt.tcgcsv.com/rKb,2013-05-09T12:13:41.653,1,LOB-008,Common,EARTH,Insect,Normal Monster,500,700,"Usually found traveling in swarms, this creature''s ideal environment is the forest.",0.05,0.22,1.85,0.17,,Unlimited
21771,Basic Insect,Basic Insect,https://tcgplayer-cdn.tcgplayer.com/product/21771_200w.jpg,2,330,https://cpt.tcgcsv.com/rKb,2013-05-09T12:13:41.653,1,LOB-008,Common,EARTH,Insect,Normal Monster,500,700,"Usually found traveling in swarms, this creature''s ideal environment is the forest.",0.42,2.7,14.98,1.51,,1st Edition
