productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription
24055,Elemental Hero Avian,Elemental Hero Avian,https://tcgplayer-cdn.tcgplayer.com/product/24055_200w.jpg,2,248,https://cpt.tcgcsv.com/7Fc,2014-03-28T15:03:12.21,1,TLM-EN001,Common,WIND,Warrior,Normal Monster,1000,1000,0.13,0.34,1.51,0.41,,Unlimited,
24055,Elemental Hero Avian,Elemental Hero Avian,https://tcgplayer-cdn.tcgplayer.com/product/24055_200w.jpg,2,248,https://cpt.tcgcsv.com/7Fc,2014-03-28T15:03:12.21,1,TLM-EN001,Common,WIND,Warrior,Normal Monster,1000,1000,0.19,0.5,1.56,0.43,,1st Edition,
24056,Elemental Hero Burstinatrix,Elemental Hero Burstinatrix,https://tcgplayer-cdn.tcgplayer.com/product/24056_200w.jpg,2,248,https://cpt.tcgcsv.com/8Fc,2014-03-28T15:07:48.003,1,TLM-EN002,Common,FIRE,Warrior,Normal Monster,1200,800,0.12,0.45,3.36,0.45,,Unlimited,
24056,Elemental Hero Burstinatrix,Elemental Hero Burstinatrix,https://tcgplayer-cdn.tcgplayer.com/product/24056_200w.jpg,2,248,https://cpt.tcgcsv.com/8Fc,2014-03-28T15:07:48.003,1,TLM-EN002,Common,FIRE,Warrior,Normal Monster,1200,800,0.11,0.63,3.99,0.6,,1st Edition,
24057,Elemental Hero Clayman,Elemental Hero Clayman,https://tcgplayer-cdn.tcgplayer.com/product/24057_200w.jpg,2,248,https://cpt.tcgcsv.com/9Fc,2014-03-28T15:11:00.653,1,TLM-EN003,Common,EARTH,Warrior,Normal Monster,800,2000,0.17,0.44,1.67,0.47,,Unlimited,
24057,Elemental Hero Clayman,Elemental Hero Clayman,https://tcgplayer-cdn.tcgplayer.com/product/24057_200w.jpg,2,248,https://cpt.tcgcsv.com/9Fc,2014-03-28T15:11:00.653,1,TLM-EN003,Common,EARTH,Warrior,Normal Monster,800,2000,0.17,0.62,4.99,0.54,,1st Edition,
24058,Elemental Hero Sparkman,Elemental Hero Sparkman,https://tcgplayer-cdn.tcgplayer.com/product/24058_200w.jpg,2,248,https://cpt.tcgcsv.com/bFc,2014-03-28T15:14:23.213,1,TLM-EN004,Common,LIGHT,Warrior,Normal Monster,1600,1400,0.1,0.39,2.19,0.35,,Unlimited,
24058,Elemental Hero Sparkman,Elemental Hero Sparkman,https://tcgplayer-cdn.tcgplayer.com/product/24058_200w.jpg,2,248,https://cpt.tcgcsv.com/bFc,2014-03-28T15:14:23.213,1,TLM-EN004,Common,LIGHT,Warrior,Normal Monster,1600,1400,0.23,0.5,2.09,0.49,,1st Edition,
24059,Winged Kuriboh,Winged Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/24059_200w.jpg,2,248,https://cpt.tcgcsv.com/cFc,2014-03-28T14:19:48.233,1,TLM-EN005,Super Rare,LIGHT,Angel,Effect Monster,300,200,0.68,1.53,9.99,1.65,,Unlimited,"This effect would be activate when this card is destroyed and sent to Graveyard from the field. After the activation, all battle damages done to this card''s controller are reduced to zero until the end of turn."
24059,Winged Kuriboh,Winged Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/24059_200w.jpg,2,248,https://cpt.tcgcsv.com/cFc,2014-03-28T14:19:48.233,1,TLM-EN005,Super Rare,LIGHT,Angel,Effect Monster,300,200,1.01,4.49,46.99,4.37,,1st Edition,"This effect would be activate when this card is destroyed and sent to Graveyard from the field. After the activation, all battle damages done to this card''s controller are reduced to zero until the end of turn."
24060,Ancient Gear Golem,Ancient Gear Golem,https://tcgplayer-cdn.tcgplayer.com/product/24060_200w.jpg,2,248,https://cpt.tcgcsv.com/dFc,2024-09-17T19:50:36.947,1,TLM-EN006,Ultra Rare,EARTH,Machine,Effect Monster,3000,3000,11.5,23.74,69.94,24.3,,Unlimited,"This card cannot be Special Summoned. When this card attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step."
24060,Ancient Gear Golem,Ancient Gear Golem,https://tcgplayer-cdn.tcgplayer.com/product/24060_200w.jpg,2,248,https://cpt.tcgcsv.com/dFc,2024-09-17T19:50:36.947,1,TLM-EN006,Ultra Rare,EARTH,Machine,Effect Monster,3000,3000,24.99,45.68,97.96,45.19,,1st Edition,"This card cannot be Special Summoned. When this card attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step."
24061,Ancient Gear Beast,Ancient Gear Beast,https://tcgplayer-cdn.tcgplayer.com/product/24061_200w.jpg,2,248,https://cpt.tcgcsv.com/fFc,2021-07-08T13:47:13.227,1,TLM-EN007,Rare,EARTH,Machine,Normal Monster,2000,2000,0.41,1.07,2.99,1.09,,Unlimited,"This card cannot be Special Summoned. The effects of your opponent's Effect Monster that this monster destroys as a result of battle are negated. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step."
24061,Ancient Gear Beast,Ancient Gear Beast,https://tcgplayer-cdn.tcgplayer.com/product/24061_200w.jpg,2,248,https://cpt.tcgcsv.com/fFc,2021-07-08T13:47:13.227,1,TLM-EN007,Rare,EARTH,Machine,Normal Monster,2000,2000,0.5,1.99,2.99,2.26,,1st Edition,"This card cannot be Special Summoned. The effects of your opponent's Effect Monster that this monster destroys as a result of battle are negated. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step."
24062,Ancient Gear Soldier,Ancient Gear Soldier,https://tcgplayer-cdn.tcgplayer.com/product/24062_200w.jpg,2,248,https://cpt.tcgcsv.com/gFc,2014-03-28T14:19:16.027,1,TLM-EN008,Common,EARTH,Machine,Normal Monster,1300,1300,0.07,0.23,1.99,0.16,,Unlimited,"When this card attacks, your opponent cannot activate Magic/Trap cards until the end of Damage Step."
24062,Ancient Gear Soldier,Ancient Gear Soldier,https://tcgplayer-cdn.tcgplayer.com/product/24062_200w.jpg,2,248,https://cpt.tcgcsv.com/gFc,2014-03-28T14:19:16.027,1,TLM-EN008,Common,EARTH,Machine,Normal Monster,1300,1300,0.15,0.4,2.01,0.29,,1st Edition,"When this card attacks, your opponent cannot activate Magic/Trap cards until the end of Damage Step."
24063,Millennium Scorpion,Millennium Scorpion,https://tcgplayer-cdn.tcgplayer.com/product/24063_200w.jpg,2,248,https://cpt.tcgcsv.com/hFc,2014-03-28T15:03:30.31,1,TLM-EN009,Rare,EARTH,Insect,Normal Monster,2000,1800,0.4,0.86,2.99,0.93,,Unlimited,"When this card destroys and sends an opponent''s monster to Graveyard as a result of battle, increase this card''s attack strength by 500."
24063,Millennium Scorpion,Millennium Scorpion,https://tcgplayer-cdn.tcgplayer.com/product/24063_200w.jpg,2,248,https://cpt.tcgcsv.com/hFc,2014-03-28T15:03:30.31,1,TLM-EN009,Rare,EARTH,Insect,Normal Monster,2000,1800,0.7,1.14,2.3,1.15,,1st Edition,"When this card destroys and sends an opponent''s monster to Graveyard as a result of battle, increase this card''s attack strength by 500."
24064,Ultimate Insect LV7,Ultimate Insect LV7,https://tcgplayer-cdn.tcgplayer.com/product/24064_200w.jpg,2,248,https://cpt.tcgcsv.com/jFc,2014-03-28T14:26:17.3,1,TLM-EN010,Super Rare,WIND,Insect,Normal Monster,2600,1200,0.5,1.0,2.69,0.95,,Unlimited,"When this card is special summon by the effect of [Ultimate Insect LV5], when this card is face-up on the field, the attack strength and defense strength of all opponent''s monsters is decrease by 700."
24064,Ultimate Insect LV7,Ultimate Insect LV7,https://tcgplayer-cdn.tcgplayer.com/product/24064_200w.jpg,2,248,https://cpt.tcgcsv.com/jFc,2014-03-28T14:26:17.3,1,TLM-EN010,Super Rare,WIND,Insect,Normal Monster,2600,1200,0.89,1.64,9.99,1.59,,1st Edition,"When this card is special summon by the effect of [Ultimate Insect LV5], when this card is face-up on the field, the attack strength and defense strength of all opponent''s monsters is decrease by 700."
24065,Lost Guardian,Lost Guardian,https://tcgplayer-cdn.tcgplayer.com/product/24065_200w.jpg,2,248,https://cpt.tcgcsv.com/kFc,2014-03-28T15:18:21.117,1,TLM-EN011,Common,EARTH,Rock,Normal Monster,100,0,0.01,0.24,1.7,0.16,,Unlimited,This card''s original defense strength is equal to number of Rock sub-type monsters that you remove from game * 700.
24065,Lost Guardian,Lost Guardian,https://tcgplayer-cdn.tcgplayer.com/product/24065_200w.jpg,2,248,https://cpt.tcgcsv.com/kFc,2014-03-28T15:18:21.117,1,TLM-EN011,Common,EARTH,Rock,Normal Monster,100,0,0.09,0.25,0.99,0.23,,1st Edition,This card''s original defense strength is equal to number of Rock sub-type monsters that you remove from game * 700.
24066,Hieracosphinx,Hieracosphinx,https://tcgplayer-cdn.tcgplayer.com/product/24066_200w.jpg,2,248,https://cpt.tcgcsv.com/lFc,2014-03-28T15:33:35.573,1,TLM-EN012,Super Rare,EARTH,Rock,Normal Monster,2400,1200,0.05,0.49,4.64,0.34,,Unlimited,"When this card is face-up on the field, your opponent cannot choose monsters on your field that are in face-down defense mode as target of battle."
24066,Hieracosphinx,Hieracosphinx,https://tcgplayer-cdn.tcgplayer.com/product/24066_200w.jpg,2,248,https://cpt.tcgcsv.com/lFc,2014-03-28T15:33:35.573,1,TLM-EN012,Super Rare,EARTH,Rock,Normal Monster,2400,1200,0.19,0.65,4.99,0.6,,1st Edition,"When this card is face-up on the field, your opponent cannot choose monsters on your field that are in face-down defense mode as target of battle."
24067,Criosphinx,Criosphinx,https://tcgplayer-cdn.tcgplayer.com/product/24067_200w.jpg,2,248,https://cpt.tcgcsv.com/mFc,2014-03-28T14:39:00.173,1,TLM-EN013,Rare,EARTH,Rock,Normal Monster,1200,2400,0.1,0.36,2.02,0.41,,Unlimited,"When this card is face up on the field, whenever a monster card is sent from the field to owner''s hand, the owner of that monster must choose one card from his/her hand and discard it."
24067,Criosphinx,Criosphinx,https://tcgplayer-cdn.tcgplayer.com/product/24067_200w.jpg,2,248,https://cpt.tcgcsv.com/mFc,2014-03-28T14:39:00.173,1,TLM-EN013,Rare,EARTH,Rock,Normal Monster,1200,2400,0.2,0.45,0.99,0.38,,1st Edition,"When this card is face up on the field, whenever a monster card is sent from the field to owner''s hand, the owner of that monster must choose one card from his/her hand and discard it."
24068,Moai Interceptor Cannons,Moai Interceptor Cannons,https://tcgplayer-cdn.tcgplayer.com/product/24068_200w.jpg,2,248,https://cpt.tcgcsv.com/nFc,2015-09-16T18:34:10.69,1,TLM-EN014,Common,EARTH,Rock,Normal Monster,1100,2000,0.05,0.2,1.36,0.16,,Unlimited,This card can change to face-down defense mode once per turn.
24068,Moai Interceptor Cannons,Moai Interceptor Cannons,https://tcgplayer-cdn.tcgplayer.com/product/24068_200w.jpg,2,248,https://cpt.tcgcsv.com/nFc,2015-09-16T18:34:10.69,1,TLM-EN014,Common,EARTH,Rock,Normal Monster,1100,2000,0.05,0.25,1.41,0.16,,1st Edition,This card can change to face-down defense mode once per turn.
24069,Megarock Dragon (UTR),Megarock Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/24069_200w.jpg,2,248,https://cpt.tcgcsv.com/pFc,2015-11-23T20:40:24.52,1,TLM-EN015,Ultimate Rare,EARTH,Rock,Normal Monster,0,0,39.98,43.85,65.99,18.49,,Unlimited,This card cannot be Normal Summoned. This card can only be Special Summoned by removing Rock sub-type monsters from your Graveyard from play. This card''s attack and defense strength is equal to 700 times the number of monsters you remove this way.
24069,Megarock Dragon (UTR),Megarock Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/24069_200w.jpg,2,248,https://cpt.tcgcsv.com/pFc,2015-11-23T20:40:24.52,1,TLM-EN015,Ultimate Rare,EARTH,Rock,Normal Monster,0,0,28.0,35.95,89.95,35.94,,1st Edition,This card cannot be Normal Summoned. This card can only be Special Summoned by removing Rock sub-type monsters from your Graveyard from play. This card''s attack and defense strength is equal to 700 times the number of monsters you remove this way.
24070,Dummy Golem,Dummy Golem,https://tcgplayer-cdn.tcgplayer.com/product/24070_200w.jpg,2,248,https://cpt.tcgcsv.com/qFc,2014-03-28T15:02:06.763,1,TLM-EN016,Common,EARTH,Rock,Normal Monster,800,800,0.04,0.23,1.7,0.22,,Unlimited,Reverse: Choose a monster on opponent''s field. Switch the control of this card and the chosen monster.
24070,Dummy Golem,Dummy Golem,https://tcgplayer-cdn.tcgplayer.com/product/24070_200w.jpg,2,248,https://cpt.tcgcsv.com/qFc,2014-03-28T15:02:06.763,1,TLM-EN016,Common,EARTH,Rock,Normal Monster,800,800,0.09,0.3,0.99,0.3,,1st Edition,Reverse: Choose a monster on opponent''s field. Switch the control of this card and the chosen monster.
