productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extAttack,extDefense
488161,Pot of Greed,Pot of Greed,https://tcgplayer-cdn.tcgplayer.com/product/488161_200w.jpg,2,23068,https://cpt.tcgcsv.com/fhW5,2023-12-11T15:43:25.463,1,TBC1-EN001,Ultra Rare,SPELL,Normal Spell,Draw 2 cards.,43.0,44.91,54.99,38.31,,Limited,,,
488162,Pot of Greed (Quarter Century Secret Rare),Pot of Greed Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/488162_200w.jpg,2,23068,https://cpt.tcgcsv.com/ghW5,2023-12-11T15:41:49.893,1,TBC1-ENS01,Quarter Century Secret Rare,SPELL,Normal Spell,Draw 2 cards from your Deck.,161.58,244.3,299.99,159.19,,Limited,,,
488163,Pot of Generosity,Pot of Generosity,https://tcgplayer-cdn.tcgplayer.com/product/488163_200w.jpg,2,23068,https://cpt.tcgcsv.com/hhW5,2023-12-11T15:44:59.17,1,TBC1-EN002,Ultra Rare,SPELL,Normal Spell,Shuffle 2 cards from your hand into the Deck.,1.9,2.88,15.0,1.81,,Limited,,,
488164,Pot of Avarice,Pot of Avarice,https://tcgplayer-cdn.tcgplayer.com/product/488164_200w.jpg,2,23068,https://cpt.tcgcsv.com/jhW5,2023-12-11T15:45:47.647,1,TBC1-EN003,Ultra Rare,SPELL,Normal Spell,"Target 5 monsters in your GY; shuffle all 5 into the Deck, then draw 2 cards.",15.24,16.74,30.0,16.57,,Limited,,,
488165,Pot of Benevolence,Pot of Benevolence,https://tcgplayer-cdn.tcgplayer.com/product/488165_200w.jpg,2,23068,https://cpt.tcgcsv.com/khW5,2023-12-11T15:46:53.477,1,TBC1-EN004,Ultra Rare,SPELL,Normal Spell,"Target 2 cards in the GY(s); shuffle them into the Deck(s). After activation, banish this card instead of sending it to the GY. You can only activate 1 ""Pot of Benevolence"" per turn.",4.32,5.5,8.95,3.81,,Limited,,,
488166,Pot of Riches,Pot of Riches,https://tcgplayer-cdn.tcgplayer.com/product/488166_200w.jpg,2,23068,https://cpt.tcgcsv.com/lhW5,2023-12-11T15:47:28.037,1,TBC1-EN005,Ultra Rare,SPELL,Normal Spell,"Shuffle 3 Pendulum Monsters into the Deck, from your GY and/or face-up from your Extra Deck, then draw 2 cards. You can only activate 1 ""Pot of Riches"" per turn. You cannot Special Summon the turn you activate this card, except by Pendulum Summon.",1.99,3.4,9.99,1.3,,Limited,,,
488167,Pot of Acquisitiveness,Pot of Acquisitiveness,https://tcgplayer-cdn.tcgplayer.com/product/488167_200w.jpg,2,23068,https://cpt.tcgcsv.com/mhW5,2023-12-11T15:48:53.78,1,TBC1-EN006,Ultra Rare,SPELL,Quick-Play Spell,"Target 3 banished monsters; shuffle all 3 into the Deck, then draw 1 card. You can only activate 1 ""Pot of Acquisitiveness"" per turn.",11.5,13.28,13.99,13.41,,Limited,,,
488169,Pot of Duality,Pot of Duality,https://tcgplayer-cdn.tcgplayer.com/product/488169_200w.jpg,2,23068,https://cpt.tcgcsv.com/phW5,2023-12-11T15:49:16.88,1,TBC1-EN007,Ultra Rare,SPELL,Normal Spell,"Excavate the top 3 cards of your Deck, add 1 of them to your hand, also, after that, shuffle the rest back into your Deck. You can only activate 1 ""Pot of Duality"" per turn. You cannot Special Summon during the turn you activate this card.",11.15,16.7,27.35,11.86,,Limited,,,
488170,Pot of Dichotomy,Pot of Dichotomy,https://tcgplayer-cdn.tcgplayer.com/product/488170_200w.jpg,2,23068,https://cpt.tcgcsv.com/qhW5,2023-12-11T15:50:01.18,1,TBC1-EN008,Ultra Rare,SPELL,Normal Spell,"At the start of your Main Phase 1: Target 3 monsters with different Types in your GY; Shuffle all 3 into the Deck, then draw 2 cards. You cannot conduct your Battle Phase the turn you activate this card.",3.95,4.9,7.0,4.33,,Limited,,,
488172,Pot of Desires,Pot of Desires,https://tcgplayer-cdn.tcgplayer.com/product/488172_200w.jpg,2,23068,https://cpt.tcgcsv.com/shW5,2023-12-11T15:51:14.94,1,TBC1-EN009,Ultra Rare,SPELL,Normal Spell,"Banish 10 cards from the top of your Deck, face-down; draw 2 cards. You can only activate 1 ""Pot of Desires"" per turn.",9.69,11.0,56.78,11.74,,Limited,,,
488173,Pot of Extravagance,Pot of Extravagance,https://tcgplayer-cdn.tcgplayer.com/product/488173_200w.jpg,2,23068,https://cpt.tcgcsv.com/thW5,2023-12-11T15:51:36.257,1,TBC1-EN010,Ultra Rare,SPELL,Normal Spell,"At the start of your Main Phase 1: Banish 3 or 6 random face-down cards from your Extra Deck, face-down; draw 1 card for every 3 cards banished. For the rest of this turn after this card resolves, you cannot draw any cards by card effects.",15.39,18.07,29.99,17.48,,Limited,,,
