productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,extMonsterType
96068,The Secret Forces - Booster Pack,The Secret Forces Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/96068_200w.jpg,2,1513,https://cpt.tcgcsv.com/nrN,2015-02-15T01:50:38.213,1,5.0,11.9,28.98,,,Normal,,,,,,,,
96069,The Secret Forces - Booster Box,The Secret Forces Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/96069_200w.jpg,2,1513,https://cpt.tcgcsv.com/prN,2015-02-15T01:50:08.373,1,194.99,197.97,198.94,,,Normal,,,,,,,,
96070,Mayosenju Daibak,Mayosenju Daibak,https://tcgplayer-cdn.tcgplayer.com/product/96070_200w.jpg,2,1513,https://cpt.tcgcsv.com/qrN,2015-10-08T18:13:43.777,1,2.25,2.84,73.99,2.51,,Unlimited,THSF-EN001,Secret Rare,WIND,Pendulum/Effect Monster,3000,300,"<b>Pendulum Effect</b>:  When a ""Yosenju"" monster you control declares an attack: You can have that attacking monster gain 300 ATK until the end of the Battle Phase.
<br>
<b>Monster Effect</b>:  Cannot be Special Summoned, except by Pendulum Summon. This card's Pendulum Summon cannot be negated. If this card is Normal or Special Summoned: You can target up to 2 cards on the field; return them to the hand. During the End Phase, if this card was Special Summoned this turn: Return it to the hand.",
96070,Mayosenju Daibak,Mayosenju Daibak,https://tcgplayer-cdn.tcgplayer.com/product/96070_200w.jpg,2,1513,https://cpt.tcgcsv.com/qrN,2015-10-08T18:13:43.777,1,3.0,3.89,74.99,3.87,,1st Edition,THSF-EN001,Secret Rare,WIND,Pendulum/Effect Monster,3000,300,"<b>Pendulum Effect</b>:  When a ""Yosenju"" monster you control declares an attack: You can have that attacking monster gain 300 ATK until the end of the Battle Phase.
<br>
<b>Monster Effect</b>:  Cannot be Special Summoned, except by Pendulum Summon. This card's Pendulum Summon cannot be negated. If this card is Normal or Special Summoned: You can target up to 2 cards on the field; return them to the hand. During the End Phase, if this card was Special Summoned this turn: Return it to the hand.",
96071,Yosenju Misak,Yosenju Misak,https://tcgplayer-cdn.tcgplayer.com/product/96071_200w.jpg,2,1513,https://cpt.tcgcsv.com/rrN,2015-10-08T18:24:50.147,1,0.19,0.46,2.99,0.25,,Unlimited,THSF-EN002,Secret Rare,WIND,Effect Monster,2300,200,"At the start of the Damage Step, if this card battles a non-WIND monster: You can destroy that monster. When this card is Pendulum Summoned: You can target 1 card your opponent controls; destroy it. During the End Phase, if this card was Special Summoned this turn: Return it to the hand.",
96071,Yosenju Misak,Yosenju Misak,https://tcgplayer-cdn.tcgplayer.com/product/96071_200w.jpg,2,1513,https://cpt.tcgcsv.com/rrN,2015-10-08T18:24:50.147,1,0.15,0.48,4.99,0.21,,1st Edition,THSF-EN002,Secret Rare,WIND,Effect Monster,2300,200,"At the start of the Damage Step, if this card battles a non-WIND monster: You can destroy that monster. When this card is Pendulum Summoned: You can target 1 card your opponent controls; destroy it. During the End Phase, if this card was Special Summoned this turn: Return it to the hand.",
96072,Yosenju Kama 1,Yosenju Kama 1,https://tcgplayer-cdn.tcgplayer.com/product/96072_200w.jpg,2,1513,https://cpt.tcgcsv.com/srN,2015-10-08T18:24:05.167,1,0.15,0.5,2.99,0.28,,Unlimited,THSF-EN003,Secret Rare,WIND,Effect Monster,1600,500,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 1"". If you control another ""Yosenju"" monster: You can target 1 face-up card your opponent controls; return it to the hand. This effect can only be used once while this card is face-up on the field. During the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",Beast-Warrior
96072,Yosenju Kama 1,Yosenju Kama 1,https://tcgplayer-cdn.tcgplayer.com/product/96072_200w.jpg,2,1513,https://cpt.tcgcsv.com/srN,2015-10-08T18:24:05.167,1,0.14,0.5,9.99,0.34,,1st Edition,THSF-EN003,Secret Rare,WIND,Effect Monster,1600,500,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 1"". If you control another ""Yosenju"" monster: You can target 1 face-up card your opponent controls; return it to the hand. This effect can only be used once while this card is face-up on the field. During the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",Beast-Warrior
96073,Yosenju Kama 2,Yosenju Kama 2,https://tcgplayer-cdn.tcgplayer.com/product/96073_200w.jpg,2,1513,https://cpt.tcgcsv.com/trN,2015-10-08T18:24:21.847,1,0.23,0.73,4.99,0.26,,Unlimited,THSF-EN004,Secret Rare,WIND,Effect Monster,1800,200,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 2"". This card can attack your opponent directly, but when it does so using this effect, any battle damage it inflicts to your opponent is halved. During the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",Beast-Warrior
96073,Yosenju Kama 2,Yosenju Kama 2,https://tcgplayer-cdn.tcgplayer.com/product/96073_200w.jpg,2,1513,https://cpt.tcgcsv.com/trN,2015-10-08T18:24:21.847,1,0.17,0.5,9.99,0.34,,1st Edition,THSF-EN004,Secret Rare,WIND,Effect Monster,1800,200,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 2"". This card can attack your opponent directly, but when it does so using this effect, any battle damage it inflicts to your opponent is halved. During the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",Beast-Warrior
96074,Yosenju Kama 3,Yosenju Kama 3,https://tcgplayer-cdn.tcgplayer.com/product/96074_200w.jpg,2,1513,https://cpt.tcgcsv.com/vrN,2015-10-08T18:24:33.673,1,0.19,0.49,4.99,0.24,,Unlimited,THSF-EN005,Secret Rare,WIND,Effect Monster,1500,800,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 3"". When another ""Yosenju"" monster you control inflicts battle damage to your opponent: You can add 1 ""Yosenju"" card from your Deck to your hand, except ""Yosenju Kama 3"". You can only use this effect of ""Yosenju Kama 3"" once per turn. During the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",Beast-Warrior
96074,Yosenju Kama 3,Yosenju Kama 3,https://tcgplayer-cdn.tcgplayer.com/product/96074_200w.jpg,2,1513,https://cpt.tcgcsv.com/vrN,2015-10-08T18:24:33.673,1,0.18,0.5,9.99,0.32,,1st Edition,THSF-EN005,Secret Rare,WIND,Effect Monster,1500,800,"If this card is Normal Summoned, you can: Immediately after this effect resolves, Normal Summon 1 ""Yosenju"" monster from your hand, except ""Yosenju Kama 3"". When another ""Yosenju"" monster you control inflicts battle damage to your opponent: You can add 1 ""Yosenju"" card from your Deck to your hand, except ""Yosenju Kama 3"". You can only use this effect of ""Yosenju Kama 3"" once per turn. During the End Phase, if this card was Normal Summoned this turn: Return it to the hand.",Beast-Warrior
96075,Yosenju Shinchu L,Yosenju Shinchu L,https://tcgplayer-cdn.tcgplayer.com/product/96075_200w.jpg,2,1513,https://cpt.tcgcsv.com/wrN,2015-10-08T18:25:07.76,1,0.09,0.25,3.99,0.14,,Unlimited,THSF-EN006,Super Rare,WIND,Pendulum/Effect Monster,0,2100,"<b>Pendulum Effect</b>:  If a ""Yosenju"" monster(s) you control would be destroyed by battle or card effect, you can destroy this card instead.
<br>
<b>Monster Effect</b>:  If this card is Normal Summoned: Change it to Defense Position. Your opponent cannot target ""Yosenju"" monsters you control with card effects, except this one.
[show]",Rock
96075,Yosenju Shinchu L,Yosenju Shinchu L,https://tcgplayer-cdn.tcgplayer.com/product/96075_200w.jpg,2,1513,https://cpt.tcgcsv.com/wrN,2015-10-08T18:25:07.76,1,0.05,0.31,4.99,0.17,,1st Edition,THSF-EN006,Super Rare,WIND,Pendulum/Effect Monster,0,2100,"<b>Pendulum Effect</b>:  If a ""Yosenju"" monster(s) you control would be destroyed by battle or card effect, you can destroy this card instead.
<br>
<b>Monster Effect</b>:  If this card is Normal Summoned: Change it to Defense Position. Your opponent cannot target ""Yosenju"" monsters you control with card effects, except this one.
[show]",Rock
96076,Yosenju Shinchu R,Yosenju Shinchu R,https://tcgplayer-cdn.tcgplayer.com/product/96076_200w.jpg,2,1513,https://cpt.tcgcsv.com/xrN,2015-10-08T18:25:20.05,1,0.09,0.31,4.99,0.17,,Unlimited,THSF-EN007,Super Rare,WIND,Pendulum/Effect Monster,0,2100,"<b>Pendulum Effect</b>:  Once per turn, if you have a ""Yosenju"" card in your other Pendulum Zone: You can make this card's Pendulum Scale 11 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Yosenju"" monsters (even if this card leaves the field).
<br>
<b>Monster Effect</b>:  If this card is Normal Summoned: Change it to Defense Position. Your opponent cannot target ""Yosenju"" monsters for attacks, except this one.",Rock
96076,Yosenju Shinchu R,Yosenju Shinchu R,https://tcgplayer-cdn.tcgplayer.com/product/96076_200w.jpg,2,1513,https://cpt.tcgcsv.com/xrN,2015-10-08T18:25:20.05,1,0.05,0.31,1.49,0.19,,1st Edition,THSF-EN007,Super Rare,WIND,Pendulum/Effect Monster,0,2100,"<b>Pendulum Effect</b>:  Once per turn, if you have a ""Yosenju"" card in your other Pendulum Zone: You can make this card's Pendulum Scale 11 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Yosenju"" monsters (even if this card leaves the field).
<br>
<b>Monster Effect</b>:  If this card is Normal Summoned: Change it to Defense Position. Your opponent cannot target ""Yosenju"" monsters for attacks, except this one.",Rock
96077,Yosen Training Grounds,Yosen Training Grounds,https://tcgplayer-cdn.tcgplayer.com/product/96077_200w.jpg,2,1513,https://cpt.tcgcsv.com/zrN,2015-10-08T18:23:52.34,1,0.05,0.25,1.99,0.13,,Unlimited,THSF-EN008,Super Rare,SPELL,Normal Spell,0,0,"Each time a ""Yosenju"" monster(s) is Normal or Special Summoned, place 1 Yosen Counter on this card. You can remove any number of Yosen Counters from this card; apply this effect, depending on the number of Yosen Counters removed. You can only use this effect of ""Yosen Training Grounds"" once per turn.
<br><b>-</b> 1 Counter: All ""Yosenju"" monsters you currently control gain 300 ATK until the end of this turn (even if this card leaves the field).
<br><b>-</b> 3 Counters: Add 1 ""Yosenju"" card from your Deck or Graveyard to your hand.",
96077,Yosen Training Grounds,Yosen Training Grounds,https://tcgplayer-cdn.tcgplayer.com/product/96077_200w.jpg,2,1513,https://cpt.tcgcsv.com/zrN,2015-10-08T18:23:52.34,1,0.04,0.28,1.99,0.15,,1st Edition,THSF-EN008,Super Rare,SPELL,Normal Spell,0,0,"Each time a ""Yosenju"" monster(s) is Normal or Special Summoned, place 1 Yosen Counter on this card. You can remove any number of Yosen Counters from this card; apply this effect, depending on the number of Yosen Counters removed. You can only use this effect of ""Yosen Training Grounds"" once per turn.
<br><b>-</b> 1 Counter: All ""Yosenju"" monsters you currently control gain 300 ATK until the end of this turn (even if this card leaves the field).
<br><b>-</b> 3 Counters: Add 1 ""Yosenju"" card from your Deck or Graveyard to your hand.",
