productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription
22707,Oscillo Hero #2,Oscillo Hero 2,https://tcgplayer-cdn.tcgplayer.com/product/22707_200w.jpg,2,333,https://cpt.tcgcsv.com/96c,2013-05-09T12:13:41.653,1,TP1-016,Common,LIGHT,Thunder,Normal Monster,1000,500,0.8,2.0,8.1,1.55,,Unlimited,
22708,Giant Flea,Giant Flea,https://tcgplayer-cdn.tcgplayer.com/product/22708_200w.jpg,2,333,https://cpt.tcgcsv.com/b6c,2013-05-09T12:13:41.653,1,TP1-017,Common,EARTH,Insect,Normal Monster,1500,1200,6.98,9.67,10.97,4.59,,Unlimited,
22709,Bean Soldier,Bean Soldier,https://tcgplayer-cdn.tcgplayer.com/product/22709_200w.jpg,2,333,https://cpt.tcgcsv.com/c6c,2013-05-09T12:13:41.653,1,TP1-018,Common,EARTH,Plant,Normal Monster,1400,1300,11.29,16.47,29.99,17.37,,Unlimited,
22710,The Statue of Easter Island,The Statue of Easter Island,https://tcgplayer-cdn.tcgplayer.com/product/22710_200w.jpg,2,333,https://cpt.tcgcsv.com/d6c,2013-05-09T12:13:41.653,1,TP1-019,Common,EARTH,Rock,Normal Monster,1100,1400,0.94,2.07,6.0,1.66,,Unlimited,
22711,Corroding Shark,Corroding Shark,https://tcgplayer-cdn.tcgplayer.com/product/22711_200w.jpg,2,333,https://cpt.tcgcsv.com/f6c,2013-05-09T12:13:41.653,1,TP1-020,Common,DARK,Zombie,Normal Monster,1100,700,6.72,7.84,49.99,7.61,,Unlimited,
22712,Wow Warrior,Wow Warrior,https://tcgplayer-cdn.tcgplayer.com/product/22712_200w.jpg,2,333,https://cpt.tcgcsv.com/g6c,2013-05-09T12:13:41.653,1,TP1-021,Common,WATER,Fish,Normal Monster,1250,900,2.0,8.0,12.81,3.67,,Unlimited,
22713,"Winged Dragon, Guardian of the Fortress #2",Winged Dragon Guardian of the Fortress 2,https://tcgplayer-cdn.tcgplayer.com/product/22713_200w.jpg,2,333,https://cpt.tcgcsv.com/h6c,2017-12-29T13:48:44.587,1,TP1-022,Common,WIND,Winged Beast,Normal Monster,1200,1000,19.75,28.99,44.99,24.52,,Unlimited,<em>This monster's wings are capable of generating tornadoes.</em>
22714,Oscillo Hero,Oscillo Hero,https://tcgplayer-cdn.tcgplayer.com/product/22714_200w.jpg,2,333,https://cpt.tcgcsv.com/j6c,2013-05-09T12:13:41.653,1,TP1-023,Common,EARTH,Warrior,Normal Monster,1250,700,0.9,2.1,13.48,1.91,,Unlimited,
22715,Shining Friendship,Shining Friendship,https://tcgplayer-cdn.tcgplayer.com/product/22715_200w.jpg,2,333,https://cpt.tcgcsv.com/k6c,2013-05-09T12:13:41.653,1,TP1-024,Common,LIGHT,Fairy,Normal Monster,1300,1100,3.91,8.25,49.99,7.4,,Unlimited,
22716,Hercules Beetle,Hercules Beetle,https://tcgplayer-cdn.tcgplayer.com/product/22716_200w.jpg,2,333,https://cpt.tcgcsv.com/l6c,2013-05-09T12:13:41.653,1,TP1-025,Common,EARTH,Insect,Normal Monster,1500,2000,4.21,6.09,15.33,6.29,,Unlimited,
22717,The Judgement Hand,The Judgement Hand,https://tcgplayer-cdn.tcgplayer.com/product/22717_200w.jpg,2,333,https://cpt.tcgcsv.com/m6c,2013-05-09T12:13:41.653,1,TP1-026,Common,EARTH,Warrior,Normal Monster,1400,700,3.0,5.08,11.99,4.94,,Unlimited,
22718,Wodan the Resident of the Forest,Wodan the Resident of the Forest,https://tcgplayer-cdn.tcgplayer.com/product/22718_200w.jpg,2,333,https://cpt.tcgcsv.com/n6c,2013-05-09T12:13:41.653,1,TP1-027,Common,EARTH,Warrior,Effect Monster,900,1200,1.19,2.0,22.48,1.43,,Unlimited,Increase this card's ATK by 100 points for every Plant-Type monster that is face-up on the field.
22719,Cyber Soldier of Darkworld,Cyber Soldier of Darkworld,https://tcgplayer-cdn.tcgplayer.com/product/22719_200w.jpg,2,333,https://cpt.tcgcsv.com/p6c,2013-05-09T12:13:41.653,1,TP1-028,Common,DARK,Machine,Normal Monster,1400,1200,11.99,15.3,18.99,13.33,,Unlimited,
22720,Cockroach Knight,Cockroach Knight,https://tcgplayer-cdn.tcgplayer.com/product/22720_200w.jpg,2,333,https://cpt.tcgcsv.com/q6c,2013-05-09T12:13:41.653,1,TP1-029,Common,EARTH,Insect,Effect Monster,800,900,8.99,12.41,15.0,9.1,,Unlimited,"When this card has been sent to the Graveyard, it is returned to the top of the Deck."
22721,Kuwagata,Kuwagata,https://tcgplayer-cdn.tcgplayer.com/product/22721_200w.jpg,2,333,https://cpt.tcgcsv.com/r6c,2013-05-09T12:13:41.653,1,TP1-030,Common,EARTH,Insect,Normal Monster,1250,1000,0.67,2.9,9.99,2.91,,Unlimited,
22960,Mechanicalchaser,Mechanicalchaser,https://tcgplayer-cdn.tcgplayer.com/product/22960_200w.jpg,2,333,https://cpt.tcgcsv.com/dcc,2013-05-09T12:13:41.653,1,TP1-001,Ultra Rare,DARK,Machine,Normal Monster,1850,800,699.99,1250.0,2002.59,659.49,,Unlimited,
22961,Axe Raider,Axe Raider,https://tcgplayer-cdn.tcgplayer.com/product/22961_200w.jpg,2,333,https://cpt.tcgcsv.com/fcc,2013-05-09T12:13:41.653,1,TP1-002,Super Rare,EARTH,Warrior,Normal Monster,1700,1150,223.35,350.47,499.99,226.14,,Unlimited,
22962,Kwagar Hercules,Kwagar Hercules,https://tcgplayer-cdn.tcgplayer.com/product/22962_200w.jpg,2,333,https://cpt.tcgcsv.com/gcc,2013-05-09T12:13:41.653,1,TP1-003,Super Rare,EARTH,Insect,Fusion Monster,1900,1700,82.5,95.89,192.99,96.92,,Unlimited,Kuwagata ? + Hercules Beetle
22963,Patrol Robo,Patrol Robo,https://tcgplayer-cdn.tcgplayer.com/product/22963_200w.jpg,2,333,https://cpt.tcgcsv.com/hcc,2013-05-09T12:13:41.653,1,TP1-004,Super Rare,EARTH,Machine,Effect Monster,1100,900,49.98,85.12,93.99,49.98,,Unlimited,"During your Standby Phase, you can look at 1 face-down card that's been Set by your opponent as long as this card remains face-up on the field."
22964,White Hole,White Hole,https://tcgplayer-cdn.tcgplayer.com/product/22964_200w.jpg,2,333,https://cpt.tcgcsv.com/jcc,2013-05-09T12:13:41.653,1,TP1-005,Super Rare,TRAP,,Normal Trap,0,0,107.98,117.53,149.01,107.97,,Unlimited,Your monsters are not destroyed when your opponent plays Dark Hole.
22965,Elf's Light,Elfs Light,https://tcgplayer-cdn.tcgplayer.com/product/22965_200w.jpg,2,333,https://cpt.tcgcsv.com/kcc,2013-05-09T12:13:41.653,1,TP1-006,Rare,SPELL,,Equip Spell,0,0,89.99,91.7,1000.0,98.31,,Unlimited,A LIGHT monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.
22966,Steel Shell,Steel Shell,https://tcgplayer-cdn.tcgplayer.com/product/22966_200w.jpg,2,333,https://cpt.tcgcsv.com/lcc,2013-05-09T12:13:41.653,1,TP1-007,Rare,SPELL,,Equip Spell,0,0,23.94,25.7,76.0,25.92,,Unlimited,A WATER monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.
22967,Blue Medicine,Blue Medicine,https://tcgplayer-cdn.tcgplayer.com/product/22967_200w.jpg,2,333,https://cpt.tcgcsv.com/mcc,2013-05-09T12:13:41.653,1,TP1-008,Rare,SPELL,,Equip Spell,0,0,24.15,27.99,59.7,26.15,,Unlimited,Increase both you and your opponent's Life Points by 400 points.
22968,Raimei,Raimei,https://tcgplayer-cdn.tcgplayer.com/product/22968_200w.jpg,2,333,https://cpt.tcgcsv.com/ncc,2013-05-09T12:13:41.653,1,TP1-009,Rare,SPELL,,Normal Spell,0,0,28.99,31.88,55.0,31.53,,Unlimited,Decrease your opponent's Life Points by 300 points.
22969,Burning Spear,Burning Spear,https://tcgplayer-cdn.tcgplayer.com/product/22969_200w.jpg,2,333,https://cpt.tcgcsv.com/pcc,2013-05-09T12:13:41.653,1,TP1-010,Rare,SPELL,,Equip Spell,0,0,37.99,52.5,59.9,25.8,,Unlimited,A FIRE monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.
