productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
22752,Needle Worm,Needle Worm,https://tcgplayer-cdn.tcgplayer.com/product/22752_200w.jpg,2,335,https://cpt.tcgcsv.com/37c,2013-05-09T12:13:41.653,1,TP3-001,Ultra Rare,EARTH,Insect,Effect Monster,750,600,FLIP: Discard 5 cards from the top of your opponent's Deck to his/her Graveyard.,288.75,455.82,640.98,,,Unlimited
22753,Anti Raigeki,Anti Raigeki,https://tcgplayer-cdn.tcgplayer.com/product/22753_200w.jpg,2,335,https://cpt.tcgcsv.com/57c,2013-05-09T12:13:41.653,1,TP3-002,Super Rare,TRAP,,Normal Trap,0,0,"When your opponent activates Raigeki, all of your opponent's monsters are destroyed in place of your own.",25.15,44.96,799.99,33.14,,Unlimited
22754,Mechanicalchaser,Mechanicalchaser,https://tcgplayer-cdn.tcgplayer.com/product/22754_200w.jpg,2,335,https://cpt.tcgcsv.com/67c,2013-05-09T12:13:41.653,1,TP3-003,Super Rare,DARK,Machine,Normal Monster,1850,800,A hunter that relentlessly pursues its target by order of the Machine King.,40.0,51.25,77.77,67.65,,Unlimited
22755,B. Skull Dragon,B Skull Dragon,https://tcgplayer-cdn.tcgplayer.com/product/22755_200w.jpg,2,335,https://cpt.tcgcsv.com/77c,2013-05-09T12:13:41.653,1,TP3-004,Super Rare,DARK,Dragon,Fusion Monster,3200,2500,Summoned Skull + Red-Eyes B. Dragon,119.99,220.17,249.99,274.95,,Unlimited
22756,Horn of Heaven,Horn of Heaven,https://tcgplayer-cdn.tcgplayer.com/product/22756_200w.jpg,2,335,https://cpt.tcgcsv.com/87c,2013-05-09T12:13:41.653,1,TP3-005,Super Rare,TRAP,,Counter Trap,0,0,Offer 1 of your own monsters on the field as a Tribute to negate the summon (including Special Summon) of a monster and destroy it.,17.99,59.0,100.0,44.15,,Unlimited
22757,Axe Raider,Axe Raider,https://tcgplayer-cdn.tcgplayer.com/product/22757_200w.jpg,2,335,https://cpt.tcgcsv.com/97c,2013-05-09T12:13:41.653,1,TP3-006,Rare,EARTH,Warrior,Normal Monster,1700,1150,,4.95,8.35,26.03,6.95,,Unlimited
22758,Kwagar Hercules,Kwagar Hercules,https://tcgplayer-cdn.tcgplayer.com/product/22758_200w.jpg,2,335,https://cpt.tcgcsv.com/b7c,2013-05-09T12:13:41.653,1,TP3-007,Rare,EARTH,Insect,Fusion Monster,1900,1700,Kuwagata ? + Hercules Beetle,1.99,4.5,85.9,4.94,,Unlimited
22759,Patrol Robo,Patrol Robo,https://tcgplayer-cdn.tcgplayer.com/product/22759_200w.jpg,2,335,https://cpt.tcgcsv.com/c7c,2013-05-09T12:13:41.653,1,TP3-008,Rare,EARTH,Machine,Effect Monster,1100,900,"During your Standby Phase, you can look at 1 face-down card that's been Set by your opponent as long as this card remains face-up on the field.",2.18,3.49,8.99,3.19,,Unlimited
22760,White Hole,White Hole,https://tcgplayer-cdn.tcgplayer.com/product/22760_200w.jpg,2,335,https://cpt.tcgcsv.com/d7c,2013-05-09T12:13:41.653,1,TP3-009,Rare,TRAP,,Normal Trap,0,0,Your monsters are not destroyed when your opponent plays Dark Hole.,0.85,2.02,24.0,1.23,,Unlimited
22761,Dragon Capture Jar,Dragon Capture Jar,https://tcgplayer-cdn.tcgplayer.com/product/22761_200w.jpg,2,335,https://cpt.tcgcsv.com/f7c,2013-05-09T12:13:41.653,1,TP3-010,Common,TRAP,,Continuous Trap,0,0,All Dragon-Type monsters on the field are switched to Defense Position and remain in this position as long as this card is active.,0.78,1.0,2.2,0.85,,Unlimited
22762,Goblin's Secret Remedy,Goblins Secret Remedy,https://tcgplayer-cdn.tcgplayer.com/product/22762_200w.jpg,2,335,https://cpt.tcgcsv.com/g7c,2013-05-09T12:13:41.653,1,TP3-011,Common,SPELL,,,0,0,Increases a selected player's Life Points by 600 points.,0.15,0.71,1.99,0.71,,Unlimited
22763,Final Flame,Final Flame,https://tcgplayer-cdn.tcgplayer.com/product/22763_200w.jpg,2,335,https://cpt.tcgcsv.com/h7c,2013-05-09T12:13:41.653,1,TP3-012,Common,SPELL,,,0,0,Inflicts 600 points of Direct Damage to your opponent's Life Points.,0.4,0.69,2.99,0.59,,Unlimited
22764,Spirit of the Harp,Spirit of the Harp,https://tcgplayer-cdn.tcgplayer.com/product/22764_200w.jpg,2,335,https://cpt.tcgcsv.com/j7c,2013-05-09T12:13:41.653,1,TP3-013,Common,LIGHT,Fairy,Normal Monster,800,2000,,0.17,0.6,4.99,0.57,,Unlimited
22765,Pot of Greed,Pot of Greed,https://tcgplayer-cdn.tcgplayer.com/product/22765_200w.jpg,2,335,https://cpt.tcgcsv.com/k7c,2013-05-09T12:13:41.653,1,TP3-014,Common,SPELL,,,0,0,Draw 2 cards from your Deck.,4.0,9.98,19.99,11.01,,Unlimited
22766,Karbonala Warrior,Karbonala Warrior,https://tcgplayer-cdn.tcgplayer.com/product/22766_200w.jpg,2,335,https://cpt.tcgcsv.com/l7c,2013-05-09T12:13:41.653,1,TP3-015,Common,EARTH,Warrior,Fusion Monster,1500,1200,M-Warrior #1 + M-Warrior #2,0.49,1.01,8.99,1.83,,Unlimited
22767,Darkfire Dragon,Darkfire Dragon,https://tcgplayer-cdn.tcgplayer.com/product/22767_200w.jpg,2,335,https://cpt.tcgcsv.com/m7c,2013-05-09T12:13:41.653,1,TP3-016,Common,DARK,Dragon,Fusion Monster,1500,1250,Firegrass + Petit Dragon,2.6,6.5,8.0,5.53,,Unlimited
22768,Elegant Egotist,Elegant Egotist,https://tcgplayer-cdn.tcgplayer.com/product/22768_200w.jpg,2,335,https://cpt.tcgcsv.com/n7c,2013-05-09T12:13:41.653,1,TP3-017,Common,SPELL,,,0,0,"When there are 1 or more Harpie Lady cards on the field, you can Special Summon 1 Harpie Lady or Harpie Lady Sisters card from your hand or your Deck.",0.45,0.78,1.34,0.86,,Unlimited
22769,Dark Elf,Dark Elf,https://tcgplayer-cdn.tcgplayer.com/product/22769_200w.jpg,2,335,https://cpt.tcgcsv.com/p7c,2013-05-09T12:13:41.653,1,TP3-018,Common,DARK,Spellcaster,Effect Monster,2000,800,This card requires a cost of 1000 of your own Life Points to attack.,0.74,1.47,7.95,1.3,,Unlimited
