productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType
24908,Warrior Elimination,Warrior Elimination,https://tcgplayer-cdn.tcgplayer.com/product/24908_200w.jpg,2,339,https://cpt.tcgcsv.com/b-c,2019-04-17T20:40:41.19,1,TP7-EN002,Super Rare,SPELL,Normal Spell,0,0,Destroy all face-up Warrior-type monsters on the field.,12.0,15.98,39.99,13.61,,Unlimited,
24909,D.D. Warrior,DD Warrior,https://tcgplayer-cdn.tcgplayer.com/product/24909_200w.jpg,2,339,https://cpt.tcgcsv.com/c-c,2019-04-17T20:39:29.613,1,TP7-EN001,Ultra Rare,LIGHT,Effect Monster,1200,1000,"When this card battles a monster, after damage calculation remove from play that monster and this card.",74.85,119.01,294.97,118.98,,Unlimited,Warrior
24910,Fortress Whale,Fortress Whale,https://tcgplayer-cdn.tcgplayer.com/product/24910_200w.jpg,2,339,https://cpt.tcgcsv.com/d-c,2019-04-17T20:39:38.85,1,TP7-EN003,Super Rare,WATER,Effect Monster,2350,2150,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""Fortress Whale's Oath"".",189.34,262.63,359.97,254.49,,Unlimited,Fish
24911,Luminous Soldier,Luminous Soldier,https://tcgplayer-cdn.tcgplayer.com/product/24911_200w.jpg,2,339,https://cpt.tcgcsv.com/f-c,2019-04-17T20:40:00.733,1,TP7-EN004,Super Rare,LIGHT,Effect Monster,2100,1400,"If this card battles with a DARK monster, increase the ATK of this card by 500 points during the Damage Step.",12.99,17.98,48.97,17.99,,Unlimited,Warrior
24912,Breaker the Magical Warrior,Breaker the Magical Warrior,https://tcgplayer-cdn.tcgplayer.com/product/24912_200w.jpg,2,339,https://cpt.tcgcsv.com/g-c,2019-04-17T20:39:25.66,1,TP7-EN005,Super Rare,DARK,Effect Monster,1600,1000,"When this card is Normal Summoned, put 1 Spell Counter on it (max.1). Increase the ATK of this card by 300 points for each Spell Counter on this card. By removing 1 Spell Counter from this card, destroy 1 Spell or Trap Card on the field.",223.69,224.99,479.99,212.39,,Unlimited,Spellcaster
24913,Goblin Attack Force,Goblin Attack Force,https://tcgplayer-cdn.tcgplayer.com/product/24913_200w.jpg,2,339,https://cpt.tcgcsv.com/h-c,2019-04-17T20:39:47.583,1,TP7-EN006,Rare,EARTH,Effect Monster,2300,0,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of your next turn except by a card effect.",1.48,2.31,3.55,2.24,,Unlimited,Warrior
24914,Amazoness Swords Woman,Amazoness Swords Woman,https://tcgplayer-cdn.tcgplayer.com/product/24914_200w.jpg,2,339,https://cpt.tcgcsv.com/j-c,2019-04-17T20:39:21,1,TP7-EN007,Rare,EARTH,Effect Monster,1500,1600,The opponent takes all Battle Damage to this card's controller that he/she would have taken from battle involving this card.,1.85,2.93,6.0,3.29,,Unlimited,Warrior
24915,Chaos Command Magician,Chaos Command Magician,https://tcgplayer-cdn.tcgplayer.com/product/24915_200w.jpg,2,339,https://cpt.tcgcsv.com/k-c,2019-04-17T20:39:27.87,1,TP7-EN008,Rare,LIGHT,Effect Monster,2400,1900,Negate the effect of a Monster Card thats targets this 1 card.,0.75,1.5,5.99,1.45,,Unlimited,Spellcaster
24916,Scapegoat,Scapegoat,https://tcgplayer-cdn.tcgplayer.com/product/24916_200w.jpg,2,339,https://cpt.tcgcsv.com/l-c,2019-04-17T20:40:18.127,1,TP7-EN009,Rare,SPELL,Normal Spell,0,0,"When this card is activated, you cannot summon any monster in the same turn (including Flip Summon and Special Summon). Place 4 ""Sheep Tokens"" (Beast-Type/EARTH/1 Star/ATK 0/DEF 0) in Defense Position on your side of the field. The tokens cannot be used as a Tribute for a Tribute Summon",0.9,3.67,6.89,0.88,,Unlimited,
24917,Soul Exchange,Soul Exchange,https://tcgplayer-cdn.tcgplayer.com/product/24917_200w.jpg,2,339,https://cpt.tcgcsv.com/m-c,2021-08-02T12:42:14.147,1,TP7-EN010,Common,SPELL,Normal Spell,,,"Select 1 monster on your opponent's side of the field. This turn, if your Tribute a monster on your side of the field, Tribute the selected monster instead. You cannot conduct your Battle Phase during the turn you activate this card.",0.49,0.93,1.27,0.98,,Unlimited,
