productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
66773,Thunder King Rai-Oh (UTR),Thunder King Rai Oh UTR,https://tcgplayer-cdn.tcgplayer.com/product/66773_200w.jpg,2,593,https://cpt.tcgcsv.com/tKx,2023-08-04T15:55:54.85,1,TU08-EN000,Ultimate Rare,LIGHT,Thunder,Effect Monster,1900,800,"Neither player can add cards from their Deck to their hand except by drawing them. During either player's turn, when your opponent would Special Summon a monster: You can send this face-up card to the Graveyard; negate the Special Summon, and if you do, destroy it.",89.89,99.29,185.99,95.84,,Unlimited
66774,Skill Drain,Skill Drain,https://tcgplayer-cdn.tcgplayer.com/product/66774_200w.jpg,2,593,https://cpt.tcgcsv.com/vKx,2013-10-30T14:35:52.777,1,TU08-EN001,Ultra Rare,TRAP,,Normal Trap,0,0,Activate by paying 1000 Life Points. The effects of all face-up monsters on the field are negated while those monsters are face-up on the field (but their effects can still be activated).,4.49,8.65,62.0,5.07,,Unlimited
66775,Green Gadget,Green Gadget,https://tcgplayer-cdn.tcgplayer.com/product/66775_200w.jpg,2,593,https://cpt.tcgcsv.com/wKx,2013-10-30T14:35:18.217,1,TU08-EN002,Super Rare,,Machine,Effect Monster,1400,600,"When this card is Normal or Special Summoned: You can add 1 ""Red Gadget"" from your Deck to your hand.",8.0,8.0,8.0,7.64,,Unlimited
66776,Red Gadget,Red Gadget,https://tcgplayer-cdn.tcgplayer.com/product/66776_200w.jpg,2,593,https://cpt.tcgcsv.com/xKx,2013-10-30T14:35:44.843,1,TU08-EN003,Super Rare,,Machine,Effect Monster,1300,1500,"When this card is Normal or Special Summoned: You can add 1 ""Yellow Gadget"" from your Deck to your hand.",6.46,7.73,9.0,6.84,,Unlimited
66777,Upstart Goblin,Upstart Goblin,https://tcgplayer-cdn.tcgplayer.com/product/66777_200w.jpg,2,593,https://cpt.tcgcsv.com/zKx,2013-10-30T14:36:05.917,1,TU08-EN004,Super Rare,SPELL,,Normal Spell,0,0,"Draw 1 card, then your opponent gains 1000 Life Points.",42.47,66.48,108.99,56.44,,Unlimited
66778,Mirror of Oaths,Mirror of Oaths,https://tcgplayer-cdn.tcgplayer.com/product/66778_200w.jpg,2,593,https://cpt.tcgcsv.com/BKx,2013-10-30T14:35:32.87,1,TU08-EN005,Super Rare,TRAP,,Normal Trap,0,0,"When your opponent Special Summons a monster(s) from their Main Deck: Destroy that monster(s), and if you do, draw 1 card.",7.5,11.79,20.0,8.01,,Unlimited
66779,Alligator's Sword,Alligators Sword,https://tcgplayer-cdn.tcgplayer.com/product/66779_200w.jpg,2,593,https://cpt.tcgcsv.com/CKx,2014-03-31T14:55:13.153,1,TU08-EN006,Rare,EARTH,Beast,,1500,1200,"ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!",0.45,0.64,10.0,0.65,,Unlimited
66780,Lost Guardian,Lost Guardian,https://tcgplayer-cdn.tcgplayer.com/product/66780_200w.jpg,2,593,https://cpt.tcgcsv.com/DKx,2013-10-30T14:35:21.8,1,TU08-EN007,Rare,EARTH,Rock,Effect Monster,100,0,The original DEF of this card equals the number of your banished Rock-Type monsters × 700.,0.12,0.25,1.43,0.22,,Unlimited
66781,Alligator's Sword Dragon,Alligators Sword Dragon,https://tcgplayer-cdn.tcgplayer.com/product/66781_200w.jpg,2,593,https://cpt.tcgcsv.com/FKx,2013-10-30T14:34:25.42,1,TU08-EN008,Rare,WIND,Dragon,Fusion/Effect Monster,1700,1500,"Baby Dragon + ""Alligator's Sword""
This card can attack your opponent directly if the only face-up monsters they control are EARTH, WATER, or FIRE.",0.25,0.5,4.65,0.55,,Unlimited
66782,Magician's Unite,Magicians Unite,https://tcgplayer-cdn.tcgplayer.com/product/66782_200w.jpg,2,593,https://cpt.tcgcsv.com/GKx,2013-10-30T14:35:29.303,1,TU08-EN009,Rare,SPELL,,Normal Spell,0,0,"If you control 2 or more face-up Attack Position Spellcaster-Type monsters: Target 1 of them; its ATK becomes 3000 until the End Phase, but other Spellcaster-Type monsters you control cannot attack this turn.",0.1,0.34,1.0,0.31,,Unlimited
66783,Ready for Intercepting,Ready for Intercepting,https://tcgplayer-cdn.tcgplayer.com/product/66783_200w.jpg,2,593,https://cpt.tcgcsv.com/HKx,2013-10-30T14:35:37.387,1,TU08-EN010,Rare,TRAP,,Normal Trap,0,0,Target 1 face-up Warrior or Spellcaster-Type monster on the field; change that target to face-down Defense Position.,0.12,0.3,1.0,0.18,,Unlimited
66784,Gozen Match,Gozen Match,https://tcgplayer-cdn.tcgplayer.com/product/66784_200w.jpg,2,593,https://cpt.tcgcsv.com/JKx,2013-10-30T14:35:09.59,1,TU08-EN011,Rare,TRAP,,Normal Trap,0,0,Each player can only control 1 Attribute of monster. Send all other face-up monsters they control to the Graveyard.,1.0,2.0,14.5,1.93,,Unlimited
66785,Elephant Statue of Blessing,Elephant Statue of Blessing,https://tcgplayer-cdn.tcgplayer.com/product/66785_200w.jpg,2,593,https://cpt.tcgcsv.com/KKx,2013-10-30T14:34:45.617,1,TU08-EN012,Common,EARTH,Rock,Effect Monster,1500,0,When this card is sent from your hand to your Graveyard by an opponent's card effect: You gain 2000 Life Points.,0.1,0.25,0.99,0.14,,Unlimited
66786,Elephant Statue of Disaster,Elephant Statue of Disaster,https://tcgplayer-cdn.tcgplayer.com/product/66786_200w.jpg,2,593,https://cpt.tcgcsv.com/LKx,2013-10-30T14:34:54.93,1,TU08-EN013,Common,EARTH,Rock,Effect Monster,1500,0,When this card is sent from your hand to your Graveyard by an opponent's card effect: Inflict 2000 damage to your opponent.,0.05,0.25,1.0,0.13,,Unlimited
66787,Gemini Imps,Gemini Imps,https://tcgplayer-cdn.tcgplayer.com/product/66787_200w.jpg,2,593,https://cpt.tcgcsv.com/MKx,2013-10-30T14:35:02.467,1,TU08-EN014,Common,DARK,Fiend,Effect Monster,1000,1000,"During either player's turn, when your opponent activates a Spell Card, Trap Card, or monster effect that could make you discard when it resolves: You can send this card from your hand to the Graveyard; negate the activation, and if you do, destroy it. Then draw 1 card.",1.0,2.53,9.99,2.54,,Unlimited
66788,Flamvell Firedog,Flamvell Firedog,https://tcgplayer-cdn.tcgplayer.com/product/66788_200w.jpg,2,593,https://cpt.tcgcsv.com/NKx,2013-10-30T14:34:59.26,1,TU08-EN015,Common,FIRE,Beast,Effect Monster,1900,200,"When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can Special Summon 1 FIRE monster with 200 or less DEF from your Deck, except ""Flamvell Firedog"".",0.2,0.32,89.0,0.3,,Unlimited
66789,Wind-Up Factory,Wind Up Factory,https://tcgplayer-cdn.tcgplayer.com/product/66789_200w.jpg,2,593,https://cpt.tcgcsv.com/PKx,2013-10-30T14:36:10.467,1,TU08-EN016,Common,SPELL,,Normal Spell,0,0,"Once per turn, if an effect of a ""Wind-Up"" monster is activated (except during the Damage Step): You can add 1 Level 4 or lower ""Wind-Up"" monster from your Deck to your hand.",1.7,2.98,5.0,2.74,,Unlimited
66790,The Emperor's Holiday,The Emperors Holiday,https://tcgplayer-cdn.tcgplayer.com/product/66790_200w.jpg,2,593,https://cpt.tcgcsv.com/QKx,2013-10-30T14:35:57.12,1,TU08-EN017,Common,TRAP,,Normal Trap,0,0,Negate all Equip Card effects on the field.,0.08,0.25,1.0,0.13,,Unlimited
66791,Really Eternal Rest,Really Eternal Rest,https://tcgplayer-cdn.tcgplayer.com/product/66791_200w.jpg,2,593,https://cpt.tcgcsv.com/RKx,2013-10-30T14:35:40.947,1,TU08-EN018,Common,TRAP,,Normal Trap,0,0,Destroy all monsters equipped with an Equip Card(s).,0.08,0.25,1.99,0.11,,Unlimited
66792,Rock Bombardment,Rock Bombardment,https://tcgplayer-cdn.tcgplayer.com/product/66792_200w.jpg,2,593,https://cpt.tcgcsv.com/SKx,2013-10-30T14:35:48.423,1,TU08-EN019,Common,TRAP,,Normal Trap,0,0,Send 1 Rock-Type monster from your Deck to the Graveyard; inflict 500 damage to your opponent.,0.1,0.25,1.49,0.18,,Unlimited
66793,Magician's Circle,Magicians Circle,https://tcgplayer-cdn.tcgplayer.com/product/66793_200w.jpg,2,593,https://cpt.tcgcsv.com/TKx,2013-10-30T14:35:25.45,1,TU08-EN020,Common,TRAP,,Normal Trap,0,0,When a Spellcaster-Type monster declares an attack: Each player Special Summons 1 Spellcaster-Type monster with 2000 or less ATK from their Deck in face-up Attack Position.,0.15,0.3,1.49,0.18,,Unlimited
