productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
38641,Tragoedia (UTR),Tragoedia UTR,https://tcgplayer-cdn.tcgplayer.com/product/38641_200w.jpg,2,342,https://cpt.tcgcsv.com/Rsk,2023-08-04T15:56:59.893,1,TU04-EN000,Ultimate Rare,DARK,Fiend,Effect Monster,0,0,"You can Special Summon this card from your hand when you take Battle Damage. This card gains 600 ATK and DEF for each card in your hand. Once per turn, you can send 1 monster from your hand to the Graveyard to take control of 1 face-up monster your opponent controls with the same Level as the sent monster. Once per turn, you can select 1 monster in your Graveyard; this card's Level becomes the same as that monster's, until the End Phase.",139.92,142.49,173.12,139.7,,Unlimited
38642,Gottoms' Emergency Call,Gottoms Emergency Call,https://tcgplayer-cdn.tcgplayer.com/product/38642_200w.jpg,2,342,https://cpt.tcgcsv.com/Ssk,2013-05-09T12:13:41.653,1,TU04-EN001,Ultra Rare,TRAP,,Normal Trap,0,0,"Activate only if there is a face-up ""X-Saber"" monster(s) on the field. Select 2 ""X-Saber"" monsters in either player's Graveyard(s). Special Summon those monsters to your side of the field.",32.99,41.14,50.0,43.23,,Unlimited
38643,Debris Dragon,Debris Dragon,https://tcgplayer-cdn.tcgplayer.com/product/38643_200w.jpg,2,342,https://cpt.tcgcsv.com/Tsk,2016-01-13T14:26:30.78,1,TU04-EN002,Super Rare,WIND,Dragon,Tuner/Effect Monster,1000,2000,"When this card is Normal Summoned, you can Special Summon 1 monster with 500 or less ATK from your Graveyard in Attack Position. That monster's effect(s) is negated. This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a Dragon-Type Synchro Monster. The other Synchro Material Monster(s) cannot be Level 4.",14.5,16.0,32.95,15.91,,Unlimited
38644,Blackwing - Sirocco the Dawn,Blackwing Sirocco the Dawn,https://tcgplayer-cdn.tcgplayer.com/product/38644_200w.jpg,2,342,https://cpt.tcgcsv.com/Vsk,2016-01-13T14:27:38.44,1,TU04-EN003,Super Rare,DARK,Winged Beast,Effect Monster,2000,900,"If your opponent controls a monster and you control no monsters, you can Normal Summon or Set this card without Tributing. Once per turn, you can select 1 face-up ""Blackwing"" monster you control. It gains ATK equal to the total ATK of all face-up ""Blackwing"" monsters on the field except itself. Monsters other than the selected monster cannot attack the turn you activate this effect.",133.61,169.97,299.99,175.2,,Unlimited
38645,Deep Sea Diva,Deep Sea Diva,https://tcgplayer-cdn.tcgplayer.com/product/38645_200w.jpg,2,342,https://cpt.tcgcsv.com/Wsk,2016-01-13T14:26:06.523,1,TU04-EN004,Super Rare,WATER,Sea Serpent,Tuner Monster,200,400,"When this card is Normal Summoned, you can Special Summon 1 Level 3 or lower Sea Serpent-Type monster from your Deck.",66.4,74.99,225.0,84.18,,Unlimited
38646,Compulsory Evacuation Device,Compulsory Evacuation Device,https://tcgplayer-cdn.tcgplayer.com/product/38646_200w.jpg,2,342,https://cpt.tcgcsv.com/Xsk,2017-02-09T18:12:19.443,1,TU04-EN005,Super Rare,TRAP,,Normal Trap,0,0,Return 1 monster on the field to its owner's hand.,69.89,82.93,100.0,63.88,,Unlimited
38647,Dunames Dark Witch,Dunames Dark Witch,https://tcgplayer-cdn.tcgplayer.com/product/38647_200w.jpg,2,342,https://cpt.tcgcsv.com/Zsk,2016-01-13T14:13:57.393,1,TU04-EN006,Rare,LIGHT,Fairy,Normal Monster,1800,1050,"Even when all odds are against this brave fairy, she will press onwards in battle and never retreat.",0.69,5.54,5.75,1.29,,Unlimited
38648,The End of Anubis,The End of Anubis,https://tcgplayer-cdn.tcgplayer.com/product/38648_200w.jpg,2,342,https://cpt.tcgcsv.com/-sk,2013-05-09T12:13:41.653,1,TU04-EN007,Rare,DARK,Fiend,Effect Monster,2500,0,"As long as this card remains face-up on the field, all effects of Spell, Trap, and Effect Monster Cards that target a card(s) in the Graveyard or that activate in the Graveyard are negated.",0.3,0.92,20.0,0.78,,Unlimited
38649,Psychic Commander,Psychic Commander,https://tcgplayer-cdn.tcgplayer.com/product/38649_200w.jpg,2,342,https://cpt.tcgcsv.com/_sk,2013-05-09T12:13:41.653,1,TU04-EN008,Rare,Earth,Psychic,Tuner Monster,1400,800,"When a Psychic-Type monster you control battles, during the Damage Step you can pay Life Points in multiples of 100 (max. 500) to have the monster it's battling lose that much ATK and DEF, until the End Phase.",4.88,7.02,8.4,6.73,,Unlimited
38650,Advanced Ritual Art,Advanced Ritual Art,https://tcgplayer-cdn.tcgplayer.com/product/38650_200w.jpg,2,342,https://cpt.tcgcsv.com/0tk,2013-05-09T12:13:41.653,1,TU04-EN009,Rare,SPELL,,Normal Spell,0,0,Select 1 Ritual Monster in your hand. Send Normal Monsters from your Deck to the Graveyard whose total Levels are equal to that Ritual Monster's. Ritual Summon a card with the name of the selected Ritual Monster from your hand.,0.28,0.83,3.75,0.48,,Unlimited
38651,Bark of Dark Ruler,Bark of Dark Ruler,https://tcgplayer-cdn.tcgplayer.com/product/38651_200w.jpg,2,342,https://cpt.tcgcsv.com/2tk,2013-05-09T12:13:41.653,1,TU04-EN010,Rare,TRAP,,Normal Trap,0,0,You can only activate this card during the Damage Step of a Battle Phase if a Fiend-Type monster on your side of the field battles. Pay Life Points (in multiples of 100 points) to decrease 1 of your opponent's monster's ATK and DEF by the same amount of points until the End Phase of that turn.,0.1,0.28,1.0,0.25,,Unlimited
38652,Swallow Flip,Swallow Flip,https://tcgplayer-cdn.tcgplayer.com/product/38652_200w.jpg,2,342,https://cpt.tcgcsv.com/3tk,2013-05-09T12:13:41.653,1,TU04-EN011,Common,TRAP,,Normal Trap,0,0,"Negate the activation of an Effect Monster's effect that activates when a monster is Special Summoned (including itself), and destroy it.",0.7,0.84,1.23,0.84,,Unlimited
38653,Wattkid,Wattkid,https://tcgplayer-cdn.tcgplayer.com/product/38653_200w.jpg,2,342,https://cpt.tcgcsv.com/5tk,2013-05-09T12:13:41.653,1,TU04-EN012,Common,LIGHT,Thunder,Normal Monster,1000,500,A creature that electrocutes opponents with bolts of lightning.,0.25,0.47,1.23,0.33,,Unlimited
38654,Oscillo Hero,Oscillo Hero,https://tcgplayer-cdn.tcgplayer.com/product/38654_200w.jpg,2,342,https://cpt.tcgcsv.com/6tk,2013-05-09T12:13:41.653,1,TU04-EN013,Common,EARTH,Warrior,Normal Monster,1250,700,A strange warrior from another dimension.,0.22,0.35,1.99,0.3,,Unlimited
38655,Mokey Mokey,Mokey Mokey,https://tcgplayer-cdn.tcgplayer.com/product/38655_200w.jpg,2,342,https://cpt.tcgcsv.com/7tk,2013-05-09T12:13:41.653,1,TU04-EN014,Common,LIGHT,Fairy,Normal Monster,300,100,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.,0.58,0.88,4.59,0.86,,Unlimited
38656,Key Mace,Key Mace,https://tcgplayer-cdn.tcgplayer.com/product/38656_200w.jpg,2,342,https://cpt.tcgcsv.com/8tk,2013-05-09T12:13:41.653,1,TU04-EN015,Common,LIGHT,Fairy,Normal Monster,400,300,Enemies' hearts will melt at the sight of this small fairy's cuteness.,0.6,0.78,1.99,0.69,,Unlimited
38657,King of the Skull Servants,King of the Skull Servants,https://tcgplayer-cdn.tcgplayer.com/product/38657_200w.jpg,2,342,https://cpt.tcgcsv.com/9tk,2013-05-09T12:13:41.653,1,TU04-EN016,Common,DARK,Zombie,Effect Monster,0,0,"The original ATK of this card becomes the number of ""King of the Skull Servants"" and ""Skull Servant"" cards in your Graveyard x 1000. When this card is destroyed by battle and sent to the Graveyard, by removing from play 1 other ""King of the Skull Servants"" or ""Skull Servant"" card in your Graveyard, Special Summon this card.",2.36,10.3,13.66,2.32,,Unlimited
