productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
33224,Judgment Dragon (UTR),Judgment Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/33224_200w.jpg,2,341,https://cpt.tcgcsv.com/vjh,2023-08-04T15:55:47.7,1,TU01-EN000,Ultimate Rare,LIGHT,Dragon,Effect Monster,3000,2600,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by having 4 or more ""Lightsworn"" monsters with different names in your Graveyard. You can pay 1000 Life Points to destroy all other cards on the field. During each of your End Phases, send the top 4 cards of your Deck to the Graveyard.",279.51,325.0,600.0,380.63,,Unlimited
33225,Doomcaliber Knight,Doomcaliber Knight,https://tcgplayer-cdn.tcgplayer.com/product/33225_200w.jpg,2,341,https://cpt.tcgcsv.com/wjh,2013-09-12T15:10:36.513,1,TU01-EN001,Ultra Rare,DARK,Fiend,Effect Monster,1900,1800,"This card cannot be Special Summoned. When an Effect Monster's effect is activated, you must Tribute this card. Negate that effect's activation and destroy the monster.",15.66,28.45,80.0,25.24,,Unlimited
33226,"Garoth, Lightsworn Warrior",Garoth Lightsworn Warrior,https://tcgplayer-cdn.tcgplayer.com/product/33226_200w.jpg,2,341,https://cpt.tcgcsv.com/xjh,2021-08-16T13:43:29.553,1,TU01-EN002,Super Rare,LIGHT,Warrior,Effect Monster,1850,1300,"Each time a card(s) is sent from your Deck to the Graveyard by the effect of a Lightsworn monster you control, except Garoth, Lightsworn Warrior, send the top 2 cards of your Deck to the Graveyard. Then, draw 1 card for each Lightsworn monster sent to the Graveyard by this effect.",26.38,32.39,35.0,33.09,,Unlimited
33227,Krebons,Krebons,https://tcgplayer-cdn.tcgplayer.com/product/33227_200w.jpg,2,341,https://cpt.tcgcsv.com/zjh,2013-05-09T12:13:41.653,1,TU01-EN003,Super Rare,DARK,Psychic,Tuner Monster,1200,400,"When this card is selected as an attack target, you can pay 800 Life Points to negate the attack.",43.92,48.8,199.99,54.44,,Unlimited
33228,Gladiator Beast Samnite,Gladiator Beast Samnite,https://tcgplayer-cdn.tcgplayer.com/product/33228_200w.jpg,2,341,https://cpt.tcgcsv.com/Bjh,2013-05-09T12:13:41.653,1,TU01-EN004,Super Rare,EARTH,Beast,Effect Monster,1600,1200,"If this card was Special Summoned by the effect of a Gladiator Beast monster, when this card destroys an opponent's monster by battle and sends it to the Graveyard, you can add 1 Gladiator Beast card from your Deck to your hand. At the end of the Battle P",62.94,79.87,199.99,58.34,,Unlimited
33229,Black Whirlwind,Black Whirlwind,https://tcgplayer-cdn.tcgplayer.com/product/33229_200w.jpg,2,341,https://cpt.tcgcsv.com/Cjh,2013-09-12T15:07:13.387,1,TU01-EN005,Super Rare,SPELL,,Normal Spell,0,0,"When a Blackwing monster is Normal Summoned to your side of the Field, you can add 1 Blackwing monster from your Deck to your hand that has less ATK than that monster.",58.17,78.98,269.0,80.62,61.45,Unlimited
33230,Crush Card Virus,Crush Card Virus,https://tcgplayer-cdn.tcgplayer.com/product/33230_200w.jpg,2,341,https://cpt.tcgcsv.com/Djh,2021-07-19T13:29:03.063,1,TU01-EN006,Rare,TRAP,,Normal Trap,0,0,"Tribute 1 DARK monster with 1000 or less ATK. Check all monsters your opponent controls, your opponent's hand, and all cards they draw (until the end of your opponent's 3rd turn after this card's activation), and destroy all monsters with 1500 or more ATK.",5.24,8.25,16.0,7.5,,Unlimited
33231,Satellite Cannon,Satellite Cannon,https://tcgplayer-cdn.tcgplayer.com/product/33231_200w.jpg,2,341,https://cpt.tcgcsv.com/Fjh,2013-05-09T12:13:41.653,1,TU01-EN007,Rare,LIGHT,Machine,Effect Monster,0,0,"This card cannot be destroyed by battle with a Level 7 or lower monster. During each of your End Phases, this card gains 1000 ATK. If this card attacks, its ATK is returned to 0, after damage calculation.",0.22,0.59,4.0,0.41,,Unlimited
33232,Rescue Cat,Rescue Cat,https://tcgplayer-cdn.tcgplayer.com/product/33232_200w.jpg,2,341,https://cpt.tcgcsv.com/Gjh,2013-05-09T12:13:41.653,1,TU01-EN008,Rare,EARTH,Beast,Effect Monster,300,100,You can send this face-up card to the Graveyard to Special Summon 2 Level 3 or lower Beast-Type monsters from your Deck. Those monsters are destroyed during the End Phase.,1.28,3.95,8.99,2.78,,Unlimited
33233,Grandmaster of the Six Samurai,Grandmaster of the Six Samurai,https://tcgplayer-cdn.tcgplayer.com/product/33233_200w.jpg,2,341,https://cpt.tcgcsv.com/Hjh,2013-05-09T12:13:41.653,1,TU01-EN009,Rare,EARTH,Warrior,Effect Monster,2100,800,"You can only control 1 Grandmaster of the Six Samurai monster. While you control a face-up Six Samurai monster, you can Special Summon this card from your hand. When this card is destroyed by your opponent's card effect, add 1 Six Samurai monster from you",0.25,0.6,1.99,0.54,,Unlimited
33234,Trade-In,Trade In,https://tcgplayer-cdn.tcgplayer.com/product/33234_200w.jpg,2,341,https://cpt.tcgcsv.com/Jjh,2013-05-09T12:13:41.653,1,TU01-EN010,Rare,SPELL,,Normal Spell,0,0,Discard 1 Level 8 monster. Draw 2 cards.,2.99,5.92,12.0,4.18,,Unlimited
33235,Armageddon Knight,Armageddon Knight,https://tcgplayer-cdn.tcgplayer.com/product/33235_200w.jpg,2,341,https://cpt.tcgcsv.com/Kjh,2013-09-12T15:06:22.137,1,TU01-EN011,Rare,DARK,Warrior,Effect Monster,1400,1200,"When this card is Summoned, you can send 1 DARK monster from your Deck to the Graveyard.",1.25,2.5,10.82,2.26,,Unlimited
33236,Book of Moon,Book of Moon,https://tcgplayer-cdn.tcgplayer.com/product/33236_200w.jpg,2,341,https://cpt.tcgcsv.com/Ljh,2013-09-12T15:09:18.567,1,TU01-EN012,Common,SPELL,,Normal Spell,0,0,Flip 1 face-up monster on the field into face-down Defense Position.,0.59,0.97,2.49,0.99,,Unlimited
33237,Terraforming,Terraforming,https://tcgplayer-cdn.tcgplayer.com/product/33237_200w.jpg,2,341,https://cpt.tcgcsv.com/Mjh,2013-05-09T12:13:41.653,1,TU01-EN013,Common,SPELL,,Normal Spell,0,0,Add 1 Field Spell Card from your Deck to your hand.,0.24,0.45,5.0,0.41,,Unlimited
33238,Hand Destruction,Hand Destruction,https://tcgplayer-cdn.tcgplayer.com/product/33238_200w.jpg,2,341,https://cpt.tcgcsv.com/Njh,2013-05-09T12:13:41.653,1,TU01-EN014,Common,SPELL,,Normal Spell,0,0,Each player sends 2 cards from their hand to the Graveyard and draws 2 cards.,0.9,1.24,3.99,1.24,,Unlimited
33239,Gladiator Beast Murmillo,Gladiator Beast Murmillo,https://tcgplayer-cdn.tcgplayer.com/product/33239_200w.jpg,2,341,https://cpt.tcgcsv.com/Pjh,2013-05-09T12:13:41.653,1,TU01-EN015,Common,WATER,Fish,Effect Monster,800,400,"When this card is Special Summoned by the effect of a Gladiator Beast monster, destroy 1 face-up monster on the field. If this card battles, by returning it from the field to the Deck at the end of the Battle Phase, you can Special Summon 1 Gladiator Beas",2.29,5.97,7.25,3.12,,Unlimited
33240,Gladiator Beast Bestiari,Gladiator Beast Bestiari,https://tcgplayer-cdn.tcgplayer.com/product/33240_200w.jpg,2,341,https://cpt.tcgcsv.com/Qjh,2013-05-09T12:13:41.653,1,TU01-EN016,Common,WIND,Winged Beast,Effect Monster,1500,800,"When this card is Special Summoned by the effect of a Gladiator Beast monster, destroy 1 Spell or Trap Card on the field. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 Gladiator Be",0.18,0.73,1.55,0.62,,Unlimited
33241,Gladiator Beast Laquari,Gladiator Beast Laquari,https://tcgplayer-cdn.tcgplayer.com/product/33241_200w.jpg,2,341,https://cpt.tcgcsv.com/Rjh,2013-05-09T12:13:41.653,1,TU01-EN017,Common,FIRE,Beast-Warrior,Effect Monster,1800,400,"When this card is Special Summoned by the effect of a Gladiator Beast monster, the original ATK of this card becomes 2100. If this card attacked or was attacked, you can return it from the field to the Deck at the end of the Battle Phase, Special Summon 1",0.6,2.22,4.99,2.45,,Unlimited
33242,Golden Flying Fish,Golden Flying Fish,https://tcgplayer-cdn.tcgplayer.com/product/33242_200w.jpg,2,341,https://cpt.tcgcsv.com/Sjh,2013-05-09T12:13:41.653,1,TU01-EN018,Common,LIGHT,Fish,Effect Monster,1700,1000,You can Tribute 1 other Fish-Type monster to destroy 1 card on the field.,0.13,0.25,0.99,0.14,,Unlimited
33243,"Ryko, Lightsworn Hunter",Ryko Lightsworn Hunter,https://tcgplayer-cdn.tcgplayer.com/product/33243_200w.jpg,2,341,https://cpt.tcgcsv.com/Tjh,2013-05-09T12:13:41.653,1,TU01-EN019,Common,LIGHT,Beast,Effect Monster,200,100,FLIP: You can destroy 1 card on the field. Send the top 3 cards of your Deck to the Graveyard.,0.95,2.69,4.99,2.6,,Unlimited
33244,D.D.R. - Different Dimension Reincarnation,DDR Different Dimension Reincarnation,https://tcgplayer-cdn.tcgplayer.com/product/33244_200w.jpg,2,341,https://cpt.tcgcsv.com/Vjh,2013-09-12T15:09:54.573,1,TU01-EN020,Common,SPELL,,Normal Spell,0,0,"Discard 1 card. Select 1 of your removed from play monsters, Special Summon it in Attack Position, and equip it with this card. When this card is removed from the field, destroy the equipped monster.",1.77,2.51,3.94,3.63,,Unlimited
