productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
66731,Dark Armed Dragon (UTR),Dark Armed Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/66731_200w.jpg,2,596,https://cpt.tcgcsv.com/FJx,2023-08-04T15:57:18.967,1,TU06-EN000,Ultimate Rare,DARK,Dragon,Effect Monster,2800,1000,Cannot be Normal Summoned or Set. Must be Special Summoned (from your hand) by having exactly 3 DARK monsters in your Graveyard and cannot be Special Summoned by other ways. You can banish 1 DARK monster from your Graveyard to target 1 card on the field; destroy that target.,364.1,422.42,800.0,388.85,,Unlimited
66732,Sangan,Sangan,https://tcgplayer-cdn.tcgplayer.com/product/66732_200w.jpg,2,596,https://cpt.tcgcsv.com/GJx,2013-10-25T12:23:20.93,1,TU06-EN001,Ultra Rare,DARK,Fiend,Effect Monster,1000,600,When this card is sent from the field to the Graveyard: Add 1 monster with 1500 or less ATK from your Deck to your hand.,12.0,26.98,30.0,15.28,,Unlimited
66733,Chain Disappearance,Chain Disappearance,https://tcgplayer-cdn.tcgplayer.com/product/66733_200w.jpg,2,596,https://cpt.tcgcsv.com/HJx,2013-10-25T12:24:06.567,1,TU06-EN002,Super Rare,TRAP,,Normal Trap,0,0,"When a monster(s) with 1000 or less ATK is Summoned: Banish that monster(s), then your opponent banishes all cards with the same name as that card(s) from their hand and Deck.",15.9,24.49,29.99,16.38,,Unlimited
66734,Masked Dragon,Masked Dragon,https://tcgplayer-cdn.tcgplayer.com/product/66734_200w.jpg,2,596,https://cpt.tcgcsv.com/JJx,2013-10-25T12:55:50.523,1,TU06-EN003,Super Rare,FIRE,Dragon,Effect Monster,1400,1100,When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 Dragon-Type monster with 1500 or less ATK from your Deck.,24.25,26.57,65.64,27.97,,Unlimited
66735,Fishborg Blaster,Fishborg Blaster,https://tcgplayer-cdn.tcgplayer.com/product/66735_200w.jpg,2,596,https://cpt.tcgcsv.com/KJx,2013-10-25T12:56:14.807,1,TU06-EN004,Super Rare,WATER,Fish,Tuner Monster,100,200,"If you control a face-up level 3 or lower WATER monster: You can discard 1 card; Special Summon this card from your Graveyard. If this card is used as a Synchro Material Monster, all other Synchro Material Monsters must all be WATER.",24.0,34.39,99.99,30.39,,Unlimited
66736,Quickdraw Synchron,Quickdraw Synchron,https://tcgplayer-cdn.tcgplayer.com/product/66736_200w.jpg,2,596,https://cpt.tcgcsv.com/LJx,2022-09-15T20:15:31.133,1,TU06-EN005,Super Rare,WIND,Machine,Tuner Monster,700,1400,"You can send 1 monster from your hand to the Graveyard and Special Summon this card (from your hand). For a Synchro Summon, you can substitute this card for any 1 ""Synchron"" Tuner monster. This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a monster that lists a ""Synchron"" monster as a Tuner.",26.48,34.96,89.99,29.92,,Unlimited
66737,Zombie Master,Zombie Master,https://tcgplayer-cdn.tcgplayer.com/product/66737_200w.jpg,2,596,https://cpt.tcgcsv.com/MJx,2013-10-25T12:57:13.8,1,TU06-EN006,Rare,DARK,Zombie,Effect Monster,1800,0,"Once per turn: You can send 1 Monster Card from your hand to the Graveyard, then target 1 Level 4 or lower Zombie-Type monster in either player's Graveyard; Special Summon that target. This card must remain face-up on the field to activate and to resolve this effect.",0.38,0.92,4.99,0.7,,Unlimited
66738,Stardust Dragon,Stardust Dragon,https://tcgplayer-cdn.tcgplayer.com/product/66738_200w.jpg,2,596,https://cpt.tcgcsv.com/NJx,2013-10-25T12:57:47.56,1,TU06-EN007,Rare,WIND,Dragon,Synchro/Effect Monster,2500,2000,"1 Tuner + 1 or more non-Tuner monsters
When a Spell, Trap, Spell/Trap effect, or Effect Monster's effect is activated that destroys a card(s) on the field: You can Tribute this card; negate the activation and destroy it. During the End Phase, if this card negated an effect this way during this turn: You can Special Summon this card from your Graveyard.",2.13,3.97,9.4,2.94,,Unlimited
66739,Red Dragon Archfiend,Red Dragon Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/66739_200w.jpg,2,596,https://cpt.tcgcsv.com/PJx,2013-10-25T12:57:57.137,1,TU06-EN008,Rare,DARK,Dragon,Synchro/Effect Monster,3000,2000,"1 Tuner + 1 or more non-Tuner monsters
After damage calculation, when this card attacks a Defense Position monster your opponent controls: Destroy all Defense Position monsters your opponent controls. During your End Phase: Destroy all other monsters you control that did not declare an attack this turn. This card must remain face-up on the field to activate and to resolve this effect.",0.94,1.98,6.93,1.47,,Unlimited
66740,Black Garden,Black Garden,https://tcgplayer-cdn.tcgplayer.com/product/66740_200w.jpg,2,596,https://cpt.tcgcsv.com/QJx,2013-10-25T12:58:19.24,1,TU06-EN009,Rare,SPELL,,Normal Spell,0,0,"When a monster(s) is Normal or Special Summoned, except by the effect of ""Black Garden"": Halve its ATK, also you Special Summon 1 ""Rose Token"" (Plant-Type/DARK/Level 2/ATK 800/DEF 800) to its controller's opponent's side of the field, in Attack Position. You can target 1 monster in your Graveyard with ATK equal to the total ATK of all face-up Plant-Type monsters on the field: destroy this card and all face-up Plant-Type monsters, then Special Summon that target.",0.25,1.12,4.95,0.72,,Unlimited
66741,Armory Arm,Armory Arm,https://tcgplayer-cdn.tcgplayer.com/product/66741_200w.jpg,2,596,https://cpt.tcgcsv.com/RJx,2013-10-25T13:20:11.303,1,TU06-EN010,Rare,LIGHT,Machine,Synchro/Effect Monster,1800,1200,"1 Tuner + 1 or more non-Tuner monsters
Once per turn, you can either: Target 1 monster on the field; equip this card to that target, OR: Unequip this card and Special Summon it in face-up Attack Position. While equipped by this effect, that target gains 1000 ATK. When that target destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to the ATK of the destroyed monster in the Graveyard.",4.95,6.66,11.49,6.54,,Unlimited
