productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttribute
66668,Caius the Shadow Monarch (UTR),Caius the Shadow Monarch UTR,https://tcgplayer-cdn.tcgplayer.com/product/66668_200w.jpg,2,597,https://cpt.tcgcsv.com/nHx,2023-08-04T15:57:27.823,1,TU03-EN000,Ultimate Rare,Fiend,Effect Monster,2400,1000,"When this card is Tribute Summoned: Target 1 card on the field; banish that target, and if you do, inflict 1000 damage to your opponent if it was a DARK monster.",469.97,598.98,969.69,630.71,,Unlimited,
66669,Dark Grepher,Dark Grepher,https://tcgplayer-cdn.tcgplayer.com/product/66669_200w.jpg,2,597,https://cpt.tcgcsv.com/pHx,2024-06-07T15:42:32.707,1,TU03-EN001,Ultra Rare,Warior,Effect Monster,1700,1600,"You can discard 1 Level 5 or higher DARK monster to Special Summon this card from your hand. Once per turn, you can discard 1 DARK monster to send 1 DARK monster from your Deck to your Graveyard.",39.99,69.9,190.0,31.93,,Unlimited,
66670,Rescue Cat,Rescue Cat,https://tcgplayer-cdn.tcgplayer.com/product/66670_200w.jpg,2,597,https://cpt.tcgcsv.com/qHx,2013-10-30T15:07:25.15,1,TU03-EN002,Super Rare,Beast,Effect Monster,300,100,You can send this face-up card to the Graveyard to Special Summon 2 Level 3 or lower Beast-Type monsters from your Deck. Those monsters are destroyed during the End Phase.,35.19,39.99,199.99,35.3,,Unlimited,EARTH
66671,Morphtronic Celfon,Morphtronic Celfon,https://tcgplayer-cdn.tcgplayer.com/product/66671_200w.jpg,2,597,https://cpt.tcgcsv.com/rHx,2013-10-30T15:07:33.96,1,TU03-EN003,Super Rare,Machine,Effect Monster,100,100,"? While in Attack Position: Once per turn, you can roll a six-sided die. Reveal cards from top of your Deck equal to the roll and Special Summon 1 Level 4 or lower ""Morphtronic"" monster from among them, ignoring the Summoning conditions. Shuffle the rest into the Deck.  ? While in Defense Position: Once per turn, you can roll a six-sided die. Look at cards from top of your Deck equal to the roll, then return them in the same order.",15.76,16.83,39.99,16.67,,Unlimited,EARTH
66672,Rekindling,Rekindling,https://tcgplayer-cdn.tcgplayer.com/product/66672_200w.jpg,2,597,https://cpt.tcgcsv.com/sHx,2013-10-30T15:07:48.753,1,TU03-EN004,Super Rare,,Normal Spell,0,0,"Special Summon from your Graveyard as many FIRE monsters as possible with 200 DEF. During the End Phase, remove from play all monsters that were Special Summoned by this effect.",10.78,12.76,44.48,12.57,,Unlimited,SPELL
66673,Treacherous Trap Hole,Treacherous Trap Hole,https://tcgplayer-cdn.tcgplayer.com/product/66673_200w.jpg,2,597,https://cpt.tcgcsv.com/tHx,2013-10-30T15:08:25.53,1,TU03-EN005,Super Rare,,Normal Trap,0,0,Destroy 2 monsters on the field. You cannot activate this card if you have any Trap Cards in your Graveyard.,4.25,6.0,19.99,5.4,,Unlimited,TRAP
66674,Gladiator Beast Retiari,Gladiator Beast Retiari,https://tcgplayer-cdn.tcgplayer.com/product/66674_200w.jpg,2,597,https://cpt.tcgcsv.com/vHx,2013-10-30T15:08:31.967,1,TU03-EN006,Rare,Aqua,Effect Monster,1200,800,"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, you can remove from play 1 card from your opponent's Graveyard. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summo",2.6,5.05,52.69,5.21,,Unlimited,WATER
66675,XX-Saber Faultroll,XX Saber Faultroll,https://tcgplayer-cdn.tcgplayer.com/product/66675_200w.jpg,2,597,https://cpt.tcgcsv.com/wHx,2013-10-30T15:08:38.987,1,TU03-EN007,Rare,Warior,Effect Monster,2400,1800,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except while you control 2 or more face-up ""X-Saber"" monsters. Once per turn, you can Special Summon 1 level 4 or lower ""X-Saber"" monster from your Graveyard.",11.89,14.33,24.95,13.44,,Unlimited,EARTH
66676,XX-Saber Ragigura,XX Saber Ragigura,https://tcgplayer-cdn.tcgplayer.com/product/66676_200w.jpg,2,597,https://cpt.tcgcsv.com/xHx,2013-10-30T15:08:46.317,1,TU03-EN008,Rare,Beast-Warrior,Effect Monster,200,1000,"When this card is Normal Summoned or Special Summoned, you can add 1 ""X-Saber"" monster from your Graveyard to your hand.",0.5,0.95,9.99,1.51,,Unlimited,EARTH
66677,Magical Android,Magical Android,https://tcgplayer-cdn.tcgplayer.com/product/66677_200w.jpg,2,597,https://cpt.tcgcsv.com/zHx,2013-10-30T15:08:53.38,1,TU03-EN009,Rare,Psychic,Synchro/Effect Monster,2400,1700,"1 Tuner + 1 or more non-Tuner monsters During your End Phase, gain 600 Life Points for each face-up Psychic-Type monster you control.",4.0,9.0,33.06,17.67,,Unlimited,LIGHT
