productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
66689,Gladiator Beast Heraklinos (UTR),Gladiator Beast Heraklinos UTR,https://tcgplayer-cdn.tcgplayer.com/product/66689_200w.jpg,2,598,https://cpt.tcgcsv.com/PHx,2023-08-04T15:57:36.233,1,TU02-EN000,Ultimate Rare,FIRE,Beast-Warrior,Fusion/Effect Monster,3000,2800,"""Gladiator Beast Laquari"" + 2 ""Gladiator Beast"" monsters
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) During either player's turn, when a Spell/Trap Card is activated: You can discard 1 card; negate the activation and destroy it. This card must remain face-up on the field to activate and to resolve this effect.",179.99,198.54,699.99,160.54,,Unlimited
66690,Chaos Sorcerer,Chaos Sorcerer,https://tcgplayer-cdn.tcgplayer.com/product/66690_200w.jpg,2,598,https://cpt.tcgcsv.com/QHx,2014-02-20T19:55:43.11,1,TU02-EN001,Ultra Rare,DARK,Spellcaster,Effect Monster,2300,2000,Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your Graveyard. Once per turn: You can target 1 face-up monster on the field: banish that target. This card cannot attack during the turn you activate this effect.,218.99,249.73,298.98,250.79,,Unlimited
66691,Gravekeeper's Assailant,Gravekeepers Assailant,https://tcgplayer-cdn.tcgplayer.com/product/66691_200w.jpg,2,598,https://cpt.tcgcsv.com/RHx,2013-10-30T14:45:49.71,1,TU02-EN002,Super Rare,DARK,Spellcaster,Effect Monster,1500,1500,"If ""Necrovalley"" is on the field when this card declares an attack, you can select 1 face-up monster your opponent controls and change its battle position.",17.15,25.13,48.0,19.34,,Unlimited
66692,Magical Dimension,Magical Dimension,https://tcgplayer-cdn.tcgplayer.com/product/66692_200w.jpg,2,598,https://cpt.tcgcsv.com/SHx,2013-10-30T14:46:13.3,1,TU02-EN003,Super Rare,SPELL,,Normal Spell,1500,1000,"If you control a face-up Spellcaster-Type monster: Target 1 monster you control; Tribute it, then Special Summon 1 Spellcaster-Type monster from your hand, then you can destroy 1 monster on the field.",15.99,18.5,80.52,18.24,,Unlimited
66693,Foolish Burial,Foolish Burial,https://tcgplayer-cdn.tcgplayer.com/product/66693_200w.jpg,2,598,https://cpt.tcgcsv.com/THx,2018-01-31T13:14:58.977,1,TU02-EN004,Super Rare,SPELL,,Normal Spell,,,Select 1 monster from your Deck and send it to the Graveyard.,86.38,108.04,304.99,105.95,,Unlimited
66694,Beckoning Light,Beckoning Light,https://tcgplayer-cdn.tcgplayer.com/product/66694_200w.jpg,2,598,https://cpt.tcgcsv.com/VHx,2013-10-30T14:43:17.243,1,TU02-EN005,Super Rare,TRAP,,Normal Trap,0,0,Discard all the cards in your hand to the Graveyard. Then add the same number of LIGHT monsters from your Graveyard to your hand.,53.84,86.92,120.0,47.4,,Unlimited
66695,Gravekeeper's Spear Soldier,Gravekeepers Spear Soldier,https://tcgplayer-cdn.tcgplayer.com/product/66695_200w.jpg,2,598,https://cpt.tcgcsv.com/WHx,2013-10-30T14:46:02.003,1,TU02-EN006,Rare,DARK,Spellcaster,Effect Monster,1500,1000,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.",0.3,0.69,4.99,0.69,,Unlimited
66696,My Body as a Shield,My Body as a Shield,https://tcgplayer-cdn.tcgplayer.com/product/66696_200w.jpg,2,598,https://cpt.tcgcsv.com/XHx,2013-10-30T14:46:28.403,1,TU02-EN007,Rare,SPELL,,Normal Spell,0,0,Activate only by paying 1500 Life Points when your opponent activates a Spell/Trap Card or Effect Monster's effect that would destroy a monster(s) on the field. Negate the activation of that card and destroy it.,2.59,4.15,10.0,4.58,,Unlimited
66697,Magical Stone Excavation,Magical Stone Excavation,https://tcgplayer-cdn.tcgplayer.com/product/66697_200w.jpg,2,598,https://cpt.tcgcsv.com/ZHx,2013-10-30T14:46:17.453,1,TU02-EN008,Rare,SPELL,,Normal Spell,0,0,"Discard 2 cards, then target 1 Spell Card in your Graveyard; add it to your hand.",0.82,1.34,3.49,0.82,,Unlimited
66698,Mist Archfiend,Mist Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/66698_200w.jpg,2,598,https://cpt.tcgcsv.com/-Hx,2013-10-30T14:46:24.59,1,TU02-EN009,Rare,DARK,Fiend,Effect Monster,2400,0,"You can Normal Summon this card without Tributing. If you do, during the End Phase it is destroyed and you take 1000 damage.",0.2,0.89,1.98,0.61,,Unlimited
66699,Light-Imprisoning Mirror,Light Imprisoning Mirror,https://tcgplayer-cdn.tcgplayer.com/product/66699_200w.jpg,2,598,https://cpt.tcgcsv.com/_Hx,2013-10-30T14:46:09.413,1,TU02-EN010,Rare,TRAP,,Normal Trap,0,0,Negate all LIGHT monster effects activated on the field or in the Graveyard.,1.65,2.64,9.95,2.75,,Unlimited
