productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
512533,Valiant Smashers Booster Box [1st Edition],Valiant Smashers Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/512533_200w.jpg,2,23284,https://cpt.tcgcsv.com/H076,2023-11-17T05:03:20.8,1,Each box contains 24 packs consisting of 7 cards.,083717863472,29.99,56.49,123.49,42.8,,Normal,,,,,,,,,
512537,Valiant Smashers Booster Pack [1st Edition],Valiant Smashers Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/512537_200w.jpg,2,23284,https://cpt.tcgcsv.com/M076,2023-11-17T05:03:20.8,1,Each pack contains 7 cards.,083717863465,1.99,4.2,8.44,2.27,,Normal,,,,,,,,,
526924,Mementoal Tecuhtlica - Combined Creation,Mementoal Tecuhtlica Combined Creation,https://tcgplayer-cdn.tcgplayer.com/product/526924_200w.jpg,2,23284,https://cpt.tcgcsv.com/vNd6,2023-11-17T05:03:20.8,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or GY) by shuffling 5 other ""Memento"" monsters with different names from your hand and/or GY into the Deck/Extra Deck. While you control no other monsters, this card can attack all monsters your opponent controls, once each. Once per turn, if your opponent activates a card or effect (except during the Damage Step): You can Special Summon 1 ""Memento"" monster from your hand or GY.",,23.51,26.08,49.93,25.21,39.93,1st Edition,VASM-EN001,Ultra Rare,EARTH,Wyrm,Effect Monster,5000,5000,,
526925,Mementoal Tecuhtlica - Combined Creation (CR),Mementoal Tecuhtlica Combined Creation CR,https://tcgplayer-cdn.tcgplayer.com/product/526925_200w.jpg,2,23284,https://cpt.tcgcsv.com/wNd6,2023-12-02T08:32:50.43,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or GY) by shuffling 5 other ""Memento"" monsters with different names from your hand and/or GY into the Deck/Extra Deck. While you control no other monsters, this card can attack all monsters your opponent controls, once each. Once per turn, if your opponent activates a card or effect (except during the Damage Step): You can Special Summon 1 ""Memento"" monster from your hand or GY.",,31.25,34.95,63.0,30.94,34.95,1st Edition,VASM-EN001,Collector's Rare,EARTH,Wyrm,Effect Monster,5000,5000,,
526926,Mementoal Tecuhtlica - Combined Creation (Quarter Century Secret Rare),Mementoal Tecuhtlica Combined Creation Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/526926_200w.jpg,2,23284,https://cpt.tcgcsv.com/xNd6,2023-11-22T17:22:49.31,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or GY) by shuffling 5 other ""Memento"" monsters with different names from your hand and/or GY into the Deck/Extra Deck. While you control no other monsters, this card can attack all monsters your opponent controls, once each. Once per turn, if your opponent activates a card or effect (except during the Damage Step): You can Special Summon 1 ""Memento"" monster from your hand or GY.",,45.17,52.5,99.99,45.15,56.29,1st Edition,VASM-EN001,Quarter Century Secret Rare,EARTH,Wyrm,Effect Monster,5000,5000,,
526927,Mementotlan-Horned Dragon,Mementotlan Horned Dragon,https://tcgplayer-cdn.tcgplayer.com/product/526927_200w.jpg,2,23284,https://cpt.tcgcsv.com/zNd6,2023-11-17T05:03:20.8,1,"If you have 3 or more ""Memento"" monsters with different names in your GY, you can Special Summon this card (from your hand). You can only Special Summon ""Mementotlan-Horned Dragon"" once per turn this way. If this card on the field is destroyed by card effect: You can target 3 face-up cards on the field, including a ""Memento"" card you control; destroy them. You can only use this effect of ""Mementotlan-Horned Dragon"" once per turn.",,0.04,0.28,2.14,0.3,0.2,1st Edition,VASM-EN002,Rare,DARK,Dragon,Effect Monster,2850,2350,,
526928,Mementotlan Tatsunootoshigo,Mementotlan Tatsunootoshigo,https://tcgplayer-cdn.tcgplayer.com/product/526928_200w.jpg,2,23284,https://cpt.tcgcsv.com/BNd6,2023-11-17T05:03:20.8,1,"If you do not control any face-up monsters, other than ""Memento"" monsters: You can Special Summon this card from your hand. During your Main Phase: You can destroy 1 ""Memento"" monster you control, and send any number of ""Memento"" monster(s) (with different names) from your Deck to the GY whose total Levels are less than or equal to the destroyed monster's original Level. You can only use each effect of ""Mementotlan Tatsunootoshigo"" once per turn.",,0.02,1.95,9.99,1.02,2.47,1st Edition,VASM-EN003,Super Rare,EARTH,Beast,Effect Monster,1350,1600,,
526929,Mementotlan Dark Blade,Mementotlan Dark Blade,https://tcgplayer-cdn.tcgplayer.com/product/526929_200w.jpg,2,23284,https://cpt.tcgcsv.com/CNd6,2023-12-22T09:14:18.16,1,"If this card is Normal or Special Summoned: You can discard 1 ""Memento"" card, then target 1 Spell/Trap your opponent controls; destroy it. During your Main Phase: You can destroy 1 ""Memento"" monster you control, and if you do, Special Summon 1 Level 3 or lower ""Memento"" monster from your Deck. You can only use each effect of ""Mementotlan Dark Blade"" once per turn.",,0.05,1.75,9.99,1.16,7.48,1st Edition,VASM-EN004,Super Rare,DARK,Warrior,Effect Monster,1800,1500,,
526932,Mementotlan Dark Blade (CR),Mementotlan Dark Blade CR,https://tcgplayer-cdn.tcgplayer.com/product/526932_200w.jpg,2,23284,https://cpt.tcgcsv.com/GNd6,2023-11-22T17:18:19.13,1,"If this card is Normal or Special Summoned: You can discard 1 ""Memento"" card, then target 1 Spell/Trap your opponent controls; destroy it. During your Main Phase: You can destroy 1 ""Memento"" monster you control, and if you do, Special Summon 1 Level 3 or lower ""Memento"" monster from your Deck. You can only use each effect of ""Mementotlan Dark Blade"" once per turn.",,50.9,57.48,99.17,49.38,,1st Edition,VASM-EN004,Collector's Rare,DARK,Warrior,Effect Monster,1800,1500,,
526934,Mementotlan Angwitch,Mementotlan Angwitch,https://tcgplayer-cdn.tcgplayer.com/product/526934_200w.jpg,2,23284,https://cpt.tcgcsv.com/JNd6,2023-11-17T05:03:20.8,1,"If this card is Normal or Special Summoned: You can add 1 ""Memento"" monster from your Deck to your hand, except ""Mementotlan Angwitch"". You can target 1 Level 2 or lower ""Memento"" monster in your GY; destroy 1 ""Memento"" monster you control, and if you do, Special Summon the targeted monster. You can only use each effect of ""Mementotlan Angwitch"" once per turn.",,0.38,1.05,26.6,0.8,0.95,1st Edition,VASM-EN005,Ultra Rare,DARK,Spellcaster,Effect Monster,800,1000,,
526936,Mementotlan Mace,Mementotlan Mace,https://tcgplayer-cdn.tcgplayer.com/product/526936_200w.jpg,2,23284,https://cpt.tcgcsv.com/LNd6,2023-11-17T05:03:20.8,1,"During your opponent's Main Phase, if you control ""Mementoal Tecuhtlica - Combined Creation"" (Quick Effect): You can discard this card, then target 1 face-up monster your opponent controls; take control of it until the End Phase. During your Main Phase: You can destroy 1 ""Memento"" monster you control, and if you do, add 1 ""Memento"" card from your Deck to your hand, except ""Mementotlan Mace"". You can only use each effect of ""Mementotlan Mace"" once per turn.",,0.03,0.75,1.99,0.69,0.65,1st Edition,VASM-EN006,Super Rare,LIGHT,Fairy,Effect Monster,400,300,,
526940,Mementotlan Goblin,Mementotlan Goblin,https://tcgplayer-cdn.tcgplayer.com/product/526940_200w.jpg,2,23284,https://cpt.tcgcsv.com/QNd6,2023-11-17T05:03:20.8,1,"During the Main Phase, if you control ""Mementoal Tecuhtlica - Combined Creation"" (Quick Effect): You can discard this card; for the rest of this turn, your opponent cannot target ""Memento"" monsters you control with card effects. During your Main Phase: You can destroy 1 ""Memento"" monster you control, and if you do, send up to 2 ""Memento"" cards with different names from each other from your Deck to the GY, except ""Mementotlan Goblin"". You can only use each effect of ""Mementotlan Goblin"" once per turn.",,0.25,0.43,1.98,0.42,,1st Edition,VASM-EN007,Rare,DARK,Fiend,Effect Monster,400,400,,
526942,Mementomictlan,Mementomictlan,https://tcgplayer-cdn.tcgplayer.com/product/526942_200w.jpg,2,23284,https://cpt.tcgcsv.com/SNd6,2023-11-17T05:03:20.8,1,"If your ""Memento"" monster battles, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. If a monster(s) you control is destroyed by battle or card effect: You can target 1 of those monsters; Special Summon 1 ""Memento"" monster with a lower Level from your hand or GY. You can only use this effect of ""Mementomictlan"" once per turn. Once per turn, during your End Phase: You can target 1 ""Memento"" Spell/Trap in your GY; Set it.",,0.06,0.2,1.99,0.16,0.1,1st Edition,VASM-EN008,Rare,SPELL,,Field Spell,,,,
526944,Mementotlan Bone Party,Mementotlan Bone Party,https://tcgplayer-cdn.tcgplayer.com/product/526944_200w.jpg,2,23284,https://cpt.tcgcsv.com/VNd6,2023-11-17T05:03:20.8,1,"Destroy 1 ""Memento"" monster in your hand or face-up field, take 1 ""Memento"" monster from your Deck with a different name, and either add it to your hand or Special Summon it in Defense Position. During your Main Phase: You can banish this card from your GY, then target 1 ""Memento"" monster you control; if it attacks a Defense Position monster this turn, inflict piercing battle damage to your opponent. You can only use each effect of ""Mementotlan Bone Party"" once per turn.",,0.2,0.99,40.0,0.59,0.61,1st Edition,VASM-EN009,Ultra Rare,SPELL,,Quick-Play Spell,,,,
