productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
485088,Wild Survivors Booster Box [1st Edition],Wild Survivors Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/485088_200w.jpg,2,22955,https://cpt.tcgcsv.com/N2V5,2023-06-02T04:03:15.067,1,Each box contains 24 packs consisting of 7 cards.,083717861508,49.89,69.65,113.94,58.43,,Normal,,,,,,,,,
485089,Wild Survivors Booster Pack [1st Edition],Wild Survivors Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/485089_200w.jpg,2,22955,https://cpt.tcgcsv.com/P2V5,2023-06-02T04:03:15.067,1,Each pack contains 7 cards.,083717861592,1.6,3.49,8.44,2.04,,Normal,,,,,,,,,
497852,Xeno Meteorus,Xeno Meteorus,https://tcgplayer-cdn.tcgplayer.com/product/497852_200w.jpg,2,22955,https://cpt.tcgcsv.com/39_5,2025-01-17T03:02:17.887,1,"If a card(s) is destroyed by battle or card effect: You can Special Summon this card from your hand. During your Main Phase: You can destroy 1 Dinosaur monster in your hand or field, then Special Summon 1 Dinosaur Normal Monster from your hand or Deck, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Dragon, Dinosaur, Sea Serpent, or Wyrm monsters. You can only use each effect of ""Xeno Meteorus"" once per turn.",,0.2,0.5,60.0,0.4,0.38,1st Edition,WISU-EN001,Super Rare,FIRE,Dinosaur,Effect Tuner Monster,2000,200,,
497854,Transcendosaurus Meteorus,Transcendosaurus Meteorus,https://tcgplayer-cdn.tcgplayer.com/product/497854_200w.jpg,2,22955,https://cpt.tcgcsv.com/69_5,2025-05-15T20:50:14.317,1,"Cannot be Normal Summoned/Set. Must be Special Summoned by card effect. During your opponent's turn (Quick Effect): You can destroy 2 other Dinosaur monsters in your hand and/or field, and if you do, Special Summon this card from your hand. If this card is Special Summoned: You can send 1 Dinosaur monster from your Deck to the GY. If this card is destroyed: You can shuffle 1 Normal Monster from your GY into the Deck, then you can Special Summon this card. You can only use each effect of ""Transcendosaurus Meteorus"" once per turn.",,0.01,0.25,2.0,0.17,,1st Edition,WISU-EN002,Super Rare,FIRE,Dinosaur,Effect Monster,3500,700,,
497855,Transcendosaurus Gigantozowler,Transcendosaurus Gigantozowler,https://tcgplayer-cdn.tcgplayer.com/product/497855_200w.jpg,2,22955,https://cpt.tcgcsv.com/79_5,2025-05-15T20:50:14.363,1,"1 Dinosaur monster + 1 Normal Monster
<br>If this card is Special Summoned: You can target 1 Dinosaur monster in your GY; add it to your hand, then, if this card was Special Summoned from the GY, you can destroy 2 cards (1 from your hand or field, and 1 your opponent controls). If this card is destroyed: You can shuffle 1 Normal Monster from your GY into the Deck, then you can Special Summon this card. You can only use each effect of ""Transcendosaurus Gigantozowler"" once per turn.",,0.2,0.4,4.99,0.34,0.24,1st Edition,WISU-EN003,Super Rare,EARTH,Dinosaur,Effect Fusion Monster,3800,2000,,
497857,Transcendosaurus Glaciasaurus,Transcendosaurus Glaciasaurus,https://tcgplayer-cdn.tcgplayer.com/product/497857_200w.jpg,2,22955,https://cpt.tcgcsv.com/99_5,2025-05-15T20:50:14.41,1,"1 Tuner + 1+ non-Tuner monsters
<br>Cannot be destroyed by battle. Dinosaur monsters you control that were Special Summoned from the GY cannot be destroyed by your opponent's card effects, also your opponent cannot target them with card effects. If this card is destroyed: You can shuffle 1 Normal Monster from your GY into the Deck, then you can Special Summon this card. You can only use this effect of ""Transcendosaurus Glaciasaurus"" once per turn.er turn.",,0.01,0.2,2.0,0.09,0.13,1st Edition,WISU-EN004,Rare,WATER,Dinosaur,Effect Synchro Monster,3600,2700,,
497858,Transcendosaurus Drillygnathus,Transcendosaurus Drillygnathus,https://tcgplayer-cdn.tcgplayer.com/product/497858_200w.jpg,2,22955,https://cpt.tcgcsv.com/b9_5,2025-05-15T20:50:14.457,1,"2 Level 6 monsters
<br>While this card has no materials, if it battles a monster, any battle damage it inflicts to your opponent is doubled. You can only use each of the following effects of ""Transcendosaurus Drillygnathus"" once per turn. You can detach 1 material from this card, then target 1 of your banished Dinosaur monsters; Special Summon it. If this card is destroyed: You can shuffle 1 Normal Monster from your GY into the Deck, then you can Special Summon this card.",,0.01,0.2,2.0,0.16,,1st Edition,WISU-EN005,Rare,WIND,Dinosaur,Effect Xyz Monster,3000,2300,,
497859,Ground Xeno,Ground Xeno,https://tcgplayer-cdn.tcgplayer.com/product/497859_200w.jpg,2,22955,https://cpt.tcgcsv.com/c9_5,2023-06-02T04:03:15.067,1,"Add 1 Dinosaur Tuner or Dinosaur Normal Monster from your Deck to your hand, then destroy 1 card in your hand. You can banish this card from your GY; Fusion Summon 1 Dinosaur Fusion Monster from your Extra Deck, using monsters from your hand or field as material. You can only use each effect of ""Ground Xeno"" once per turn.",,9.5,19.5,99.99,9.96,12.8,1st Edition,WISU-EN006,Ultra Rare,SPELL,,Normal Spell,,,,
497860,Supersoaring,Supersoaring,https://tcgplayer-cdn.tcgplayer.com/product/497860_200w.jpg,2,22955,https://cpt.tcgcsv.com/d9_5,2025-05-15T20:50:14.503,1,"Target 1 Dinosaur monster that is banished or in either GY; Special Summon it to your field. You can only activate 1 ""Supersoaring"" per turn.",,0.01,0.17,1.49,0.12,,1st Edition,WISU-EN007,Rare,TRAP,,Normal Trap,,,,
497861,Frostosaurus,Frostosaurus,https://tcgplayer-cdn.tcgplayer.com/product/497861_200w.jpg,2,22955,https://cpt.tcgcsv.com/f9_5,2025-05-15T20:50:14.557,1,"<em>This monster's metabolism enables it to endure long periods of cold, harnessing the power to become a creature of solid ice! Nothing else can withstand such temperatures, especially victims of its glacial rampage.</em>",,0.01,0.18,2.0,0.08,,1st Edition,WISU-EN008,Rare,WATER,Dinosaur,Normal Monster,2600,1700,,
497862,Ultimate Conductor Tyranno,Ultimate Conductor Tyranno,https://tcgplayer-cdn.tcgplayer.com/product/497862_200w.jpg,2,22955,https://cpt.tcgcsv.com/g9_5,2025-05-15T20:50:14.61,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 2 Dinosaur monsters from your GY. Once per turn, during the Main Phase (Quick Effect): You can destroy 1 monster in your hand or field, and if you do, change all face-up monsters your opponent controls to face-down Defense Position. This card can attack all monsters your opponent controls, once each. At the start of the Damage Step, if this card attacks a Defense Position monster: You can inflict 1000 damage to your opponent, and if you do, send that Defense Position monster to the GY.",,0.05,0.21,1.49,0.16,,1st Edition,WISU-EN009,Rare,LIGHT,Dinosaur,Effect Monster,3500,3200,,
497863,Giant Rex,Giant Rex,https://tcgplayer-cdn.tcgplayer.com/product/497863_200w.jpg,2,22955,https://cpt.tcgcsv.com/h9_5,2025-05-15T20:50:14.65,1,"Cannot attack directly. If this card is banished: You can Special Summon this card, and if you do, this card gains 200 ATK for each of your banished Dinosaur monsters. You can only use this effect of ""Giant Rex"" once per turn.",,0.02,0.2,2.0,0.14,,1st Edition,WISU-EN010,Rare,EARTH,Dinosaur,Effect Monster,2000,1200,,
497864,Miscellaneousaurus,Miscellaneousaurus,https://tcgplayer-cdn.tcgplayer.com/product/497864_200w.jpg,2,22955,https://cpt.tcgcsv.com/j9_5,2025-05-15T20:50:14.683,1,"During the Main Phase (Quick Effect): You can send this card from your hand to the GY; during this Main Phase, Dinosaur monsters you control are unaffected by your opponent's activated effects. You can banish any number of Dinosaur monsters from your GY, including this card; Special Summon 1 Dinosaur monster from your Deck with a Level equal to the total number of monsters banished to activate this effect, but destroy it during the End Phase. You can only use this effect of ""Miscellaneousaurus"" once per turn.",,0.03,0.2,1.49,0.09,,1st Edition,WISU-EN011,Rare,FIRE,Dinosaur,Effect Monster,1800,1000,,
497865,Souleating Oviraptor,Souleating Oviraptor,https://tcgplayer-cdn.tcgplayer.com/product/497865_200w.jpg,2,22955,https://cpt.tcgcsv.com/k9_5,2025-05-15T20:50:14.73,1,"If this card is Normal or Special Summoned: You can take 1 Dinosaur-Type monster from your Deck, and either add it to your hand or send it to the GY. You can target 1 other Level 4 or lower Dinosaur-Type monster on the field; destroy it, then Special Summon 1 Dinosaur-Type monster from your GY in Defense Position. You can only use each effect of ""Souleating Oviraptor"" once per turn.",,0.01,0.25,2.0,0.23,,1st Edition,WISU-EN012,Rare,DARK,Dinosaur,Effect Monster,1800,500,,
497866,Babycerasaurus,Babycerasaurus,https://tcgplayer-cdn.tcgplayer.com/product/497866_200w.jpg,2,22955,https://cpt.tcgcsv.com/l9_5,2025-05-15T20:50:14.763,1,If this card is destroyed by a card effect and sent to the Graveyard: Special Summon 1 Level 4 or lower Dinosaur-Type monster from your Deck.,,0.01,0.2,1.49,0.16,,1st Edition,WISU-EN013,Rare,EARTH,Dinosaur,Effect Monster,500,500,,
497867,Petiteranodon,Petiteranodon,https://tcgplayer-cdn.tcgplayer.com/product/497867_200w.jpg,2,22955,https://cpt.tcgcsv.com/m9_5,2025-05-15T20:50:14.81,1,"If this card is destroyed by a card effect and sent to the Graveyard: Special Summon 1 Level 4 or higher Dinosaur-Type monster from your Deck, but it cannot attack this turn.",,0.01,0.22,1.49,0.16,,1st Edition,WISU-EN014,Rare,EARTH,Dinosaur,Effect Monster,500,500,,
497868,Evolzar Solda,Evolzar Solda,https://tcgplayer-cdn.tcgplayer.com/product/497868_200w.jpg,2,22955,https://cpt.tcgcsv.com/n9_5,2025-05-15T20:50:14.857,1,"2 Level 6 Dinosaur-Type monsters
<br>This card cannot be destroyed by card effect while it has Xyz Material. When your opponent Special Summons a monster(s): You can detach 1 Xyz Material from this card; destroy that monster(s).",,0.01,0.17,1.49,0.11,,1st Edition,WISU-EN015,Rare,FIRE,Dragon,Effect Xyz Monster,2600,1000,,
