productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
131340,Droll Bird,Droll Bird,https://tcgplayer-cdn.tcgplayer.com/product/131340_200w.jpg,2,1929,https://cpt.tcgcsv.com/Qx32,2017-05-15T13:41:29.593,1,WP11-EN001,Super Rare,WIND,Winged Beast,Normal Monster,600,500,<em>This monster stuns its enemies with a massive beak and ear-piercing wails.,69.99,134.99,199.99,59.99,,Limited
131341,Key Mace,Key Mace,https://tcgplayer-cdn.tcgplayer.com/product/131341_200w.jpg,2,1929,https://cpt.tcgcsv.com/Rx32,2023-05-31T18:44:58.253,1,WP11-EN002,Super Rare,LIGHT,Fairy,Normal Monster,400,300,<em>Enemies' hearts will melt at the sight of this small fairy's cuteness.,129.58,180.98,399.99,,,Limited
131342,Obese Marmot of Nefariousness,Obese Marmot of Nefariousness,https://tcgplayer-cdn.tcgplayer.com/product/131342_200w.jpg,2,1929,https://cpt.tcgcsv.com/Sx32,2017-05-15T13:42:31.013,1,WP11-EN003,Super Rare,EARTH,Beast,Normal Monster,750,800,<em>An ill-mannered field varmint that will sink its teeth into anything.,94.97,109.99,149.99,,,Limited
131343,Wilmee,Wilmee,https://tcgplayer-cdn.tcgplayer.com/product/131343_200w.jpg,2,1929,https://cpt.tcgcsv.com/Tx32,2017-05-15T13:42:57.123,1,WP11-EN004,Super Rare,EARTH,Beast,Normal Monster,1000,1200,A rabid rabbit that shears through opposition with its sharp skewers.,75.0,94.95,143.9,,,Limited
131344,Key Mace #2,Key Mace 2,https://tcgplayer-cdn.tcgplayer.com/product/131344_200w.jpg,2,1929,https://cpt.tcgcsv.com/Vx32,2017-05-15T13:43:33.143,1,WP11-EN005,Super Rare,DARK,Fiend,Normal Monster,1050,1200,This fiend brings out the worst in everyone.,199.99,219.99,350.0,87.5,,Limited
131345,Great Bill,Great Bill,https://tcgplayer-cdn.tcgplayer.com/product/131345_200w.jpg,2,1929,https://cpt.tcgcsv.com/Wx32,2017-05-15T13:44:07.297,1,WP11-EN006,Super Rare,EARTH,Beast,Normal Monster,1250,1300,<em>Nothing escapes from this beast's massive mouth.,124.0,159.98,160.0,,,Limited
131346,Meteor Dragon,Meteor Dragon,https://tcgplayer-cdn.tcgplayer.com/product/131346_200w.jpg,2,1929,https://cpt.tcgcsv.com/Xx32,2017-05-15T13:44:38.07,1,WP11-EN007,Super Rare,EARTH,Dragon,Normal Monster,1800,2000,<em>This dragon appeared from the sky and crashed to the earth.,99.95,139.5,199.0,119.9,,Limited
131347,Giant Red Seasnake,Giant Red Seasnake,https://tcgplayer-cdn.tcgplayer.com/product/131347_200w.jpg,2,1929,https://cpt.tcgcsv.com/Zx32,2017-05-15T13:45:28.287,1,WP11-EN008,Super Rare,WATER,Aqua,Normal Monster,1800,800,<em>A sea-dwelling snake that attacks passing enemies with its sharp teeth.,49.98,99.98,299.99,,,Limited
131348,Garoozis,Garoozis,https://tcgplayer-cdn.tcgplayer.com/product/131348_200w.jpg,2,1929,https://cpt.tcgcsv.com/-x32,2017-05-15T13:46:38.71,1,WP11-EN009,Super Rare,FIRE,Beast-Warrior,Normal Monster,1800,1500,<em>An axe-swinging beast-warrior with the head of a dragon.,230.0,299.95,349.99,,,Limited
131349,Parrot Dragon,Parrot Dragon,https://tcgplayer-cdn.tcgplayer.com/product/131349_200w.jpg,2,1929,https://cpt.tcgcsv.com/_x32,2017-05-15T13:48:09.147,1,WP11-EN010,Super Rare,WIND,Dragon,Normal Monster,2000,1300,<em>A dragon from the cartoons that's more dangerous than it appears to be.,139.99,299.23,299.99,99.99,,Limited
131350,Zoa,Zoa,https://tcgplayer-cdn.tcgplayer.com/product/131350_200w.jpg,2,1929,https://cpt.tcgcsv.com/0z32,2021-09-03T12:36:27.837,1,WP11-EN011,Super Rare,DARK,Fiend,Normal Monster,2600,1900,"<i>A monster whose full potential can be achieved when outfitted with ""Metalmorph"".",104.99,131.99,699.99,,,Limited
131351,Alligator's Sword,Alligators Sword,https://tcgplayer-cdn.tcgplayer.com/product/131351_200w.jpg,2,1929,https://cpt.tcgcsv.com/2z32,2017-09-12T00:45:30.443,1,WP11-EN012,Super Rare,EARTH,,Normal Monster,1500,1200,"<em>'ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!",399.82,399.87,399.91,,,Limited
131352,Monster Eye,Monster Eye,https://tcgplayer-cdn.tcgplayer.com/product/131352_200w.jpg,2,1929,https://cpt.tcgcsv.com/3z32,2017-05-15T13:50:04.003,1,WP11-EN013,Super Rare,DARK,Fiend,Effect Monster,250,350,"You can pay 1000 Life Points; add 1 ""Polymerization"" from your Graveyard to your hand.",77.0,150.0,499.99,80.85,,Limited
