productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
97841,Yu-Gi-Oh! World Superstars Booster Box,Yu Gi Oh World Superstars Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/97841_200w.jpg,2,1529,https://cpt.tcgcsv.com/R8P,2015-04-22T12:09:06.99,1,119.99,125.73,179.0,,,Normal,,,,,,,,
97842,Yu-Gi-Oh! World Superstars Booster Pack,Yu Gi Oh World Superstars Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/97842_200w.jpg,2,1529,https://cpt.tcgcsv.com/S8P,2015-04-22T12:08:57.47,1,4.79,6.67,9.97,8.36,,Normal,,,,,,,,
97843,Chronomaly Nebra Disk,Chronomaly Nebra Disk,https://tcgplayer-cdn.tcgplayer.com/product/97843_200w.jpg,2,1529,https://cpt.tcgcsv.com/T8P,2020-11-09T15:46:45.273,1,0.4,0.99,19.99,0.68,,1st Edition,WSUP-EN001,Prismatic Secret Rare,LIGHT,Machine,Effect Monster,1800,1500,"When this card is Normal Summoned: You can add 1 ""Chronomaly"" card from your Deck to your hand, except ""Chronomaly Nebra Disk"". If this card is in the Graveyard and all monsters you control are ""Chronomaly"" monsters (min. 1): You can Special Summon this card in Defense Position. You cannot activate cards or effects during the turn you activate this effect, except ""Chronomaly"" cards and effects. You can only use 1 ""Chronomaly Nebra Disk"" effect per turn, and only once that turn."
97844,Number 36: Chronomaly Chateau Huyuk,Number 36 Chronomaly Chateau Huyuk,https://tcgplayer-cdn.tcgplayer.com/product/97844_200w.jpg,2,1529,https://cpt.tcgcsv.com/V8P,2015-04-17T16:20:42.983,1,0.05,0.38,5.0,0.25,,1st Edition,WSUP-EN002,Super Rare,LIGHT,Machine,Xyz/Effect Monster,2000,2500,"2 Level 4 ""Chronomaly"" monsters
<br>Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; change its ATK to 0 until the end of this turn. You can Tribute 1 ""Chronomaly"" monster, then target 1 monster your opponent controls, whose current ATK is different from its original ATK; destroy that target."
97845,Heraldic Beast Amphisbaena,Heraldic Beast Amphisbaena,https://tcgplayer-cdn.tcgplayer.com/product/97845_200w.jpg,2,1529,https://cpt.tcgcsv.com/W8P,2015-04-17T16:15:49.673,1,0.13,0.4,1.99,0.34,,1st Edition,WSUP-EN003,Super Rare,WIND,Dragon,Effect Monster,1700,1100,"You can discard 1 other ""Heraldic Beast"" monster; Special Summon this card from your hand. Once per turn: You can discard 1 ""Heraldic Beast"" monster; this card gains 800 ATK until the end of this turn."
97846,Number 18: Heraldry Patriarch,Number 18 Heraldry Patriarch,https://tcgplayer-cdn.tcgplayer.com/product/97846_200w.jpg,2,1529,https://cpt.tcgcsv.com/X8P,2016-09-16T13:01:22.097,1,0.3,1.19,19.99,1.03,1.37,1st Edition,WSUP-EN004,Super Rare,LIGHT,Psychic,Xyz/Effect Monster,2200,2200,"2 Level 4 monsters
<Br>Once per Chain, during either player's turn, if 2 or more monsters with the same name are on the field: You can detach 1 Xyz Material from this card; choose 1 monster among those with the same name, and destroy all other monsters with that name. While this card remains face-up on the field, your opponent cannot Summon monsters with the same name as any of the monster(s) chosen for this card's effect. If this card is sent to the Graveyard: You can send 2 ""Heraldic Beast"" monsters from your Deck to the Graveyard."
97847,Augmented Heraldry,Augmented Heraldry,https://tcgplayer-cdn.tcgplayer.com/product/97847_200w.jpg,2,1529,https://cpt.tcgcsv.com/Z8P,2015-04-17T16:07:52.997,1,0.1,0.3,5.0,0.26,,1st Edition,WSUP-EN005,Super Rare,SPELL,,Normal Spell,,,"Psychic-Type Xyz Monsters on the field cannot be targeted by Spell/Trap effects. Once per turn: You can discard 1 ""Heraldic Beast"" monster; add 1 ""Heraldry"" Spell/Trap Card from your Deck to your hand, except ""Augmented Heraldry"". You cannot Normal or Special Summon monsters during the turn you activate this effect, except Psychic-Type Xyz Monsters and ""Heraldic Beast"" monsters (even if this card leaves the field)."
97848,Gagaga Sister,Gagaga Sister,https://tcgplayer-cdn.tcgplayer.com/product/97848_200w.jpg,2,1529,https://cpt.tcgcsv.com/-8P,2020-11-09T15:47:01.75,1,0.75,1.63,20.0,1.17,,1st Edition,WSUP-EN006,Prismatic Secret Rare,DARK,Spellcaster,Effect Monster,200,800,"When this card is Normal Summoned: You can add 1 ""Gagaga"" Spell/Trap Card from your Deck to your hand. You can target 1 other ""Gagaga"" monster you control; the Levels of that monster and this card become their combined current Levels, until the end of this turn. You can only use this effect of ""Gagaga Sister"" once per turn."
97849,Number 55: Gogogo Goliath,Number 55 Gogogo Goliath,https://tcgplayer-cdn.tcgplayer.com/product/97849_200w.jpg,2,1529,https://cpt.tcgcsv.com/_8P,2015-04-17T16:21:02.86,1,0.2,0.4,1.99,0.39,,1st Edition,WSUP-EN007,Super Rare,EARTH,Rock,Xyz/Effect Monster,2400,1200,"2 Level 4 monsters
<br>All monsters you control gain 800 DEF. You can detach 1 Xyz Material from this card, then target 1 Level 4 EARTH Rock-Type monster in your Graveyard; add that target to your hand. You can only use this effect of ""Number 55: Gogogo Goliath"" once per turn."
97850,Dodododraw,Dodododraw,https://tcgplayer-cdn.tcgplayer.com/product/97850_200w.jpg,2,1529,https://cpt.tcgcsv.com/09P,2020-07-13T20:21:38.237,1,0.01,0.25,5.0,0.23,,1st Edition,WSUP-EN008,Super Rare,SPELL,,Normal Spell,,,"Send 1 ""Dododo"" monster from your hand or face-up from your side of the field to the Graveyard; draw 2 cards. You can only activate 1 ""Dodododraw"" per turn."
